Političke stranke;Rashodi prema financijskom izvještaju o financiranju izborne promidžbe u kunama
ABECEDA DEMOKRACIJE - ABECEDA;0
AGENDA MLADIH DEMOKRATA - AMD;23.964
AKCIJA MLADIH - AM;63.705
AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH;0*
AKCIJA ZA BOLJU HRVATSKU - ABH;52.113
AUTOHTONA - HRVATSKA SELJAČKA STRANKA  - A - HSS;27.127
AUTOHTONA - HRVATSKA STRANKA PRAVA - A-HSP;3.300*
"BLOK UMIROVLJENICI ZAJEDNO
- BUZ";347.750
DALMATINSKA LIBERALNA STRANKA - DLS;0
DEMOKRATSKA PRIGORSKO- ZAGREBAČKA STRANKA - DPS;4.661
DEMOKRATSKA STRANKA SLAVONSKE RAVNICE - SLAVONSKA RAVNICA;115.000*
"DEMOKRATSKA STRANKA
ŽENA - DSŽ";0
DEMOKRATSKI CENTAR - DC;11.070
GLAS RAZUMA;0
HRVATSKA ČISTA STRANKA PRAVA - HČSP;126.774
HRVATSKA DEMOKRATSKA SELJAČKA STRANKA - HDSS;15.485
HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ;15.509.605
HRVATSKA DEMOKRŠĆANSKA STRANKA - HDS;13.148
HRVATSKA 21 STOLJEĆA - HRVATSKA 21.;18.919
HRVATSKA EUROPSKA STRANKA - HES;6.340
HRVATSKA GRAĐANSKA STRANKA - HGS;139.214
HRVATSKA KRŠĆANSKA DEMOKRATSKA UNIJA - HKDU;
HRVATSKA NARODNA STRANKA  LIBERALNI DEMOKRATI  - HNS;2.591.187
HRVATSKA RADNIČKA STRANKA - HRS;0
HRVATSKA SELJAČKA STRANKA - HSS;5.914.212
HRVATSKA SOCIJALNO- LIBERALNA STRANKA - HSLS;2.551.121
HRVATSKA STRANKA MLADIH - HSM;0
HRVATSKA STRANKA PRAVA - HSP;1.752.911
HRVATSKA STRANKA PRAVA DR. ANTE STARČEVIĆ - HSP DR. ANTE STARČEVIĆ;526.784
HRVATSKA STRANKA UMIROVLJENIKA - HSU;618.185
HRVATSKA STRANKA ZELENIH - EKO SAVEZ - ZELENI;0
HRVATSKA STRAŽA NACIONALNA STRANKA - HS NS;0*
HRVATSKI DEMOKRATSKI SAVEZ SLAVONIJE I BARANJE - HDSSB;2.077.903
HRVATSKI LABURISTI - STRANKA RADA;873.333
HRVATSKI RAST - HRAST;130.251
ISTARSKA SOCIJALDEMOKRATSKA NEZAVISNA STRANKA - ISDNS;0
ISTARSKI DEMOKRATSKI SABOR - IDS - DDI;597.916
JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA;0
LADONJA;1.349.764
LISTA ZA RIJEKU - LISTA - RI;40.813
MEĐIMURSKI DEMOKRATSKI SAVEZ - MDS;16.589
NACIONALNI DEMOKRATI - ND;0*
NOVA HRVATSKA - NH;0
OBITELJSKA STRANKA  - OS;15.376
PRIMORSKO GORANSKI SAVEZ - PGS;205.359
SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS;300.078
SAVEZ ZA PROMJENE - SP;0
SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP;10.719.608
SOCIJALISTIČKA PARTIJA HRVATSKE - SPH;3.711
SOCIJALISTIČKA RADNIČKA PARTIJA HRVATSKE - SRP;19.170
SPLITSKA STRANKA UMIROVLJENIKA - SSU;0
STRANKA HRVATSKOG ZAJEDNIŠTVA - SHZ;6.500
STRANKA PENZIONERA - SP;0
