"GODINA
YEAR";"PROSJEČAN BROJ
Average number";"STANJE 31. 12.
Situation as of December, 31"
;"Ukupno
Total";"Ukupno
Total"
;;
1952.;13.576;27.699
1953.;26.009;18.660
1954.;19.993;19.993
1955.;19.334;20.411
1956.;25.858;31.062
1957.;31.027;31.912
1958.;34.589;41.694
1959.;41.020;43.516
1960.;42.908;46.450
1961.;47.881;59.130
1962.;57.304;60.699
1963.;54.412;55.066
1964.;51.593;54.216
1965.;56.962;64.096
1966.;57.843;60.165
1967.;58.427;66.375
1968.;63.921;63.182
1969.;56.628;52.824
1970.;46.639;43.294
1971.;41.858;45.348
1972.;46.712;50.083
1973.;53.721;53.999
1974.;55.169;59.415
1975.;67.491;78.176
1976.;83.449;87.093
1977.;87.786;88.054
1978.;82.992;77.831
1979.;77.037;77.877
1980.;78.452;82.270
1981.;86.279;95.923
1982.;99.199;107.326
1983.;107.735;112.961
1984.;114.008;120.644
1985.;119.667;124.481
1986.;122.711;121.735
1987.;122.800;126.532
1988.;134.555;144.407
1989.;139.878;144.810
1990.;160.617;195.466
1991.;253.670;283.308
1992.;266.568;261.050
1993.;250.779;243.096
1994.;243.324;247.555
1995.;240.601;249.070
1996.;261.023;269.263
1997.;277.691;287.120
1998.;287.762;302.731
1999.;321.866;341.730
2000.;357.872;378.544
2001.;380.195;395.141
2002.;389.741;366.162
2003.;329.799;318.684
2004.;309.875;317.577
2005.;308.738;307.851
2006.;291.616;293.153
2007.;264.448;254.484
2008.;236.741;240.455
2009.;263.174;291.545
2010.;302.425;319.845
2011.;305.333;315.438
2012.;324.324;358.214
