Grad/opæina;Broj biraèkih mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: VLADIMIR KONEÈNY, prof.                                        ;AKCIJA MLADIH - AM, Nositelj liste: VOJMIR SABOLIÆ                                                    ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, HRVATSKA RADNIÈKA STRANKA - HRS, ZELENA STRANKA - ZS, Nositelj liste: ZLATKO KLARIÆ, prof.;AUTOHTONA-HRVATSKA SELJAÈKA STRANKA - A-HSSNositelj liste: JASENKO STIPAC, dipl.ing.                         ;DEMOKRATSKA STRANKA ŽENA - DSŽ, ZELENI HRVATSKE - ZELENI HR, Nositelj liste: MARIJA JELINÈIÆ;DEMOKRATSKI CENTAR - DC, Nositelj liste: VESNA ŠKARE OŽBOLT, dipl.iur.;DOMOVINSKA GRAÐANSKA STRANKA - DGS, Nositelj liste: DRAGO MINTAS;GOSPODARSKA STRANKA - GS, Nositelj liste: STJEPAN GNJEÈ                                            ;HRVATSKA ÈISTA STRANKA PRAVA - HÈSP, Nositelj liste: JOSIP MILJAK                                   ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, Nositelj liste: dr.sc. IVO SANADER                                 ;HRVATSKA EUROPSKA STRANKA - HES, Nositelj liste: MARIN VLAHOVIÆ          ;HRVATSKA KRŠÆANSKA DEMOKRATSKA STRANKA - HKDS, KRŠÆANSKA SOCIJALNA UNIJA - KSU, Nositelj liste: FRANJO ŠTAMBUK;HRVATSKA NARODNA STRANKA-LIBERALNI DEMOKRATI - HNS, Nositelj liste: dr.sc. VESNA PUSIÆ                    ;HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA SOCIJALNO LIBERALNA STRANKA - HSLS, ZAGORSKA STRANKA - ZS, ZAGORSKA DEMOKRATSKA STRANKA - ZDS, Nositelj liste: TATJANA HOLJEVAC;HRVATSKA STRANKA MLADIH - HSM, Nositelj liste: MARIO LOZIÆ                                        ;HRVATSKA STRANKA PRAVA - HSP, Nositelj liste: ANTO ÐAPIÆ;HRVATSKA STRANKA UMIROVLJENIKA - HSU, Nositelj liste: mr.sc. VLADIMIR JORDAN                    ;HRVATSKA STRANKA ZELENIH-EKO SAVEZ - ZELENI, Nositelj liste: mr.sc. ZLATKO SVIBEN;HRVATSKI PRAVAŠI-HRVATSKI PRAVAŠKI POKRET - HP-HPP, Nositelj liste: DEJAN LECIÆ;JEDINO HRVATSKA-POKRET ZA HRVATSKU - JEDINO HRVATSKA, Nositelj liste: MILOVAN ŠIBL;LJEVICA HRVATSKE - LJEVICA, SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP, HRVATSKI SOCIJALDEMOKRATI - HSD, ISTARSKI SOCIJALDEMOKRATSKI FORUM-FORO SOCIAL DEMOCRATICO ISTRIANO - ISDF-FSDI, Nositelj liste: IVAN NINIÆ;NEOVISNA LISTA, Nositelj liste: dr.sc. SLAVEN LETICA                                 ;NEOVISNA LISTA, Nositelj liste: BRANKO VUKŠIÆ                                 ;PRIMORSKO GORANSKI SAVEZ - PGS, SLAVONSKO-BARANJSKA HRVATSKA STRANKA - SBHS, MEÐIMURSKI DEMOKRATSKI SAVEZ - MDS, DALMATINSKA LIBERALNA STRANKA - DLS, Nositelj liste: DAVOR KOŽUH, dipl.ing. stroj.;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, Nositelj liste: ZORAN MILANOVIÆ;STRANKA UMIROVLJENIKA - SU, Nositelj liste: VENKO BANOVIÆ;ZELENA LISTA, Nositelj liste: VLASTA TOTH, dipl.oec.                                                          
;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZAGREB-CENTAR,ZAPAD  ;265;314002;210549;210101;207759;2342;114;364;783;278;824;1796;58;118;420;62487;151;563;14302;8487;1479;4765;10337;1147;102;1448;799;2449;1603;159;88954;2523;1249
ZAPREŠIÆ  ;20;22010;14023;14021;13868;153;8;36;58;32;65;122;6;8;32;4394;3;36;580;628;136;483;665;62;2;46;41;161;57;9;5959;169;70
BISTRA  ;6;5547;3416;3413;3359;54;5;13;7;16;6;14;1;3;5;1552;4;8;119;219;41;85;145;15;1;9;7;29;6;4;972;45;28
BRDOVEC  ;11;9792;6287;6247;6169;78;12;24;16;39;16;137;10;4;12;1988;7;16;156;524;67;134;227;31;6;19;11;56;16;5;2533;70;33
DUBRAVICA  ;6;1278;811;811;798;13;1;5;3;7;3;5;2;0;2;371;2;3;21;113;6;25;23;6;1;2;0;1;2;0;183;8;3
JAKOVLJE  ;7;3327;1991;1991;1954;37;1;6;5;12;12;12;3;2;7;547;1;7;66;166;24;67;142;13;2;4;7;21;6;2;777;27;15
LUKA  ;2;1161;673;672;661;11;0;5;1;4;3;4;0;3;0;316;1;1;15;57;11;16;22;5;0;1;1;4;0;0;183;7;1
MARIJA GORICA  ;5;1906;1204;1204;1183;21;2;8;1;4;8;15;1;1;1;435;0;2;39;137;9;18;42;1;1;2;4;5;4;1;421;10;11
PUŠÆA  ;7;2213;1343;1343;1314;29;1;4;5;16;1;8;0;0;3;348;2;3;38;163;14;21;77;2;0;2;0;13;3;1;562;20;7
UKUPNO;329;361236;240297;239803;237065;2738;144;465;879;408;938;2113;81;139;482;72438;171;639;15336;10494;1787;5614;11680;1282;115;1533;870;2739;1697;181;100544;2879;1417
