Grad/opæina;Redni broj biraèkog mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: VLADIMIR KONEÈNY, prof.                                        ;AKCIJA MLADIH - AM, Nositelj liste: VOJMIR SABOLIÆ                                                    ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, HRVATSKA RADNIÈKA STRANKA - HRS, ZELENA STRANKA - ZS, Nositelj liste: ZLATKO KLARIÆ, prof.;AUTOHTONA-HRVATSKA SELJAÈKA STRANKA - A-HSSNositelj liste: JASENKO STIPAC, dipl.ing.                         ;DEMOKRATSKA STRANKA ŽENA - DSŽ, ZELENI HRVATSKE - ZELENI HR, Nositelj liste: MARIJA JELINÈIÆ;DEMOKRATSKI CENTAR - DC, Nositelj liste: VESNA ŠKARE OŽBOLT, dipl.iur.;DOMOVINSKA GRAÐANSKA STRANKA - DGS, Nositelj liste: DRAGO MINTAS;GOSPODARSKA STRANKA - GS, Nositelj liste: STJEPAN GNJEÈ                                            ;HRVATSKA ÈISTA STRANKA PRAVA - HÈSP, Nositelj liste: JOSIP MILJAK                                   ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, Nositelj liste: dr.sc. IVO SANADER                                 ;HRVATSKA EUROPSKA STRANKA - HES, Nositelj liste: MARIN VLAHOVIÆ          ;HRVATSKA KRŠÆANSKA DEMOKRATSKA STRANKA - HKDS, KRŠÆANSKA SOCIJALNA UNIJA - KSU, Nositelj liste: FRANJO ŠTAMBUK;HRVATSKA NARODNA STRANKA-LIBERALNI DEMOKRATI - HNS, Nositelj liste: dr.sc. VESNA PUSIÆ                    ;HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA SOCIJALNO LIBERALNA STRANKA - HSLS, ZAGORSKA STRANKA - ZS, ZAGORSKA DEMOKRATSKA STRANKA - ZDS, Nositelj liste: TATJANA HOLJEVAC;HRVATSKA STRANKA MLADIH - HSM, Nositelj liste: MARIO LOZIÆ                                        ;HRVATSKA STRANKA PRAVA - HSP, Nositelj liste: ANTO ÐAPIÆ;HRVATSKA STRANKA UMIROVLJENIKA - HSU, Nositelj liste: mr.sc. VLADIMIR JORDAN                    ;HRVATSKA STRANKA ZELENIH-EKO SAVEZ - ZELENI, Nositelj liste: mr.sc. ZLATKO SVIBEN;HRVATSKI PRAVAŠI-HRVATSKI PRAVAŠKI POKRET - HP-HPP, Nositelj liste: DEJAN LECIÆ;JEDINO HRVATSKA-POKRET ZA HRVATSKU - JEDINO HRVATSKA, Nositelj liste: MILOVAN ŠIBL;LJEVICA HRVATSKE - LJEVICA, SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP, HRVATSKI SOCIJALDEMOKRATI - HSD, ISTARSKI SOCIJALDEMOKRATSKI FORUM-FORO SOCIAL DEMOCRATICO ISTRIANO - ISDF-FSDI, Nositelj liste: IVAN NINIÆ;NEOVISNA LISTA, Nositelj liste: dr.sc. SLAVEN LETICA                                 ;NEOVISNA LISTA, Nositelj liste: BRANKO VUKŠIÆ                                 ;PRIMORSKO GORANSKI SAVEZ - PGS, SLAVONSKO-BARANJSKA HRVATSKA STRANKA - SBHS, MEÐIMURSKI DEMOKRATSKI SAVEZ - MDS, DALMATINSKA LIBERALNA STRANKA - DLS, Nositelj liste: DAVOR KOŽUH, dipl.ing. stroj.;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, Nositelj liste: ZORAN MILANOVIÆ;STRANKA UMIROVLJENIKA - SU, Nositelj liste: VENKO BANOVIÆ;ZELENA LISTA, Nositelj liste: VLASTA TOTH, dipl.oec.                                                          
;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZAGREB-CENTAR,ZAPAD;1;812;527;527;518;9;0;1;2;2;2;5;0;2;1;147;0;2;53;25;2;8;28;6;0;9;0;6;4;1;202;6;4
ZAGREB-CENTAR,ZAPAD;2;1109;741;741;734;7;1;0;4;0;1;6;0;0;5;332;1;1;49;13;3;17;25;8;0;6;1;13;8;0;231;7;2
ZAGREB-CENTAR,ZAPAD;3;600;414;414;412;2;0;0;1;1;2;5;0;0;1;135;0;0;30;10;3;10;16;2;0;7;1;7;3;0;173;4;1
ZAGREB-CENTAR,ZAPAD;4;849;560;560;555;5;1;3;2;0;2;6;0;0;1;147;0;0;45;10;1;11;40;3;0;4;2;7;7;0;258;5;0
ZAGREB-CENTAR,ZAPAD;5;1313;843;843;834;9;0;0;2;0;2;8;0;1;3;234;0;1;89;20;5;25;57;4;0;3;5;10;6;2;345;5;7
ZAGREB-CENTAR,ZAPAD;6;1507;1014;1014;1008;6;0;1;4;0;3;7;0;3;2;279;1;2;77;43;8;15;45;11;1;13;4;18;2;0;450;13;6
ZAGREB-CENTAR,ZAPAD;7;1684;1118;1118;1103;15;0;0;3;3;6;13;0;0;1;322;2;3;98;34;3;10;57;9;0;14;12;17;12;0;470;8;6
ZAGREB-CENTAR,ZAPAD;8;773;499;499;490;9;1;2;1;0;2;9;0;0;0;133;0;4;30;16;8;8;18;2;0;1;1;2;1;0;240;9;2
ZAGREB-CENTAR,ZAPAD;9;908;583;583;577;6;0;1;1;0;2;5;2;0;1;206;1;3;43;22;5;10;17;1;0;3;3;6;3;0;233;7;2
ZAGREB-CENTAR,ZAPAD;10;1486;951;951;939;12;1;1;4;0;2;8;0;1;6;273;0;4;66;19;8;20;43;9;0;11;1;13;6;0;422;9;12
ZAGREB-CENTAR,ZAPAD;11;1174;744;744;737;7;0;1;2;0;2;9;0;0;1;204;1;2;68;19;6;14;51;7;0;5;6;9;3;1;314;10;2
ZAGREB-CENTAR,ZAPAD;12;1042;705;704;698;6;1;2;3;1;7;4;0;0;1;223;1;3;63;19;5;13;18;5;0;5;5;18;7;1;276;12;5
ZAGREB-CENTAR,ZAPAD;13;866;580;580;576;4;0;1;4;0;0;6;0;0;7;142;1;1;54;19;3;14;23;3;0;2;1;5;4;1;276;6;3
ZAGREB-CENTAR,ZAPAD;14;808;539;539;526;13;0;0;3;0;1;8;0;0;0;157;1;1;53;18;1;12;34;4;0;8;2;8;5;0;202;6;2
ZAGREB-CENTAR,ZAPAD;15;1082;688;688;680;8;0;0;3;3;5;15;0;0;1;182;1;1;51;24;3;7;24;4;0;7;5;5;6;0;318;7;8
ZAGREB-CENTAR,ZAPAD;16;1703;1170;1169;1156;13;0;0;2;0;7;6;0;1;1;285;2;1;96;53;6;28;68;5;2;4;4;16;7;2;542;11;7
ZAGREB-CENTAR,ZAPAD;17;1544;1037;1037;1023;14;0;1;0;0;7;8;0;0;2;297;0;2;82;34;4;22;57;3;1;11;3;21;11;0;440;11;6
ZAGREB-CENTAR,ZAPAD;18;1319;841;840;837;3;0;0;2;0;4;11;0;1;0;244;0;3;52;33;5;16;33;3;2;9;3;17;8;2;369;9;11
ZAGREB-CENTAR,ZAPAD;19;1400;893;888;883;5;1;0;3;5;2;6;0;0;0;207;0;1;77;27;4;22;34;3;0;9;7;7;5;0;443;12;8
ZAGREB-CENTAR,ZAPAD;20;1422;981;981;976;5;0;1;3;0;4;5;0;0;0;279;1;1;80;29;3;13;35;2;2;8;4;9;6;0;476;8;7
ZAGREB-CENTAR,ZAPAD;21;1106;785;785;779;6;0;3;2;3;0;2;0;0;2;210;2;2;68;21;2;12;40;3;0;6;8;10;4;0;361;14;4
ZAGREB-CENTAR,ZAPAD;22;1027;711;711;704;7;0;0;4;1;6;9;0;1;0;176;0;2;45;26;2;20;28;6;0;7;5;9;6;0;343;5;3
ZAGREB-CENTAR,ZAPAD;23;1467;932;931;920;11;0;0;4;1;5;8;0;0;2;237;0;3;72;29;2;15;32;3;1;7;1;11;11;0;459;14;3
ZAGREB-CENTAR,ZAPAD;24;1007;726;675;666;9;0;2;6;0;2;4;2;0;0;161;0;1;46;32;1;15;27;6;0;5;7;4;10;2;328;3;2
ZAGREB-CENTAR,ZAPAD;25;956;617;617;608;9;0;3;7;0;2;6;0;1;1;151;1;1;46;9;4;14;31;2;0;7;3;4;3;0;301;7;4
ZAGREB-CENTAR,ZAPAD;26;963;640;640;636;4;0;1;4;0;1;4;1;0;3;176;1;4;59;26;7;12;30;5;0;12;6;7;7;1;255;11;3
ZAGREB-CENTAR,ZAPAD;27;1168;774;774;762;12;0;3;4;0;3;2;0;0;2;220;1;1;64;25;13;10;44;2;1;4;3;23;13;0;316;4;4
ZAGREB-CENTAR,ZAPAD;28;996;696;695;688;7;1;0;3;0;2;5;0;0;1;167;0;1;43;13;4;12;25;4;1;6;2;10;4;0;371;10;3
ZAGREB-CENTAR,ZAPAD;29;1054;699;699;691;8;0;0;1;1;2;0;0;0;1;191;0;3;55;22;3;9;36;3;1;1;3;7;4;0;337;7;4
ZAGREB-CENTAR,ZAPAD;30;1544;1039;1039;1023;16;1;1;1;1;2;11;0;0;1;300;1;1;74;26;4;29;48;9;1;2;2;12;9;1;467;14;5
ZAGREB-CENTAR,ZAPAD;31;1063;748;748;736;12;0;2;2;0;1;10;0;1;2;195;0;0;66;20;1;11;32;1;0;1;1;4;5;1;368;10;2
ZAGREB-CENTAR,ZAPAD;32;850;555;555;543;12;0;1;4;1;0;4;0;0;0;121;0;2;58;22;2;8;39;2;0;6;3;4;5;0;247;13;1
ZAGREB-CENTAR,ZAPAD;33;1591;1057;1054;1044;10;0;3;5;0;3;9;0;0;3;301;3;0;83;29;6;19;67;10;0;5;8;14;6;1;450;17;2
ZAGREB-CENTAR,ZAPAD;34;1018;682;682;673;9;0;0;1;2;1;6;0;0;0;243;0;0;43;22;1;9;25;3;0;12;2;8;6;0;274;10;5
ZAGREB-CENTAR,ZAPAD;35;1011;699;699;693;6;0;1;0;1;3;8;0;0;1;189;0;1;63;21;8;13;29;4;0;7;2;4;1;0;330;4;3
ZAGREB-CENTAR,ZAPAD;36;1055;631;631;625;6;0;3;2;0;5;8;0;0;2;285;0;4;30;27;4;15;22;3;0;7;5;0;5;0;193;4;1
ZAGREB-CENTAR,ZAPAD;37;889;528;528;516;12;1;1;3;0;3;10;0;0;2;166;0;1;33;13;1;9;22;3;1;4;1;7;3;2;223;5;2
