Grad/opæina;Broj biraèkih mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: MILAN ŽUPANÈIÆ, prof.                                        ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, HRVATSKA RADNIÈKA STRANKA - HRS, ZELENA STRANKA - ZS, Nositelj liste: ZLATKO KLARIÆ, prof.;AUTOHTONA-HRVATSKA SELJAÈKA STRANKA - A-HSS, Nositelj liste: JASENKO STIPAC, dipl.ing.                         ;DEMOKRATSKA STRANKA ŽENA - DSŽ, ZELENI HRVATSKE - ZELENI HR, Nositelj liste: MARIJA JELINÈIÆ;DEMOKRATSKI CENTAR - DC, ZELENA STRANKA-ZELENA ALTERNATIVA - ZELENI, Nositelj liste: VESNA ŠKARE OŽBOLT, dipl.iur.;GOSPODARSKA STRANKA - GS, Nositelj liste: STJEPAN GNJEÈ                                            ;HRVATSKA ÈISTA STRANKA PRAVA - HÈSP, Nositelj liste: JOSIP MILJAK                                   ;HRVATSKA DEMOKRATSKA SELJAÈKA STRANKA - HDSS, Nositelj liste: MLADEN KEŠER;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, Nositelj liste: dr.sc. IVO SANADER                                 ;HRVATSKA KRŠÆANSKA DEMOKRATSKA STRANKA - HKDS, KRŠÆANSKA SOCIJALNA UNIJA - KSU, Nositelj liste: SEBASTIJAN PALIÆ;HRVATSKA KRŠÆANSKA DEMOKRATSKA UNIJA - HKDU, Nositelj liste: dr.sc. MARKO VESELICA;HRVATSKA NARODNA STRANKA-LIBERALNI DEMOKRATI - HNS, Nositelj liste: RADIMIR ÈAÈIÆ                    ;HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA SOCIJALNO LIBERALNA STRANKA - HSLS, Nositelj liste: JOSIP FRIŠÈIÆ;HRVATSKA STRANKA MLADIH - HSM, Nositelj liste: VLADIMIR SEVER                                       ;HRVATSKA STRANKA PRAVA - HSP, Nositelj liste: ANTO ÐAPIÆ;HRVATSKA STRANKA UMIROVLJENIKA - HSU, Nositelj liste: mr.sc. VLADIMIR JORDAN                    ;HRVATSKI PRAVAŠI-HRVATSKI PRAVAŠKI POKRET - HP-HPP, Nositelj liste: DRAŽEN KELEMINEC;HRVATSKI ZBOR - ZBOR, Nositelj liste: GRGO-TOMISLAV ANTIÈIÆ;JEDINO HRVATSKA-POKRET ZA HRVATSKU - JEDINO HRVATSKA, Nositelj liste: MILAN KOVAÈ;LJEVICA HRVATSKE - LJEVICA, SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP, HRVATSKI SOCIJALDEMOKRATI - HSD, ISTARSKI SOCIJALDEMOKRATSKI FORUM-FORO SOCIAL DEMOCRATICO ISTRIANO - ISDF-FSDI, Nositelj liste: VLADIMIR BEBIÆ, dipl. politolog;NEOVISNA LISTA, Nositelj liste: BRANKO STOJKOVIÆ                                ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, Nositelj liste: ZORAN MILANOVIÆ;STRANKA UMIROVLJENIKA - SU, Nositelj liste: JOSIP ŠUNIÆ;ZELENA LISTA, Nositelj liste: DARKO STOŠIÆ                                                         ;;;
;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BJELOVAR  ;63;35342;22812;22779;22499;280;20;49;104;63;104;12;22;66;6234;29;29;905;5726;141;647;886;31;8;92;64;35;7018;165;49;;;
ÈAZMA  ;36;7417;5098;5098;5013;85;5;9;29;19;26;4;4;39;1362;7;5;280;1184;31;205;217;14;3;18;17;10;1459;52;14;;;
DARUVAR  ;15;9261;5786;5783;5674;109;5;14;7;17;33;4;4;16;1770;8;9;311;457;49;216;321;7;3;10;32;2;2304;58;17;;;
DUGO SELO  ;17;14509;8247;8246;8131;115;4;21;17;36;62;10;18;28;3109;26;19;353;558;94;379;260;16;15;73;30;8;2877;70;48;;;
ÐURÐEVAC  ;16;7170;5047;5024;4936;88;6;6;8;13;45;8;5;23;1327;8;7;281;954;45;138;284;11;1;10;11;2;1660;65;18;;;
GAREŠNICA  ;26;9276;5834;5834;5768;66;10;17;26;13;73;5;5;29;1719;13;12;128;796;23;205;387;40;3;22;35;7;2110;77;13;;;
GRUBIŠNO POLJE  ;15;6105;3583;3582;3539;43;7;5;23;8;43;1;7;26;1542;6;3;67;554;23;133;132;2;1;11;10;4;891;34;6;;;
KOPRIVNICA  ;37;26547;18553;18526;18330;196;14;27;31;44;60;15;14;49;4184;29;16;690;2637;92;338;776;36;6;28;57;15;8964;161;47;;;
KRIŽEVCI  ;55;18163;11832;11748;11571;177;13;27;124;38;77;11;17;205;2545;26;19;449;2891;62;242;503;15;3;15;33;12;4118;81;45;;;
SVETI IVAN ZELINA  ;50;14260;8915;8915;8762;153;8;27;50;37;40;9;17;46;2720;23;19;516;1601;84;183;310;8;7;17;13;24;2867;106;30;;;
VRBOVEC  ;40;12495;8245;8245;8137;108;7;19;33;31;44;7;7;79;2358;12;12;862;967;68;186;516;13;11;27;20;17;2707;95;39;;;
ZAGREB-ISTOÈNI DIO  ;125;133080;80946;80867;79794;1073;84;329;186;405;801;68;174;229;28096;404;250;3481;5410;850;2495;3575;86;69;742;218;155;30268;942;477;;;
BEDENICA  ;5;1201;736;736;728;8;1;2;7;2;3;1;0;9;202;1;3;149;91;4;16;16;0;1;0;1;5;204;7;3;;;
BEREK  ;13;1348;937;937;931;6;2;1;8;1;3;0;1;12;408;1;1;12;229;5;18;33;3;0;2;7;3;157;20;4;;;
BRCKOVLJANI  ;10;5709;3204;3204;3146;58;6;13;14;10;33;8;8;19;1209;18;7;137;308;22;107;213;3;9;13;4;7;946;24;8;;;
DEŽANOVAC  ;11;2163;1321;1321;1308;13;1;4;21;3;9;3;3;10;461;2;1;38;308;3;35;38;2;0;3;6;2;348;6;1;;;
DRNJE  ;3;1671;1150;1150;1136;14;1;3;4;7;3;1;4;6;235;1;3;34;295;5;69;30;1;1;0;2;1;423;5;2;;;
DUBRAVA  ;27;4437;2962;2961;2905;56;8;7;33;12;26;5;8;36;821;4;6;174;468;29;103;150;14;2;17;10;5;932;25;10;;;
ÐELEKOVEC  ;3;1449;929;929;918;11;0;0;11;2;2;1;0;3;363;1;1;22;202;3;29;19;2;0;0;5;1;244;4;3;;;
