Grad/opæina;Redni broj biraèkog mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: MILAN ŽUPANÈIÆ, prof.                                        ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, HRVATSKA RADNIÈKA STRANKA - HRS, ZELENA STRANKA - ZS, Nositelj liste: ZLATKO KLARIÆ, prof.;AUTOHTONA-HRVATSKA SELJAÈKA STRANKA - A-HSS, Nositelj liste: JASENKO STIPAC, dipl.ing.                         ;DEMOKRATSKA STRANKA ŽENA - DSŽ, ZELENI HRVATSKE - ZELENI HR, Nositelj liste: MARIJA JELINÈIÆ;DEMOKRATSKI CENTAR - DC, ZELENA STRANKA-ZELENA ALTERNATIVA - ZELENI, Nositelj liste: VESNA ŠKARE OŽBOLT, dipl.iur.;GOSPODARSKA STRANKA - GS, Nositelj liste: STJEPAN GNJEÈ                                            ;HRVATSKA ÈISTA STRANKA PRAVA - HÈSP, Nositelj liste: JOSIP MILJAK                                   ;HRVATSKA DEMOKRATSKA SELJAÈKA STRANKA - HDSS, Nositelj liste: MLADEN KEŠER;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, Nositelj liste: dr.sc. IVO SANADER                                 ;HRVATSKA KRŠÆANSKA DEMOKRATSKA STRANKA - HKDS, KRŠÆANSKA SOCIJALNA UNIJA - KSU, Nositelj liste: SEBASTIJAN PALIÆ;HRVATSKA KRŠÆANSKA DEMOKRATSKA UNIJA - HKDU, Nositelj liste: dr.sc. MARKO VESELICA;HRVATSKA NARODNA STRANKA-LIBERALNI DEMOKRATI - HNS, Nositelj liste: RADIMIR ÈAÈIÆ                    ;HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA SOCIJALNO LIBERALNA STRANKA - HSLS, Nositelj liste: JOSIP FRIŠÈIÆ;HRVATSKA STRANKA MLADIH - HSM, Nositelj liste: VLADIMIR SEVER                                       ;HRVATSKA STRANKA PRAVA - HSP, Nositelj liste: ANTO ÐAPIÆ;HRVATSKA STRANKA UMIROVLJENIKA - HSU, Nositelj liste: mr.sc. VLADIMIR JORDAN                    ;HRVATSKI PRAVAŠI-HRVATSKI PRAVAŠKI POKRET - HP-HPP, Nositelj liste: DRAŽEN KELEMINEC;HRVATSKI ZBOR - ZBOR, Nositelj liste: GRGO-TOMISLAV ANTIÈIÆ;JEDINO HRVATSKA-POKRET ZA HRVATSKU - JEDINO HRVATSKA, Nositelj liste: MILAN KOVAÈ;LJEVICA HRVATSKE - LJEVICA, SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP, HRVATSKI SOCIJALDEMOKRATI - HSD, ISTARSKI SOCIJALDEMOKRATSKI FORUM-FORO SOCIAL DEMOCRATICO ISTRIANO - ISDF-FSDI, Nositelj liste: VLADIMIR BEBIÆ, dipl. politolog;NEOVISNA LISTA, Nositelj liste: BRANKO STOJKOVIÆ                                ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, Nositelj liste: ZORAN MILANOVIÆ;STRANKA UMIROVLJENIKA - SU, Nositelj liste: JOSIP ŠUNIÆ;ZELENA LISTA, Nositelj liste: DARKO STOŠIÆ                                                         ;;;
;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BJELOVAR;1;811;552;552;547;5;0;5;0;1;3;0;1;0;117;1;0;31;102;4;11;18;2;0;2;2;1;242;2;2;;;
BJELOVAR;2;536;359;359;355;4;0;0;1;0;1;1;0;0;74;0;0;15;54;4;13;20;0;0;0;0;0;164;7;1;;;
BJELOVAR;3;500;340;330;326;4;0;1;0;0;1;0;1;1;86;0;0;20;68;3;7;14;1;0;3;1;1;113;3;2;;;
BJELOVAR;4;518;326;326;321;5;0;2;0;0;1;0;0;0;82;1;0;24;46;2;7;17;0;1;0;0;0;134;4;0;;;
BJELOVAR;5;364;234;234;233;1;0;1;0;0;2;0;0;0;40;0;1;18;56;1;8;11;0;0;2;0;2;89;1;1;;;
BJELOVAR;6;673;442;442;435;7;0;0;1;3;5;0;1;0;108;0;0;25;75;4;7;15;0;0;3;2;2;177;6;1;;;
BJELOVAR;7;465;284;284;282;2;1;1;1;0;1;0;0;0;53;1;1;12;57;0;6;10;0;0;2;5;0;129;2;0;;;
BJELOVAR;8;480;321;321;315;6;0;0;1;1;0;1;2;0;83;0;0;27;61;1;8;7;0;0;0;0;0;120;1;2;;;
BJELOVAR;9;650;446;446;443;3;0;2;0;0;1;0;0;2;117;0;1;14;61;0;13;33;0;0;2;2;1;187;4;3;;;
BJELOVAR;10;607;374;374;374;0;0;2;2;1;1;0;0;3;67;0;0;38;79;2;16;33;0;0;2;0;1;121;5;1;;;
BJELOVAR;11;897;594;594;579;15;0;0;5;1;2;2;1;0;165;0;2;23;128;7;8;44;1;0;1;1;1;183;2;2;;;
BJELOVAR;12;764;525;525;521;4;0;2;0;3;1;0;0;0;136;0;1;24;82;4;6;34;0;0;1;4;0;217;4;2;;;
BJELOVAR;13;630;417;417;411;6;0;0;1;2;0;0;0;1;93;1;2;26;104;2;16;21;1;0;5;1;0;129;6;0;;;
BJELOVAR;14;755;483;483;479;4;1;0;0;2;3;1;0;0;130;0;1;25;95;7;16;29;0;0;1;1;0;164;2;1;;;
BJELOVAR;15;809;555;555;548;7;1;4;0;2;0;0;0;1;113;0;0;29;113;3;6;26;2;0;3;1;0;238;5;1;;;
BJELOVAR;16;709;504;504;503;1;0;0;2;4;7;0;0;0;115;0;0;28;95;0;27;29;0;0;3;6;0;183;3;1;;;
BJELOVAR;17;699;465;465;453;12;0;0;1;0;2;0;0;0;136;0;0;27;89;2;8;15;1;0;1;0;0;166;5;0;;;
BJELOVAR;18;642;384;384;379;5;0;0;0;4;3;0;2;0;113;1;0;15;74;0;14;15;1;0;0;0;0;134;2;1;;;
BJELOVAR;19;579;348;348;340;8;0;2;1;0;1;1;0;2;79;1;0;10;82;2;9;8;1;1;0;1;0;132;7;0;;;
BJELOVAR;20;961;621;621;611;10;1;0;2;1;1;1;0;0;181;0;0;43;104;3;13;21;1;0;1;0;0;237;1;0;;;
BJELOVAR;21;816;568;568;559;9;1;0;5;0;2;0;0;1;156;0;1;36;120;4;23;15;1;0;1;1;2;181;6;3;;;
BJELOVAR;22;700;493;493;486;7;2;2;1;0;0;1;0;5;123;1;2;41;62;5;18;40;0;0;2;2;1;172;6;0;;;
