Grad/opæina;Broj biraèkih mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: BRANKO OZIMEC                                        ;AUTOHTONA-HRVATSKA SELJAÈKA STRANKA - A-HSS, Nositelj liste: JASENKO STIPAC, dipl.ing.                         ;DEMOKRATSKA STRANKA ŽENA - DSŽ, ZELENI HRVATSKE - ZELENI HR, Nositelj liste: MARIJA JELINÈIÆ;DEMOKRATSKI CENTAR - DC, Nositelj liste: VESNA ŠKARE OŽBOLT, dipl.iur.;GOSPODARSKA STRANKA - GS, Nositelj liste: STJEPAN GNJEÈ                                            ;HRVATSKA ÈISTA STRANKA PRAVA - HÈSP, Nositelj liste: GORAN ROHAÈEK                                   ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, Nositelj liste: dr.sc. IVO SANADER                                 ;HRVATSKA KRŠÆANSKA DEMOKRATSKA STRANKA - HKDS, Nositelj liste: JULIJANA ILÈIÆ;HRVATSKA KRŠÆANSKA DEMOKRATSKA UNIJA - HKDU, Nositelj liste: BOŽO RENDIÆ;HRVATSKA NARODNA STRANKA-LIBERALNI DEMOKRATI - HNS, Nositelj liste: RADIMIR ÈAÈIÆ                    ;HRVATSKA RADNIÈKA STRANKA - HRS, AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, ZELENA STRANKA - ZS, Nositelj liste: ZLATKO KLARIÆ, prof.;HRVATSKA SOCIJALNO LIBERALNA STRANKA - HSLS, HRVATSKA SELJAÈKA STRANKA - HSS, ZAGORSKA DEMOKRATSKA STRANKA - ZDS, Nositelj liste: dr.sc. IVAN ÈEHOK;HRVATSKA STRANKA MLADIH - HSM, Nositelj liste: DARKO PETRIÈIÆ                                      ;HRVATSKA STRANKA NEZAPOSLENIH - HSN, Nositelj liste: NURIJA AHMETOVIÆ, prof.;HRVATSKA STRANKA PRAVA - HSP, Nositelj liste: ANTO ÐAPIÆ;HRVATSKA STRANKA UMIROVLJENIKA - HSU, Nositelj liste: mr.sc. VLADIMIR JORDAN                    ;HRVATSKA STRANKA ZELENIH-EKO SAVEZ - ZELENI, Nositelj liste: mr.sc. ZLATKO SVIBEN;HRVATSKI PRAVAŠI-HRVATSKI PRAVAŠKI POKRET - HP-HPP, Nositelj liste: RUDOLF FORKO;HRVATSKI ZBOR - ZBOR, Nositelj liste: VINKO KALINIÆ;JEDINO HRVATSKA-POKRET ZA HRVATSKU - JEDINO HRVATSKA, Nositelj liste: mr.sc. VLADIMIR MESARIÆ;MOJE MALO MEÐIMURJE - 3 M, Nositelj liste: ANTUN VARGA;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, Nositelj liste: ZORAN MILANOVIÆ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP, LJEVICA HRVATSKE - LJEVICA, HRVATSKI SOCIJALDEMOKRATI - HSD, ISTARSKI SOCIJALDEMOKRATSKI FORUM-FORO SOCIAL DEMOCRATICO ISTRIANO - ISDF-FSDI, Nositelj liste: FRANJO GOLENKO;STRANKA UMIROVLJENIKA - SU, Nositelj liste: JOSIP ŽUŽUL;ZELENA LISTA, Nositelj liste: STANKO BEZEK                                                         ;;
;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ÈAKOVEC  ;30;23005;16632;16626;16427;199;12;44;35;51;9;37;2725;38;19;3125;40;856;95;42;251;432;34;2;6;36;66;8263;45;131;33;;
DONJA STUBICA  ;11;4704;3023;3023;2986;37;4;37;15;29;5;3;868;6;5;317;8;256;30;9;57;161;17;2;0;9;3;1096;11;33;5;;
IVANEC  ;34;11916;8442;8440;8284;156;5;38;15;21;4;21;1305;9;6;3206;14;658;24;19;206;317;12;3;1;9;3;2292;15;61;20;;
KLANJEC  ;10;2653;1708;1708;1661;47;0;9;5;5;7;6;490;2;3;36;2;348;17;3;15;83;10;3;3;1;1;593;2;16;1;;
KRAPINA  ;15;10715;7376;7375;7215;160;11;66;29;27;7;14;2556;14;11;1051;22;442;43;19;69;350;20;8;1;8;4;2316;23;84;20;;
LEPOGLAVA  ;16;6788;4113;4109;4063;46;5;9;14;5;3;4;1067;12;7;1732;7;156;16;12;62;87;5;1;5;7;6;785;15;33;8;;
LUDBREG  ;13;7277;5100;5099;5046;53;3;24;8;9;2;6;881;11;5;1870;4;358;16;7;139;145;10;0;3;3;5;1481;9;35;12;;
MURSKO SREDIŠÆE  ;7;5670;3614;3614;3577;37;5;8;11;8;2;11;743;7;7;707;10;377;11;6;42;109;10;4;2;31;19;1413;5;24;5;;
NOVI MAROF  ;30;11508;8261;8260;8187;73;7;24;15;14;7;17;2310;20;15;3598;10;411;23;12;101;168;16;2;5;5;1;1341;8;45;12;;
OROSLAVJE  ;7;5424;3598;3597;3540;57;8;29;12;26;7;5;960;5;2;506;9;333;32;10;101;228;14;1;2;2;2;1190;11;38;7;;
PREGRADA  ;13;5747;3352;3352;3278;74;5;70;16;18;6;7;1221;16;6;166;13;392;21;4;37;149;13;0;2;4;4;1070;6;23;9;;
PRELOG  ;10;6668;4635;4635;4567;68;4;23;17;12;4;10;1110;16;5;1078;5;350;19;8;82;112;10;1;4;10;10;1620;16;29;12;;
VARAŽDIN  ;48;40847;30190;30183;29823;360;9;40;55;79;7;27;4541;64;13;9355;45;4821;53;26;291;829;37;12;8;23;11;9202;55;169;51;;
VARAŽDINSKE TOPLICE  ;21;5773;4259;4258;4194;64;1;14;10;8;3;4;776;10;4;1542;9;716;24;6;80;90;6;2;0;2;1;854;4;22;6;;
ZABOK  ;16;7755;5485;5485;5376;109;5;20;16;57;2;9;1394;10;7;442;5;322;57;11;78;400;27;2;0;7;5;2385;28;67;20;;
ZLATAR  ;17;5373;3103;3103;3025;78;3;132;10;11;4;7;915;6;1;264;6;364;26;7;116;150;6;10;0;3;3;925;6;43;7;;
BEDEKOVÈINA  ;13;6829;4071;4071;4011;60;3;29;19;11;7;8;1112;9;6;336;14;333;47;10;34;289;9;2;0;5;2;1659;11;48;8;;
BEDNJA  ;18;4263;2528;2527;2498;29;3;12;7;4;1;3;705;1;3;1309;4;115;3;4;34;49;4;1;2;2;0;213;4;10;5;;
BELICA  ;3;2868;1839;1833;1809;24;1;25;7;2;2;6;308;2;1;338;3;186;8;3;68;63;3;0;0;4;6;755;8;10;0;;
