Grad/opæina;Redni broj biraèkog mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: BRANKO OZIMEC                                        ;AUTOHTONA-HRVATSKA SELJAÈKA STRANKA - A-HSS, Nositelj liste: JASENKO STIPAC, dipl.ing.                         ;DEMOKRATSKA STRANKA ŽENA - DSŽ, ZELENI HRVATSKE - ZELENI HR, Nositelj liste: MARIJA JELINÈIÆ;DEMOKRATSKI CENTAR - DC, Nositelj liste: VESNA ŠKARE OŽBOLT, dipl.iur.;GOSPODARSKA STRANKA - GS, Nositelj liste: STJEPAN GNJEÈ                                            ;HRVATSKA ÈISTA STRANKA PRAVA - HÈSP, Nositelj liste: GORAN ROHAÈEK                                   ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, Nositelj liste: dr.sc. IVO SANADER                                 ;HRVATSKA KRŠÆANSKA DEMOKRATSKA STRANKA - HKDS, Nositelj liste: JULIJANA ILÈIÆ;HRVATSKA KRŠÆANSKA DEMOKRATSKA UNIJA - HKDU, Nositelj liste: BOŽO RENDIÆ;HRVATSKA NARODNA STRANKA-LIBERALNI DEMOKRATI - HNS, Nositelj liste: RADIMIR ÈAÈIÆ                    ;HRVATSKA RADNIÈKA STRANKA - HRS, AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, ZELENA STRANKA - ZS, Nositelj liste: ZLATKO KLARIÆ, prof.;HRVATSKA SOCIJALNO LIBERALNA STRANKA - HSLS, HRVATSKA SELJAÈKA STRANKA - HSS, ZAGORSKA DEMOKRATSKA STRANKA - ZDS, Nositelj liste: dr.sc. IVAN ÈEHOK;HRVATSKA STRANKA MLADIH - HSM, Nositelj liste: DARKO PETRIÈIÆ                                      ;HRVATSKA STRANKA NEZAPOSLENIH - HSN, Nositelj liste: NURIJA AHMETOVIÆ, prof.;HRVATSKA STRANKA PRAVA - HSP, Nositelj liste: ANTO ÐAPIÆ;HRVATSKA STRANKA UMIROVLJENIKA - HSU, Nositelj liste: mr.sc. VLADIMIR JORDAN                    ;HRVATSKA STRANKA ZELENIH-EKO SAVEZ - ZELENI, Nositelj liste: mr.sc. ZLATKO SVIBEN;HRVATSKI PRAVAŠI-HRVATSKI PRAVAŠKI POKRET - HP-HPP, Nositelj liste: RUDOLF FORKO;HRVATSKI ZBOR - ZBOR, Nositelj liste: VINKO KALINIÆ;JEDINO HRVATSKA-POKRET ZA HRVATSKU - JEDINO HRVATSKA, Nositelj liste: mr.sc. VLADIMIR MESARIÆ;MOJE MALO MEÐIMURJE - 3 M, Nositelj liste: ANTUN VARGA;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, Nositelj liste: ZORAN MILANOVIÆ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP, LJEVICA HRVATSKE - LJEVICA, HRVATSKI SOCIJALDEMOKRATI - HSD, ISTARSKI SOCIJALDEMOKRATSKI FORUM-FORO SOCIAL DEMOCRATICO ISTRIANO - ISDF-FSDI, Nositelj liste: FRANJO GOLENKO;STRANKA UMIROVLJENIKA - SU, Nositelj liste: JOSIP ŽUŽUL;ZELENA LISTA, Nositelj liste: STANKO BEZEK                                                         ;;
;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ÈAKOVEC;1;1289;913;913;905;8;3;1;3;1;1;0;152;2;2;147;4;38;11;0;13;38;2;0;0;7;1;470;2;6;1;;
ÈAKOVEC;2;532;382;382;378;4;0;0;0;0;0;1;96;0;0;56;0;12;4;1;7;3;0;0;0;1;3;191;0;2;1;;
ÈAKOVEC;3;856;581;579;574;5;0;1;4;4;0;2;114;3;0;105;1;21;4;1;13;17;1;0;0;2;2;275;2;1;1;;
ÈAKOVEC;4;553;407;407;401;6;0;0;1;2;1;0;69;0;0;74;0;18;2;6;0;8;2;0;0;1;0;209;3;3;2;;
ÈAKOVEC;5;787;569;569;567;2;1;0;1;0;0;2;115;0;1;123;0;22;4;0;8;9;2;0;1;1;5;262;3;5;2;;
ÈAKOVEC;6;525;408;408;400;8;0;0;0;1;0;2;77;0;3;56;0;13;2;0;6;8;0;0;0;0;2;225;2;2;1;;
ÈAKOVEC;7;1237;901;901;897;4;0;1;2;3;1;1;164;2;0;153;0;36;2;1;8;34;3;0;0;2;1;477;2;4;0;;
ÈAKOVEC;8;248;181;181;179;2;0;1;0;0;0;0;27;0;0;27;0;8;2;0;1;8;1;0;0;0;0;101;0;3;0;;
ÈAKOVEC;9;758;560;560;557;3;0;1;0;3;0;0;73;4;0;76;3;17;3;1;10;15;2;0;0;1;3;329;1;13;2;;
ÈAKOVEC;10;745;565;565;558;7;0;0;2;2;0;1;65;2;0;96;1;25;3;0;7;18;1;1;1;0;0;320;4;9;0;;
ÈAKOVEC;11;892;666;666;655;11;0;0;3;1;0;7;104;3;0;84;2;26;3;2;16;19;0;0;0;4;4;364;4;6;3;;
ÈAKOVEC;12;884;643;643;633;10;0;1;0;1;1;1;109;0;0;125;3;33;1;0;5;14;2;0;0;0;2;328;1;5;1;;
ÈAKOVEC;13;533;426;426;415;11;0;1;2;2;0;0;56;1;2;70;0;9;3;1;12;11;1;0;0;0;6;228;3;7;0;;
ÈAKOVEC;14;448;321;320;316;4;0;1;1;1;1;2;30;0;2;77;3;13;3;1;8;15;0;0;0;0;2;151;1;3;1;;
ÈAKOVEC;15;1074;781;781;765;16;0;3;2;1;0;1;102;0;3;126;2;38;5;7;16;20;0;0;0;2;1;427;1;5;3;;
ÈAKOVEC;16;784;619;619;615;4;1;0;0;1;0;0;112;2;0;92;1;27;5;1;12;7;5;0;0;0;0;341;3;4;1;;
ÈAKOVEC;17;1223;949;949;942;7;0;2;1;5;1;1;187;0;0;178;5;50;4;0;10;15;4;0;1;6;2;468;1;0;1;;
ÈAKOVEC;18;961;582;582;573;9;0;3;0;4;0;4;60;3;1;122;0;42;1;1;7;11;0;0;0;0;1;309;1;2;1;;
ÈAKOVEC;19;875;598;596;591;5;1;3;0;2;0;1;62;0;0;110;0;32;5;2;24;10;0;0;0;0;3;326;1;6;3;;
ÈAKOVEC;20;1074;772;771;762;9;0;0;2;2;1;2;90;3;0;129;0;36;6;5;8;19;1;0;0;2;5;439;5;5;2;;
ÈAKOVEC;21;1305;867;867;860;7;1;7;0;2;0;1;148;3;1;157;3;80;7;1;19;27;2;0;0;1;3;387;0;9;1;;
