Grad/opæina;Broj biraèkih mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: STJEPAN RUŠEC                                       ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, HRVATSKA RADNIÈKA STRANKA - HRS, ZELENA STRANKA - ZS, Nositelj liste: ZLATKO KLARIÆ, prof.;AUTOHTONA-HRVATSKA SELJAÈKA STRANKA - A-HSS, Nositelj liste: JASENKO STIPAC, dipl.ing.                         ;DEMOKRATSKA STRANKA SLAVONSKE RAVNICE - SLAVONSKA RAVNICA, Nositelj liste: SLAVKO VUKŠIÆ;DEMOKRATSKA STRANKA ŽENA - DSŽ, Nositelj liste: MARIJA JELINÈIÆ;DEMOKRATSKI CENTAR - DC, Nositelj liste: VESNA ŠKARE OŽBOLT, dipl.iur.;GOSPODARSKA STRANKA - GS, Nositelj liste: STJEPAN GNJEÈ                                            ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, Nositelj liste: dr.sc. IVO SANADER                                 ;HRVATSKA KRŠÆANSKA DEMOKRATSKA STRANKA - HKDS, Nositelj liste: ŠIMO MARKSER;HRVATSKA NARODNA STRANKA-LIBERALNI DEMOKRATI - HNS, Nositelj liste: RADIMIR ÈAÈIÆ                    ;HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA SOCIJALNO LIBERALNA STRANKA - HSLS, Nositelj liste: ŽELJKO PECEK;HRVATSKA STRANKA MLADIH - HSM, Nositelj liste: MIROSLAV RAJH                                        ;HRVATSKA STRANKA PRAVA - HSP, Nositelj liste: ANTO ÐAPIÆ;HRVATSKA STRANKA UMIROVLJENIKA - HSU, Nositelj liste: mr.sc. VLADIMIR JORDAN                    ;HRVATSKI DEMOKRATSKI SAVEZ SLAVONIJE I BARANJE - HDSSB, Nositelj liste: BRANIMIR GLAVAŠ, dipl.iur.                                        ;HRVATSKI PRAVAŠI-HRVATSKI PRAVAŠKI POKRET - HP-HPP, Nositelj liste: ERIKA ÈILOG;JEDINO HRVATSKA-POKRET ZA HRVATSKU - JEDINO HRVATSKA, Nositelj liste: IVAN VEKIÆ;LJEVICA HRVATSKE - LJEVICA, SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP, ISTARSKI SOCIJALDEMOKRATSKI FORUM-FORO SOCIAL DEMOCRATICO ISTRIANO - ISDF-FSDI, HRVATSKI SOCIJALDEMOKRATI - HSD, Nositelj liste: VLADIMIR BEBIÆ, dipl. politolog;NEOVISNA LISTA, Nositelj liste: ANTUN LASLO                                 ;NEOVISNA LISTA, Nositelj liste: BORIS MIKŠIÆ                                 ;SLAVONSKO-BARANJSKA HRVATSKA STRANKA - SBHS, Nositelj liste: DAMIR JURIÆ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, Nositelj liste: ZORAN MILANOVIÆ                                 ;ZELENI HRVATSKE - ZELENI HR, Nositelj liste: ZDRAVKO PEKO                                 
;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BELI MANASTIR  ;12;7291;4498;4430;4370;60;29;9;4;7;13;19;4;1536;3;206;37;23;218;239;508;10;8;19;6;85;24;1355;8
BELIŠÆE  ;15;9525;5947;5944;5872;72;5;12;6;24;21;25;4;1356;17;299;83;36;227;421;1493;12;8;13;6;63;44;1669;28
DONJI MIHOLJAC  ;10;8422;5391;5390;5338;52;6;15;13;52;13;16;5;1116;10;427;138;26;386;245;1187;3;3;15;10;30;25;1581;16
ÐAKOVO  ;37;24578;14291;14281;14117;164;12;21;34;39;38;98;12;4090;38;841;330;94;689;629;1867;10;49;13;71;89;55;4934;64
NAŠICE  ;27;13458;9146;9145;9068;77;6;10;14;520;12;23;5;2586;26;551;137;50;391;436;1802;11;16;16;8;34;51;2331;32
ORAHOVICA  ;11;4825;3315;3311;3273;38;2;5;8;20;11;10;3;1286;6;288;206;16;115;97;137;3;11;12;3;6;5;1011;12
OSIJEK  ;111;93103;59282;59140;58557;583;40;87;38;228;238;373;37;13689;141;2866;665;462;7698;3181;10581;39;250;157;39;205;264;17078;201
SLATINA  ;23;12882;7849;7849;7736;113;16;15;33;24;25;33;10;3214;18;270;360;44;259;307;662;7;10;18;8;28;35;2327;13
VALPOVO  ;17;9990;6733;6732;6654;78;5;3;11;38;21;17;4;2244;18;268;123;35;203;373;1316;4;22;13;9;33;44;1826;24
VIROVITICA  ;21;19629;13340;13338;13199;139;6;25;32;28;33;84;13;5361;48;477;1254;75;619;535;227;7;21;31;15;46;16;4184;62
ANTUNOVAC  ;2;3124;2150;2150;2123;27;0;3;4;4;6;5;1;561;3;46;89;9;644;147;207;2;2;6;0;4;7;368;5
BILJE  ;6;3642;2254;2252;2219;33;4;3;5;19;11;13;3;608;2;111;41;16;243;86;401;1;3;4;2;12;16;608;7
BIZOVAC  ;8;4046;2735;2734;2693;41;0;2;5;11;11;14;2;770;11;90;69;14;173;157;742;4;11;0;5;16;19;563;4
CRNAC  ;3;1433;889;889;872;17;1;2;5;35;1;3;0;349;7;20;80;2;26;39;84;1;11;2;1;3;5;195;0
ÈAÈINCI  ;8;2805;1842;1842;1816;26;2;4;5;15;3;4;3;937;12;48;121;11;40;67;98;20;12;3;1;5;2;396;7
ÈAÐAVICA  ;8;2010;1303;1303;1281;22;1;2;12;7;5;4;3;613;4;15;149;3;31;39;133;0;2;1;2;2;5;245;3
ÈEMINAC  ;4;2654;1692;1692;1657;35;3;1;4;9;6;12;1;637;1;67;22;11;269;55;277;2;0;3;1;22;5;245;4
ÈEPIN  ;14;10486;6103;6064;5943;121;4;13;22;36;20;36;2;1497;12;156;273;48;920;303;992;5;19;17;6;21;40;1465;36
DARDA  ;6;4541;2652;2650;2620;30;4;5;6;6;8;16;5;804;2;112;56;12;142;114;391;3;2;2;5;27;16;876;6
DONJA MOTIÈINA  ;4;1474;1014;1014;996;18;0;1;1;39;2;0;1;302;1;28;24;5;53;70;333;0;1;3;2;1;11;118;0
DRAŽ  ;6;2447;1349;1280;1263;17;9;5;14;6;9;14;1;421;1;75;87;5;64;49;156;4;1;10;4;10;6;309;3
DRENJE  ;11;2395;1470;1469;1450;19;1;1;12;12;8;8;2;299;7;80;69;13;121;103;439;3;4;3;8;3;8;242;4
ÐURÐENOVAC  ;16;6245;3775;3775;3716;59;2;6;9;126;13;10;6;1070;11;109;114;46;125;230;876;4;7;4;1;15;34;891;7
ERDUT  ;10;4220;2114;2109;2026;83;2;7;6;9;6;9;2;636;4;94;17;26;173;100;269;1;9;8;22;8;13;597;8
ERNESTINOVO  ;2;1697;1042;1041;1030;11;1;1;1;2;3;13;0;347;4;24;19;9;166;50;147;1;9;1;1;1;3;226;1
