Grad/opæina;Redni broj biraèkog mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: STJEPAN RUŠEC                                       ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, HRVATSKA RADNIÈKA STRANKA - HRS, ZELENA STRANKA - ZS, Nositelj liste: ZLATKO KLARIÆ, prof.;AUTOHTONA-HRVATSKA SELJAÈKA STRANKA - A-HSS, Nositelj liste: JASENKO STIPAC, dipl.ing.                         ;DEMOKRATSKA STRANKA SLAVONSKE RAVNICE - SLAVONSKA RAVNICA, Nositelj liste: SLAVKO VUKŠIÆ;DEMOKRATSKA STRANKA ŽENA - DSŽ, Nositelj liste: MARIJA JELINÈIÆ;DEMOKRATSKI CENTAR - DC, Nositelj liste: VESNA ŠKARE OŽBOLT, dipl.iur.;GOSPODARSKA STRANKA - GS, Nositelj liste: STJEPAN GNJEÈ                                            ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, Nositelj liste: dr.sc. IVO SANADER                                 ;HRVATSKA KRŠÆANSKA DEMOKRATSKA STRANKA - HKDS, Nositelj liste: ŠIMO MARKSER;HRVATSKA NARODNA STRANKA-LIBERALNI DEMOKRATI - HNS, Nositelj liste: RADIMIR ÈAÈIÆ                    ;HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA SOCIJALNO LIBERALNA STRANKA - HSLS, Nositelj liste: ŽELJKO PECEK;HRVATSKA STRANKA MLADIH - HSM, Nositelj liste: MIROSLAV RAJH                                        ;HRVATSKA STRANKA PRAVA - HSP, Nositelj liste: ANTO ÐAPIÆ;HRVATSKA STRANKA UMIROVLJENIKA - HSU, Nositelj liste: mr.sc. VLADIMIR JORDAN                    ;HRVATSKI DEMOKRATSKI SAVEZ SLAVONIJE I BARANJE - HDSSB, Nositelj liste: BRANIMIR GLAVAŠ, dipl.iur.                                        ;HRVATSKI PRAVAŠI-HRVATSKI PRAVAŠKI POKRET - HP-HPP, Nositelj liste: ERIKA ÈILOG;JEDINO HRVATSKA-POKRET ZA HRVATSKU - JEDINO HRVATSKA, Nositelj liste: IVAN VEKIÆ;LJEVICA HRVATSKE - LJEVICA, SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP, ISTARSKI SOCIJALDEMOKRATSKI FORUM-FORO SOCIAL DEMOCRATICO ISTRIANO - ISDF-FSDI, HRVATSKI SOCIJALDEMOKRATI - HSD, Nositelj liste: VLADIMIR BEBIÆ, dipl. politolog;NEOVISNA LISTA, Nositelj liste: ANTUN LASLO                                 ;NEOVISNA LISTA, Nositelj liste: BORIS MIKŠIÆ                                 ;SLAVONSKO-BARANJSKA HRVATSKA STRANKA - SBHS, Nositelj liste: DAMIR JURIÆ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, Nositelj liste: ZORAN MILANOVIÆ                                 ;ZELENI HRVATSKE - ZELENI HR, Nositelj liste: ZDRAVKO PEKO                                 
;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BELI MANASTIR;1;650;346;346;337;9;0;0;0;1;0;2;0;119;0;10;5;1;20;16;55;1;0;2;2;4;2;97;0
BELI MANASTIR;2;725;439;439;437;2;2;1;0;0;0;2;1;151;0;19;4;1;37;16;56;1;0;2;2;10;1;130;1
BELI MANASTIR;3;270;175;175;171;4;1;0;0;1;1;1;0;58;0;7;2;0;13;8;11;0;0;2;0;1;0;64;1
BELI MANASTIR;4;654;385;385;379;6;4;1;0;2;3;1;0;139;0;18;2;3;15;21;57;0;0;1;0;6;3;103;0
BELI MANASTIR;5;867;538;538;523;15;1;2;0;0;1;0;1;162;0;27;3;2;20;36;53;0;1;3;0;16;4;190;1
BELI MANASTIR;6;456;268;268;264;4;0;2;0;0;2;1;0;67;0;19;3;0;8;13;28;0;0;0;1;7;3;110;0
BELI MANASTIR;7;570;353;353;352;1;1;1;0;0;1;3;1;121;2;14;1;4;23;11;24;1;2;2;0;11;2;127;0
BELI MANASTIR;8;716;469;469;461;8;8;1;1;1;2;3;0;194;1;27;2;5;12;12;34;1;0;2;0;6;1;148;0
BELI MANASTIR;9;612;369;369;368;1;2;0;0;0;0;0;0;109;0;15;3;1;11;28;40;5;3;1;0;11;2;136;1
BELI MANASTIR;10;924;621;553;547;6;10;0;1;1;3;4;0;193;0;29;9;3;34;31;93;0;1;2;0;11;3;118;1
BELI MANASTIR;11;412;266;266;262;4;0;0;0;1;0;0;1;99;0;9;1;1;9;28;25;1;1;1;1;2;1;81;0
BELI MANASTIR;12;435;269;269;269;0;0;1;2;0;0;2;0;124;0;12;2;2;16;19;32;0;0;1;0;0;2;51;3
BELIŠÆE;1;928;594;594;582;12;1;3;0;1;2;2;0;112;2;32;11;6;32;53;84;0;1;1;0;6;1;230;2
BELIŠÆE;2;952;588;588;578;10;1;1;0;4;4;4;0;111;0;41;3;3;20;40;124;1;0;1;1;5;6;205;3
BELIŠÆE;3;961;605;603;600;3;0;1;0;2;2;2;1;148;3;36;11;1;26;48;104;1;1;1;1;12;1;192;6
BELIŠÆE;4;1003;637;637;631;6;1;2;0;2;5;3;0;132;0;33;5;6;25;53;152;0;1;1;0;5;2;200;3
BELIŠÆE;5;1011;630;630;621;9;0;0;0;1;2;3;0;138;3;45;10;6;23;43;120;2;1;0;0;5;4;210;5
BELIŠÆE;6;992;555;555;553;2;0;1;0;0;1;0;1;151;2;23;7;4;17;48;103;3;0;2;0;4;6;174;6
BELIŠÆE;7;616;337;336;330;6;0;0;1;0;2;2;0;81;4;29;5;1;15;28;87;2;1;0;0;9;1;62;0
BELIŠÆE;8;720;446;446;440;6;0;0;2;0;0;4;0;88;1;21;8;0;11;32;113;2;0;3;0;13;4;138;0
BELIŠÆE;9;395;262;262;255;7;1;0;1;0;1;1;0;79;1;4;7;1;9;10;95;0;0;1;0;1;2;41;0
BELIŠÆE;10;600;366;366;364;2;0;0;0;5;0;1;2;63;0;6;2;2;14;14;164;0;3;1;1;0;12;71;3
BELIŠÆE;11;137;89;89;89;0;1;1;0;0;1;1;0;17;0;9;2;0;5;2;28;0;0;0;0;0;1;21;0
BELIŠÆE;12;145;109;109;106;3;0;0;0;0;0;1;0;38;0;5;1;0;4;7;23;0;0;1;1;0;2;23;0
BELIŠÆE;13;249;186;186;185;1;0;0;1;4;1;0;0;55;0;9;3;0;3;10;66;0;0;0;0;1;1;31;0
BELIŠÆE;14;596;389;389;387;2;0;3;0;4;0;1;0;121;1;5;8;6;10;19;152;1;0;1;2;1;0;52;0
BELIŠÆE;15;220;154;154;151;3;0;0;1;1;0;0;0;22;0;1;0;0;13;14;78;0;0;0;0;1;1;19;0
