Država;Redni broj biraèkog mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: DOROTEA PAVLETIÆ, dipl.oec.                                        ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, HRVATSKA RADNIÈKA STRANKA - HRS, ZELENA STRANKA - ZS, Nositelj liste: ZLATKO KLARIÆ, prof.;AUTOHTONA-HRVATSKA SELJAÈKA STRANKA - A-HSS, Nositelj liste: JASMINKA PETTER, mag.                         ;DEMOKRATSKA STRANKA ŽENA - DSŽ, ZELENI HRVATSKE - ZELENI HR, Nositelj liste: MARIJA JELINÈIÆ;DEMOKRATSKI CENTAR - DC, Nositelj liste: VESNA ŠKARE OŽBOLT, dipl.iur.;GOSPODARSKA STRANKA - GS, Nositelj liste: STJEPAN GNJEÈ                                            ;HRVATSKA ÈISTA STRANKA PRAVA - HÈSP, Nositelj liste: JOSIP MILJAK                                   ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, Nositelj liste: dr.sc. IVO SANADER                                 ;HRVATSKA NARODNA STRANKA-LIBERALNI DEMOKRATI - HNS, Nositelj liste: RADIMIR ÈAÈIÆ                    ;HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA SOCIJALNO LIBERALNA STRANKA - HSLS, Nositelj liste: ZDRAVKO KELIÆ;HRVATSKA STRANKA MLADIH - HSM, Nositelj liste: JAKOB MATOVINOVIÆ                                        ;HRVATSKA STRANKA PRAVA - HSP, Nositelj liste: ANTO ÐAPIÆ;HRVATSKA STRANKA UMIROVLJENIKA - HSU, Nositelj liste: mr.sc. VLADIMIR JORDAN                    ;HRVATSKI DEMOKRATSKI SAVEZ SLAVONIJE I BARANJE - HDSSB, Nositelj liste: BRANIMIR GLAVAŠ, dipl.iur.                    ;HRVATSKI PRAVAŠI-HRVATSKI PRAVAŠKI POKRET - HP-HPP, Nositelj liste: ANDRIJA RUŽEK;HRVATSKI SOCIJALDEMOKRATI - HSD, LJEVICA HRVATSKE - LJEVICA, SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP, ISTARSKI SOCIJALDEMOKRATSKI FORUM-FORO SOCIAL DEMOCRATICO ISTRIANO - ISDF-FSDI, Nositelj liste: JERKO ZOVAK;JEDINO HRVATSKA-POKRET ZA HRVATSKU - JEDINO HRVATSKA, Nositelj liste: BENJAMIN TOLIÆ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, Nositelj liste: ZORAN MILANOVIÆ;STRANKA UMIROVLJENIKA - SU, Nositelj liste: VENKO BANOVIÆ;;;;;;;;
;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AFGANISTAN;1;;6;6;5;1;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;2;0;;;;;;;;
AFGANISTAN;2;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
ALBANIJA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
ALŽIR;1;;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
ARGENTINA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
ARGENTINA;2;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
AUSTRALIJA;1;;3;3;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;;;;;;;;
AUSTRALIJA;2;;11;11;11;0;0;0;0;0;1;0;0;9;0;0;0;0;0;0;0;0;0;1;0;;;;;;;;
AUSTRALIJA;3;;6;6;6;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;0;0;;;;;;;;
AUSTRALIJA;4;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
AUSTRALIJA;5;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
AUSTRALIJA;6;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
AUSTRALIJA;7;;3;3;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
AUSTRALIJA;8;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
AUSTRALIJA;9;;4;4;4;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;;;;;;;;
AUSTRALIJA;10;;2;2;2;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;;;;;;;;
AUSTRALIJA;11;;3;3;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
AUSTRALIJA;12;;7;7;7;0;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;0;0;1;0;;;;;;;;
AUSTRIJA;1;;18;18;18;0;0;0;0;0;0;0;0;14;1;0;0;1;0;0;0;0;0;2;0;;;;;;;;
AUSTRIJA;2;;37;37;37;0;0;0;0;0;0;0;0;31;0;0;0;1;0;0;0;0;1;4;0;;;;;;;;
AUSTRIJA;3;;36;36;36;0;0;0;0;0;1;0;1;20;2;2;2;2;0;1;0;0;0;3;2;;;;;;;;
AUSTRIJA;4;;27;27;27;0;0;0;1;0;2;0;0;17;0;0;0;3;0;0;0;0;0;4;0;;;;;;;;
AUSTRIJA;5;;18;18;18;0;0;0;2;0;0;0;0;11;1;1;0;1;0;0;0;0;0;2;0;;;;;;;;
AUSTRIJA;6;;16;16;16;0;0;0;0;0;0;0;0;15;0;1;0;0;0;0;0;0;0;0;0;;;;;;;;
AUSTRIJA;7;;62;62;62;0;0;0;0;0;0;0;0;51;2;1;0;3;0;4;0;0;0;1;0;;;;;;;;
AUSTRIJA;8;;22;22;22;0;0;0;0;0;0;0;1;15;0;0;0;4;0;1;0;0;1;0;0;;;;;;;;
BELGIJA;1;;4;4;4;0;0;0;0;1;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;;;;;;;;
BOSNA I HERCEGOVINA;1;;6;6;6;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
BOSNA I HERCEGOVINA;2;;2;2;2;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
BOSNA I HERCEGOVINA;3;;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
BOSNA I HERCEGOVINA;4;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
BOSNA I HERCEGOVINA;5;;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
BOSNA I HERCEGOVINA;6;;4;4;4;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
BOSNA I HERCEGOVINA;7;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
BOSNA I HERCEGOVINA;8;;3;3;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
BOSNA I HERCEGOVINA;9;;5;5;5;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
BOSNA I HERCEGOVINA;10;;4;4;4;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
BOSNA I HERCEGOVINA;11;;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
BOSNA I HERCEGOVINA;12;;6;6;6;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
BOSNA I HERCEGOVINA;13;;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
BOSNA I HERCEGOVINA;14;;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
BOSNA I HERCEGOVINA;15;;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
BOSNA I HERCEGOVINA;16;;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
BOSNA I HERCEGOVINA;17;;19;19;19;0;0;0;1;0;0;0;1;17;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
BOSNA I HERCEGOVINA;18;;9;9;9;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
BOSNA I HERCEGOVINA;19;;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
BOSNA I HERCEGOVINA;20;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
BOSNA I HERCEGOVINA;21;;3;3;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
BOSNA I HERCEGOVINA;22;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
BOSNA I HERCEGOVINA;23;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
BOSNA I HERCEGOVINA;24;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
BOSNA I HERCEGOVINA;25;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
BOSNA I HERCEGOVINA;26;;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
BOSNA I HERCEGOVINA;27;;2;2;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;;;;;;;;
BOSNA I HERCEGOVINA;28;;4;4;4;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
BOSNA I HERCEGOVINA;29;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
BOSNA I HERCEGOVINA;30;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
BOSNA I HERCEGOVINA;31;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
BOSNA I HERCEGOVINA;32;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
BOSNA I HERCEGOVINA;33;;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
BOSNA I HERCEGOVINA;34;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
BOSNA I HERCEGOVINA;35;;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
BOSNA I HERCEGOVINA;36;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
BOSNA I HERCEGOVINA;37;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
BOSNA I HERCEGOVINA;38;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
BOSNA I HERCEGOVINA;39;;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
BOSNA I HERCEGOVINA;40;;5;5;5;0;0;0;0;0;0;0;0;4;0;0;0;1;0;0;0;0;0;0;0;;;;;;;;
BOSNA I HERCEGOVINA;41;;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;;;;;;;
BOSNA I HERCEGOVINA;42;;8;8;8;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
BOSNA I HERCEGOVINA;43;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
BOSNA I HERCEGOVINA;44;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
BOSNA I HERCEGOVINA;45;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
BOSNA I HERCEGOVINA;46;;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
BOSNA I HERCEGOVINA;47;;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
BOSNA I HERCEGOVINA;48;;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
BOSNA I HERCEGOVINA;49;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
BOSNA I HERCEGOVINA;50;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
BOSNA I HERCEGOVINA;51;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
BOSNA I HERCEGOVINA;52;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
BOSNA I HERCEGOVINA;53;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
BOSNA I HERCEGOVINA;54;;4;4;3;1;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;
BOSNA I HERCEGOVINA;55;;3;3;3;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
BOSNA I HERCEGOVINA;56;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
BOSNA I HERCEGOVINA;57;;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
BOSNA I HERCEGOVINA;58;;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;
