Grad/opæina;Broj biraèkih mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: DOROTEA PAVLETIÆ, dipl.oec.                                        ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, HRVATSKA RADNIÈKA STRANKA - HRS, ZELENA STRANKA - ZS, Nositelj liste: ZLATKO KLARIÆ, prof.;AUTOHTONA-HRVATSKA SELJAÈKA STRANKA - A-HSS, Nositelj liste: JASMINKA PETTER, mag.                         ;DEMOKRATSKA STRANKA ŽENA - DSŽ, ZELENI HRVATSKE - ZELENI HR, Nositelj liste: MARIJA JELINÈIÆ;DEMOKRATSKI CENTAR - DC, Nositelj liste: VESNA ŠKARE OŽBOLT, dipl.iur.;GOSPODARSKA STRANKA - GS, Nositelj liste: STJEPAN GNJEÈ                                            ;HRVATSKA ÈISTA STRANKA PRAVA - HÈSP, Nositelj liste: JOSIP MILJAK                                   ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, Nositelj liste: dr.sc. IVO SANADER                                 ;HRVATSKA NARODNA STRANKA-LIBERALNI DEMOKRATI - HNS, Nositelj liste: RADIMIR ÈAÈIÆ                    ;HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA SOCIJALNO LIBERALNA STRANKA - HSLS, Nositelj liste: ZDRAVKO KELIÆ;HRVATSKA STRANKA MLADIH - HSM, Nositelj liste: JAKOB MATOVINOVIÆ                                        ;HRVATSKA STRANKA PRAVA - HSP, Nositelj liste: ANTO ÐAPIÆ;HRVATSKA STRANKA UMIROVLJENIKA - HSU, Nositelj liste: mr.sc. VLADIMIR JORDAN                    ;HRVATSKI DEMOKRATSKI SAVEZ SLAVONIJE I BARANJE - HDSSB, Nositelj liste: BRANIMIR GLAVAŠ, dipl.iur.                    ;HRVATSKI PRAVAŠI-HRVATSKI PRAVAŠKI POKRET - HP-HPP, Nositelj liste: ANDRIJA RUŽEK;HRVATSKI SOCIJALDEMOKRATI - HSD, LJEVICA HRVATSKE - LJEVICA, SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP, ISTARSKI SOCIJALDEMOKRATSKI FORUM-FORO SOCIAL DEMOCRATICO ISTRIANO - ISDF-FSDI, Nositelj liste: JERKO ZOVAK;JEDINO HRVATSKA-POKRET ZA HRVATSKU - JEDINO HRVATSKA, Nositelj liste: BENJAMIN TOLIÆ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, Nositelj liste: ZORAN MILANOVIÆ;STRANKA UMIROVLJENIKA - SU, Nositelj liste: VENKO BANOVIÆ;;;;;;;;
;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ILOK  ;7;5771;3717;3717;3643;74;8;10;12;16;185;3;9;1739;60;201;20;487;90;100;2;11;5;644;41;;;;;;;;
KUTJEVO  ;21;6120;3633;3617;3556;61;10;9;21;14;62;7;7;1165;109;242;15;322;117;451;6;7;34;919;39;;;;;;;;
LIPIK  ;19;5690;3074;3074;2991;83;7;12;20;16;23;6;10;1254;74;242;24;120;155;65;2;7;21;887;46;;;;;;;;
NOVA GRADIŠKA  ;14;13813;7685;7684;7577;107;8;16;35;20;143;4;14;2758;549;630;67;229;250;317;5;17;18;2406;91;;;;;;;;
OTOK (VINKOVCI)  ;6;6045;3416;3413;3339;74;1;6;9;17;38;1;5;1973;58;244;18;70;144;184;3;5;2;539;22;;;;;;;;
PAKRAC  ;23;8155;4249;4240;4171;69;10;15;23;21;37;5;15;1824;159;158;30;139;241;69;4;11;30;1312;68;;;;;;;;
PLETERNICA  ;36;10310;6871;6857;6769;88;16;14;26;21;49;5;10;3232;141;211;44;424;176;500;8;7;53;1778;54;;;;;;;;
POŽEGA  ;48;23741;15292;15290;15117;173;8;45;41;70;148;10;29;4547;495;414;156;360;494;943;11;44;129;6976;197;;;;;;;;
SLAVONSKI BROD  ;49;57270;32245;32142;31738;404;33;53;38;108;458;19;61;11279;2273;575;313;3028;1124;1459;28;93;110;10398;288;;;;;;;;
VINKOVCI  ;33;28828;18043;17990;17702;288;15;37;22;64;486;13;42;8000;687;513;143;536;920;918;8;24;70;4951;253;;;;;;;;
VUKOVAR  ;28;21394;12085;12077;11838;239;10;18;11;46;144;14;24;6053;310;140;64;422;450;308;9;30;11;3646;128;;;;;;;;
ŽUPANJA  ;7;12694;6340;6325;6250;75;7;8;11;17;112;5;11;2707;243;267;46;219;277;400;6;18;14;1821;61;;;;;;;;
ANDRIJAŠEVCI  ;4;3245;1820;1819;1789;30;3;2;2;11;99;0;5;745;87;101;15;75;125;110;0;4;7;376;22;;;;;;;;
BABINA GREDA  ;5;3513;1993;1993;1979;14;1;1;11;5;17;3;4;791;112;166;5;51;55;206;2;5;6;522;16;;;;;;;;
BEBRINA  ;7;2727;1597;1596;1573;23;2;2;28;12;17;3;1;718;42;107;20;106;50;155;2;7;3;279;19;;;;;;;;
BOGDANOVCI  ;3;1318;866;866;846;20;3;3;1;1;7;0;2;421;12;93;3;43;21;61;0;2;1;167;5;;;;;;;;
BOROVO  ;5;1063;601;524;495;29;0;9;2;4;9;0;0;86;34;3;3;4;20;0;1;10;1;295;14;;;;;;;;
BOŠNJACI  ;4;3885;1873;1873;1851;22;2;2;17;5;37;1;1;799;40;381;17;30;89;101;0;2;4;311;12;;;;;;;;
BRESTOVAC  ;17;4173;2323;2320;2294;26;4;11;12;11;22;2;7;1053;69;86;16;49;62;154;2;9;13;696;16;;;;;;;;
BRODSKI STUPNIK  ;5;2833;1641;1641;1616;25;3;4;5;7;17;0;3;641;130;91;16;69;48;183;1;5;2;372;19;;;;;;;;
BUKOVLJE  ;6;2711;1556;1555;1541;14;7;1;2;5;11;2;4;717;65;13;19;125;27;68;2;4;4;447;18;;;;;;;;
CERNA  ;5;3952;2304;2304;2258;46;6;6;12;10;54;3;7;1036;49;222;14;64;96;134;1;3;8;509;24;;;;;;;;
CERNIK  ;10;3600;2221;2221;2168;53;5;5;3;12;60;2;2;815;159;150;13;77;98;175;2;3;2;552;33;;;;;;;;
ÈAGLIN  ;22;2278;1483;1467;1450;17;1;3;14;6;33;1;2;530;56;158;2;40;49;158;1;8;6;358;24;;;;;;;;
DAVOR  ;3;2565;1560;1560;1540;20;4;3;10;11;12;0;4;806;56;206;9;79;46;64;0;4;11;199;16;;;;;;;;
DONJI ANDRIJEVCI  ;6;3550;1923;1923;1898;25;0;4;13;9;12;0;12;739;79;82;13;147;69;206;0;65;3;426;19;;;;;;;;
DRAGALIÆ  ;6;1449;730;730;721;9;1;1;2;2;9;0;2;297;20;57;3;12;29;33;0;2;2;242;7;;;;;;;;
DRENOVCI  ;6;5390;2693;2693;2665;28;12;7;15;9;28;1;7;1280;66;532;11;42;77;120;0;3;7;430;18;;;;;;;;
GARÈIN  ;9;4351;2527;2525;2470;55;9;1;11;13;26;0;2;1200;104;107;20;94;97;260;1;9;6;479;31;;;;;;;;
GORNJA VRBA  ;5;2219;1188;1188;1164;24;1;4;4;1;23;2;1;501;44;26;12;133;52;50;0;3;3;297;7;;;;;;;;
GORNJI BOGIÆEVCI  ;5;2123;990;990;973;17;2;3;1;6;6;1;3;482;26;148;9;25;27;49;2;2;3;171;7;;;;;;;;
GRADIŠTE  ;4;2712;1226;1226;1200;26;4;2;12;5;39;3;4;528;51;81;9;18;43;94;1;7;2;286;11;;;;;;;;
GUNDINCI  ;4;1701;1012;1011;983;28;2;2;4;2;7;0;2;434;22;90;2;86;25;83;0;0;1;213;8;;;;;;;;
GUNJA  ;4;3637;1451;1451;1425;26;4;4;5;10;28;2;7;602;83;93;6;20;86;62;4;3;4;382;20;;;;;;;;
IVANKOVO  ;6;6782;3865;3861;3812;49;3;8;4;6;211;6;8;1928;131;198;24;124;199;221;3;10;9;675;44;;;;;;;;
JAKŠIÆ  ;13;3679;2379;2379;2353;26;5;8;13;6;34;2;8;910;51;120;20;257;51;209;1;5;48;587;18;;;;;;;;
JARMINA  ;3;2024;1190;1190;1167;23;1;2;4;4;41;2;0;621;38;29;15;49;90;45;0;2;0;205;19;;;;;;;;
KAPTOL  ;11;3080;1923;1922;1883;39;2;6;12;4;15;0;4;715;26;185;17;72;93;226;1;8;4;477;16;;;;;;;;
KLAKAR  ;5;1939;1215;1215;1194;21;6;2;6;0;11;2;2;497;55;119;11;169;9;107;1;1;3;180;13;;;;;;;;
LOVAS  ;2;1223;883;883;870;13;2;1;3;2;15;0;6;599;10;20;1;36;49;27;0;1;4;89;5;;;;;;;;
MARKUŠICA  ;6;879;397;397;376;21;2;1;0;2;2;0;0;42;91;2;2;2;16;9;0;5;0;191;9;;;;;;;;
NEGOSLAVCI  ;2;115;36;31;29;2;0;0;0;0;1;0;0;2;5;1;0;1;2;0;0;2;0;15;0;;;;;;;;
NIJEMCI  ;8;4670;2567;2567;2522;45;5;2;15;7;78;1;5;1197;118;163;11;189;109;187;3;3;6;381;42;;;;;;;;
NOVA KAPELA  ;14;4011;2433;2433;2377;56;4;3;16;7;45;2;9;983;84;258;15;136;95;199;4;12;11;457;37;;;;;;;;
NUŠTAR  ;5;4760;3092;3085;3021;64;3;8;12;12;77;4;7;1688;94;152;21;93;114;173;2;1;1;521;38;;;;;;;;
OKUÈANI  ;5;3993;1774;1774;1726;48;5;4;7;6;12;3;4;996;37;90;9;67;33;21;0;5;10;395;22;;;;;;;;
OPRISAVCI  ;9;2307;1322;1322;1301;21;3;2;16;6;11;2;1;531;73;154;10;41;29;124;0;4;4;280;10;;;;;;;;
ORIOVAC  ;11;5421;3164;3164;3111;53;12;5;26;14;31;4;6;1250;125;326;22;141;79;278;5;8;7;730;42;;;;;;;;
PODCRKAVLJE  ;11;2194;1389;1389;1361;28;2;3;14;4;32;3;3;602;68;135;10;73;31;84;0;4;1;276;16;;;;;;;;
PRIVLAKA  ;3;2866;1381;1381;1352;29;1;3;6;3;61;3;6;675;28;84;10;32;36;102;1;1;2;289;9;;;;;;;;
REŠETARI  ;8;4358;2477;2470;2426;44;1;5;13;9;37;2;9;828;271;471;11;70;73;155;0;6;2;431;32;;;;;;;;
SIBINJ  ;12;6382;3679;3662;3587;75;11;11;10;16;74;2;8;1418;145;131;27;422;117;438;1;14;2;697;43;;;;;;;;
SIKIREVCI  ;5;2290;1218;1218;1188;30;0;4;11;3;4;2;5;651;30;54;7;45;30;124;3;0;1;200;14;;;;;;;;
SLAVONSKI ŠAMAC  ;4;2377;1078;1078;1061;17;2;5;12;5;18;1;3;432;46;111;4;39;31;77;2;8;5;248;12;;;;;;;;
STARA GRADIŠKA  ;5;1501;776;776;759;17;6;1;10;0;12;2;3;315;49;89;6;58;19;29;2;0;0;152;6;;;;;;;;
STARI JANKOVCI  ;5;3862;2065;2063;2013;50;3;6;11;4;37;0;7;1048;50;156;11;71;146;114;3;6;3;311;26;;;;;;;;
STARI MIKANOVCI  ;4;2699;1616;1615;1598;17;2;4;15;4;10;1;5;571;263;108;5;85;116;113;0;5;2;269;20;;;;;;;;
STARO PETROVO SELO  ;13;5126;3008;3008;2943;65;5;18;36;10;42;5;9;1263;202;359;15;149;84;152;1;3;7;548;35;;;;;;;;
ŠTITAR  ;2;2215;993;993;987;6;0;1;5;6;39;2;2;385;42;187;7;52;29;71;0;0;0;150;9;;;;;;;;
TOMPOJEVCI  ;5;1300;929;929;915;14;0;0;6;3;33;0;1;529;29;40;2;73;19;30;3;0;0;140;7;;;;;;;;
TORDINCI  ;4;1654;1090;1090;1076;14;2;1;10;2;29;1;3;618;19;56;1;51;41;106;0;1;3;123;9;;;;;;;;
TOVARNIK  ;4;2602;1691;1691;1635;56;4;4;9;5;72;1;0;983;24;146;11;73;32;76;2;2;4;173;14;;;;;;;;
TRPINJA  ;7;1155;619;616;565;51;2;4;0;1;3;2;0;122;57;6;3;3;15;12;3;2;2;322;6;;;;;;;;
VELIKA  ;17;5131;3221;3218;3168;50;4;14;15;12;31;4;11;1239;71;206;36;124;108;225;3;12;16;1018;19;;;;;;;;
VELIKA KOPANICA  ;9;3333;1707;1707;1672;35;2;3;14;13;15;1;9;701;45;83;17;105;46;179;2;1;5;406;25;;;;;;;;
VOÐINCI  ;2;1612;901;901;883;18;2;4;3;3;10;1;1;439;53;50;8;33;37;53;0;1;2;175;8;;;;;;;;
VRBANJA  ;6;4165;1944;1925;1901;24;5;2;13;9;18;4;6;853;36;251;17;100;79;103;4;6;3;371;21;;;;;;;;
VRBJE  ;7;2316;1265;1265;1244;21;1;3;21;5;12;2;4;560;27;263;3;38;20;82;0;4;4;180;15;;;;;;;;
VRPOLJE  ;4;3316;1957;1957;1935;22;6;3;12;7;17;2;2;1060;31;63;9;45;34;243;2;6;17;362;14;;;;;;;;
UKUPNO;673;372163;213472;213077;209601;3476;323;474;835;787;3648;187;476;89003;9088;11696;1575;10863;7840;12634;166;583;784;56310;2329;;;;;;;;
