Grad/opæina;Redni broj biraèkog mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: DOROTEA PAVLETIÆ, dipl.oec.                                        ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, HRVATSKA RADNIÈKA STRANKA - HRS, ZELENA STRANKA - ZS, Nositelj liste: ZLATKO KLARIÆ, prof.;AUTOHTONA-HRVATSKA SELJAÈKA STRANKA - A-HSS, Nositelj liste: JASMINKA PETTER, mag.                         ;DEMOKRATSKA STRANKA ŽENA - DSŽ, ZELENI HRVATSKE - ZELENI HR, Nositelj liste: MARIJA JELINÈIÆ;DEMOKRATSKI CENTAR - DC, Nositelj liste: VESNA ŠKARE OŽBOLT, dipl.iur.;GOSPODARSKA STRANKA - GS, Nositelj liste: STJEPAN GNJEÈ                                            ;HRVATSKA ÈISTA STRANKA PRAVA - HÈSP, Nositelj liste: JOSIP MILJAK                                   ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, Nositelj liste: dr.sc. IVO SANADER                                 ;HRVATSKA NARODNA STRANKA-LIBERALNI DEMOKRATI - HNS, Nositelj liste: RADIMIR ÈAÈIÆ                    ;HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA SOCIJALNO LIBERALNA STRANKA - HSLS, Nositelj liste: ZDRAVKO KELIÆ;HRVATSKA STRANKA MLADIH - HSM, Nositelj liste: JAKOB MATOVINOVIÆ                                        ;HRVATSKA STRANKA PRAVA - HSP, Nositelj liste: ANTO ÐAPIÆ;HRVATSKA STRANKA UMIROVLJENIKA - HSU, Nositelj liste: mr.sc. VLADIMIR JORDAN                    ;HRVATSKI DEMOKRATSKI SAVEZ SLAVONIJE I BARANJE - HDSSB, Nositelj liste: BRANIMIR GLAVAŠ, dipl.iur.                    ;HRVATSKI PRAVAŠI-HRVATSKI PRAVAŠKI POKRET - HP-HPP, Nositelj liste: ANDRIJA RUŽEK;HRVATSKI SOCIJALDEMOKRATI - HSD, LJEVICA HRVATSKE - LJEVICA, SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP, ISTARSKI SOCIJALDEMOKRATSKI FORUM-FORO SOCIAL DEMOCRATICO ISTRIANO - ISDF-FSDI, Nositelj liste: JERKO ZOVAK;JEDINO HRVATSKA-POKRET ZA HRVATSKU - JEDINO HRVATSKA, Nositelj liste: BENJAMIN TOLIÆ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, Nositelj liste: ZORAN MILANOVIÆ;STRANKA UMIROVLJENIKA - SU, Nositelj liste: VENKO BANOVIÆ;;;;;;;;
;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ILOK;1;1262;815;815;803;12;1;2;0;6;51;2;4;302;18;52;3;96;34;30;1;3;2;180;16;;;;;;;;
ILOK;2;1112;723;723;713;10;2;1;2;1;39;1;2;367;7;38;5;81;20;18;0;0;2;120;7;;;;;;;;
ILOK;3;1099;700;700;691;9;2;1;6;3;55;0;1;344;10;31;4;52;14;15;0;3;0;140;10;;;;;;;;
ILOK;4;510;350;350;342;8;0;4;2;1;29;0;0;119;6;21;2;19;7;3;0;2;1;122;4;;;;;;;;
ILOK;5;1008;616;616;602;14;1;1;1;2;8;0;1;345;12;55;5;94;11;22;1;1;0;42;0;;;;;;;;
ILOK;6;582;393;393;379;14;1;1;1;3;3;0;1;188;5;4;1;123;3;11;0;0;0;30;4;;;;;;;;
ILOK;7;198;120;120;113;7;1;0;0;0;0;0;0;74;2;0;0;22;1;1;0;2;0;10;0;;;;;;;;
KUTJEVO;1;654;399;399;391;8;2;0;1;1;8;2;2;95;12;23;0;47;27;36;0;5;3;119;8;;;;;;;;
KUTJEVO;2;499;340;340;335;5;0;0;0;0;5;0;1;99;7;10;5;28;28;28;0;0;1;119;4;;;;;;;;
KUTJEVO;3;536;282;282;275;7;0;1;0;0;4;0;0;132;10;14;1;24;8;25;0;1;5;49;1;;;;;;;;
KUTJEVO;4;588;330;326;322;4;0;0;1;1;5;0;0;108;6;26;1;34;6;33;0;0;2;95;4;;;;;;;;
KUTJEVO;5;385;259;259;255;4;0;0;0;2;3;1;0;79;6;11;2;47;7;46;0;0;9;38;4;;;;;;;;
KUTJEVO;6;84;71;71;71;0;0;0;0;0;3;0;0;21;5;7;0;1;2;2;0;0;0;29;1;;;;;;;;
KUTJEVO;7;201;89;79;79;0;0;0;1;0;1;1;0;34;8;2;1;1;0;4;0;0;0;26;0;;;;;;;;
KUTJEVO;8;110;78;77;76;1;1;0;1;0;1;1;1;29;7;10;0;2;1;3;0;0;0;16;3;;;;;;;;
KUTJEVO;9;416;274;274;269;5;0;0;4;1;1;0;2;111;0;13;0;42;7;39;1;0;0;47;1;;;;;;;;
KUTJEVO;10;165;85;85;85;0;0;0;1;1;1;0;0;16;4;3;0;2;5;8;1;0;0;43;0;;;;;;;;
KUTJEVO;11;157;114;114;110;4;0;0;1;0;4;0;0;34;1;6;1;5;4;22;0;0;0;29;3;;;;;;;;
KUTJEVO;12;391;182;182;177;5;3;1;0;3;6;1;0;66;10;6;1;18;3;14;0;0;1;43;1;;;;;;;;
KUTJEVO;13;146;109;108;106;2;0;0;0;0;3;0;0;27;3;25;1;2;3;16;0;0;0;25;1;;;;;;;;
KUTJEVO;14;113;79;79;77;2;0;0;2;1;1;0;0;22;1;8;0;16;3;7;1;0;0;15;0;;;;;;;;
KUTJEVO;15;117;86;86;84;2;0;2;0;0;2;0;0;11;2;3;0;4;2;32;1;0;0;24;1;;;;;;;;
KUTJEVO;16;178;68;68;67;1;3;0;4;2;0;1;0;10;20;15;0;3;2;2;0;0;0;3;2;;;;;;;;
KUTJEVO;17;137;81;81;80;1;0;1;0;0;1;0;0;28;0;14;0;14;1;13;0;0;3;5;0;;;;;;;;
KUTJEVO;18;161;82;82;80;2;0;1;0;0;1;0;0;32;2;11;0;1;1;9;0;0;0;21;1;;;;;;;;
KUTJEVO;19;102;71;71;69;2;0;2;3;1;0;0;0;22;0;13;0;4;0;5;0;0;0;18;1;;;;;;;;
KUTJEVO;20;436;243;243;243;0;0;1;0;0;4;0;0;104;2;6;0;17;2;57;0;1;7;42;0;;;;;;;;
KUTJEVO;21;544;311;311;305;6;1;0;2;1;8;0;1;85;3;16;2;10;5;50;2;0;3;113;3;;;;;;;;
LIPIK;1;471;310;310;305;5;1;0;0;1;1;1;1;118;14;21;1;15;23;8;0;1;1;96;2;;;;;;;;
LIPIK;2;527;294;294;291;3;0;0;1;0;0;0;1;124;10;13;4;7;17;6;0;1;2;102;3;;;;;;;;
LIPIK;3;351;98;98;94;4;0;0;2;0;1;1;2;24;4;4;0;2;3;2;0;0;1;46;2;;;;;;;;
LIPIK;4;406;265;265;261;4;0;1;1;0;3;0;0;88;5;36;4;11;20;4;0;0;0;82;6;;;;;;;;
LIPIK;5;427;224;224;222;2;1;2;1;1;2;1;1;126;0;16;0;8;14;3;0;0;1;37;8;;;;;;;;
LIPIK;6;104;59;59;58;1;0;0;0;0;2;0;0;12;4;0;0;2;2;1;0;1;3;31;0;;;;;;;;
LIPIK;7;367;138;138;128;10;1;1;2;1;1;0;0;60;1;7;0;8;4;3;0;0;3;33;3;;;;;;;;
LIPIK;8;480;219;219;215;4;1;1;1;0;0;1;2;65;8;17;2;11;10;6;0;0;0;86;4;;;;;;;;
LIPIK;9;498;244;244;240;4;0;0;0;1;5;0;0;99;11;14;4;6;11;4;0;1;1;82;1;;;;;;;;
LIPIK;10;112;67;67;62;5;0;0;0;1;1;0;1;23;1;3;1;4;7;1;0;1;0;17;1;;;;;;;;
LIPIK;11;181;81;81;80;1;1;0;1;0;1;0;1;33;0;1;1;9;3;2;0;1;2;23;1;;;;;;;;
LIPIK;12;259;195;195;190;5;2;0;2;5;0;0;0;95;4;19;1;3;6;4;0;1;0;47;1;;;;;;;;
LIPIK;13;212;133;133;132;1;0;0;1;0;2;0;0;59;1;13;0;4;8;7;0;0;0;36;1;;;;;;;;
LIPIK;14;107;71;71;68;3;0;1;1;2;0;0;0;50;0;3;0;3;1;1;0;0;0;4;2;;;;;;;;
LIPIK;15;353;210;210;203;7;0;1;3;0;2;1;1;89;4;26;3;6;9;4;0;0;1;50;3;;;;;;;;
LIPIK;16;243;160;160;158;2;0;2;2;1;0;0;0;82;1;23;3;9;4;4;1;0;4;20;2;;;;;;;;
LIPIK;17;460;280;280;260;20;0;3;2;3;2;1;0;103;6;15;0;12;11;5;1;0;2;90;4;;;;;;;;
LIPIK;18;21;17;17;17;0;0;0;0;0;0;0;0;2;0;11;0;0;0;0;0;0;0;2;2;;;;;;;;
LIPIK;19;111;9;9;7;2;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0;0;0;3;0;;;;;;;;
NOVA GRADIŠKA;1;1067;618;618;612;6;0;0;2;2;7;1;2;198;58;51;6;19;20;23;0;1;1;215;6;;;;;;;;
NOVA GRADIŠKA;2;1090;614;614;602;12;0;0;4;0;18;1;2;212;46;28;4;12;23;18;0;3;1;223;7;;;;;;;;
NOVA GRADIŠKA;3;1060;553;553;541;12;0;0;3;1;12;0;1;232;23;35;13;19;23;16;0;0;5;153;5;;;;;;;;
NOVA GRADIŠKA;4;955;482;482;476;6;0;1;3;3;14;1;0;186;21;53;3;22;13;17;0;1;2;124;12;;;;;;;;
NOVA GRADIŠKA;5;1138;559;559;553;6;2;2;1;0;10;0;1;272;26;38;5;19;16;39;1;0;1;110;10;;;;;;;;
NOVA GRADIŠKA;6;1173;653;653;647;6;1;3;1;3;9;0;1;176;61;61;5;22;19;18;0;2;2;255;8;;;;;;;;
NOVA GRADIŠKA;7;840;445;445;438;7;0;1;2;3;7;0;1;148;23;37;4;21;12;14;0;1;0;160;4;;;;;;;;
NOVA GRADIŠKA;8;1229;754;753;741;12;0;2;2;1;14;0;1;228;70;45;7;19;23;20;0;4;2;293;10;;;;;;;;
NOVA GRADIŠKA;9;747;443;443;432;11;2;3;0;0;12;0;2;138;37;26;4;16;19;17;1;2;0;152;1;;;;;;;;
NOVA GRADIŠKA;10;1091;652;652;644;8;0;0;2;0;14;0;0;185;73;69;6;10;16;44;1;0;0;219;5;;;;;;;;
NOVA GRADIŠKA;11;1149;662;662;657;5;0;2;6;3;13;0;0;225;50;31;4;14;27;41;1;0;2;230;8;;;;;;;;
NOVA GRADIŠKA;12;660;339;339;335;4;1;0;3;2;2;0;0;128;20;52;0;8;10;12;0;1;1;91;4;;;;;;;;
NOVA GRADIŠKA;13;895;491;491;483;8;2;2;6;0;6;0;2;272;11;60;2;14;13;14;1;2;0;73;3;;;;;;;;
NOVA GRADIŠKA;14;719;420;420;416;4;0;0;0;2;5;1;1;158;30;44;4;14;16;24;0;0;1;108;8;;;;;;;;
OTOK (VINKOVCI);1;1074;634;632;625;7;1;3;5;2;1;0;1;342;15;56;3;12;24;22;0;1;1;132;4;;;;;;;;
OTOK (VINKOVCI);2;1134;660;660;643;17;0;3;0;5;5;0;0;388;11;40;3;11;22;44;0;1;0;104;6;;;;;;;;
OTOK (VINKOVCI);3;1301;720;720;705;15;0;0;1;5;10;0;3;428;9;38;4;22;27;33;0;2;1;119;3;;;;;;;;
OTOK (VINKOVCI);4;1054;603;602;598;4;0;0;1;4;13;0;0;346;2;49;1;10;23;44;1;0;0;98;6;;;;;;;;
OTOK (VINKOVCI);5;804;449;449;428;21;0;0;0;1;3;1;0;272;14;28;5;6;17;28;2;0;0;50;1;;;;;;;;
OTOK (VINKOVCI);6;678;350;350;340;10;0;0;2;0;6;0;1;197;7;33;2;9;31;13;0;1;0;36;2;;;;;;;;
PAKRAC;1;703;360;360;352;8;1;2;2;1;3;1;2;206;5;16;5;4;17;10;1;1;5;64;6;;;;;;;;
PAKRAC;2;150;82;82;79;3;0;0;0;0;1;0;0;45;4;2;0;6;6;2;0;0;0;11;2;;;;;;;;
PAKRAC;3;206;45;45;44;1;0;0;0;0;0;1;0;0;10;0;0;1;5;2;0;0;1;24;0;;;;;;;;
PAKRAC;4;89;64;64;63;1;0;0;0;0;0;1;0;37;0;5;0;5;5;0;0;0;1;9;0;;;;;;;;
PAKRAC;5;23;15;15;15;0;0;0;0;0;0;0;0;8;1;0;0;1;0;0;0;0;0;4;1;;;;;;;;
PAKRAC;6;956;604;604;597;7;0;0;2;2;4;0;1;290;19;28;4;16;25;13;0;0;4;183;6;;;;;;;;
PAKRAC;7;90;41;41;39;2;0;0;3;0;1;0;0;11;0;1;0;4;1;0;0;1;0;17;0;;;;;;;;
PAKRAC;8;203;151;151;150;1;1;0;4;1;2;0;0;91;2;16;0;3;6;2;0;0;0;19;3;;;;;;;;
PAKRAC;9;80;40;40;40;0;0;0;1;0;0;0;0;27;0;2;1;0;2;1;0;0;0;6;0;;;;;;;;
PAKRAC;10;38;22;22;22;0;0;0;0;0;0;0;0;8;0;7;0;0;4;0;0;0;0;1;2;;;;;;;;
PAKRAC;11;240;112;112;110;2;0;0;1;0;0;0;1;79;1;4;3;0;3;0;1;1;1;15;0;;;;;;;;
PAKRAC;12;100;38;38;38;0;0;0;0;0;0;0;1;10;3;3;0;0;5;2;0;0;0;14;0;;;;;;;;
PAKRAC;13;23;15;15;14;1;0;0;1;0;0;0;0;2;0;1;1;0;0;0;0;0;0;9;0;;;;;;;;
PAKRAC;14;769;341;341;337;4;2;1;2;3;8;0;0;146;10;7;3;7;9;6;0;0;4;122;7;;;;;;;;
PAKRAC;15;886;545;545;540;5;0;2;2;5;1;0;1;234;25;14;3;17;32;7;0;2;8;176;11;;;;;;;;
PAKRAC;16;572;343;343;341;2;0;2;3;2;1;0;0;139;19;11;0;13;27;5;0;0;1;112;6;;;;;;;;
PAKRAC;17;897;494;494;486;8;0;3;0;1;9;1;3;176;27;6;5;15;38;9;0;2;3;180;8;;;;;;;;
PAKRAC;18;738;423;423;416;7;1;0;0;4;2;0;1;167;10;20;2;19;37;4;1;1;1;140;6;;;;;;;;
PAKRAC;19;341;163;163;160;3;0;0;1;0;1;0;3;63;7;4;1;12;13;2;0;0;1;47;5;;;;;;;;
PAKRAC;20;336;169;161;154;7;0;2;0;1;2;0;0;58;13;7;1;10;5;2;0;3;0;47;3;;;;;;;;
PAKRAC;21;30;18;18;17;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;15;0;;;;;;;;
PAKRAC;22;287;57;57;53;4;4;1;0;1;2;1;2;3;0;1;0;2;1;0;0;0;0;34;1;;;;;;;;
PAKRAC;23;398;107;106;104;2;1;2;1;0;0;0;0;23;3;3;1;4;0;2;0;0;0;63;1;;;;;;;;
PLETERNICA;1;539;373;373;369;4;0;0;1;0;3;0;0;165;11;10;0;13;9;29;1;2;3;122;0;;;;;;;;
