Grad/opæina;Broj biraèkih mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: JOSO ŠIKIÆ                                        ;AKCIJA MLADIH - AM, Nositelj liste: HRVOJE RUNJIÆ                                                    ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, HRVATSKA RADNIÈKA STRANKA - HRS, ZELENA STRANKA - ZS, Nositelj liste: ZLATKO KLARIÆ, prof.;AUTOHTONA-HRVATSKA SELJAÈKA STRANKA - A-HSS, Nositelj liste: JASENKO STIPAC, dipl.ing.                         ;DEMOKRATSKA STRANKA ŽENA - DSŽ, ZELENI HRVATSKE - ZELENI HR, Nositelj liste: MARIJA JELINÈIÆ;DEMOKRATSKI CENTAR - DC, ZELENA STRANKA-ZELENA ALTERNATIVA - ZELENI, Nositelj liste: VESNA ŠKARE OŽBOLT, dipl.iur.;HRVATSKA ÈISTA STRANKA PRAVA - HÈSP, Nositelj liste: JOSIP MILJAK                                   ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, Nositelj liste: dr.sc. IVO SANADER                                 ;HRVATSKA EUROPSKA STRANKA - HES, Nositelj liste: NAJA ŠEBALJ          ;HRVATSKA NARODNA STRANKA-LIBERALNI DEMOKRATI - HNS, Nositelj liste: dr.sc. RADIMIR ÈAÈIÆ                    ;HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA SOCIJALNO LIBERALNA STRANKA - HSLS, Nositelj liste: MARIJANA PETIR;HRVATSKA STRANKA MLADIH - HSM, Nositelj liste: DALIBOR MARKUŠIÆ                                        ;HRVATSKA STRANKA PRAVA - HSP, Nositelj liste: ANTO ÐAPIÆ;HRVATSKA STRANKA UMIROVLJENIKA - HSU, DEMOKRATSKA STRANKA UMIROVLJENIKA - DSU, Nositelj liste: mr.sc. VLADIMIR JORDAN                    ;HRVATSKI PRAVAŠI-HRVATSKI PRAVAŠKI POKRET - HP-HPP, Nositelj liste: MIROSLAV JURIÆ;HRVATSKI ZBOR - ZBOR, Nositelj liste: GRGO-TOMISLAV ANTIÈIÆ;JEDINO HRVATSKA-POKRET ZA HRVATSKU - JEDINO HRVATSKA, Nositelj liste: LJUBO ÆESIÆ;LJEVICA HRVATSKE - LJEVICA, SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP, ISTARSKI SOCIJALDEMOKRATSKI FORUM-FORO SOCIAL DEMOCRATICO ISTRIANO - ISDF-FSDI, HRVATSKI SOCIJALDEMOKRATI - HSD, Nositelj liste: IVAN NINIÆ;NEOVISNA LISTA, Nositelj liste: VESNA BALENOVIÆ                                 ;NEOVISNA LISTA, Nositelj liste: ZDRAVKO DUŽIÆ                                 ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, Nositelj liste: ZORAN MILANOVIÆ;STRANKA UMIROVLJENIKA - SU, Nositelj liste: MIROSLAV SLAVIÆ;ZELENA LISTA, Nositelj liste: NENAD HORVATOVIÆ                                                          ;;;;
;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLINA  ;20;6982;3967;3967;3901;66;13;7;5;21;10;40;5;2102;10;109;398;11;114;78;9;2;85;9;7;1;837;26;2;;;;
HRVATSKA KOSTAJNICA  ;8;2581;1593;1593;1560;33;5;3;6;4;6;5;6;788;2;129;90;7;26;46;18;1;7;6;3;1;388;10;3;;;;
IVANIÆ-GRAD  ;21;12614;8181;8181;8069;112;5;21;19;45;39;65;24;2262;8;736;756;69;192;365;7;4;108;25;37;6;3156;79;41;;;;
KUTINA  ;39;20236;12553;12502;12336;166;11;34;28;37;36;106;12;3408;11;453;2640;63;429;465;12;7;204;39;39;5;4118;144;35;;;;
NOVSKA  ;20;12006;7123;7101;7014;87;15;18;13;21;21;71;24;3184;12;225;637;33;651;340;3;7;84;10;14;9;1482;113;27;;;;
PETRINJA  ;34;22608;12715;12669;12466;203;26;30;24;25;36;110;27;5047;20;1695;890;63;566;487;10;9;333;31;21;8;2847;135;26;;;;
SISAK  ;70;43639;27966;27957;27472;485;76;70;81;74;87;291;48;9412;28;1138;2169;133;1398;1328;43;11;493;105;95;68;9928;299;97;;;;
VELIKA GORICA  ;68;56160;35834;35771;35337;434;41;123;135;121;155;705;59;12760;41;1788;2369;303;792;1496;16;23;599;95;135;19;12907;451;204;;;;
ZAGREB-JUGOISTOK  ;97;109571;71868;71668;70721;947;59;226;337;120;356;682;156;20113;49;4165;2420;530;1801;3824;76;38;1082;317;463;70;32324;1007;506;;;;
DONJI KUKURUZARI  ;5;1516;955;955;928;27;1;1;2;3;1;3;2;539;7;172;18;1;26;7;0;0;21;4;1;1;112;4;2;;;;
DVOR  ;12;4852;1642;1641;1576;65;16;4;6;3;3;14;12;569;1;92;72;10;57;37;3;2;19;15;5;4;620;10;2;;;;
GVOZD  ;7;1799;1223;1223;1191;32;5;4;2;2;2;3;10;390;3;27;17;3;43;37;1;0;12;7;4;6;603;9;1;;;;
HRVATSKA DUBICA  ;6;2122;1149;1149;1130;19;0;3;1;2;4;6;1;662;6;61;97;1;62;28;0;1;23;0;4;0;162;4;2;;;;
JASENOVAC  ;10;2080;1355;1355;1333;22;3;4;2;2;5;5;5;760;5;30;143;7;80;48;2;1;13;4;1;2;197;12;2;;;;
KLOŠTAR IVANIÆ  ;13;5256;3147;3146;3086;60;2;10;11;32;12;21;8;1045;5;145;304;17;148;132;2;5;78;10;10;3;1039;36;11;;;;
KRAVARSKO  ;10;1627;1103;1100;1079;21;0;3;4;9;7;15;7;563;2;34;120;10;28;33;2;0;21;4;4;0;202;9;2;;;;
KRIŽ  ;19;6200;4116;4116;4052;64;7;9;12;19;11;41;5;1032;6;245;607;27;97;174;2;1;141;13;6;5;1528;41;23;;;;
LEKENIK  ;15;5257;3166;3166;3103;63;9;9;7;23;9;21;10;1059;10;95;647;26;91;100;5;9;58;7;6;5;856;32;9;;;;
LIPOVLJANI  ;6;2873;1725;1725;1696;29;2;5;4;5;2;15;11;599;3;32;217;2;95;116;0;1;37;4;3;1;516;19;7;;;;
MAJUR  ;7;1103;738;738;719;19;0;3;0;1;6;5;2;425;2;29;33;5;32;34;7;0;19;7;3;3;93;8;2;;;;
MARTINSKA VES  ;17;3113;2243;2243;2189;54;3;12;5;24;8;11;7;849;9;112;531;10;88;57;3;0;41;12;1;1;383;18;4;;;;
ORLE  ;6;1766;1078;1078;1054;24;0;8;2;9;7;18;2;287;0;38;122;6;29;48;3;1;16;2;1;1;431;17;6;;;;
POKUPSKO  ;14;2028;1377;1377;1345;32;6;5;14;17;11;15;3;750;4;38;143;14;19;32;1;1;23;5;4;0;223;15;2;;;;
