Grad/opæina;Redni broj biraèkog mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: JOSO ŠIKIÆ                                        ;AKCIJA MLADIH - AM, Nositelj liste: HRVOJE RUNJIÆ                                                    ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, HRVATSKA RADNIÈKA STRANKA - HRS, ZELENA STRANKA - ZS, Nositelj liste: ZLATKO KLARIÆ, prof.;AUTOHTONA-HRVATSKA SELJAÈKA STRANKA - A-HSS, Nositelj liste: JASENKO STIPAC, dipl.ing.                         ;DEMOKRATSKA STRANKA ŽENA - DSŽ, ZELENI HRVATSKE - ZELENI HR, Nositelj liste: MARIJA JELINÈIÆ;DEMOKRATSKI CENTAR - DC, ZELENA STRANKA-ZELENA ALTERNATIVA - ZELENI, Nositelj liste: VESNA ŠKARE OŽBOLT, dipl.iur.;HRVATSKA ÈISTA STRANKA PRAVA - HÈSP, Nositelj liste: JOSIP MILJAK                                   ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, Nositelj liste: dr.sc. IVO SANADER                                 ;HRVATSKA EUROPSKA STRANKA - HES, Nositelj liste: NAJA ŠEBALJ          ;HRVATSKA NARODNA STRANKA-LIBERALNI DEMOKRATI - HNS, Nositelj liste: dr.sc. RADIMIR ÈAÈIÆ                    ;HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA SOCIJALNO LIBERALNA STRANKA - HSLS, Nositelj liste: MARIJANA PETIR;HRVATSKA STRANKA MLADIH - HSM, Nositelj liste: DALIBOR MARKUŠIÆ                                        ;HRVATSKA STRANKA PRAVA - HSP, Nositelj liste: ANTO ÐAPIÆ;HRVATSKA STRANKA UMIROVLJENIKA - HSU, DEMOKRATSKA STRANKA UMIROVLJENIKA - DSU, Nositelj liste: mr.sc. VLADIMIR JORDAN                    ;HRVATSKI PRAVAŠI-HRVATSKI PRAVAŠKI POKRET - HP-HPP, Nositelj liste: MIROSLAV JURIÆ;HRVATSKI ZBOR - ZBOR, Nositelj liste: GRGO-TOMISLAV ANTIÈIÆ;JEDINO HRVATSKA-POKRET ZA HRVATSKU - JEDINO HRVATSKA, Nositelj liste: LJUBO ÆESIÆ;LJEVICA HRVATSKE - LJEVICA, SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP, ISTARSKI SOCIJALDEMOKRATSKI FORUM-FORO SOCIAL DEMOCRATICO ISTRIANO - ISDF-FSDI, HRVATSKI SOCIJALDEMOKRATI - HSD, Nositelj liste: IVAN NINIÆ;NEOVISNA LISTA, Nositelj liste: VESNA BALENOVIÆ                                 ;NEOVISNA LISTA, Nositelj liste: ZDRAVKO DUŽIÆ                                 ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, Nositelj liste: ZORAN MILANOVIÆ;STRANKA UMIROVLJENIKA - SU, Nositelj liste: MIROSLAV SLAVIÆ;ZELENA LISTA, Nositelj liste: NENAD HORVATOVIÆ                                                          ;;;;
;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GLINA;1;474;306;306;301;5;3;1;0;1;1;6;1;117;0;7;33;0;11;10;0;0;2;2;1;0;103;2;0;;;;
GLINA;2;397;195;195;191;4;0;1;0;0;0;3;2;113;0;7;6;0;6;2;0;1;2;0;0;0;46;2;0;;;;
GLINA;3;734;454;454;447;7;2;0;1;1;1;4;0;259;0;6;41;2;16;5;4;0;19;0;3;0;80;3;0;;;;
GLINA;4;357;237;237;232;5;0;2;0;1;2;1;0;92;0;9;18;1;6;13;0;0;5;2;0;0;79;1;0;;;;
GLINA;5;272;150;150;149;1;0;0;0;0;1;4;0;52;0;8;6;2;12;3;1;0;1;0;1;0;57;1;0;;;;
GLINA;6;187;72;72;70;2;0;0;0;0;0;0;0;23;0;2;5;0;2;1;0;0;0;0;0;0;36;1;0;;;;
GLINA;7;425;256;256;249;7;0;0;0;0;0;1;0;120;1;8;19;0;13;8;2;1;2;0;0;0;70;4;0;;;;
GLINA;8;529;356;356;353;3;2;1;0;2;1;1;0;167;1;10;34;0;10;11;0;0;3;3;0;1;105;1;0;;;;
GLINA;9;378;232;232;230;2;0;0;1;0;0;0;0;137;1;2;45;0;11;1;1;0;6;0;0;0;25;0;0;;;;
GLINA;10;140;102;102;102;0;0;0;1;0;0;0;0;81;0;1;11;1;1;0;0;0;3;0;0;0;3;0;0;;;;
GLINA;11;363;238;238;235;3;0;0;0;1;1;1;0;166;1;0;19;1;6;5;0;0;17;2;1;0;9;4;1;;;;
GLINA;12;783;401;401;392;9;1;1;0;4;0;1;1;270;0;4;63;0;11;5;0;0;11;0;0;0;20;0;0;;;;
GLINA;13;165;63;63;62;1;0;0;0;2;0;2;0;53;1;0;2;0;0;0;0;0;0;0;0;0;2;0;0;;;;
GLINA;14;116;79;79;78;1;0;0;1;3;0;3;0;47;0;2;9;0;0;0;1;0;4;0;0;0;8;0;0;;;;
GLINA;15;858;352;352;345;7;0;0;0;2;1;5;0;238;4;5;45;0;2;2;0;0;5;0;0;0;34;2;0;;;;
GLINA;16;76;67;67;67;0;0;0;0;0;0;3;0;4;0;7;0;0;0;2;0;0;0;0;0;0;51;0;0;;;;
GLINA;17;532;259;259;255;4;1;1;0;3;2;3;0;153;0;9;34;2;6;7;0;0;5;0;1;0;25;3;0;;;;
GLINA;18;51;40;40;39;1;2;0;0;0;0;0;0;1;0;11;1;0;0;0;0;0;0;0;0;0;24;0;0;;;;
GLINA;19;36;28;28;28;0;1;0;0;1;0;0;0;1;1;7;1;0;0;1;0;0;0;0;0;0;15;0;0;;;;
GLINA;20;109;80;80;76;4;1;0;1;0;0;2;1;8;0;4;6;2;1;2;0;0;0;0;0;0;45;2;1;;;;
HRVATSKA KOSTAJNICA;1;553;388;388;381;7;2;2;0;1;3;3;0;159;0;12;28;1;11;12;4;0;1;0;1;0;132;6;3;;;;
HRVATSKA KOSTAJNICA;2;661;407;407;403;4;1;1;0;0;1;1;3;198;0;22;31;3;11;21;7;0;1;4;1;0;97;0;0;;;;
HRVATSKA KOSTAJNICA;3;754;434;434;421;13;2;0;2;2;1;1;2;243;0;43;19;2;3;6;5;0;5;1;0;0;83;1;0;;;;
HRVATSKA KOSTAJNICA;4;80;59;59;56;3;0;0;0;0;0;0;0;2;0;28;1;0;0;0;0;0;0;0;0;0;24;1;0;;;;
HRVATSKA KOSTAJNICA;5;113;56;56;55;1;0;0;0;0;0;0;0;31;2;11;0;0;0;2;0;1;0;0;0;0;8;0;0;;;;
HRVATSKA KOSTAJNICA;6;197;103;103;98;5;0;0;1;0;0;0;1;55;0;10;0;0;0;0;2;0;0;1;0;0;26;2;0;;;;
