Država;Redni broj biraèkog mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: mr.sc. DRAGUTIN PRIBANIÆ                                       ;AKCIJA MLADIH - AM, Nositelj liste: GORAN FRKOVIÆ, dipl.iur.                                                    ;AUTOHTONA-HRVATSKA SELJAÈKA STRANKA - A-HSS, Nositelj liste: JASENKO STIPAC, dipl.ing.                         ;DEMOKRATSKA STRANKA ŽENA - DSŽ, ZELENI HRVATSKE - ZELENI HR, Nositelj liste: MARIJA JELINÈIÆ;DEMOKRATSKI CENTAR - DC, Nositelj liste: VESNA ŠKARE OŽBOLT, dipl.iur.;DOMOVINSKA GRAÐANSKA STRANKA - DGS, Nositelj liste: NENAD DUBRAVEC;GOSPODARSKA STRANKA - GS, Nositelj liste: STJEPAN GNJEÈ                                            ;HRVATSKA ÈISTA STRANKA PRAVA - HÈSP, Nositelj liste: JOSIP MILJAK                                   ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, Nositelj liste: dr.sc. IVO SANADER                                 ;HRVATSKA EUROPSKA STRANKA - HES, Nositelj liste: NAJA ŠEBALJ          ;HRVATSKA NARODNA STRANKA-LIBERALNI DEMOKRATI - HNS, Nositelj liste: RADIMIR ÈAÈIÆ                   ;HRVATSKA RADNIÈKA STRANKA - HRS, AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, ZELENA STRANKA - ZS, Nositelj liste: ZLATKO KLARIÆ, prof.;HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA SOCIJALNO LIBERALNA STRANKA - HSLS, PRIMORSKO GORANSKI SAVEZ - PGS, Nositelj liste: BOŽIDAR PANKRETIÆ;HRVATSKA STRANKA MLADIH - HSM, Nositelj liste: ROBERT OSTRUN                                        ;HRVATSKA STRANKA PRAVA - HSP, Nositelj liste: ANTO ÐAPIÆ;HRVATSKA STRANKA UMIROVLJENIKA - HSU, Nositelj liste: mr.sc. VLADIMIR JORDAN                    ;HRVATSKI PRAVAŠI-HRVATSKI PRAVAŠKI POKRET - HP-HPP, Nositelj liste: MLADEN ŠEPIÆ;JEDINO HRVATSKA-POKRET ZA HRVATSKU - JEDINO HRVATSKA, Nositelj liste: KRUNOSLAV GAŠPARIÆ;LJEVICA HRVATSKE - LJEVICA, SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP, ISTARSKI SOCIJALDEMOKRATSKI FORUM-FORO SOCIAL DEMOCRATICO ISTRIANO - ISDF-FSDI, HRVATSKI SOCIJALDEMOKRATI - HSD, Nositelj liste: VLADIMIR BEBIÆ, dipl. politolog;NEOVISNA LISTA, Nositelj liste: HRVOJE HITREC                                 ;NEOVISNA LISTA, Nositelj liste: IVAN LONÈAR, dipl.ing.                                 ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, Nositelj liste: ZORAN MILANOVIÆ;STRANKA UMIROVLJENIKA - SU, Nositelj liste: VENKO BANOVIÆ;ZELENA LISTA, Nositelj liste: DRAGUTIN RIBARIÆ.                                                          ;;;
;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AFGANISTAN;1;;8;8;7;1;0;0;0;1;0;0;0;0;2;0;1;0;1;0;1;0;0;0;0;0;0;1;0;0;;;
AFGANISTAN;2;;9;9;9;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;;;
ALBANIJA;1;;2;2;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;;
ALŽIR;1;;3;3;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;;;
ARGENTINA;1;;4;4;4;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;;
ARGENTINA;2;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
AUSTRALIJA;1;;3;3;3;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;
AUSTRALIJA;2;;5;5;5;0;0;0;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
AUSTRALIJA;3;;6;6;6;0;0;1;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
AUSTRALIJA;4;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
AUSTRALIJA;5;;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
AUSTRALIJA;6;;3;3;2;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
AUSTRALIJA;7;;2;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
AUSTRALIJA;8;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
AUSTRALIJA;9;;14;14;14;0;0;0;0;0;1;0;0;0;12;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;;
AUSTRALIJA;10;;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
AUSTRALIJA;11;;4;4;4;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
AUSTRALIJA;12;;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
AUSTRIJA;1;;5;5;5;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;;;
AUSTRIJA;2;;11;11;11;0;0;0;0;0;0;0;0;0;7;0;0;0;1;0;0;0;0;0;0;0;0;3;0;0;;;
