Grad/opæina;Broj biraèkih mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: mr.sc. DRAGUTIN PRIBANIÆ                                       ;AKCIJA MLADIH - AM, Nositelj liste: GORAN FRKOVIÆ, dipl.iur.                                                    ;AUTOHTONA-HRVATSKA SELJAÈKA STRANKA - A-HSS, Nositelj liste: JASENKO STIPAC, dipl.ing.                         ;DEMOKRATSKA STRANKA ŽENA - DSŽ, ZELENI HRVATSKE - ZELENI HR, Nositelj liste: MARIJA JELINÈIÆ;DEMOKRATSKI CENTAR - DC, Nositelj liste: VESNA ŠKARE OŽBOLT, dipl.iur.;DOMOVINSKA GRAÐANSKA STRANKA - DGS, Nositelj liste: NENAD DUBRAVEC;GOSPODARSKA STRANKA - GS, Nositelj liste: STJEPAN GNJEÈ                                            ;HRVATSKA ÈISTA STRANKA PRAVA - HÈSP, Nositelj liste: JOSIP MILJAK                                   ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, Nositelj liste: dr.sc. IVO SANADER                                 ;HRVATSKA EUROPSKA STRANKA - HES, Nositelj liste: NAJA ŠEBALJ          ;HRVATSKA NARODNA STRANKA-LIBERALNI DEMOKRATI - HNS, Nositelj liste: RADIMIR ÈAÈIÆ                   ;HRVATSKA RADNIÈKA STRANKA - HRS, AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, ZELENA STRANKA - ZS, Nositelj liste: ZLATKO KLARIÆ, prof.;HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA SOCIJALNO LIBERALNA STRANKA - HSLS, PRIMORSKO GORANSKI SAVEZ - PGS, Nositelj liste: BOŽIDAR PANKRETIÆ;HRVATSKA STRANKA MLADIH - HSM, Nositelj liste: ROBERT OSTRUN                                        ;HRVATSKA STRANKA PRAVA - HSP, Nositelj liste: ANTO ÐAPIÆ;HRVATSKA STRANKA UMIROVLJENIKA - HSU, Nositelj liste: mr.sc. VLADIMIR JORDAN                    ;HRVATSKI PRAVAŠI-HRVATSKI PRAVAŠKI POKRET - HP-HPP, Nositelj liste: MLADEN ŠEPIÆ;JEDINO HRVATSKA-POKRET ZA HRVATSKU - JEDINO HRVATSKA, Nositelj liste: KRUNOSLAV GAŠPARIÆ;LJEVICA HRVATSKE - LJEVICA, SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP, ISTARSKI SOCIJALDEMOKRATSKI FORUM-FORO SOCIAL DEMOCRATICO ISTRIANO - ISDF-FSDI, HRVATSKI SOCIJALDEMOKRATI - HSD, Nositelj liste: VLADIMIR BEBIÆ, dipl. politolog;NEOVISNA LISTA, Nositelj liste: HRVOJE HITREC                                 ;NEOVISNA LISTA, Nositelj liste: IVAN LONÈAR, dipl.ing.                                 ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, Nositelj liste: ZORAN MILANOVIÆ;STRANKA UMIROVLJENIKA - SU, Nositelj liste: VENKO BANOVIÆ;ZELENA LISTA, Nositelj liste: DRAGUTIN RIBARIÆ.                                                          ;;;
;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAKAR  ;8;6951;4544;4520;4435;85;6;37;8;21;32;7;7;14;1383;5;273;19;221;39;98;241;6;6;39;5;21;1850;71;26;;;
ÈABAR  ;5;4201;2482;2479;2431;48;1;17;8;11;12;4;6;8;805;5;82;5;220;21;68;109;2;5;11;3;3;982;36;7;;;
DELNICE  ;7;5335;3489;3487;3433;54;8;21;4;13;15;3;5;26;883;7;105;8;477;32;77;168;10;7;12;6;13;1465;48;20;;;
DUGA RESA  ;24;10523;7280;7278;7124;154;12;26;17;47;70;8;7;19;2596;11;447;21;751;60;262;354;16;82;19;11;73;2063;112;40;;;
JASTREBARSKO  ;49;14514;10084;10082;9891;191;14;27;46;39;625;7;20;24;3285;10;323;17;1444;62;260;395;26;33;28;13;65;2970;104;54;;;
KARLOVAC  ;92;51315;34403;34355;33812;543;65;102;63;120;223;26;45;127;13439;27;1806;103;1587;186;1303;1570;46;257;143;53;229;11778;363;151;;;
KASTAV  ;6;8341;5376;5375;5290;85;3;36;6;19;60;6;3;16;1384;4;342;11;252;51;89;237;6;10;70;11;16;2540;88;30;;;
NOVI VINODOLSKI  ;15;5355;3391;3391;3353;38;4;11;3;11;15;1;0;6;1341;5;114;8;124;4;72;105;1;4;24;2;12;1438;37;11;;;
OGULIN  ;23;10983;7742;7722;7577;145;19;26;10;34;37;7;8;28;3522;6;217;7;330;43;269;361;6;48;33;14;85;2355;81;31;;;
OZALJ  ;27;7061;4035;4034;3961;73;8;18;12;18;39;8;8;21;1229;15;292;22;331;26;197;104;7;22;8;8;26;1474;45;23;;;
SAMOBOR  ;80;32672;21293;21286;20926;360;29;84;104;131;445;14;23;48;5810;25;1566;87;1912;220;511;1155;27;69;81;95;113;7967;274;136;;;
SLUNJ  ;12;5175;2880;2879;2808;71;7;17;8;19;16;5;8;10;1559;9;89;6;261;16;93;75;7;18;4;8;12;516;32;13;;;
SVETA NEDELJA  ;17;14915;9654;9653;9516;137;11;46;43;57;83;6;12;22;2990;10;529;43;804;106;264;659;12;48;24;37;55;3473;108;74;;;
VRBOVSKO  ;12;4452;3113;3113;3061;52;11;6;11;8;19;8;2;6;1007;4;124;9;145;13;79;220;17;4;27;2;8;1285;43;3;;;
ZAGREB-JUŽNI DIO  ;113;139744;91584;91166;90049;1117;75;304;135;569;856;42;85;199;29403;74;5825;422;4027;766;2523;4012;108;745;290;293;422;37180;1027;667;;;
BARILOVIÆ  ;12;2646;1836;1836;1811;25;2;3;3;4;12;5;7;6;936;5;204;4;172;7;91;40;3;11;4;5;9;262;15;1;;;
BOSILJEVO  ;4;1407;808;807;781;26;3;1;2;1;9;3;4;3;411;3;44;2;68;5;56;16;2;2;0;1;0;134;6;5;;;
BROD MORAVICE  ;1;853;586;586;576;10;3;1;1;3;0;0;0;0;279;0;9;1;32;4;26;37;0;0;1;1;0;167;8;3;;;
