Grad/opæina;Redni broj biraèkog mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: mr.sc. DRAGUTIN PRIBANIÆ                                       ;AKCIJA MLADIH - AM, Nositelj liste: GORAN FRKOVIÆ, dipl.iur.                                                    ;AUTOHTONA-HRVATSKA SELJAÈKA STRANKA - A-HSS, Nositelj liste: JASENKO STIPAC, dipl.ing.                         ;DEMOKRATSKA STRANKA ŽENA - DSŽ, ZELENI HRVATSKE - ZELENI HR, Nositelj liste: MARIJA JELINÈIÆ;DEMOKRATSKI CENTAR - DC, Nositelj liste: VESNA ŠKARE OŽBOLT, dipl.iur.;DOMOVINSKA GRAÐANSKA STRANKA - DGS, Nositelj liste: NENAD DUBRAVEC;GOSPODARSKA STRANKA - GS, Nositelj liste: STJEPAN GNJEÈ                                            ;HRVATSKA ÈISTA STRANKA PRAVA - HÈSP, Nositelj liste: JOSIP MILJAK                                   ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, Nositelj liste: dr.sc. IVO SANADER                                 ;HRVATSKA EUROPSKA STRANKA - HES, Nositelj liste: NAJA ŠEBALJ          ;HRVATSKA NARODNA STRANKA-LIBERALNI DEMOKRATI - HNS, Nositelj liste: RADIMIR ÈAÈIÆ                   ;HRVATSKA RADNIÈKA STRANKA - HRS, AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, ZELENA STRANKA - ZS, Nositelj liste: ZLATKO KLARIÆ, prof.;HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA SOCIJALNO LIBERALNA STRANKA - HSLS, PRIMORSKO GORANSKI SAVEZ - PGS, Nositelj liste: BOŽIDAR PANKRETIÆ;HRVATSKA STRANKA MLADIH - HSM, Nositelj liste: ROBERT OSTRUN                                        ;HRVATSKA STRANKA PRAVA - HSP, Nositelj liste: ANTO ÐAPIÆ;HRVATSKA STRANKA UMIROVLJENIKA - HSU, Nositelj liste: mr.sc. VLADIMIR JORDAN                    ;HRVATSKI PRAVAŠI-HRVATSKI PRAVAŠKI POKRET - HP-HPP, Nositelj liste: MLADEN ŠEPIÆ;JEDINO HRVATSKA-POKRET ZA HRVATSKU - JEDINO HRVATSKA, Nositelj liste: KRUNOSLAV GAŠPARIÆ;LJEVICA HRVATSKE - LJEVICA, SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP, ISTARSKI SOCIJALDEMOKRATSKI FORUM-FORO SOCIAL DEMOCRATICO ISTRIANO - ISDF-FSDI, HRVATSKI SOCIJALDEMOKRATI - HSD, Nositelj liste: VLADIMIR BEBIÆ, dipl. politolog;NEOVISNA LISTA, Nositelj liste: HRVOJE HITREC                                 ;NEOVISNA LISTA, Nositelj liste: IVAN LONÈAR, dipl.ing.                                 ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, Nositelj liste: ZORAN MILANOVIÆ;STRANKA UMIROVLJENIKA - SU, Nositelj liste: VENKO BANOVIÆ;ZELENA LISTA, Nositelj liste: DRAGUTIN RIBARIÆ.                                                          ;;;
;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAKAR;1;1330;764;764;744;20;1;5;3;2;4;0;0;1;242;0;61;3;50;6;18;44;0;2;5;1;2;273;17;4;;;
BAKAR;2;1147;739;739;728;11;1;8;1;7;7;1;0;3;199;1;58;1;38;9;21;53;0;0;10;1;5;292;9;3;;;
BAKAR;3;1019;670;670;657;13;2;6;0;2;4;4;2;2;213;2;38;3;21;4;18;31;2;0;5;2;4;277;13;2;;;
BAKAR;4;862;599;599;590;9;0;5;1;3;3;0;1;1;158;1;24;3;22;5;10;35;0;2;7;0;4;291;8;6;;;
BAKAR;5;1243;834;810;787;23;0;4;1;2;5;0;1;1;252;0;51;2;27;7;10;39;3;1;5;0;3;355;11;7;;;
BAKAR;6;581;387;387;382;5;2;2;2;0;2;1;1;1;146;0;17;1;21;3;4;12;1;0;2;0;0;158;6;0;;;
BAKAR;7;257;190;190;188;2;0;0;0;0;1;1;0;2;72;0;7;1;15;1;4;10;0;0;1;1;1;64;4;3;;;
BAKAR;8;512;361;361;359;2;0;7;0;5;6;0;2;3;101;1;17;5;27;4;13;17;0;1;4;0;2;140;3;1;;;
ÈABAR;1;805;490;490;480;10;0;4;2;2;3;0;0;1;169;0;15;0;35;4;15;24;0;0;1;0;1;199;5;0;;;
ÈABAR;2;847;497;494;482;12;0;7;1;2;2;1;2;0;144;2;11;1;38;9;19;17;0;0;0;1;0;214;9;2;;;
ÈABAR;3;974;592;592;577;15;0;1;2;3;3;2;3;1;179;1;22;3;67;6;17;21;1;3;2;1;1;231;6;1;;;
ÈABAR;4;1207;707;707;699;8;1;5;3;3;3;1;1;6;238;2;27;1;51;2;16;43;1;2;6;1;1;268;13;4;;;
ÈABAR;5;368;196;196;193;3;0;0;0;1;1;0;0;0;75;0;7;0;29;0;1;4;0;0;2;0;0;70;3;0;;;
DELNICE;1;382;285;285;277;8;1;4;0;2;0;1;1;0;76;0;5;0;19;1;17;11;0;2;2;2;0;124;7;2;;;
DELNICE;2;302;160;158;154;4;1;0;1;0;1;0;0;0;38;3;2;0;17;0;2;10;1;1;1;0;2;70;3;1;;;
DELNICE;3;1243;844;844;832;12;2;5;1;1;3;0;0;7;227;1;28;2;161;6;22;35;4;1;1;0;2;312;9;2;;;
DELNICE;4;1372;904;904;887;17;2;5;0;4;7;1;2;3;235;1;36;2;101;10;14;39;4;1;3;3;2;398;10;4;;;
DELNICE;5;1362;899;899;889;10;0;7;0;5;4;0;1;15;205;1;28;1;129;10;17;43;0;1;1;1;4;398;14;4;;;
DELNICE;6;482;287;287;284;3;1;0;2;1;0;1;1;1;69;1;5;3;32;3;4;25;0;0;1;0;2;122;4;6;;;
DELNICE;7;192;110;110;110;0;1;0;0;0;0;0;0;0;33;0;1;0;18;2;1;5;1;1;3;0;1;41;1;1;;;
DUGA RESA;1;966;662;662;653;9;1;3;1;4;4;1;0;1;227;1;56;4;52;5;15;33;1;7;2;2;6;211;15;1;;;
