Grad/opæina;Broj biraèkih mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: MIRKO MAKAUS                                        ;AKCIJA MLADIH - AM, Nositelj liste: MARIO ALEMPIJEVIÆ, dipl.oec.                                                    ;ALIJANSA ZA PRAVNU DRŽAVU - ALIJANSA, Nositelj liste: RADOVAN SMOKVINA, dipl.ing.;AUTOHTONA-HRVATSKA SELJAÈKA STRANKA - A-HSS, Nositelj liste: JASENKO STIPAC, dipl.ing.                         ;DEMOKRATSKA STRANKA ŽENA - DSŽ, ZELENI HRVATSKE - ZELENI HR, Nositelj liste: MARIJA JELINÈIÆ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, Nositelj liste: dr.sc. IVO SANADER                                 ;HRVATSKA KRŠÆANSKA DEMOKRATSKA UNIJA - HKDU, Nositelj liste: IVAN LESINGER;HRVATSKA NARODNA STRANKA-LIBERALNI DEMOKRATI - HNS, Nositelj liste: RADIMIR ÈAÈIÆ                    ;HRVATSKA STRANKA MLADIH - HSM, Nositelj liste: NENAD PETROVIÆ                                       ;HRVATSKA STRANKA NEZAPOSLENIH - HSN, Nositelj liste: ANTO ANUŠIÆ                                 ;HRVATSKA STRANKA PRAVA - HSP, Nositelj liste: ANTO ÐAPIÆ;HRVATSKA STRANKA UMIROVLJENIKA - HSU, Nositelj liste: SILVANO HRELJA                    ;HRVATSKI DEMOKRŠÆANI - DEMOKRŠÆANI, Nositelj liste: SREÆKO BUTORAC, dr.med.                    ;HRVATSKI PRAVAŠI-HRVATSKI PRAVAŠKI POKRET - HP-HPP, Nositelj liste: ANDRIJA ŠKRIBULJA, prof.;HRVATSKI ZBOR - ZBOR, Nositelj liste: GRGO-TOMISLAV ANTIÈIÆ                                        ;ISTARSKA SOCIJALDEMOKRATSKA NEZAVISNA STRANKA - ISDNS, STRANKA UMIROVLJENIKA - SU, Nositelj liste: mr.sc. IVAN JANKO;ISTARSKI DEMOKRATSKI SABOR - IDS, Nositelj liste: DAMIR KAJIN                    ;JEDINO HRVATSKA-POKRET ZA HRVATSKU - JEDINO HRVATSKA, Nositelj liste: VLADIMIR BRKLJAÈA;LJEVICA HRVATSKE - LJEVICA, ISTARSKI SOCIJALDEMOKRATSKI FORUM-FORO SOCIAL DEMOCRATICO ISTRIANO - ISDF-FSDI, SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP, HRVATSKI SOCIJALDEMOKRATI - HSD, Nositelj liste: VLADIMIR BEBIÆ, dipl. politolog;PRIMORSKO GORANSKI SAVEZ - PGS, HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA SOCIJALNO LIBERALNA STRANKA - HSLS, Nositelj liste: NIKOLA IVANIŠ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, Nositelj liste: ZORAN MILANOVIÆ;ZELENA ALTERNATIVA-STRANKA POTROŠAÈA - ZA-SPOT, Nositelj liste: PETAR CIGANOVIÆ                                 ;ZELENA STRANKA - ZS, AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, HRVATSKA RADNIÈKA STRANKA - HRS, JADRANSKA SOCIJALDEMOKRATSKA STRANKA HRVATSKE - JADRANSKI SOCIJALDEMOKRATI, Nositelj liste: ALJOŠA BABIÆ                                 ;ZELENA STRANKA-ZELENA ALTERNATIVA - ZELENI, DEMOKRATSKI CENTAR - DC, Nositelj liste: mr.sc. JOSIP-ANTON RUPNIK;;;
;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BUJE  ;8;4065;2484;2484;2448;36;8;6;4;4;15;465;8;88;11;6;28;150;4;2;3;21;556;7;32;26;954;9;8;33;;;
BUZET  ;16;5217;3674;3674;3593;81;12;19;3;1;14;262;8;315;13;11;20;133;10;1;3;31;1609;6;15;53;1022;12;6;14;;;
CRES  ;8;2728;1688;1688;1663;25;4;10;2;7;7;367;9;188;12;7;28;125;4;2;2;3;64;10;14;153;635;1;2;7;;;
CRIKVENICA  ;9;12008;6136;6134;6072;62;7;32;9;12;31;1720;15;514;34;21;164;291;8;12;5;15;41;10;59;201;2811;7;9;44;;;
KRALJEVICA  ;5;4070;2558;2558;2514;44;2;17;0;5;16;720;4;163;11;4;93;145;5;0;1;7;35;8;34;98;1124;4;5;13;;;
KRK  ;9;5814;3358;3358;3323;35;3;22;2;11;23;758;25;318;31;12;104;152;6;6;3;6;42;5;24;397;1346;8;8;11;;;
LABIN  ;16;11271;6762;6761;6652;109;3;13;4;8;28;637;10;276;23;14;50;482;3;2;3;71;1852;13;56;130;2914;11;19;30;;;
MALI LOŠINJ  ;13;7840;4536;4536;4494;42;1;28;4;13;22;1413;39;267;34;24;114;245;12;2;3;18;158;10;58;210;1790;3;9;17;;;
NOVIGRAD  ;3;3614;2024;2024;2005;19;1;1;1;4;8;433;4;54;11;2;20;113;1;2;1;10;600;2;11;28;668;4;6;20;;;
OPATIJA  ;14;11530;7203;7202;7119;83;4;122;5;4;27;1336;63;374;32;11;74;385;16;6;3;40;885;16;62;154;3448;10;14;28;;;
PAZIN  ;15;7707;4968;4965;4862;103;7;23;3;9;22;784;23;173;29;16;82;320;16;0;3;47;1633;8;24;48;1529;7;16;40;;;
POREÈ  ;14;15201;8618;8598;8498;100;4;24;3;12;31;1643;21;325;43;11;100;360;31;3;1;56;2887;21;51;55;2755;7;12;42;;;
PULA  ;39;50017;32000;31881;31447;434;22;112;9;29;125;4913;46;1758;153;76;273;2380;54;14;6;334;8225;41;433;238;11791;27;80;308;;;
RAB  ;8;7330;4895;4891;4806;85;5;26;4;22;23;1553;18;270;37;21;233;185;7;1;4;12;19;5;56;241;2025;10;12;17;;;
RIJEKA  ;96;119714;73831;73764;72883;881;63;683;48;90;322;19253;221;3954;403;151;1634;4205;100;65;47;249;1363;204;908;2790;35288;248;223;371;;;
ROVINJ  ;12;12337;7253;7253;7186;67;6;23;1;3;24;1049;19;359;41;10;79;223;6;8;2;43;2545;8;43;59;2586;6;15;28;;;
UMAG  ;11;11406;6497;6497;6394;103;7;31;5;9;34;1141;12;356;46;10;78;519;11;1;1;72;1421;30;46;53;2464;6;13;28;;;
VODNJAN  ;4;4529;2690;2690;2645;45;6;7;4;2;8;425;7;89;14;7;34;184;7;1;4;34;866;7;31;11;860;3;10;24;;;
BALE  ;1;829;571;571;557;14;1;3;1;0;6;99;2;18;4;2;3;24;1;0;0;11;189;0;5;5;176;2;0;5;;;
BARBAN  ;7;2413;1821;1821;1792;29;3;7;4;4;10;223;2;39;3;2;6;98;0;1;4;26;669;2;9;8;654;6;0;12;;;
BAŠKA  ;4;1799;1025;1025;1003;22;5;3;1;6;4;180;3;57;6;6;71;120;2;1;2;12;7;3;7;83;418;1;1;4;;;
BRTONIGLA  ;4;1191;730;730;713;17;3;2;1;2;4;145;0;19;8;4;8;15;2;0;0;8;222;4;8;10;242;3;2;1;;;
