Grad/opæina;Redni broj biraèkog mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: MIRKO MAKAUS                                        ;AKCIJA MLADIH - AM, Nositelj liste: MARIO ALEMPIJEVIÆ, dipl.oec.                                                    ;ALIJANSA ZA PRAVNU DRŽAVU - ALIJANSA, Nositelj liste: RADOVAN SMOKVINA, dipl.ing.;AUTOHTONA-HRVATSKA SELJAÈKA STRANKA - A-HSS, Nositelj liste: JASENKO STIPAC, dipl.ing.                         ;DEMOKRATSKA STRANKA ŽENA - DSŽ, ZELENI HRVATSKE - ZELENI HR, Nositelj liste: MARIJA JELINÈIÆ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, Nositelj liste: dr.sc. IVO SANADER                                 ;HRVATSKA KRŠÆANSKA DEMOKRATSKA UNIJA - HKDU, Nositelj liste: IVAN LESINGER;HRVATSKA NARODNA STRANKA-LIBERALNI DEMOKRATI - HNS, Nositelj liste: RADIMIR ÈAÈIÆ                    ;HRVATSKA STRANKA MLADIH - HSM, Nositelj liste: NENAD PETROVIÆ                                       ;HRVATSKA STRANKA NEZAPOSLENIH - HSN, Nositelj liste: ANTO ANUŠIÆ                                 ;HRVATSKA STRANKA PRAVA - HSP, Nositelj liste: ANTO ÐAPIÆ;HRVATSKA STRANKA UMIROVLJENIKA - HSU, Nositelj liste: SILVANO HRELJA                    ;HRVATSKI DEMOKRŠÆANI - DEMOKRŠÆANI, Nositelj liste: SREÆKO BUTORAC, dr.med.                    ;HRVATSKI PRAVAŠI-HRVATSKI PRAVAŠKI POKRET - HP-HPP, Nositelj liste: ANDRIJA ŠKRIBULJA, prof.;HRVATSKI ZBOR - ZBOR, Nositelj liste: GRGO-TOMISLAV ANTIÈIÆ                                        ;ISTARSKA SOCIJALDEMOKRATSKA NEZAVISNA STRANKA - ISDNS, STRANKA UMIROVLJENIKA - SU, Nositelj liste: mr.sc. IVAN JANKO;ISTARSKI DEMOKRATSKI SABOR - IDS, Nositelj liste: DAMIR KAJIN                    ;JEDINO HRVATSKA-POKRET ZA HRVATSKU - JEDINO HRVATSKA, Nositelj liste: VLADIMIR BRKLJAÈA;LJEVICA HRVATSKE - LJEVICA, ISTARSKI SOCIJALDEMOKRATSKI FORUM-FORO SOCIAL DEMOCRATICO ISTRIANO - ISDF-FSDI, SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP, HRVATSKI SOCIJALDEMOKRATI - HSD, Nositelj liste: VLADIMIR BEBIÆ, dipl. politolog;PRIMORSKO GORANSKI SAVEZ - PGS, HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA SOCIJALNO LIBERALNA STRANKA - HSLS, Nositelj liste: NIKOLA IVANIŠ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, Nositelj liste: ZORAN MILANOVIÆ;ZELENA ALTERNATIVA-STRANKA POTROŠAÈA - ZA-SPOT, Nositelj liste: PETAR CIGANOVIÆ                                 ;ZELENA STRANKA - ZS, AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, HRVATSKA RADNIÈKA STRANKA - HRS, JADRANSKA SOCIJALDEMOKRATSKA STRANKA HRVATSKE - JADRANSKI SOCIJALDEMOKRATI, Nositelj liste: ALJOŠA BABIÆ                                 ;ZELENA STRANKA-ZELENA ALTERNATIVA - ZELENI, DEMOKRATSKI CENTAR - DC, Nositelj liste: mr.sc. JOSIP-ANTON RUPNIK;;;
;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BUJE;1;960;641;641;630;11;2;2;1;1;2;87;2;25;2;3;5;46;1;0;0;6;113;4;6;8;299;1;2;12;;;
BUJE;2;1351;849;849;840;9;0;3;0;2;3;207;4;34;3;2;16;55;1;0;0;6;141;1;9;10;326;3;4;10;;;
BUJE;3;780;403;403;401;2;2;1;2;1;5;79;0;17;2;1;3;12;0;1;1;4;109;1;4;1;146;2;2;5;;;
BUJE;4;161;114;114;109;5;1;0;1;0;0;9;0;1;1;0;0;3;1;0;0;1;47;0;3;1;37;2;0;1;;;
BUJE;5;225;116;116;113;3;1;0;0;0;3;25;0;3;0;0;1;12;0;0;0;1;31;0;1;3;32;0;0;0;;;
BUJE;6;120;85;85;84;1;0;0;0;0;0;4;1;1;0;0;1;4;0;0;1;1;32;0;0;0;37;0;0;2;;;
BUJE;7;306;174;174;170;4;2;0;0;0;1;41;0;4;3;0;2;11;0;1;1;0;49;1;7;1;43;1;0;2;;;
BUJE;8;162;102;102;101;1;0;0;0;0;1;13;1;3;0;0;0;7;1;0;0;2;34;0;2;2;34;0;0;1;;;
BUZET;1;1023;755;755;741;14;0;4;0;1;3;70;1;57;2;1;3;38;7;1;1;6;253;2;3;17;262;2;0;7;;;
BUZET;2;560;413;413;406;7;1;1;0;0;0;30;0;34;3;0;1;14;0;0;0;2;159;0;1;9;149;0;0;2;;;
BUZET;3;394;244;244;240;4;2;1;0;0;0;23;0;12;0;0;4;9;0;0;0;3;91;1;0;5;88;1;0;0;;;
BUZET;4;293;209;209;208;1;1;0;0;0;1;13;1;11;0;1;1;3;1;0;0;2;112;0;2;4;54;1;0;0;;;
BUZET;5;355;248;248;236;12;0;0;0;0;0;8;0;14;1;1;0;1;0;0;0;3;125;0;0;5;74;1;2;1;;;
BUZET;6;106;89;89;86;3;1;1;0;0;0;16;0;8;0;0;0;1;1;0;1;1;32;0;0;3;20;1;0;0;;;
BUZET;7;309;223;223;216;7;0;2;1;0;0;10;2;6;0;1;0;3;0;0;0;2;131;0;3;1;52;1;0;1;;;
BUZET;8;286;192;192;189;3;0;0;0;0;1;9;0;28;1;1;1;5;0;0;0;2;91;0;0;1;47;1;1;0;;;
BUZET;9;136;84;84;82;2;1;0;0;0;0;6;0;4;0;0;0;6;0;0;0;1;48;1;1;0;14;0;0;0;;;
BUZET;10;158;126;126;121;5;0;3;0;0;1;13;0;6;2;0;1;15;0;0;0;0;56;0;1;0;22;1;0;0;;;
BUZET;11;445;305;305;300;5;0;2;0;0;4;23;3;16;1;0;5;22;0;0;0;2;129;1;0;1;86;2;0;3;;;
BUZET;12;237;168;168;166;2;2;0;0;0;2;8;0;8;0;1;2;0;0;0;1;1;100;1;0;1;36;1;2;0;;;
BUZET;13;464;345;345;336;9;1;2;2;0;2;20;1;55;1;1;1;8;0;0;0;0;173;0;4;4;60;0;1;0;;;
BUZET;14;180;113;113;108;5;0;1;0;0;0;10;0;27;1;1;0;5;0;0;0;2;41;0;0;1;19;0;0;0;;;
BUZET;15;120;66;66;65;1;2;2;0;0;0;1;0;13;0;3;0;1;0;0;0;2;28;0;0;0;13;0;0;0;;;
BUZET;16;151;94;94;93;1;1;0;0;0;0;2;0;16;1;0;1;2;1;0;0;2;40;0;0;1;26;0;0;0;;;
CRES;1;396;238;238;232;6;1;1;0;1;0;66;0;25;4;0;5;8;0;0;0;0;18;0;0;18;85;0;0;0;;;
