Grad/opæina;Broj biraèkih mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: JURE GRUBIŠIÆ                                        ;AKCIJA MLADIH - AM, Nositelj liste: LUKA BADEL                                                    ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, JADRANSKA SOCIJALDEMOKRATSKA STRANKA HRVATSKE - JADRANSKI SOCIJALDEMOKRATI, DEMOKRATSKA STRANKA ŽENA - DSŽ, ZELENA STRANKA - ZS, HRVATSKA RADNIÈKA STRANKA - HRS, Nositelj liste: ZLATKO KLARIÆ, prof.;AUTOHTONA-HRVATSKA SELJAÈKA STRANKA - A-HSS, Nositelj liste: dr.sc. JOŠKO KOVAÈ, dipl.ing.                         ;DALMATINSKA LIBERALNA STRANKA - DLS, Nositelj liste: ANTE TEŠIJA;DEMOKRATSKI CENTAR - DC, Nositelj liste: JOŠKO MORIÆ;GOSPODARSKA STRANKA - GS, Nositelj liste: STJEPAN GNJEÈ                                            ;HRVATSKA ÈISTA STRANKA PRAVA - HÈSP, Nositelj liste: LUKA PODRUG, dipl. iur.                                   ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, Nositelj liste: dr.sc. IVO SANADER                                 ;HRVATSKA KRŠÆANSKA DEMOKRATSKA STRANKA - HKDS, KRŠÆANSKA SOCIJALNA UNIJA - KSU, Nositelj liste: ANTE BARABA;HRVATSKA NARODNA STRANKA-LIBERALNI DEMOKRATI - HNS, Nositelj liste: RADIMIR ÈAÈIÆ                    ;HRVATSKA SOCIJALNO LIBERALNA STRANKA - HSLS, HRVATSKA SELJAÈKA STRANKA - HSS, Nositelj liste: STANKO ZRILIÆ;HRVATSKA STRANKA MLADIH - HSM, Nositelj liste: ANA PETROV                                       ;HRVATSKA STRANKA PRAVA - HSP, Nositelj liste: ANTO ÐAPIÆ;HRVATSKA STRANKA UMIROVLJENIKA - HSU, Nositelj liste: mr.sc. VLADIMIR JORDAN                    ;HRVATSKI PRAVAŠI-HRVATSKI PRAVAŠKI POKRET - HP-HPP, Nositelj liste: LUKŠA KEVO;JEDINO HRVATSKA-POKRET ZA HRVATSKU - JEDINO HRVATSKA, Nositelj liste: IVIÆ PAŠALIÆ;NEOVISNA LISTA, Nositelj liste: DRAGO KRPINA                                 ;NEOVISNA LISTA, Nositelj liste: mr.sc. ÐULA RUŠINOVIÆ-SUNARA                                 ;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS, Nositelj liste: dr.sc. MILORAD PUPOVAC;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, Nositelj liste: ZORAN MILANOVIÆ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP, LJEVICA HRVATSKE - LJEVICA, ISTARSKI SOCIJALDEMOKRATSKI FORUM-FORO SOCIAL DEMOCRATICO ISTRIANO - ISDF-FSDI, HRVATSKI SOCIJALDEMOKRATI - HSD, Nositelj liste: ZORAN RESTOVIÆ                                 ;STRANKA UMIROVLJENIKA - SU, Nositelj liste: BORIS NIKOLIÆ-MALORA;ZELENI HRVATSKE - ZELENI HR, Nositelj liste: LOVRO RUMORA;;;
;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BENKOVAC  ;28;11438;5602;5580;5468;112;7;9;14;13;5;50;4;29;3550;53;128;252;16;135;63;5;34;105;8;355;578;9;34;12;;;
BIOGRAD NA MORU  ;4;5206;3257;3238;3176;62;3;4;7;6;3;50;0;9;1525;6;107;127;27;89;126;5;16;58;11;8;915;14;41;19;;;
DRNIŠ  ;25;7878;4734;4734;4652;82;5;12;5;18;7;60;3;53;3068;15;74;153;23;161;112;1;87;42;13;211;475;7;30;17;;;
GOSPIÆ  ;29;11883;7771;7771;7671;100;12;14;11;30;5;26;10;38;5508;15;70;250;40;237;146;9;46;27;8;23;1057;10;57;22;;;
KAŠTELA  ;18;32566;18864;18801;18474;327;17;68;44;56;25;52;22;285;9777;68;546;378;147;727;668;57;228;64;88;12;4709;79;233;124;;;
KNIN  ;15;15345;8433;8429;8345;84;19;16;14;6;2;21;5;18;4699;14;208;131;27;191;103;2;128;21;12;1753;882;18;40;15;;;
NIN  ;6;2795;1505;1504;1475;29;3;7;1;4;1;7;1;8;788;2;100;73;18;37;77;0;9;5;2;5;296;7;16;8;;;
NOVALJA  ;8;3363;2143;2142;2128;14;1;5;3;11;0;3;0;9;1160;15;30;134;11;37;48;3;4;10;3;2;607;7;17;8;;;
OBROVAC  ;6;4207;2331;2330;2287;43;1;3;4;1;1;33;1;14;1093;7;25;94;12;70;33;4;17;10;1;561;283;2;15;2;;;
OTOÈAC  ;20;9185;5929;5929;5853;76;4;16;15;29;1;22;9;19;3809;18;116;239;33;158;241;4;34;15;11;28;938;11;63;20;;;
PAG  ;7;3333;2127;2127;2099;28;10;4;3;4;0;19;4;8;755;4;83;93;16;148;139;0;29;12;1;3;705;7;43;9;;;
SENJ  ;9;7323;4572;4572;4514;58;7;19;8;14;1;12;5;19;2129;10;188;83;30;279;248;5;26;7;10;7;1315;22;47;23;;;
SINJ  ;23;20539;12808;12800;12571;229;8;27;26;28;14;98;13;149;6730;37;281;273;71;268;330;24;102;33;52;14;3689;45;201;58;;;
SKRADIN  ;11;4335;2166;2156;2108;48;2;6;4;10;1;22;5;21;1300;5;36;63;13;39;76;1;24;14;4;186;247;7;19;3;;;
ŠIBENIK  ;79;43005;26924;26788;26277;511;30;77;62;62;47;313;24;126;12161;55;1242;688;188;604;1305;16;271;106;145;133;7927;147;378;170;;;
TRILJ  ;22;8785;5084;5078;4944;134;10;10;20;14;11;22;5;66;3181;25;79;169;19;259;118;14;55;30;18;4;738;10;44;23;;;
TROGIR  ;18;12792;7680;7677;7523;154;8;15;31;8;7;27;8;62;3301;17;254;126;57;209;189;30;52;47;21;7;2877;29;93;48;;;
VODICE  ;11;9013;4813;4813;4703;110;4;15;15;15;16;52;3;26;2010;18;235;110;37;171;180;6;168;127;21;43;1315;21;58;37;;;
VRLIKA  ;8;2652;1370;1370;1345;25;2;2;3;2;1;8;0;16;929;4;16;81;1;49;38;3;2;12;2;18;138;4;10;4;;;
ZADAR  ;68;65313;38666;38488;37937;551;23;138;102;44;44;557;89;129;16028;153;2651;1008;313;1286;1616;27;409;133;82;152;12023;153;461;316;;;
