Grad/opæina;Redni broj biraèkog mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: JURE GRUBIŠIÆ                                        ;AKCIJA MLADIH - AM, Nositelj liste: LUKA BADEL                                                    ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, JADRANSKA SOCIJALDEMOKRATSKA STRANKA HRVATSKE - JADRANSKI SOCIJALDEMOKRATI, DEMOKRATSKA STRANKA ŽENA - DSŽ, ZELENA STRANKA - ZS, HRVATSKA RADNIÈKA STRANKA - HRS, Nositelj liste: ZLATKO KLARIÆ, prof.;AUTOHTONA-HRVATSKA SELJAÈKA STRANKA - A-HSS, Nositelj liste: dr.sc. JOŠKO KOVAÈ, dipl.ing.                         ;DALMATINSKA LIBERALNA STRANKA - DLS, Nositelj liste: ANTE TEŠIJA;DEMOKRATSKI CENTAR - DC, Nositelj liste: JOŠKO MORIÆ;GOSPODARSKA STRANKA - GS, Nositelj liste: STJEPAN GNJEÈ                                            ;HRVATSKA ÈISTA STRANKA PRAVA - HÈSP, Nositelj liste: LUKA PODRUG, dipl. iur.                                   ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, Nositelj liste: dr.sc. IVO SANADER                                 ;HRVATSKA KRŠÆANSKA DEMOKRATSKA STRANKA - HKDS, KRŠÆANSKA SOCIJALNA UNIJA - KSU, Nositelj liste: ANTE BARABA;HRVATSKA NARODNA STRANKA-LIBERALNI DEMOKRATI - HNS, Nositelj liste: RADIMIR ÈAÈIÆ                    ;HRVATSKA SOCIJALNO LIBERALNA STRANKA - HSLS, HRVATSKA SELJAÈKA STRANKA - HSS, Nositelj liste: STANKO ZRILIÆ;HRVATSKA STRANKA MLADIH - HSM, Nositelj liste: ANA PETROV                                       ;HRVATSKA STRANKA PRAVA - HSP, Nositelj liste: ANTO ÐAPIÆ;HRVATSKA STRANKA UMIROVLJENIKA - HSU, Nositelj liste: mr.sc. VLADIMIR JORDAN                    ;HRVATSKI PRAVAŠI-HRVATSKI PRAVAŠKI POKRET - HP-HPP, Nositelj liste: LUKŠA KEVO;JEDINO HRVATSKA-POKRET ZA HRVATSKU - JEDINO HRVATSKA, Nositelj liste: IVIÆ PAŠALIÆ;NEOVISNA LISTA, Nositelj liste: DRAGO KRPINA                                 ;NEOVISNA LISTA, Nositelj liste: mr.sc. ÐULA RUŠINOVIÆ-SUNARA                                 ;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS, Nositelj liste: dr.sc. MILORAD PUPOVAC;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, Nositelj liste: ZORAN MILANOVIÆ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP, LJEVICA HRVATSKE - LJEVICA, ISTARSKI SOCIJALDEMOKRATSKI FORUM-FORO SOCIAL DEMOCRATICO ISTRIANO - ISDF-FSDI, HRVATSKI SOCIJALDEMOKRATI - HSD, Nositelj liste: ZORAN RESTOVIÆ                                 ;STRANKA UMIROVLJENIKA - SU, Nositelj liste: BORIS NIKOLIÆ-MALORA;ZELENI HRVATSKE - ZELENI HR, Nositelj liste: LOVRO RUMORA;;;
;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BENKOVAC;1;2096;1076;1075;1056;19;2;1;2;2;0;16;0;9;579;13;36;24;5;28;26;2;8;13;2;52;227;3;5;1;;;
BENKOVAC;2;1139;538;538;529;9;0;1;0;2;1;7;0;2;335;2;2;13;0;21;0;0;0;9;2;85;42;1;3;1;;;
BENKOVAC;3;334;200;200;199;1;0;1;0;0;1;2;0;3;142;0;7;9;0;3;1;0;2;3;1;7;17;0;0;0;;;
BENKOVAC;4;200;109;109;105;4;0;1;0;0;0;0;0;1;72;1;2;9;0;2;4;0;1;2;0;1;9;0;0;0;;;
BENKOVAC;5;335;170;168;164;4;0;1;0;0;0;0;0;1;107;3;2;9;0;4;6;0;3;3;0;2;18;0;4;1;;;
BENKOVAC;6;391;201;201;195;6;0;0;0;2;0;2;0;1;121;3;6;7;1;3;2;0;0;4;0;5;34;1;3;0;;;
BENKOVAC;7;113;73;73;72;1;0;2;0;0;0;1;0;1;41;0;0;8;0;6;1;0;0;2;0;0;9;0;1;0;;;
BENKOVAC;8;227;116;116;112;4;2;0;1;0;0;0;0;1;47;0;1;5;0;5;1;0;0;32;0;0;14;0;3;0;;;
BENKOVAC;9;574;336;325;316;9;0;0;0;3;0;5;0;1;216;6;2;35;4;10;3;0;4;6;1;8;12;0;0;0;;;
BENKOVAC;10;157;93;92;91;1;0;0;0;2;1;1;0;1;57;1;2;12;0;2;1;2;0;2;0;0;7;0;0;0;;;
BENKOVAC;11;255;128;128;126;2;0;1;0;0;0;0;0;1;87;0;4;7;1;1;0;0;1;3;0;4;15;0;1;0;;;
BENKOVAC;12;79;47;47;47;0;0;0;0;0;0;0;0;0;41;0;0;0;1;1;0;0;0;2;0;0;1;0;1;0;;;
BENKOVAC;13;286;190;190;188;2;2;0;1;0;0;0;1;1;161;1;2;1;0;4;1;0;1;2;1;0;8;1;0;0;;;
BENKOVAC;14;174;38;38;34;4;0;0;0;0;0;0;0;0;29;0;0;1;1;1;0;0;0;1;0;0;1;0;0;0;;;
BENKOVAC;15;142;52;52;51;1;0;0;1;1;0;0;0;0;37;0;0;2;0;0;1;0;0;2;0;5;0;1;1;0;;;
BENKOVAC;16;221;120;120;119;1;0;0;1;0;0;0;0;1;51;0;5;48;0;0;0;0;0;0;0;0;12;0;1;0;;;
BENKOVAC;17;272;90;90;89;1;0;0;0;0;0;0;2;2;66;0;5;4;0;0;0;0;1;2;0;1;6;0;0;0;;;
BENKOVAC;18;308;171;171;168;3;0;0;1;0;0;1;0;2;125;4;2;14;0;1;2;0;0;0;0;1;13;1;1;0;;;
BENKOVAC;19;471;249;249;248;1;0;0;0;0;0;3;1;1;204;0;13;1;0;6;3;0;0;1;0;0;11;0;0;4;;;
BENKOVAC;20;665;198;198;195;3;0;0;0;0;0;3;0;0;118;3;9;9;0;4;0;0;4;3;0;24;17;0;0;1;;;
BENKOVAC;21;575;345;339;326;13;0;1;4;0;1;5;0;0;238;11;8;9;1;3;5;1;6;4;1;1;23;0;3;1;;;
