Država;Redni broj biraèkog mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: MARINKO DODIG                                        ;AKCIJA MLADIH - AM, Nositelj liste: DARKO KRNIÆ                                                    ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, JADRANSKA SOCIJALDEMOKRATSKA STRANKA HRVATSKE - JADRANSKI SOCIJALDEMOKRATI, DEMOKRATSKA STRANKA ŽENA - DSŽ, ZELENA STRANKA - ZS, HRVATSKA RADNIÈKA STRANKA - HRS, Nositelj liste: MATE BULJUBAŠIÆ;AUTOHTONA-HRVATSKA SELJAÈKA STRANKA - A-HSS, Nositelj liste: dr.sc. JOŠKO KOVAÈ, dipl.ing.                         ;DALMATINSKA LIBERALNA STRANKA - DLS, Nositelj liste: ANTE TEŠIJA;DEMOKRATSKI CENTAR - DC, Nositelj liste: VESNA ŠKARE OŽBOLT, dipl.iur.;GOSPODARSKA STRANKA - GS, Nositelj liste: STJEPAN GNJEÈ                                            ;HRVATSKA ÈISTA STRANKA PRAVA - HÈSP, Nositelj liste: LUKA PODRUG, dipl. iur.                                   ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, Nositelj liste: dr.sc. IVO SANADER                                 ;HRVATSKA KRŠÆANSKA DEMOKRATSKA STRANKA - HKDS, KRŠÆANSKA SOCIJALNA UNIJA - KSU, Nositelj liste: PETAR KAÆUNKO;HRVATSKA NARODNA STRANKA-LIBERALNI DEMOKRATI - HNS, Nositelj liste: RADIMIR ÈAÈIÆ                    ;HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA SOCIJALNO LIBERALNA STRANKA - HSLS, Nositelj liste: STIPO GABRIÆ;HRVATSKA STRANKA MLADIH - HSM, Nositelj liste: JOSIP JAKOVLJEVIÆ                                        ;HRVATSKA STRANKA PRAVA - HSP, Nositelj liste: ANTO ÐAPIÆ;HRVATSKA STRANKA UMIROVLJENIKA - HSU, Nositelj liste: mr.sc. VLADIMIR JORDAN                    ;HRVATSKI PRAVAŠI-HRVATSKI PRAVAŠKI POKRET - HP-HPP, Nositelj liste: ANITA ÈUDINA, prof. dipl.sociolog;JEDINO HRVATSKA-POKRET ZA HRVATSKU - JEDINO HRVATSKA, Nositelj liste: LJUBICA VRDOLJAK;LJEVICA HRVATSKE - LJEVICA, SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP, ISTARSKI SOCIJALDEMOKRATSKI FORUM-FORO SOCIAL DEMOCRATICO ISTRIANO - ISDF-FSDI, HRVATSKI SOCIJALDEMOKRATI - HSD, Nositelj liste: IVAN NINIÆ;NEOVISNA LISTA, Nositelj liste: mr.sc. ÐULA RUŠINOVIÆ-SUNARA                                 ;NEOVISNA LISTA, Nositelj liste: TONÆI TADIÆ                                 ;NEOVISNA LISTA, Nositelj liste: JURICA TUCAK                                 ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, Nositelj liste: ZORAN MILANOVIÆ;STRANKA UMIROVLJENIKA - SU, Nositelj liste: STANISLAV JELAÈA;ZELENA LISTA, Nositelj liste: IVICA SUMIÆ                                                         ;ZELENI HRVATSKE - ZELENI HR, Nositelj liste: LOVRO RUMORA;;
;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AFGANISTAN;1;;3;3;3;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
AFGANISTAN;2;;33;33;33;0;0;0;0;0;1;0;0;2;20;0;0;2;0;3;0;0;0;0;0;4;1;0;0;0;0;;
ALBANIJA;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
ALŽIR;1;;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;;
ARGENTINA;1;;6;6;6;0;0;0;0;0;0;0;0;1;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;;
ARGENTINA;2;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
AUSTRALIJA;1;;15;15;15;0;0;0;0;0;0;0;0;0;14;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;
AUSTRALIJA;2;;12;12;12;0;0;0;0;0;0;0;1;0;9;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;;
AUSTRALIJA;3;;10;10;10;0;0;0;0;0;0;0;0;0;9;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;
AUSTRALIJA;4;;2;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
AUSTRALIJA;5;;3;3;2;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
AUSTRALIJA;6;;10;10;10;0;0;0;0;0;0;0;0;0;8;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;;
AUSTRALIJA;7;;8;8;8;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;;
AUSTRALIJA;8;;2;2;2;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
AUSTRALIJA;9;;17;17;17;0;0;0;0;0;0;0;0;1;15;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;
AUSTRALIJA;10;;2;2;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
AUSTRALIJA;11;;5;5;5;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
AUSTRALIJA;12;;4;4;4;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;
AUSTRIJA;1;;24;24;24;0;0;0;0;0;0;0;0;0;14;1;2;1;0;0;0;0;0;0;0;0;0;6;0;0;0;;
AUSTRIJA;2;;20;20;20;0;0;0;0;0;1;0;0;0;16;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;;
AUSTRIJA;3;;11;11;11;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
