Grad/opæina;Broj biraèkih mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: MARINKO DODIG                                        ;AKCIJA MLADIH - AM, Nositelj liste: DARKO KRNIÆ                                                    ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, JADRANSKA SOCIJALDEMOKRATSKA STRANKA HRVATSKE - JADRANSKI SOCIJALDEMOKRATI, DEMOKRATSKA STRANKA ŽENA - DSŽ, ZELENA STRANKA - ZS, HRVATSKA RADNIÈKA STRANKA - HRS, Nositelj liste: MATE BULJUBAŠIÆ;AUTOHTONA-HRVATSKA SELJAÈKA STRANKA - A-HSS, Nositelj liste: dr.sc. JOŠKO KOVAÈ, dipl.ing.                         ;DALMATINSKA LIBERALNA STRANKA - DLS, Nositelj liste: ANTE TEŠIJA;DEMOKRATSKI CENTAR - DC, Nositelj liste: VESNA ŠKARE OŽBOLT, dipl.iur.;GOSPODARSKA STRANKA - GS, Nositelj liste: STJEPAN GNJEÈ                                            ;HRVATSKA ÈISTA STRANKA PRAVA - HÈSP, Nositelj liste: LUKA PODRUG, dipl. iur.                                   ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, Nositelj liste: dr.sc. IVO SANADER                                 ;HRVATSKA KRŠÆANSKA DEMOKRATSKA STRANKA - HKDS, KRŠÆANSKA SOCIJALNA UNIJA - KSU, Nositelj liste: PETAR KAÆUNKO;HRVATSKA NARODNA STRANKA-LIBERALNI DEMOKRATI - HNS, Nositelj liste: RADIMIR ÈAÈIÆ                    ;HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA SOCIJALNO LIBERALNA STRANKA - HSLS, Nositelj liste: STIPO GABRIÆ;HRVATSKA STRANKA MLADIH - HSM, Nositelj liste: JOSIP JAKOVLJEVIÆ                                        ;HRVATSKA STRANKA PRAVA - HSP, Nositelj liste: ANTO ÐAPIÆ;HRVATSKA STRANKA UMIROVLJENIKA - HSU, Nositelj liste: mr.sc. VLADIMIR JORDAN                    ;HRVATSKI PRAVAŠI-HRVATSKI PRAVAŠKI POKRET - HP-HPP, Nositelj liste: ANITA ÈUDINA, prof. dipl.sociolog;JEDINO HRVATSKA-POKRET ZA HRVATSKU - JEDINO HRVATSKA, Nositelj liste: LJUBICA VRDOLJAK;LJEVICA HRVATSKE - LJEVICA, SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP, ISTARSKI SOCIJALDEMOKRATSKI FORUM-FORO SOCIAL DEMOCRATICO ISTRIANO - ISDF-FSDI, HRVATSKI SOCIJALDEMOKRATI - HSD, Nositelj liste: IVAN NINIÆ;NEOVISNA LISTA, Nositelj liste: mr.sc. ÐULA RUŠINOVIÆ-SUNARA                                 ;NEOVISNA LISTA, Nositelj liste: TONÆI TADIÆ                                 ;NEOVISNA LISTA, Nositelj liste: JURICA TUCAK                                 ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, Nositelj liste: ZORAN MILANOVIÆ;STRANKA UMIROVLJENIKA - SU, Nositelj liste: STANISLAV JELAÈA;ZELENA LISTA, Nositelj liste: IVICA SUMIÆ                                                         ;ZELENI HRVATSKE - ZELENI HR, Nositelj liste: LOVRO RUMORA;;
;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DUBROVNIK  ;58;38497;21852;21834;21543;291;9;42;50;43;18;55;15;71;8039;60;1416;1999;92;652;658;11;125;80;41;730;11;7071;162;38;55;;
HVAR  ;9;4086;2385;2385;2351;34;3;12;6;7;3;3;1;12;827;8;131;101;14;38;55;7;4;13;9;228;2;829;22;6;10;;
IMOTSKI  ;16;9525;5354;5312;5253;59;1;10;9;10;2;15;2;85;3044;7;71;168;12;960;112;2;48;7;4;84;17;546;29;2;6;;
KOMIŽA  ;3;1655;965;964;940;24;0;1;4;8;3;4;0;11;261;4;54;91;6;10;49;0;2;7;1;35;0;365;17;2;5;;
KORÈULA  ;10;5461;3270;3270;3214;56;6;7;7;6;6;24;2;13;1309;14;85;176;14;162;73;2;4;13;4;58;0;1186;25;8;10;;
MAKARSKA  ;7;15068;8016;8014;7910;104;2;16;20;3;10;14;1;101;3434;20;402;167;22;101;240;3;27;54;9;149;6;2990;71;31;17;;
METKOVIÆ  ;13;13772;9527;9525;9396;129;8;9;5;25;6;11;9;37;4585;25;114;2894;34;154;217;14;11;14;9;102;3;1062;33;9;6;;
OMIŠ  ;43;14506;9074;9070;8903;167;5;31;17;15;6;15;5;137;4410;172;287;382;65;424;244;17;97;37;22;365;16;2010;78;13;33;;
OPUZEN  ;5;2833;1931;1931;1893;38;1;3;2;65;5;2;2;7;1049;8;17;272;20;35;39;1;8;8;1;36;0;299;7;5;1;;
PLOÈE  ;15;9550;6226;6224;6093;131;8;11;9;14;6;8;5;23;2734;6;108;1003;15;123;194;4;51;26;4;69;2;1628;30;4;8;;
SOLIN  ;18;18337;11935;11933;11775;158;10;31;26;19;21;47;4;259;6463;41;354;237;74;365;334;50;248;39;26;303;6;2643;113;20;42;;
SPLIT  ;161;159182;103694;103033;101772;1261;53;268;365;158;143;383;43;1867;39187;381;6318;2113;485;2843;3850;178;1530;825;285;3794;74;35102;948;176;403;;
STARI GRAD  ;5;2844;1784;1784;1742;42;1;7;1;8;6;4;1;13;490;3;81;133;15;13;102;4;7;9;5;258;3;552;21;2;3;;
SUPETAR  ;6;4061;2344;2343;2303;40;5;9;4;5;5;14;2;14;711;3;106;85;25;61;88;1;18;7;4;95;0;992;24;10;15;;
VIS  ;5;1871;1144;1144;1126;18;0;6;3;5;4;9;2;8;260;2;94;75;10;45;53;0;3;6;1;58;1;455;19;4;3;;
VRGORAC  ;27;7118;4624;4624;4553;71;4;7;10;19;2;2;4;17;2638;9;65;187;12;97;61;3;9;10;6;77;2;1288;13;5;6;;
BAŠKA VODA  ;5;3298;1553;1553;1523;30;0;5;6;6;0;5;2;28;729;6;48;68;10;33;23;1;12;10;3;54;1;463;7;3;0;;
BLATO  ;4;3672;2318;2318;2271;47;4;7;5;17;4;8;1;8;1380;9;78;39;9;42;28;3;5;11;5;26;2;557;12;6;5;;
BOL  ;3;1611;1008;1008;993;15;0;3;2;5;3;3;0;3;306;3;42;48;9;63;24;1;2;5;5;58;1;394;10;1;2;;
BRELA  ;2;1739;1052;1052;1033;19;0;8;0;0;2;1;1;8;464;3;64;48;6;21;34;0;13;3;2;51;0;290;6;3;5;;
