Grad/opæina;Redni broj biraèkog mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: MARINKO DODIG                                        ;AKCIJA MLADIH - AM, Nositelj liste: DARKO KRNIÆ                                                    ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, JADRANSKA SOCIJALDEMOKRATSKA STRANKA HRVATSKE - JADRANSKI SOCIJALDEMOKRATI, DEMOKRATSKA STRANKA ŽENA - DSŽ, ZELENA STRANKA - ZS, HRVATSKA RADNIÈKA STRANKA - HRS, Nositelj liste: MATE BULJUBAŠIÆ;AUTOHTONA-HRVATSKA SELJAÈKA STRANKA - A-HSS, Nositelj liste: dr.sc. JOŠKO KOVAÈ, dipl.ing.                         ;DALMATINSKA LIBERALNA STRANKA - DLS, Nositelj liste: ANTE TEŠIJA;DEMOKRATSKI CENTAR - DC, Nositelj liste: VESNA ŠKARE OŽBOLT, dipl.iur.;GOSPODARSKA STRANKA - GS, Nositelj liste: STJEPAN GNJEÈ                                            ;HRVATSKA ÈISTA STRANKA PRAVA - HÈSP, Nositelj liste: LUKA PODRUG, dipl. iur.                                   ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, Nositelj liste: dr.sc. IVO SANADER                                 ;HRVATSKA KRŠÆANSKA DEMOKRATSKA STRANKA - HKDS, KRŠÆANSKA SOCIJALNA UNIJA - KSU, Nositelj liste: PETAR KAÆUNKO;HRVATSKA NARODNA STRANKA-LIBERALNI DEMOKRATI - HNS, Nositelj liste: RADIMIR ÈAÈIÆ                    ;HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA SOCIJALNO LIBERALNA STRANKA - HSLS, Nositelj liste: STIPO GABRIÆ;HRVATSKA STRANKA MLADIH - HSM, Nositelj liste: JOSIP JAKOVLJEVIÆ                                        ;HRVATSKA STRANKA PRAVA - HSP, Nositelj liste: ANTO ÐAPIÆ;HRVATSKA STRANKA UMIROVLJENIKA - HSU, Nositelj liste: mr.sc. VLADIMIR JORDAN                    ;HRVATSKI PRAVAŠI-HRVATSKI PRAVAŠKI POKRET - HP-HPP, Nositelj liste: ANITA ÈUDINA, prof. dipl.sociolog;JEDINO HRVATSKA-POKRET ZA HRVATSKU - JEDINO HRVATSKA, Nositelj liste: LJUBICA VRDOLJAK;LJEVICA HRVATSKE - LJEVICA, SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP, ISTARSKI SOCIJALDEMOKRATSKI FORUM-FORO SOCIAL DEMOCRATICO ISTRIANO - ISDF-FSDI, HRVATSKI SOCIJALDEMOKRATI - HSD, Nositelj liste: IVAN NINIÆ;NEOVISNA LISTA, Nositelj liste: mr.sc. ÐULA RUŠINOVIÆ-SUNARA                                 ;NEOVISNA LISTA, Nositelj liste: TONÆI TADIÆ                                 ;NEOVISNA LISTA, Nositelj liste: JURICA TUCAK                                 ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, Nositelj liste: ZORAN MILANOVIÆ;STRANKA UMIROVLJENIKA - SU, Nositelj liste: STANISLAV JELAÈA;ZELENA LISTA, Nositelj liste: IVICA SUMIÆ                                                         ;ZELENI HRVATSKE - ZELENI HR, Nositelj liste: LOVRO RUMORA;;
;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DUBROVNIK;1;87;55;55;55;0;0;0;0;0;0;0;0;1;38;0;1;9;0;1;1;0;0;0;0;2;0;2;0;0;0;;
DUBROVNIK;2;35;30;30;30;0;0;0;0;0;0;1;0;0;13;0;1;12;0;1;0;0;0;0;0;1;0;1;0;0;0;;
DUBROVNIK;3;580;344;344;333;11;0;0;0;0;1;2;0;1;105;2;25;22;0;16;12;0;1;0;2;13;0;130;1;0;0;;
DUBROVNIK;4;354;196;196;193;3;0;0;1;0;0;1;0;1;63;0;17;13;0;7;11;1;1;2;0;17;0;55;3;0;0;;
DUBROVNIK;5;439;234;234;230;4;0;1;0;0;0;2;0;0;53;1;24;12;0;16;4;0;2;0;0;10;0;102;1;0;2;;
DUBROVNIK;6;490;292;292;287;5;0;0;0;0;0;0;0;0;100;0;12;19;1;9;9;0;0;2;1;14;0;116;3;1;0;;
DUBROVNIK;7;294;142;142;141;1;0;0;0;0;0;1;0;1;47;0;16;5;0;1;1;0;0;0;0;12;0;54;1;1;1;;
DUBROVNIK;8;332;186;186;183;3;0;0;0;0;0;0;0;0;55;0;23;9;0;7;6;0;1;0;0;11;0;67;4;0;0;;
DUBROVNIK;9;423;238;238;234;4;0;1;0;0;0;1;0;0;74;1;15;26;1;10;9;0;2;2;1;9;0;75;3;2;2;;
DUBROVNIK;10;583;296;296;291;5;1;0;1;1;0;0;0;1;127;1;13;16;0;10;10;0;4;1;1;9;0;86;5;2;2;;
DUBROVNIK;11;577;309;309;301;8;0;1;3;1;0;1;0;1;96;0;9;19;2;7;13;1;1;2;3;10;0;121;8;1;1;;
DUBROVNIK;12;765;414;414;402;12;0;2;0;0;0;3;1;1;146;0;23;22;2;13;11;1;2;3;1;16;0;140;6;3;6;;
DUBROVNIK;13;439;216;216;214;2;0;0;0;2;0;0;0;1;54;1;18;17;0;5;11;0;1;7;0;7;0;84;2;2;2;;
DUBROVNIK;14;766;425;425;424;1;0;1;0;0;2;0;1;1;179;0;28;33;0;13;14;0;0;0;1;9;1;141;0;0;0;;
DUBROVNIK;15;805;523;523;518;5;0;0;1;1;0;4;0;0;139;2;36;52;1;16;15;0;3;2;1;22;0;219;3;1;0;;
DUBROVNIK;16;538;323;323;318;5;0;1;0;1;0;0;0;5;138;0;19;38;2;9;10;0;2;0;0;16;0;73;2;1;1;;
DUBROVNIK;17;1024;554;554;542;12;0;0;2;0;0;3;1;1;182;4;42;41;2;30;19;2;2;3;2;24;0;176;5;1;0;;
DUBROVNIK;18;1404;792;792;783;9;0;3;4;1;0;0;0;4;257;3;59;57;3;17;32;0;3;5;1;28;0;299;5;0;2;;
DUBROVNIK;19;1384;842;842;834;8;1;1;0;1;1;1;1;3;315;5;52;73;2;23;30;0;3;3;2;24;0;287;2;1;3;;
DUBROVNIK;20;850;519;519;515;4;0;1;3;0;0;3;2;0;173;3;34;46;2;18;20;0;0;1;0;24;0;175;6;1;3;;
DUBROVNIK;21;1418;809;809;796;13;1;0;3;1;0;1;1;3;260;3;54;60;1;19;27;0;4;1;2;18;0;334;0;1;2;;
