Grad/opæina;Redni broj biraèkog mjesta;UKUPNO biraèa;Glasovalo ukupno;Listiæi ukupno;Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: VLADIMIR PAVLETIÆ                                        ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, HRVATSKA RADNIÈKA STRANKA - HRS, ZELENA STRANKA - ZS, Nositelj liste: ZLATKO KLARIÆ, prof.;ALIJANSA ZA PRAVNU DRŽAVU - ALIJANSA, Nositelj liste: dr.sc. JURAJ PLENKOVIÆ;DEMOKRATSKI CENTAR - DC, Nositelj liste: VESNA ŠKARE OŽBOLT, dipl.iur.;DOMOVINSKA GRAÐANSKA STRANKA - DGS, Nositelj liste: DAMIR BAKSA;HRVATSKA ÈISTA STRANKA PRAVA - HÈSP, Nositelj liste: TADIJA LJUBIÈIÆ                                   ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, Nositelj liste: dr.sc. IVO SANADER                                 ;HRVATSKA STRANKA MLADIH - HSM, Nositelj liste: IVAN VUKOJA                                      ;HRVATSKA STRANKA PRAVA - HSP, Nositelj liste: ANTO ÐAPIÆ;HRVATSKI PRAVAŠI-HRVATSKI PRAVAŠKI POKRET - HP-HPP, Nositelj liste: ŠIME TOLIÆ;NEOVISNA LISTA, Nositelj liste: ANDJELKO GALIÆ                                ;NEOVISNA LISTA, Nositelj liste: JERKO IVANKOVIÆ LIJANOVIÆ                               ;STRANKA HRVATSKIH BRANITELJA - SHB, Nositelj liste: DOMAGOJ MARGETIÆ                    ;;;;;;;;;;;;;;
;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZAGREB;1;;19;19;19;0;0;0;0;2;0;1;14;0;2;0;0;0;0;;;;;;;;;;;;;;
PULA;2;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
RIJEKA;3;;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;;;;;;;;;;;;;
DUBROVNIK;4;;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;;;;;;;;;;;;;
SPLIT;5;;5;5;5;0;0;0;0;0;0;1;4;0;0;0;0;0;0;;;;;;;;;;;;;;
OSIJEK;6;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
VARAŽDIN;7;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
UKUPNO BM U RH ZA XI. IJ;;;26;26;26;0;0;0;0;2;0;2;19;1;2;0;0;0;0;;;;;;;;;;;;;;
