Država;Broj biraèkih mjesta;UKUPNO biraèa;Glasovalo ukupno;Listiæi ukupno;Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: VLADIMIR PAVLETIÆ                                        ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, HRVATSKA RADNIÈKA STRANKA - HRS, ZELENA STRANKA - ZS, Nositelj liste: ZLATKO KLARIÆ, prof.;ALIJANSA ZA PRAVNU DRŽAVU - ALIJANSA, Nositelj liste: dr.sc. JURAJ PLENKOVIÆ;DEMOKRATSKI CENTAR - DC, Nositelj liste: VESNA ŠKARE OŽBOLT, dipl.iur.;DOMOVINSKA GRAÐANSKA STRANKA - DGS, Nositelj liste: DAMIR BAKSA;HRVATSKA ÈISTA STRANKA PRAVA - HÈSP, Nositelj liste: TADIJA LJUBIÈIÆ                                   ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, Nositelj liste: dr.sc. IVO SANADER                                 ;HRVATSKA STRANKA MLADIH - HSM, Nositelj liste: IVAN VUKOJA                                      ;HRVATSKA STRANKA PRAVA - HSP, Nositelj liste: ANTO ÐAPIÆ;HRVATSKI PRAVAŠI-HRVATSKI PRAVAŠKI POKRET - HP-HPP, Nositelj liste: ŠIME TOLIÆ;NEOVISNA LISTA, Nositelj liste: ANDJELKO GALIÆ                                ;NEOVISNA LISTA, Nositelj liste: JERKO IVANKOVIÆ LIJANOVIÆ                               ;STRANKA HRVATSKIH BRANITELJA - SHB, Nositelj liste: DOMAGOJ MARGETIÆ                    ;;;;;;;;;;;;;;
;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AFGANISTAN  ;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
ALBANIJA  ;1;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
ALŽIR  ;1;20;4;4;3;1;1;0;0;0;0;0;2;0;0;0;0;0;0;;;;;;;;;;;;;;
ARGENTINA  ;2;2909;187;187;185;2;1;3;0;1;1;1;150;1;21;2;4;0;0;;;;;;;;;;;;;;
AUSTRALIJA  ;12;5013;715;715;713;2;2;10;1;8;1;6;611;4;45;2;3;0;20;;;;;;;;;;;;;;
AUSTRIJA  ;8;8652;838;838;835;3;2;6;0;3;0;9;765;8;33;0;1;6;2;;;;;;;;;;;;;;
BELGIJA  ;1;722;21;21;21;0;0;0;1;2;0;0;14;0;2;0;2;0;0;;;;;;;;;;;;;;
BOSNA I HERCEGOVINA  ;124;284068;82229;82154;81509;645;127;487;93;599;54;228;66833;336;3375;63;179;8947;188;;;;;;;;;;;;;;
BRAZIL  ;2;297;35;35;33;2;1;2;2;0;0;0;21;1;3;0;1;1;1;;;;;;;;;;;;;;
BUGARSKA  ;1;40;3;3;3;0;0;0;0;0;0;0;3;0;0;0;0;0;0;;;;;;;;;;;;;;
CRNA GORA  ;4;2543;549;549;544;5;7;40;4;35;4;5;403;11;28;0;3;1;3;;;;;;;;;;;;;;
ÈEŠKA REPUBLIKA  ;1;365;6;6;6;0;0;0;0;0;0;0;5;0;0;0;0;1;0;;;;;;;;;;;;;;
ÈILE  ;3;1733;53;53;52;1;0;4;0;2;0;22;21;0;2;0;0;1;0;;;;;;;;;;;;;;
