Država;Redni broj biraèkog mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: VLADIMIR PAVLETIÆ                                        ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, HRVATSKA RADNIÈKA STRANKA - HRS, ZELENA STRANKA - ZS, Nositelj liste: ZLATKO KLARIÆ, prof.;ALIJANSA ZA PRAVNU DRŽAVU - ALIJANSA, Nositelj liste: dr.sc. JURAJ PLENKOVIÆ;DEMOKRATSKI CENTAR - DC, Nositelj liste: VESNA ŠKARE OŽBOLT, dipl.iur.;DOMOVINSKA GRAÐANSKA STRANKA - DGS, Nositelj liste: DAMIR BAKSA;HRVATSKA ÈISTA STRANKA PRAVA - HÈSP, Nositelj liste: TADIJA LJUBIÈIÆ                                   ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, Nositelj liste: dr.sc. IVO SANADER                                 ;HRVATSKA STRANKA MLADIH - HSM, Nositelj liste: IVAN VUKOJA                                      ;HRVATSKA STRANKA PRAVA - HSP, Nositelj liste: ANTO ÐAPIÆ;HRVATSKI PRAVAŠI-HRVATSKI PRAVAŠKI POKRET - HP-HPP, Nositelj liste: ŠIME TOLIÆ;NEOVISNA LISTA, Nositelj liste: ANDJELKO GALIÆ                                ;NEOVISNA LISTA, Nositelj liste: JERKO IVANKOVIÆ LIJANOVIÆ                               ;STRANKA HRVATSKIH BRANITELJA - SHB, Nositelj liste: DOMAGOJ MARGETIÆ                    ;;;;;;;;;;;;;;
;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
AFGANISTAN;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
AFGANISTAN;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
ALBANIJA;1;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;
ALŽIR;1;20;4;4;3;1;1;0;0;0;0;0;2;0;0;0;0;0;0;;;;;;;;;;;;;;
ARGENTINA;1;2000;152;152;150;2;0;1;0;0;1;0;122;1;20;2;3;0;0;;;;;;;;;;;;;;
ARGENTINA;2;909;35;35;35;0;1;2;0;1;0;1;28;0;1;0;1;0;0;;;;;;;;;;;;;;
AUSTRALIJA;1;262;100;100;99;1;2;3;1;4;0;0;84;1;3;0;1;0;0;;;;;;;;;;;;;;
AUSTRALIJA;2;871;127;127;127;0;0;1;0;2;0;1;110;1;8;1;0;0;3;;;;;;;;;;;;;;
AUSTRALIJA;3;757;123;123;123;0;0;2;0;0;0;1;103;0;13;0;0;0;4;;;;;;;;;;;;;;
AUSTRALIJA;4;243;37;37;37;0;0;2;0;0;0;1;30;0;4;0;0;0;0;;;;;;;;;;;;;;
AUSTRALIJA;5;30;11;11;11;0;0;0;0;0;1;0;9;0;1;0;0;0;0;;;;;;;;;;;;;;
AUSTRALIJA;6;617;35;35;35;0;0;0;0;1;0;0;31;0;1;0;0;0;2;;;;;;;;;;;;;;
AUSTRALIJA;7;400;20;20;19;1;0;0;0;1;0;0;16;0;1;0;0;0;1;;;;;;;;;;;;;;
