Izborna jedinica;Grad/opæina;Broj biraèkih mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;Kandidat: MLADENKA ATANACKOVIÆ, Zamjenik: JASMINKA IGNJATOVIÆ, Predlagatelj: HRVATSKA STRANKA MLADIH - HSM                                        ;Kandidat: DUŠAN CRNKOVIÆ, ing., Zamjenik: BOŽIDAR SLAVULJ, ing. grað., Predlagatelj: SRPSKA NARODNA STRANKA - SNS                                        ;Kandidat: JELICA ÈANAK, Zamjenik: BRANKICA JEROTIÆ, Predlagatelj: HRVATSKA STRANKA MLADIH - HSM                                        ;Kandidat: PERO DEJANOVIÆ, Zamjenik: STEVAN IVANIÆ, Predlagatelj: ABECEDA DEMOKRACIJE - ABECEDA                                        ;Kandidat: PETAR DUBAIÆ, Zamjenik: PETAR VUJAKLIJA, Predlagatelj: ABECEDA DEMOKRACIJE - ABECEDA                                        ;Kandidat: VELJKO DŽAKULA, dipl.ing. šumarstva, Zamjenik: MILAN UZELAC, Predlagatelj: ZAJEDNICA SRBA U REPUBLICI HRVATSKOJ - ZSH                                       ;Kandidat: RATKO GAJICA, Zamjenik: JOVAN AJDUKOVIÆ, Predlagatelj: SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS                                       ;Kandidat: DRAGAN HINIÆ, dipl.iur., Zamjenik: RADOVAN VUKELIÆ, dr.med., Predlagatelj: SRPSKA NARODNA STRANKA - SNS                                        ;Kandidat: CVIJO JANDRIÆ, Zamjenik: ZORA LUKIÆ, Predlagatelj: SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP                                       ;Kandidat: LJUBICA JAVORINA-ŠOLAJA, dr.med., Zamjenik: MILE JAVORINA, ing., Predlagatelj: PARTIJA PODUNAVSKIH SRBA - PPS                                       ;Kandidat: VLADIMIR KOSIÆ, dipl.oec., Zamjenik: VESELIN GRBIÆ, Predlagatelj: PARTIJA PODUNAVSKIH SRBA - PPS                                       ;Kandidat: RADIVOJ-RADE LESKOVAC, dipl. polit., Zamjenik: PERO MATIÆ, prof., Predlagatelj: PARTIJA PODUNAVSKIH SRBA - PPS                                       ;Kandidat: dr.sc. SVETOZAR LIVADA, Zamjenik: STANIŠA ŽARKOVIÆ, dipl. soc.radnik, Predlagatelj: ZAJEDNICA SRBA U REPUBLICI HRVATSKOJ - ZSH                                       ;Kandidat: BRANKO LUBOVAC, dipl.oec., Zamjenik: STEVAN BANJANIN, prof., Predlagatelj: ZAJEDNICA SRBA U REPUBLICI HRVATSKOJ - ZSH                                       ;Kandidat: MILUTIN LUKIÆ, Zamjenik: MLADEN MITROVIÆ, Predlagatelj: SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP                                       ;Kandidat: MILICA MARIÆ, Zamjenik: SAŠA VASILJEV, Predlagatelj: HRVATSKA STRANKA MLADIH - HSM                                        ;Kandidat: DEJAN MEDAKOVIÆ, Zamjenik: MARIJA DVORNIÆ, Predlagatelj: SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP                                       ;Kandidat: dr.sc. MILORAD PUPOVAC, Zamjenik: ALEKSANDAR MILOŠEVIÆ, Predlagatelj: SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS                                       ;Kandidat: VOJISLAV STANIMIROVIÆ, dr.med., Zamjenik: MILE HORVAT, Predlagatelj: SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS                                       ;Kandidat: LUKA ŠUŠAK, dipl.iur., Zamjenik: MILAN RODIÆ, dipl.iur., Predlagatelj: SRPSKA NARODNA STRANKA - SNS                                        ;;;;;;;
;;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD  ;265;5989;623;620;609;11;31;27;21;8;14;112;141;47;9;16;12;151;173;24;15;16;14;364;202;73;;;;;;;
1;ZAPREŠIÆ  ;20;211;16;16;16;0;3;1;0;0;0;6;1;2;0;2;1;6;3;0;0;1;0;9;5;1;;;;;;;
1;BISTRA  ;6;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
1;BRDOVEC  ;11;41;3;3;3;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;3;1;0;;;;;;;
1;DUBRAVICA  ;6;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
1;JAKOVLJE  ;7;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
1;LUKA  ;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
1;MARIJA GORICA  ;5;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
1;PUŠÆA  ;7;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
2;BJELOVAR  ;63;885;108;108;108;0;10;14;6;0;2;20;28;9;3;10;1;23;17;0;5;9;3;65;31;10;;;;;;;
2;ÈAZMA  ;36;39;3;3;3;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;1;0;1;2;0;0;;;;;;;
2;DARUVAR  ;15;1361;106;106;102;4;2;6;3;2;1;20;28;3;3;3;2;30;19;3;10;4;11;57;26;8;;;;;;;
2;DUGO SELO  ;17;79;4;4;4;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;3;0;1;;;;;;;
2;ÐURÐEVAC  ;16;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
2;GAREŠNICA  ;26;576;47;47;46;1;4;3;2;1;0;14;7;1;2;2;1;13;7;1;2;2;1;31;11;3;;;;;;;
2;GRUBIŠNO POLJE  ;15;836;39;39;37;2;3;5;3;1;1;10;9;2;1;3;1;4;5;1;5;0;1;24;12;2;;;;;;;
2;KOPRIVNICA  ;37;254;22;22;21;1;1;0;1;0;0;4;5;0;0;0;0;4;2;1;0;0;0;13;6;2;;;;;;;
2;KRIŽEVCI  ;55;241;33;33;31;2;1;12;0;0;0;3;7;3;0;2;1;2;7;1;2;0;0;10;8;2;;;;;;;
2;SVETI IVAN ZELINA  ;50;43;3;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;;;;;;
2;VRBOVEC  ;40;48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
2;ZAGREB-ISTOÈNI DIO  ;125;1665;160;160;156;4;11;9;6;3;2;27;32;12;5;6;3;36;29;4;1;7;6;91;50;11;;;;;;;
2;BEDENICA  ;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
2;BEREK  ;13;28;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;;;;;;;
2;BRCKOVLJANI  ;10;23;3;3;3;0;0;0;0;1;0;0;2;0;1;1;1;0;0;0;0;1;0;0;0;0;;;;;;;
