Izborna jedinica;Grad/opæina;Redni broj biraèkog mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;Kandidat: MLADENKA ATANACKOVIÆ, Zamjenik: JASMINKA IGNJATOVIÆ, Predlagatelj: HRVATSKA STRANKA MLADIH - HSM                                        ;Kandidat: DUŠAN CRNKOVIÆ, ing., Zamjenik: BOŽIDAR SLAVULJ, ing. grað., Predlagatelj: SRPSKA NARODNA STRANKA - SNS                                        ;Kandidat: JELICA ÈANAK, Zamjenik: BRANKICA JEROTIÆ, Predlagatelj: HRVATSKA STRANKA MLADIH - HSM                                        ;Kandidat: PERO DEJANOVIÆ, Zamjenik: STEVAN IVANIÆ, Predlagatelj: ABECEDA DEMOKRACIJE - ABECEDA                                        ;Kandidat: PETAR DUBAIÆ, Zamjenik: PETAR VUJAKLIJA, Predlagatelj: ABECEDA DEMOKRACIJE - ABECEDA                                        ;Kandidat: VELJKO DŽAKULA, dipl.ing. šumarstva, Zamjenik: MILAN UZELAC, Predlagatelj: ZAJEDNICA SRBA U REPUBLICI HRVATSKOJ - ZSH                                       ;Kandidat: RATKO GAJICA, Zamjenik: JOVAN AJDUKOVIÆ, Predlagatelj: SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS                                       ;Kandidat: DRAGAN HINIÆ, dipl.iur., Zamjenik: RADOVAN VUKELIÆ, dr.med., Predlagatelj: SRPSKA NARODNA STRANKA - SNS                                        ;Kandidat: CVIJO JANDRIÆ, Zamjenik: ZORA LUKIÆ, Predlagatelj: SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP                                       ;Kandidat: LJUBICA JAVORINA-ŠOLAJA, dr.med., Zamjenik: MILE JAVORINA, ing., Predlagatelj: PARTIJA PODUNAVSKIH SRBA - PPS                                       ;Kandidat: VLADIMIR KOSIÆ, dipl.oec., Zamjenik: VESELIN GRBIÆ, Predlagatelj: PARTIJA PODUNAVSKIH SRBA - PPS                                       ;Kandidat: RADIVOJ-RADE LESKOVAC, dipl. polit., Zamjenik: PERO MATIÆ, prof., Predlagatelj: PARTIJA PODUNAVSKIH SRBA - PPS                                       ;Kandidat: dr.sc. SVETOZAR LIVADA, Zamjenik: STANIŠA ŽARKOVIÆ, dipl. soc.radnik, Predlagatelj: ZAJEDNICA SRBA U REPUBLICI HRVATSKOJ - ZSH                                       ;Kandidat: BRANKO LUBOVAC, dipl.oec., Zamjenik: STEVAN BANJANIN, prof., Predlagatelj: ZAJEDNICA SRBA U REPUBLICI HRVATSKOJ - ZSH                                       ;Kandidat: MILUTIN LUKIÆ, Zamjenik: MLADEN MITROVIÆ, Predlagatelj: SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP                                       ;Kandidat: MILICA MARIÆ, Zamjenik: SAŠA VASILJEV, Predlagatelj: HRVATSKA STRANKA MLADIH - HSM                                        ;Kandidat: DEJAN MEDAKOVIÆ, Zamjenik: MARIJA DVORNIÆ, Predlagatelj: SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP                                       ;Kandidat: dr.sc. MILORAD PUPOVAC, Zamjenik: ALEKSANDAR MILOŠEVIÆ, Predlagatelj: SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS                                       ;Kandidat: VOJISLAV STANIMIROVIÆ, dr.med., Zamjenik: MILE HORVAT, Predlagatelj: SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS                                       ;Kandidat: LUKA ŠUŠAK, dipl.iur., Zamjenik: MILAN RODIÆ, dipl.iur., Predlagatelj: SRPSKA NARODNA STRANKA - SNS                                        ;;;;;;;
;;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;2;11;3;3;3;0;0;0;1;0;0;1;2;0;0;0;0;1;1;0;0;0;0;2;1;0;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;3;5;1;1;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;4;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;5;29;2;2;2;0;0;0;0;0;0;2;1;0;0;0;0;0;2;0;0;0;0;0;1;0;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;6;16;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;7;34;3;3;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;1;0;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;8;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;9;15;2;2;2;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;10;26;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;11;24;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;12;17;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;13;12;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;14;10;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;15;29;6;6;6;0;0;0;0;1;0;3;1;0;0;0;0;3;4;0;0;0;0;2;2;0;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;16;26;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;17;32;5;5;5;0;0;0;0;0;0;1;0;0;0;0;0;2;1;0;0;0;1;3;1;1;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;18;25;3;3;3;0;0;0;1;0;0;0;0;0;0;0;0;3;2;0;0;0;0;2;0;1;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;19;27;2;2;2;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;2;0;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;20;24;4;4;4;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;1;2;2;1;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;21;17;2;2;2;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;;;;;;;
