Izborna jedinica;Grad/opæina;Broj biraèkih mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;Kandidat: RÓBERT JANKOVICS, Zamjenik: TIBOR SANTO, dr.med., Predlagatelj: DEMOKRATSKA ZAJEDNICA MAÐARA HRVATSKE - DZMH                                        ;Kandidat: STANISLAV RUKSINSKI, Zamjenik: FERENC SALAI, Predlagatelj: ABECEDA DEMOKRACIJE - ABECEDA                                        ;Kandidat: PETER SEKEREŠ, Zamjenik: ROKUŠ KALAPIŠ, Predlagatelj: NEOVISNI KANDIDAT                                        ;Kandidat: mr.sc. DENEŠ ŠOJA, Zamjenik: JOSIP KEL, Predlagatelj: SAVEZ MAÐARSKIH UDRUGA                                       ;Kandidat: TIBOR VARGA, dipl.oec., Zamjenik: JOSIP JUHAS, Predlagatelj: NEOVISNI KANDIDAT                                        ;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;1;2;3;4;5;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD  ;265;217;47;47;45;2;4;0;30;6;5;;;;;;;;;;;;;;;;;;;;;;
1;ZAPREŠIÆ  ;20;17;1;1;1;0;0;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;
1;BISTRA  ;6;2;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
1;BRDOVEC  ;11;3;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
1;DUBRAVICA  ;6;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
1;JAKOVLJE  ;7;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
1;LUKA  ;2;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
1;MARIJA GORICA  ;5;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
1;PUŠÆA  ;7;1;1;1;1;0;0;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;
2;BJELOVAR  ;63;33;5;5;5;0;0;0;2;2;1;;;;;;;;;;;;;;;;;;;;;;
2;ÈAZMA  ;36;4;1;1;1;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2;DARUVAR  ;15;68;27;27;26;1;1;0;3;20;2;;;;;;;;;;;;;;;;;;;;;;
2;DUGO SELO  ;17;4;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2;ÐURÐEVAC  ;16;3;2;2;2;0;0;0;2;0;0;;;;;;;;;;;;;;;;;;;;;;
2;GAREŠNICA  ;26;37;2;2;2;0;0;1;0;1;0;;;;;;;;;;;;;;;;;;;;;;
2;GRUBIŠNO POLJE  ;15;84;38;38;37;1;3;0;1;31;2;;;;;;;;;;;;;;;;;;;;;;
2;KOPRIVNICA  ;37;17;3;3;2;1;0;0;1;1;0;;;;;;;;;;;;;;;;;;;;;;
2;KRIŽEVCI  ;55;4;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2;SVETI IVAN ZELINA  ;50;2;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2;VRBOVEC  ;40;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2;ZAGREB-ISTOÈNI DIO  ;125;39;7;7;7;0;3;0;2;2;0;;;;;;;;;;;;;;;;;;;;;;
2;BEDENICA  ;5;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2;BEREK  ;13;2;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2;BRCKOVLJANI  ;10;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2;DEŽANOVAC  ;11;58;21;21;21;0;3;1;2;15;0;;;;;;;;;;;;;;;;;;;;;;
2;DRNJE  ;3;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2;DUBRAVA  ;27;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2;ÐELEKOVEC  ;3;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2;ÐULOVAC  ;9;8;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2;FARKAŠEVAC  ;12;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2;FERDINANDOVAC  ;6;2;1;1;1;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2;GOLA  ;5;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2;GORNJA RIJEKA  ;6;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2;GRADEC  ;20;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2;HERCEGOVAC  ;6;9;1;1;1;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;
2;HLEBINE  ;3;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2;IVANSKA  ;13;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2;KALINOVAC  ;3;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2;KALNIK  ;7;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2;KAPELA  ;26;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2;KLOŠTAR PODRAVSKI  ;5;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2;KONÈANICA  ;7;22;5;5;5;0;0;0;0;5;0;;;;;;;;;;;;;;;;;;;;;;
2;KOPRIVNIÈKI BREGI  ;4;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2;KOPRIVNIÈKI IVANEC  ;6;2;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2;LEGRAD  ;6;12;2;2;2;0;2;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2;MOLVE  ;5;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2;NOVA RAÈA  ;13;30;2;2;2;0;0;0;0;2;0;;;;;;;;;;;;;;;;;;;;;;
2;NOVIGRAD PODRAVSKI  ;7;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2;NOVO VIRJE  ;3;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2;PETERANEC  ;3;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
2;PODRAVSKE SESVETE  ;4;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
