Grad/opæina;Redni broj biraèkog mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;Kandidat: RÓBERT JANKOVICS, Zamjenik: TIBOR SANTO, dr.med., Predlagatelj: DEMOKRATSKA ZAJEDNICA MAÐARA HRVATSKE - DZMH                                        ;Kandidat: STANISLAV RUKSINSKI, Zamjenik: FERENC SALAI, Predlagatelj: ABECEDA DEMOKRACIJE - ABECEDA                                        ;Kandidat: PETER SEKEREŠ, Zamjenik: ROKUŠ KALAPIŠ, Predlagatelj: NEOVISNI KANDIDAT                                        ;Kandidat: mr.sc. DENEŠ ŠOJA, Zamjenik: JOSIP KEL, Predlagatelj: SAVEZ MAÐARSKIH UDRUGA                                       ;Kandidat: TIBOR VARGA, dipl.oec., Zamjenik: JOSIP JUHAS, Predlagatelj: NEOVISNI KANDIDAT                                        ;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;1;2;3;4;5;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BAKAR;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
BELI MANASTIR;1;;1;1;1;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;
BENKOVAC;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
BIOGRAD NA MORU;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
BJELOVAR;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
BJELOVAR;2;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
BJELOVAR;3;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
BUJE;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
BUZET;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
CRES;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
CRIKVENICA;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
ÈAKOVEC;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
ÈAZMA;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
DARUVAR;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
DELNICE;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
DONJI MIHOLJAC;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
DRNIŠ;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
DUBROVNIK;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
DUBROVNIK;2;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
DUBROVNIK;3;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
DUBROVNIK;4;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
DUBROVNIK;5;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
DUBROVNIK;6;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
DUBROVNIK;7;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
DUBROVNIK;8;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
DUBROVNIK;9;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
DUBROVNIK;10;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
DUBROVNIK;11;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
DUBROVNIK;12;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
DUBROVNIK;13;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
DUBROVNIK;14;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
DUBROVNIK;15;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
DUBROVNIK;16;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
DUBROVNIK;17;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
DUBROVNIK;18;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
DUBROVNIK;19;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
DUBROVNIK;20;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
DUBROVNIK;21;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
DUBROVNIK;22;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
DUBROVNIK;23;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
DUBROVNIK;24;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
DUGO SELO;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
ÐAKOVO;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
ÐURÐEVAC;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
GAREŠNICA;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
GLINA;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
GOSPIÆ;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
GOSPIÆ;2;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
GOSPIÆ;3;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
GRUBIŠNO POLJE;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
HRVATSKA KOSTAJNICA;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
HVAR;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
ILOK;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
IMOTSKI;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
IVANIÆ-GRAD;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
KARLOVAC;1;;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
KARLOVAC;2;;1;1;1;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;
