Izborna jedinica;Grad/opæina;Redni broj biraèkog mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;Kandidat: RÓBERT JANKOVICS, Zamjenik: TIBOR SANTO, dr.med., Predlagatelj: DEMOKRATSKA ZAJEDNICA MAÐARA HRVATSKE - DZMH                                        ;Kandidat: STANISLAV RUKSINSKI, Zamjenik: FERENC SALAI, Predlagatelj: ABECEDA DEMOKRACIJE - ABECEDA                                        ;Kandidat: PETER SEKEREŠ, Zamjenik: ROKUŠ KALAPIŠ, Predlagatelj: NEOVISNI KANDIDAT                                        ;Kandidat: mr.sc. DENEŠ ŠOJA, Zamjenik: JOSIP KEL, Predlagatelj: SAVEZ MAÐARSKIH UDRUGA                                       ;Kandidat: TIBOR VARGA, dipl.oec., Zamjenik: JOSIP JUHAS, Predlagatelj: NEOVISNI KANDIDAT                                        ;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;1;2;3;4;5;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;2;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;3;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;4;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;5;2;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;6;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;7;1;1;1;1;0;0;0;1;0;0;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;8;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;9;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;10;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;11;2;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;12;2;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;13;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;14;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;15;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;16;5;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;17;2;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;18;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;19;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;20;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;21;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;22;3;1;1;1;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;23;2;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;24;3;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;25;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;26;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;27;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;28;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;29;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;30;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;31;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;32;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;33;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;34;2;1;1;1;0;1;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;35;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;36;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;37;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;38;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;39;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;40;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;41;2;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;42;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;43;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD;44;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;
