Izborna jedinica;Grad/opæina;Broj biraèkih mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;Kandidat: VLADIMIR BILEK, Predlagatelj: NEOVISNI KANDIDAT                                        ;Kandidat: VLADO CABRNOH, Predlagatelj: NEOVISNI KANDIDAT                                        ;Kandidat: mr.sc. ZDENKA ÈUHNIL, Predlagatelj: NEOVISNI KANDIDAT                                        ;Kandidat: JURAJ FOFONJKA, ing., Predlagatelj: NEOVISNI KANDIDAT                                        ;Kandidat: BOHUMIL KOPECKY, Predlagatelj: AUTOHTONA-HRVATSKA SELJAÈKA STRANKA - A-HSS                                        ;Kandidat: ANDRIJA KURIC, Predlagatelj: SAVEZ SLOVAKA - ZVÄZ SLOVÁKOV                                        ;Kandidat: MILOSLAV MALINA, Predlagatelj: DEMOKRATSKI CENTAR - DC                                        ;Kandidat: IVAN MILER, Predlagatelj: NEOVISNI KANDIDAT                                        ;Kandidat: JASNA VANIÈEK-FILA, dipl. bohemist i talijanist, Predlagatelj: NEOVISNI KANDIDAT                                        ;;;;;;;;;;;;;;;;;;
;;;;;;;;1;2;3;4;5;6;7;8;9;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD  ;265;134;40;39;39;0;4;0;18;9;2;3;0;0;3;;;;;;;;;;;;;;;;;;
1;ZAPREŠIÆ  ;20;7;4;4;4;0;0;0;3;0;0;0;0;0;1;;;;;;;;;;;;;;;;;;
1;BISTRA  ;6;1;1;1;1;0;0;0;1;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
1;BRDOVEC  ;11;2;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
1;DUBRAVICA  ;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
1;JAKOVLJE  ;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
1;LUKA  ;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
1;MARIJA GORICA  ;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
1;PUŠÆA  ;7;1;1;1;1;0;0;0;1;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
2;BJELOVAR  ;63;52;27;26;26;0;5;0;6;7;0;1;1;0;6;;;;;;;;;;;;;;;;;;
2;ÈAZMA  ;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
2;DARUVAR  ;15;1321;790;790;787;3;305;25;134;151;9;3;31;0;129;;;;;;;;;;;;;;;;;;
2;DUGO SELO  ;17;1;1;1;1;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
2;ÐURÐEVAC  ;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
2;GAREŠNICA  ;26;59;22;22;22;0;10;2;3;3;1;1;2;0;0;;;;;;;;;;;;;;;;;;
2;GRUBIŠNO POLJE  ;15;447;217;217;214;3;59;7;60;36;17;2;3;1;29;;;;;;;;;;;;;;;;;;
2;KOPRIVNICA  ;37;8;2;2;2;0;1;0;0;1;0;0;0;0;0;;;;;;;;;;;;;;;;;;
2;KRIŽEVCI  ;55;3;1;1;1;0;0;0;1;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
2;SVETI IVAN ZELINA  ;50;1;1;1;1;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
2;VRBOVEC  ;40;4;1;1;1;0;0;0;0;1;0;0;0;0;0;;;;;;;;;;;;;;;;;;
2;ZAGREB-ISTOÈNI DIO  ;125;84;38;37;36;1;11;1;16;2;1;0;0;0;5;;;;;;;;;;;;;;;;;;
2;BEDENICA  ;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
2;BEREK  ;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
2;BRCKOVLJANI  ;10;1;1;1;1;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
2;DEŽANOVAC  ;11;350;187;187;186;1;47;8;16;61;2;0;6;0;46;;;;;;;;;;;;;;;;;;
2;DRNJE  ;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
2;DUBRAVA  ;27;11;4;4;3;1;3;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
2;ÐELEKOVEC  ;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
2;ÐULOVAC  ;9;17;4;4;3;1;1;1;1;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
2;FARKAŠEVAC  ;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
2;FERDINANDOVAC  ;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
2;GOLA  ;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
2;GORNJA RIJEKA  ;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
2;GRADEC  ;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
2;HERCEGOVAC  ;6;102;41;41;41;0;20;1;4;13;0;1;0;0;2;;;;;;;;;;;;;;;;;;
2;HLEBINE  ;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
2;IVANSKA  ;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
2;KALINOVAC  ;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
2;KALNIK  ;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
2;KAPELA  ;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
2;KLOŠTAR PODRAVSKI  ;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
2;KONÈANICA  ;7;725;357;357;349;8;122;51;104;43;2;1;8;1;17;;;;;;;;;;;;;;;;;;
2;KOPRIVNIÈKI BREGI  ;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
2;KOPRIVNIÈKI IVANEC  ;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
2;LEGRAD  ;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
2;MOLVE  ;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
2;NOVA RAÈA  ;13;3;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
2;NOVIGRAD PODRAVSKI  ;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
2;NOVO VIRJE  ;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
2;PETERANEC  ;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
2;PODRAVSKE SESVETE  ;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
2;PRESEKA  ;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
2;RAKOVEC  ;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
2;RASINJA  ;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
2;ROVIŠÆE  ;12;3;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
2;SEVERIN  ;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
2;SIRAÈ  ;7;131;62;62;62;0;17;0;8;4;1;0;4;0;28;;;;;;;;;;;;;;;;;;
2;SOKOLOVAC  ;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
2;SVETI IVAN ŽABNO  ;17;2;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
2;SVETI PETAR OREHOVEC  ;14;3;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
2;ŠANDROVAC  ;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
2;ŠTEFANJE  ;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
2;VELIKA PISANICA  ;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
2;VELIKA TRNOVITICA  ;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
2;VELIKI GRÐEVAC  ;11;58;16;16;16;0;4;1;4;5;1;0;0;0;1;;;;;;;;;;;;;;;;;;
2;VELIKO TROJSTVO  ;12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
2;VIRJE  ;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
2;ZRINSKI TOPOLOVAC  ;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
3;ÈAKOVEC  ;30;2;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
3;DONJA STUBICA  ;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
3;IVANEC  ;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
3;KLANJEC  ;10;1;1;1;1;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
3;KRAPINA  ;15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
3;LEPOGLAVA  ;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
3;LUDBREG  ;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
3;MURSKO SREDIŠÆE  ;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
3;NOVI MAROF  ;30;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
3;OROSLAVJE  ;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
3;PREGRADA  ;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
3;PRELOG  ;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;
