Izborna jedinica;Grad/opæina;Broj biraèkih mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;Kandidat: SAMI ALIŠAN, Predlagatelj: SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, STRANKA DEMOKRATSKE AKCIJE HRVATSKE - SDA HRVATSKE, HRVATSKA ROMSKA DEMOKRATSKA STRANKA - HRDS;Kandidat: NADA BAJIÆ, Predlagatelj: HRVATSKA NARODNA STRANKA-LIBERALNI DEMOKRATI - HNS;Kandidat: BAJRO BAJRIÆ, Predlagatelj: UDRUGA ROMI ZA ROME HRVATSKE;"Kandidat: BOJAN BALOG, Predlagatelj: UDRUGA ""ZA BOLJITAK"" ROMA GORIÈAN";Kandidat: ŽELJKO BALOG, Predlagatelj: KROVNA ZAJEDNICA BAJAŠA HRVATSKE;Kandidat: ŽELJKO BOGDAN, Predlagatelj: UDRUGA ROMA VALPOVŠTINE;Kandidat: SLAVKO BURDA, Predlagatelj: SAVEZ RUSINA I UKRAJINACA REPUBLIKE HRVATSKE;Kandidat: VIKTOR FILIMA, Predlagatelj: NEOVISNI KANDIDAT;Kandidat: ŽELJKO GAÆA, Predlagatelj: SLAVONSKO-BARANJSKA HRVATSKA STRANKA - SBHS, MEÐIMURSKI DEMOKRATSKI SAVEZ - MDS, PRIMORSKO GORANSKI SAVEZ - PGS;Kandidat: SEAD HASANOVIÆ, Predlagatelj: NEOVISNI KANDIDAT;Kandidat: MILAN IGNAC, Predlagatelj: UDRUGA ROMA BAJAŠA MEÐIMURSKE ŽUPANIJE;"Kandidat: ZVONKO KALANJOŠ, Predlagatelj: ""DRUŠTVO UÈITELJA I ROMSKIH POMAGAÈA-IZVOR""";"Kandidat: ZVONKO KOSTELNIK, prof., Predlagatelj: KULTURNO UMJETNIÈKO DRUŠTVO ""JOAKIM HARDI"" PETROVCI";"Kandidat: DUŠKO KOSTIÆ, Predlagatelj: UDRUGA ROMSKOG PRIJATELJSTVA ""LUNA""";Kandidat: NAZIF MEMEDI, Predlagatelj: MREŽA ROMSKIH UDRUGA HRVATSKE MRUH;Kandidat: TOFKO MOMIROVIÆ-DEDIÆ, Predlagatelj: AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH;Kandidat: VALTER NEUGEBAUER, Predlagatelj: HRVATSKA SELJAÈKA STRANKA - HSS;Kandidat: VESNA PICHLER, Predlagatelj: SAVEZ NIJEMACA I AUSTRIJANACA HRVATSKE, CENTRALA-OSIJEK;"Kandidat: ZVONKO RAC, Predlagatelj: KULTURNO UMJETNIÈKO DRUŠTVO ""OSIF KOSTELNIK"" VUKOVAR";Kandidat: NUSRET SEFEROVIÆ, Predlagatelj: NEOVISNI KANDIDAT;Kandidat: RENATA TRISCHLER, dipl.oec., Predlagatelj: NJEMAÈKA NARODNOSNA ZAJEDNICA - ZEMALJSKA UDRUGA PODUNAVSKIH ŠVABA U HRVATSKOJ - OSIJEK;"Kandidat: JOSIP ZAVACKI, Predlagatelj: POLJSKA KULTURNA UDRUGA ""MIKOLAJ KOPERNIK""";;;;;
;;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;ZAGREB-CENTAR,ZAPAD  ;265;515;142;140;137;3;12;5;13;0;1;0;10;23;0;9;0;0;2;1;25;2;8;2;0;5;15;4;;;;;
1;ZAPREŠIÆ  ;20;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
1;BISTRA  ;6;3;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
1;BRDOVEC  ;11;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
1;DUBRAVICA  ;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
1;JAKOVLJE  ;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
1;LUKA  ;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
1;MARIJA GORICA  ;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
1;PUŠÆA  ;7;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
2;BJELOVAR  ;63;205;10;10;9;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;;;;;
2;ÈAZMA  ;36;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
2;DARUVAR  ;15;25;5;5;5;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;;;;;
2;DUGO SELO  ;17;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
2;ÐURÐEVAC  ;16;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
2;GAREŠNICA  ;26;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
2;GRUBIŠNO POLJE  ;15;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
2;KOPRIVNICA  ;37;39;3;3;3;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;;;;
2;KRIŽEVCI  ;55;7;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
2;SVETI IVAN ZELINA  ;50;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;
