Izborna jedinica;Grad / opæine;Broj biraèkih mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: STJEPAN VUJANIÆ ;AGENDA MLADIH DEMOKRATA - AMD, HRVATSKA STRANKA MLADIH - HSM, Nositelj liste: IGOR KINDIJ;AKCIJA MLADIH - AM, Nositelj liste: ALAN SANKOVIÆ ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH, SPLITSKA STRANKA UMIROVLJENIKA - SSU, Nositelj liste: ZLATKO KLARIÆ, prof. ;AKCIJA ZA BOLJU HRVATSKU - ABH, HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS, JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA, Nositelj liste: MILOVAN ŠIBL ;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP, Nositelj liste: MARKO FRANCIŠKOVIÆ  ;BLOK UMIROVLJENICI ZAJEDNO - BUZ, PRIMORSKO GORANSKI SAVEZ - PGS, HRVATSKA RADNIÈKA STRANKA - HRS, Nositelj liste: prof.dr.sc. LJUBO JURÈIÆ ;DEMOKRATSKA STRANKA SLAVONSKE RAVNICE - SLAVONSKA RAVNICA, Nositelj liste: SLAVKO VUKŠIÆ ;DEMOKRATSKA STRANKA ŽENA - DSŽ, Nositelj liste: MARIJA JELINÈIÆ ;GLAS RAZUMA, Nositelj liste: STJEPAN RADILOVIÆ, dipl.organizator poslovanja ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, Nositelj liste: JADRANKA KOSOR  ;HRVATSKA 21. STOLJEÆA - HRVATSKA 21., Nositelj liste: VEDRANA MILAS  ;HRVATSKA EUROPSKA STRANKA - HES, Nositelj liste: NAJA ŠEBALJ ;HRVATSKA SELJAÈKA STRANKA - HSS, ZELENA STRANKA - ZS, STRANKA PENZIONERA - SP, Nositelj liste: DARKO VULETIÆ ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS, Nositelj liste: prof.dr.sc. VELIMIR SRIÆA  ;HRVATSKA STRANKA PRAVA - HSP, Nositelj liste: ANTE PRKAÈIN  ;HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ, HRVATSKA ÈISTA STRANKA PRAVA - HÈSP, Nositelj liste: RUŽA TOMAŠIÆ;HRVATSKA STRANKA ZELENIH - EKO SAVEZ - ZELENI, Nositelj liste: mr.sc. ZLATKO SVIBEN, dipl.inž.;HRVATSKI LABURISTI-STRANKA RADA, Nositelj liste: DRAGUTIN LESAR  ;HRVATSKI RAST - HRAST, Nositelj liste: KREŠIMIR MILETIÆ ;NACIONALNI DEMOKRATI - ND, DEAN GOLUBIÆ, dipl.krim.  ;NEOVISNA LISTA, Nositelj liste: MILAN BANDIÆ;NEOVISNA LISTA, Nositelj liste: DAMIR GAŠPAROVIÆ  ;NEOVISNA LISTA, Nositelj liste: dr.sc. IVAN GRUBIŠIÆ  ;NEOVISNA LISTA, Nositelj liste: HRVOJE MIRKOVIÆ;NEOVISNA LISTA, Nositelj liste: VEDRAN SENJANOVIÆ  ;NEOVISNA LISTA, Nositelj liste: SINIŠA VUCO ;NOVA HRVATSKA - NH, Nositelj liste: BORKO ŠAMIJA ;OBITELJSKA STRANKA - OS, Nositelj liste: MATE KNEZOVIÆ;SAVEZ ZA PROMJENE - SP, AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS, Nositelj liste: IVAN PERNAR ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, ISTARSKI DEMOKRATSKI SABOR - IDS, HRVATSKA STRANKA UMIROVLJENIKA - HSU, Nositelj liste: ZORAN MILANOVIÆ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP, Nositelj liste: mr.sc. BOŽIDAR DUGONJIÆ ;STRANKA HRVATSKOG ZAJEDNIŠTVA - SHZ, Nositelj liste: ŽELJKO VINSKI, ing.grad.  ;VOLIM HRVATSKU - VH, Nositelj liste: ROKO ŠIKIÆ  ;ZAGORSKA DEMOKRATSKA STRANKA - ZDS, Nositelj liste: LJUBOMIR PULJIÆ  ;ZAGORSKA STRANKA - ZS, Nositelj liste: BOŽIDAR PTIÈAR;ZAGREBAÈKA NEZAVISNA LISTA - ZNL, Nositelj liste: mr.sc. TATJANA HOLJEVAC, dipl.ing.;ZELENA LISTA, Nositelj liste: NEVA TOLLE ;ZELENI ZAJEDNO, Nositelj liste: VERA PETRINJAK-ŠIMEK 
;;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;265;310.352;206.968;205.860;202.845;3.015;87;305;433;1.141;755;315;7.504;225;553;138;36.282;285;113;2.093;9.494;5.725;5.950;1.181;15.697;4.707;234;4.974;160;5.125;78;166;796;48;255;769;93.531;383;52;362;166;232;1.217;773;541
I. IZBORNA JEDINICA;ZAPREŠIÆ;20;22.431;14.500;14.479;14.227;252;12;19;51;97;42;27;538;20;62;12;2.548;21;8;210;502;523;443;84;1.158;608;31;261;21;230;1;6;76;3;12;80;6.264;14;6;22;27;84;22;52;30
I. IZBORNA JEDINICA;BISTRA;6;5.765;3.552;3.551;3.474;77;3;8;11;29;8;12;122;3;17;3;966;6;2;65;89;223;73;18;254;40;7;98;4;39;3;4;19;2;2;31;1.238;4;1;5;14;18;9;14;10
I. IZBORNA JEDINICA;BRDOVEC;11;10.239;6.456;6.456;6.368;88;7;11;30;42;14;9;176;8;27;6;1.239;11;9;272;166;207;124;38;458;141;14;139;8;65;2;6;29;5;6;43;2.951;21;2;7;9;15;11;28;12
I. IZBORNA JEDINICA;DUBRAVICA;6;1.259;771;771;755;16;0;1;5;7;3;3;16;2;4;3;269;3;0;49;16;25;5;1;51;11;2;6;1;4;0;1;2;0;0;9;244;3;0;1;1;5;1;1;0
I. IZBORNA JEDINICA;JAKOVLJE;6;3.367;1.984;1.984;1.926;58;4;6;7;14;9;8;61;0;11;0;355;10;0;66;41;62;36;7;121;18;7;56;3;12;2;1;16;1;6;11;913;8;1;6;6;23;10;5;3
I. IZBORNA JEDINICA;LUKA;2;1.174;663;663;641;22;0;0;4;4;4;5;24;1;6;0;158;0;2;35;20;12;18;11;55;14;1;14;1;3;0;0;5;0;0;4;225;0;0;0;6;3;3;2;1
I. IZBORNA JEDINICA;MARIJA GORICA;5;1.957;1.266;1.266;1.238;28;0;1;9;8;1;3;32;2;9;2;328;2;1;39;29;25;17;2;83;46;4;17;1;11;0;1;5;0;1;10;536;4;1;0;2;5;0;1;0
I. IZBORNA JEDINICA;PUŠÆA;7;2.206;1.329;1.329;1.304;25;4;3;6;4;2;1;50;2;5;1;195;2;1;77;40;37;14;8;71;22;3;31;4;9;0;1;6;0;2;13;653;2;2;1;3;18;5;5;1
I. IZBORNA JEDINICA;UKUPNO;328;358.750;237.489;236.359;232.778;3.581;117;354;556;1.346;838;383;8.523;263;694;165;42.340;340;136;2.906;10.397;6.839;6.680;1.350;17.948;5.607;303;5.596;203;5.498;86;186;954;59;284;970;106.555;439;65;404;234;403;1.278;881;598
