Izborna jedinica;Grad / opæine;BM Rbr;BM Naziv;BM Lokacija;BM Adresa;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: STJEPAN VUJANIÆ ;AGENDA MLADIH DEMOKRATA - AMD, HRVATSKA STRANKA MLADIH - HSM, Nositelj liste: IGOR KINDIJ;AKCIJA MLADIH - AM, Nositelj liste: ALAN SANKOVIÆ ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH, SPLITSKA STRANKA UMIROVLJENIKA - SSU, Nositelj liste: ZLATKO KLARIÆ, prof. ;AKCIJA ZA BOLJU HRVATSKU - ABH, HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS, JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA, Nositelj liste: MILOVAN ŠIBL ;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP, Nositelj liste: MARKO FRANCIŠKOVIÆ  ;BLOK UMIROVLJENICI ZAJEDNO - BUZ, PRIMORSKO GORANSKI SAVEZ - PGS, HRVATSKA RADNIÈKA STRANKA - HRS, Nositelj liste: prof.dr.sc. LJUBO JURÈIÆ ;DEMOKRATSKA STRANKA SLAVONSKE RAVNICE - SLAVONSKA RAVNICA, Nositelj liste: SLAVKO VUKŠIÆ ;DEMOKRATSKA STRANKA ŽENA - DSŽ, Nositelj liste: MARIJA JELINÈIÆ ;GLAS RAZUMA, Nositelj liste: STJEPAN RADILOVIÆ, dipl.organizator poslovanja ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, Nositelj liste: JADRANKA KOSOR  ;HRVATSKA 21. STOLJEÆA - HRVATSKA 21., Nositelj liste: VEDRANA MILAS  ;HRVATSKA EUROPSKA STRANKA - HES, Nositelj liste: NAJA ŠEBALJ ;HRVATSKA SELJAÈKA STRANKA - HSS, ZELENA STRANKA - ZS, STRANKA PENZIONERA - SP, Nositelj liste: DARKO VULETIÆ ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS, Nositelj liste: prof.dr.sc. VELIMIR SRIÆA  ;HRVATSKA STRANKA PRAVA - HSP, Nositelj liste: ANTE PRKAÈIN  ;HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ, HRVATSKA ÈISTA STRANKA PRAVA - HÈSP, Nositelj liste: RUŽA TOMAŠIÆ;HRVATSKA STRANKA ZELENIH - EKO SAVEZ - ZELENI, Nositelj liste: mr.sc. ZLATKO SVIBEN, dipl.inž.;HRVATSKI LABURISTI-STRANKA RADA, Nositelj liste: DRAGUTIN LESAR  ;HRVATSKI RAST - HRAST, Nositelj liste: KREŠIMIR MILETIÆ ;NACIONALNI DEMOKRATI - ND, DEAN GOLUBIÆ, dipl.krim.  ;NEOVISNA LISTA, Nositelj liste: MILAN BANDIÆ;NEOVISNA LISTA, Nositelj liste: DAMIR GAŠPAROVIÆ  ;NEOVISNA LISTA, Nositelj liste: dr.sc. IVAN GRUBIŠIÆ  ;NEOVISNA LISTA, Nositelj liste: HRVOJE MIRKOVIÆ;NEOVISNA LISTA, Nositelj liste: VEDRAN SENJANOVIÆ  ;NEOVISNA LISTA, Nositelj liste: SINIŠA VUCO ;NOVA HRVATSKA - NH, Nositelj liste: BORKO ŠAMIJA ;OBITELJSKA STRANKA - OS, Nositelj liste: MATE KNEZOVIÆ;SAVEZ ZA PROMJENE - SP, AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS, Nositelj liste: IVAN PERNAR ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, ISTARSKI DEMOKRATSKI SABOR - IDS, HRVATSKA STRANKA UMIROVLJENIKA - HSU, Nositelj liste: ZORAN MILANOVIÆ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP, Nositelj liste: mr.sc. BOŽIDAR DUGONJIÆ ;STRANKA HRVATSKOG ZAJEDNIŠTVA - SHZ, Nositelj liste: ŽELJKO VINSKI, ing.grad.  ;VOLIM HRVATSKU - VH, Nositelj liste: ROKO ŠIKIÆ  ;ZAGORSKA DEMOKRATSKA STRANKA - ZDS, Nositelj liste: LJUBOMIR PULJIÆ  ;ZAGORSKA STRANKA - ZS, Nositelj liste: BOŽIDAR PTIÈAR;ZAGREBAÈKA NEZAVISNA LISTA - ZNL, Nositelj liste: mr.sc. TATJANA HOLJEVAC, dipl.ing.;ZELENA LISTA, Nositelj liste: NEVA TOLLE ;ZELENI ZAJEDNO, Nositelj liste: VERA PETRINJAK-ŠIMEK ;;;;;;;;;
;;;;;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;1;ANDRIJA MEDULIÆ;PRVA EKONOMSKA ŠKOLA;MEDULIÆEVA 33;767;512;512;501;11;0;2;1;6;3;0;22;0;2;0;66;0;0;5;23;16;9;0;59;4;0;15;1;16;0;2;2;0;0;1;231;0;0;3;0;2;6;2;2;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;2;ANDRIJA MEDULIÆ;PRVA EKONOMSKA ŠKOLA;MEDULIÆEVA 33;1.022;697;687;676;11;0;0;1;1;4;1;22;2;0;0;239;0;0;2;27;20;21;3;38;20;0;9;0;9;0;0;5;0;1;2;229;2;0;4;0;2;8;3;1;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;3;ANDRIJA MEDULIÆ;PROSTORIJE MJESNOG ODBORA;MEDULIÆEVA 30;583;396;396;390;6;0;0;0;0;1;1;10;1;0;0;77;0;0;3;18;10;18;1;44;2;0;5;0;12;0;1;3;0;0;0;177;1;0;1;0;0;1;2;1;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;4;AUGUST ŠENOA;PROSTORIJE MJESNOG ODBORA;PAVLA HATZA 8;1.568;971;970;951;19;0;1;2;5;1;2;27;1;1;0;202;3;0;7;40;35;18;3;74;29;1;18;1;26;0;0;3;0;0;5;425;2;0;2;0;4;5;3;5;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;5;AUGUST ŠENOA;PROSTORIJE MJESNOG ODBORA;PAVLA HATZA 8;1.392;915;915;908;7;0;0;5;1;4;0;32;0;3;0;185;0;1;10;44;35;17;5;72;15;1;22;0;27;0;2;6;1;1;2;401;3;0;0;1;0;4;8;0;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;6;CVJETNI TRG;PROSTORIJE MJESNOG ODBORA;PROLAZ SESTARA BAKOVIÆ 3/1;807;527;525;519;6;0;0;2;4;0;0;16;0;1;0;79;0;2;4;26;14;8;2;28;17;0;9;0;17;0;0;2;0;0;4;276;1;0;1;0;0;2;4;0;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;7;CVJETNI TRG;PROSTORIJE MJESNOG ODBORA;PROLAZ SESTARA BAKOVIÆ 3/1;715;466;453;443;10;0;1;1;1;3;1;7;0;0;0;86;0;0;5;25;17;8;6;29;6;0;8;0;13;1;0;1;0;1;2;205;3;0;3;0;0;6;2;2;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;8;CVJETNI TRG;PODRUÈNI URED CENTAR;ILICA 25;1.011;658;658;650;8;0;0;2;4;3;0;28;0;0;1;88;0;1;7;40;17;20;0;55;7;0;12;0;18;0;1;2;0;1;4;324;1;0;0;0;0;7;6;1;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;9;HRVATSKI NARODNI VLADARI;OŠ DR IVANA MERZA;RAÈKOGA 4;1.804;1.146;1.145;1.128;17;0;3;1;7;6;0;45;1;3;0;204;4;0;8;43;26;35;6;70;12;1;19;0;24;1;3;4;0;0;6;574;1;0;4;0;0;8;6;3;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;10;KNEZ MISLAV;VII GIMNAZIJA;KRIŽANIÆEVA 4;917;633;633;625;8;1;0;0;5;8;0;25;1;1;1;101;1;0;3;24;21;10;0;44;24;2;9;0;16;0;1;2;0;0;3;308;0;0;2;0;0;3;3;6;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;11;KNEZ MISLAV;VII GIMNAZIJA;KRIŽANIÆEVA 4;1.118;744;744;731;13;0;6;0;2;0;0;29;0;2;0;127;2;2;5;30;19;22;10;54;15;2;15;0;28;0;1;1;0;3;1;349;0;0;1;0;0;3;2;0;;;;;;;;;
I. IZBORNA JEDINICA;ZAGREB-CENTAR,ZAPAD;12;KNEZ MISLAV;VII GIMNAZIJA;KRIŽANIÆEVA 4;968;733;674;664;10;0;3;0;2;0;0;11;0;0;1;85;0;1;8;23;16;13;3;39;15;0;5;0;17;0;1;5;0;1;3;400;0;1;0;0;0;3;3;5;;;;;;;;;
