Izborna jedinica;Grad / opæina;Broj biraèkih mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: VLADIMIR KONEÈNY, prof. ;AGENDA MLADIH DEMOKRATA - AMD , HRVATSKA STRANKA MLADIH - HSM  , Nositelj liste:  VLADIMIR SEVER  ;AKCIJA MLADIH - AM  , Nositelj liste:  IGOR PUHAR;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH , SPLITSKA STRANKA UMIROVLJENIKA - SSU  , Nositelj liste:  ZLATKO KLARIÆ, prof.;AKCIJA ZA BOLJU HRVATSKU - ABH , JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA  , Nositelj liste:  mr.sc. ŽELJKO SAÈIÆ;AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS , SAVEZ ZA PROMJENE - SP , DEMOKRATSKA PRIGORSKO-ZAGREBAÈKA STRANKA - DPS  , Nositelj liste:  IVAN PERNAR  ;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  MILAN BINGULA ;BLOK UMIROVLJENICI ZAJEDNO - BUZ , PRIMORSKO GORANSKI SAVEZ - PGS , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ ;DEMOKRATSKA STRANKA SLAVONSKE RAVNICE - SLAVONSKA RAVNICA  , Nositelj liste:  SLAVKO VUKŠIÆ ;DEMOKRATSKA STRANKA ŽENA - DSŽ  , Nositelj liste:  MARIJA JELINÈIÆ  ;GLAS RAZUMA  , Nositelj liste:  MILAN LELAS, dipl.ing.prometa, pilot ;HRVATSKA DEMOKRATSKA SELJAÈKA STRANKA - HDSS  , Nositelj liste:  VLADO MIKLOBUŠEC  ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ  , Nositelj liste:  JADRANKA KOSOR;HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS  , Nositelj liste:  prof.dr.sc. JOSIP JURÈEVIÆ ;HRVATSKA 21. STOLJEÆA - HRVATSKA 21.  , Nositelj liste:  DARKO PETRIÈIÆ ;HRVATSKA EUROPSKA STRANKA - HES  , Nositelj liste:  NAJA ŠEBALJ ;HRVATSKA SELJAÈKA STRANKA - HSS  , Nositelj liste:  JOSIP FRIŠÈIÆ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS  , Nositelj liste:  DARINKO KOSOR  ;HRVATSKA STRANKA PRAVA - HSP  , Nositelj liste:  DANIEL SRB ;  , HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  RUŽA TOMAŠIÆ ;HRVATSKI LABURISTI-STRANKA RADA  , Nositelj liste:  DRAGUTIN LESAR;HRVATSKI RAST - HRAST  , Nositelj liste:  ZVONKO BAJAN  ;NACIONALNI DEMOKRATI - ND  , Nositelj liste:  EMIL ZORAJ ;Predlagatelji: NEOVISNA LISTA  , Nositelj liste:  MILAN BANDIÆ;NEOVISNA LISTA  , Nositelj liste:  DARKO DUGA;NEOVISNA LISTA  , Nositelj liste:  dr.sc. IVAN GRUBIŠIÆ;NEOVISNA LISTA  , Nositelj liste:  BRANKO STOJKOVIÆ ;NOVA HRVATSKA - NH  , Nositelj liste:  BORKO ŠAMIJA;OBITELJSKA STRANKA - OS  , Nositelj liste:  KREŠIMIR ŠTETIÆ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU  , Nositelj liste:  ZORAN MILANOVIÆ  ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP  , Nositelj liste:  RANKO JEFTIMIJA, dr.  ;VOLIM HRVATSKU - VH  , Nositelj liste:  ROKO ŠIKIÆ ;ZAGREBAÈKA NEZAVISNA LISTA - ZNL  , Nositelj liste:  mr.sc. TATJANA HOLJEVAC, dipl.ing. ;ZELENA LISTA  , Nositelj liste:  ŽELJKO TUPEK ;ZELENA STRANKA - ZS  , Nositelj liste:  LJUBO SUBOTIÆ, prof.;ZELENI ZAJEDNO  , Nositelj liste:  SRÐAN DVORNIK, mag. pol. 
;;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36
II. IZBORNA JEDINICA;BJELOVAR;63;34.807;22.191;22.053;21.728;325;10;108;80;163;183;103;29;641;16;68;22;67;4.295;80;23;13;1.006;1.500;788;386;1.274;112;6;173;13;232;22;6;23;10.093;43;34;7;47;24;38
II. IZBORNA JEDINICA;ÈAZMA;34;7.258;4.577;4.577;4.504;73;2;12;20;44;71;44;14;94;10;15;12;29;815;18;6;4;452;116;122;82;320;27;6;69;3;36;4;0;9;2.002;6;7;3;15;10;5
II. IZBORNA JEDINICA;DARUVAR;15;9.238;5.722;5.721;5.622;99;2;6;15;39;23;26;10;150;15;23;4;12;1.382;15;4;0;204;254;149;61;459;20;3;27;2;64;2;1;13;2.563;39;3;1;12;7;12
II. IZBORNA JEDINICA;DUGO SELO;18;15.867;8.936;8.928;8.836;92;6;18;43;54;37;48;12;261;21;42;25;16;2.148;39;5;8;309;340;393;300;526;153;4;315;1;144;2;3;33;3.423;16;4;8;36;21;22
II. IZBORNA JEDINICA;ÐURÐEVAC;16;6.983;4.657;4.657;4.565;92;8;16;20;33;117;28;40;77;25;26;5;15;809;22;4;2;227;191;57;86;243;36;2;38;13;21;4;0;4;2.348;14;5;1;11;4;13
II. IZBORNA JEDINICA;GAREŠNICA;26;9.246;5.727;5.727;5.638;89;2;15;21;39;23;38;28;151;16;23;9;28;1.306;14;5;6;273;375;174;84;265;27;2;52;3;40;3;1;4;2.556;16;2;1;11;6;19
II. IZBORNA JEDINICA;GRUBIŠNO POLJE;16;5.754;3.299;3.298;3.246;52;8;16;11;19;21;13;11;58;6;9;11;12;1.150;13;2;2;165;72;99;34;137;15;2;35;2;27;1;0;1;1.271;5;5;2;8;0;3
II. IZBORNA JEDINICA;KOPRIVNICA;38;26.842;18.566;18.552;18.326;226;9;26;57;80;46;73;72;608;6;59;23;42;2.378;78;9;2;626;601;284;176;1.198;218;7;71;25;136;5;9;28;11.212;23;27;5;37;29;41
II. IZBORNA JEDINICA;KRIŽEVCI;51;18.095;11.345;11.338;11.173;165;6;24;39;60;25;234;19;245;10;29;11;153;1.823;41;9;17;1.068;377;198;83;741;92;9;116;6;72;4;5;13;5.543;32;23;4;16;11;15
II. IZBORNA JEDINICA;SVETI IVAN ZELINA;50;14.257;8.802;8.802;8.631;171;3;24;25;48;28;71;20;169;6;31;8;39;1.637;30;3;3;1.089;484;162;130;485;48;6;161;6;99;2;7;5;3.705;14;12;9;41;15;6
II. IZBORNA JEDINICA;VRBOVEC;40;12.700;8.212;8.210;8.064;146;5;23;26;48;31;80;15;215;15;37;10;26;1.502;28;11;6;862;284;169;100;450;77;3;175;8;57;0;4;16;3.684;16;12;12;22;11;24
II. IZBORNA JEDINICA;ZAGREB-ISTOÈNI DIO;127;139.819;84.752;84.476;83.238;1.238;52;168;280;584;581;405;171;2.828;120;292;106;183;17.698;371;56;42;1.822;3.648;2.937;3.047;5.278;1.664;51;5.362;32;1.580;20;42;156;31.768;155;129;336;942;153;179
II. IZBORNA JEDINICA;BEDENICA;5;1.180;740;740;729;11;1;1;2;9;2;6;3;17;0;4;2;0;196;3;0;0;40;31;8;7;43;3;0;9;0;4;2;0;2;321;5;1;0;4;1;2
II. IZBORNA JEDINICA;BEREK;13;1.277;772;772;762;10;2;2;2;8;0;12;4;22;1;2;1;2;253;1;1;0;66;32;21;11;32;5;1;4;0;2;1;1;2;268;0;0;0;0;1;2
II. IZBORNA JEDINICA;BRCKOVLJANI;10;5.949;3.179;3.169;3.113;56;3;11;15;45;16;20;10;110;5;16;8;9;813;16;2;1;150;140;90;50;173;49;4;137;0;34;1;3;4;1.130;7;2;5;21;2;11
II. IZBORNA JEDINICA;DEŽANOVAC;11;2.081;1.222;1.222;1.196;26;1;3;2;13;6;10;1;11;2;3;2;10;409;1;1;0;186;24;23;4;29;11;1;8;0;0;1;0;0;419;8;1;0;1;4;1
II. IZBORNA JEDINICA;DRNJE;3;1.594;1.021;1.021;1.005;16;4;3;1;2;2;1;3;36;1;3;1;3;128;7;2;0;79;30;37;2;73;2;0;4;3;4;2;0;0;560;1;1;2;2;3;3
II. IZBORNA JEDINICA;DUBRAVA;27;4.274;2.619;2.614;2.561;53;2;6;11;17;15;49;14;80;1;14;4;31;515;10;0;0;204;67;69;26;116;2;2;48;1;23;0;2;5;1.193;4;1;2;7;6;14
II. IZBORNA JEDINICA;ÐELEKOVEC;3;1.383;851;851;832;19;2;0;3;3;1;6;1;32;0;1;3;4;155;3;1;0;70;11;24;13;73;3;0;5;0;1;0;2;3;403;2;0;1;3;2;1
II. IZBORNA JEDINICA;ÐULOVAC;9;2.997;1.509;1.507;1.476;31;3;0;1;6;3;8;5;19;2;4;0;5;901;5;2;2;97;15;32;7;51;5;1;4;0;2;0;2;4;280;6;1;1;1;0;1
II. IZBORNA JEDINICA;FARKAŠEVAC;12;1.525;936;936;910;26;0;4;4;12;11;6;0;24;3;6;0;9;246;2;0;3;80;16;39;7;34;8;0;30;0;1;1;1;1;354;1;1;0;1;1;4
II. IZBORNA JEDINICA;FERDINANDOVAC;6;1.551;884;882;870;12;0;0;0;3;9;9;4;13;8;1;1;2;214;3;0;2;117;16;18;4;32;4;1;8;0;3;2;0;1;382;2;3;0;3;3;2
II. IZBORNA JEDINICA;GOLA;5;2.040;1.216;1.216;1.192;24;2;3;2;4;8;6;12;30;2;5;0;1;384;9;4;1;161;29;26;12;45;9;0;2;1;13;0;1;0;414;0;4;0;0;1;1
II. IZBORNA JEDINICA;GORNJA RIJEKA;6;1.478;871;869;852;17;2;2;2;8;6;9;1;10;0;1;0;22;197;4;1;1;212;13;12;2;26;4;1;7;0;7;0;0;0;299;0;0;1;0;0;2
II. IZBORNA JEDINICA;GRADEC;20;3.189;1.971;1.971;1.917;54;5;0;10;14;8;20;8;79;5;7;3;18;357;2;1;1;211;55;45;38;96;9;0;42;2;13;0;0;1;839;7;2;0;9;6;4
II. IZBORNA JEDINICA;HERCEGOVAC;6;2.051;1.236;1.236;1.199;37;2;5;9;10;15;6;7;42;2;6;2;15;192;4;0;0;154;63;66;8;72;2;1;12;0;9;0;1;2;481;0;2;0;4;3;2
II. IZBORNA JEDINICA;HLEBINE;3;1.152;638;638;630;8;0;1;0;5;1;4;2;12;0;2;3;6;137;1;1;0;64;44;11;6;38;0;0;4;1;5;0;0;1;272;1;2;4;1;0;1
II. IZBORNA JEDINICA;IVANSKA;13;2.479;1.512;1.512;1.465;47;5;3;4;24;6;22;6;27;4;13;2;10;331;4;9;1;180;97;69;18;60;3;2;16;1;3;3;3;3;521;5;1;1;6;0;2
II. IZBORNA JEDINICA;KALINOVAC;3;1.378;912;912;898;14;2;2;2;4;8;13;4;14;2;4;1;10;297;5;2;0;47;40;15;8;38;1;0;2;1;8;0;1;0;353;4;3;1;3;0;3
II. IZBORNA JEDINICA;KALNIK;7;1.231;718;718;698;20;0;0;3;5;1;18;2;3;1;4;1;37;138;2;0;1;138;22;4;6;34;5;0;4;0;1;1;0;0;259;0;2;0;3;2;1
II. IZBORNA JEDINICA;KAPELA;25;2.749;1.633;1.632;1.603;29;0;3;2;13;8;8;6;22;3;7;3;13;476;6;2;1;136;159;46;22;52;10;1;15;3;1;2;1;3;567;1;3;2;1;2;3
II. IZBORNA JEDINICA;KLOŠTAR PODRAVSKI;5;2.742;1.634;1.634;1.594;40;3;3;6;17;66;10;10;48;12;6;3;7;422;6;2;1;200;36;21;12;48;11;0;6;2;12;1;1;6;604;2;3;0;3;1;3
II. IZBORNA JEDINICA;KONÈANICA;7;1.464;932;932;915;17;2;4;1;14;2;17;4;13;2;4;2;7;239;1;1;2;52;64;28;5;36;0;2;7;0;4;0;1;3;388;4;1;0;1;2;2
II. IZBORNA JEDINICA;KOPRIVNIÈKI BREGI;4;2.064;1.203;1.203;1.178;25;2;1;4;4;2;15;8;32;1;4;2;5;221;8;1;2;138;20;34;13;54;9;2;8;1;4;4;1;1;565;3;1;1;3;0;4
II. IZBORNA JEDINICA;KOPRIVNIÈKI IVANEC;6;1.896;1.218;1.218;1.189;29;1;1;2;2;0;7;4;18;1;1;1;4;269;3;1;0;331;11;19;6;51;10;2;4;1;7;1;1;0;423;2;0;0;3;2;0
II. IZBORNA JEDINICA;LEGRAD;6;2.250;1.382;1.382;1.371;11;0;5;3;15;4;5;5;30;0;2;1;6;260;5;2;1;98;30;18;14;107;7;3;8;3;7;1;1;0;717;4;2;2;1;1;3
II. IZBORNA JEDINICA;MOLVE;5;1.805;1.173;1.173;1.149;24;0;2;1;12;3;13;37;18;2;2;3;5;261;5;0;0;263;58;20;3;34;7;2;9;5;6;0;1;2;370;1;2;0;0;0;2
II. IZBORNA JEDINICA;NOVA RAÈA;13;2.996;1.803;1.803;1.769;34;3;11;6;20;10;13;3;45;4;7;3;13;474;5;1;1;232;127;66;23;72;0;2;23;0;13;1;0;2;577;2;2;0;1;3;4
II. IZBORNA JEDINICA;NOVIGRAD PODRAVSKI;7;2.517;1.516;1.516;1.482;34;2;3;3;6;8;9;13;36;0;5;3;9;279;14;3;1;99;52;21;29;86;11;0;5;42;6;0;1;3;722;1;1;0;1;3;5
II. IZBORNA JEDINICA;NOVO VIRJE;3;1.052;606;606;586;20;0;1;4;2;5;6;2;14;0;5;0;2;102;3;0;0;127;16;7;7;18;4;0;4;1;4;0;0;1;247;1;0;1;2;0;0
II. IZBORNA JEDINICA;PETERANEC;3;2.172;1.365;1.365;1.339;26;2;7;9;9;3;6;5;42;0;4;2;4;261;6;1;2;144;60;40;12;63;2;1;13;2;8;1;0;4;612;3;2;0;1;7;1
II. IZBORNA JEDINICA;PODRAVSKE SESVETE;4;1.419;862;861;847;14;1;2;6;0;6;5;5;16;15;2;0;5;246;4;1;1;27;15;15;8;28;4;0;7;2;11;1;1;0;402;0;8;0;1;0;2
II. IZBORNA JEDINICA;PRESEKA;14;1.169;816;816;804;12;1;1;4;5;1;11;2;32;2;2;0;8;139;6;0;1;111;10;21;6;32;2;0;11;1;2;3;1;2;382;1;1;0;2;0;1
II. IZBORNA JEDINICA;RAKOVEC;11;1.030;899;899;892;7;0;0;2;1;1;21;2;8;2;2;3;4;157;4;0;0;316;9;21;7;48;0;0;5;0;1;1;0;2;266;2;2;0;2;2;1
