Izborna jedinica;Grad / opæina;BM Rbr;BM Naziv;BM Lokacija;BM Adresa;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA, Nositelj liste: VLADIMIR KONEÈNY, prof. ;AGENDA MLADIH DEMOKRATA - AMD , HRVATSKA STRANKA MLADIH - HSM  , Nositelj liste:  VLADIMIR SEVER  ;AKCIJA MLADIH - AM  , Nositelj liste:  IGOR PUHAR;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH , SPLITSKA STRANKA UMIROVLJENIKA - SSU  , Nositelj liste:  ZLATKO KLARIÆ, prof.;AKCIJA ZA BOLJU HRVATSKU - ABH , JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA  , Nositelj liste:  mr.sc. ŽELJKO SAÈIÆ;AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS , SAVEZ ZA PROMJENE - SP , DEMOKRATSKA PRIGORSKO-ZAGREBAÈKA STRANKA - DPS  , Nositelj liste:  IVAN PERNAR  ;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  MILAN BINGULA ;BLOK UMIROVLJENICI ZAJEDNO - BUZ , PRIMORSKO GORANSKI SAVEZ - PGS , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ ;DEMOKRATSKA STRANKA SLAVONSKE RAVNICE - SLAVONSKA RAVNICA  , Nositelj liste:  SLAVKO VUKŠIÆ ;DEMOKRATSKA STRANKA ŽENA - DSŽ  , Nositelj liste:  MARIJA JELINÈIÆ  ;GLAS RAZUMA  , Nositelj liste:  MILAN LELAS, dipl.ing.prometa, pilot ;HRVATSKA DEMOKRATSKA SELJAÈKA STRANKA - HDSS  , Nositelj liste:  VLADO MIKLOBUŠEC  ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ  , Nositelj liste:  JADRANKA KOSOR;HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS  , Nositelj liste:  prof.dr.sc. JOSIP JURÈEVIÆ ;HRVATSKA 21. STOLJEÆA - HRVATSKA 21.  , Nositelj liste:  DARKO PETRIÈIÆ ;HRVATSKA EUROPSKA STRANKA - HES  , Nositelj liste:  NAJA ŠEBALJ ;HRVATSKA SELJAÈKA STRANKA - HSS  , Nositelj liste:  JOSIP FRIŠÈIÆ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS  , Nositelj liste:  DARINKO KOSOR  ;HRVATSKA STRANKA PRAVA - HSP  , Nositelj liste:  DANIEL SRB ;  , HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  RUŽA TOMAŠIÆ ;HRVATSKI LABURISTI-STRANKA RADA  , Nositelj liste:  DRAGUTIN LESAR;HRVATSKI RAST - HRAST  , Nositelj liste:  ZVONKO BAJAN  ;NACIONALNI DEMOKRATI - ND  , Nositelj liste:  EMIL ZORAJ ;Predlagatelji: NEOVISNA LISTA  , Nositelj liste:  MILAN BANDIÆ;NEOVISNA LISTA  , Nositelj liste:  DARKO DUGA;NEOVISNA LISTA  , Nositelj liste:  dr.sc. IVAN GRUBIŠIÆ;NEOVISNA LISTA  , Nositelj liste:  BRANKO STOJKOVIÆ ;NOVA HRVATSKA - NH  , Nositelj liste:  BORKO ŠAMIJA;OBITELJSKA STRANKA - OS  , Nositelj liste:  KREŠIMIR ŠTETIÆ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU  , Nositelj liste:  ZORAN MILANOVIÆ  ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP  , Nositelj liste:  RANKO JEFTIMIJA, dr.  ;VOLIM HRVATSKU - VH  , Nositelj liste:  ROKO ŠIKIÆ ;ZAGREBAÈKA NEZAVISNA LISTA - ZNL  , Nositelj liste:  mr.sc. TATJANA HOLJEVAC, dipl.ing. ;ZELENA LISTA  , Nositelj liste:  ŽELJKO TUPEK ;ZELENA STRANKA - ZS  , Nositelj liste:  LJUBO SUBOTIÆ, prof.;ZELENI ZAJEDNO  , Nositelj liste:  SRÐAN DVORNIK, mag. pol. ;;;;;;;;;
;;;;;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;;;;;;;;;
II. IZBORNA JEDINICA;BJELOVAR;1;BJELOVAR;GIMNAZIJA;MATICE HRVATSKE 17;767;498;498;492;6;0;2;1;2;1;2;1;15;0;0;0;0;86;2;0;0;26;27;8;8;30;0;0;1;0;5;1;0;0;270;0;0;0;3;0;1;;;;;;;;;
II. IZBORNA JEDINICA;BJELOVAR;2;BJELOVAR;II. OSNOVNA ŠKOLA;I. V. TRNSKOG 19;503;334;334;332;2;0;0;0;0;9;0;0;9;0;1;0;0;41;0;2;0;10;16;18;3;22;0;1;1;0;3;0;0;0;193;1;0;1;1;0;0;;;;;;;;;
II. IZBORNA JEDINICA;BJELOVAR;3;BJELOVAR;VISOKA TEHNIÈKA ŠKOLA;TRG EUGENA KVATERNIKA 4;507;307;307;303;4;0;3;4;3;1;0;2;11;0;1;0;0;43;0;1;0;11;10;7;5;20;1;0;0;0;8;1;0;1;168;0;2;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;BJELOVAR;4;BJELOVAR;II O.Š. PODRUÈNA ŠKOLA CENTAR;PETRA ZRINSKOG 4;512;323;323;315;8;0;0;2;2;3;1;0;7;0;1;0;0;56;1;0;0;6;12;6;5;22;2;0;5;0;5;0;0;0;175;2;0;0;2;0;0;;;;;;;;;
II. IZBORNA JEDINICA;BJELOVAR;5;BJELOVAR;VISOKO UÈILIŠTE;A. B. ŠIMIÆA 1;368;241;241;236;5;0;2;1;5;2;0;0;7;0;1;2;0;32;1;0;0;1;15;8;8;17;4;0;1;0;7;4;0;0;117;1;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;BJELOVAR;6;BJELOVAR;OBRTNIÈKI DOM;FRANJEVAÈKA 6A;683;482;482;472;10;0;0;2;4;2;3;1;10;1;2;0;3;72;3;1;1;17;34;17;3;30;3;0;3;0;3;0;2;0;251;0;1;0;3;0;0;;;;;;;;;
II. IZBORNA JEDINICA;BJELOVAR;7;BJELOVAR;"ZGRADA NARODNE KNJIŽNICE ""PETAR PRERADOVIÆ""";TRG E. KVATERNIKA 11;425;268;268;261;7;0;2;1;0;2;0;1;9;0;0;0;1;33;0;1;0;4;12;9;8;16;0;0;0;0;5;0;0;0;151;1;5;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;BJELOVAR;8;BJELOVAR;I. OSNOVNA ŠKOLA I.;ŽELJKA SABOLA 14;472;310;310;300;10;0;1;1;2;0;1;0;7;0;1;1;2;47;0;1;1;17;14;9;0;26;3;0;2;0;5;0;0;0;155;2;0;0;0;0;2;;;;;;;;;
II. IZBORNA JEDINICA;BJELOVAR;9;BJELOVAR;I. OSNOVNA ŠKOLA II.;ŽELJKA SABOLA 14;608;393;393;389;4;0;1;1;1;1;1;1;14;0;1;0;0;79;1;0;0;15;28;15;9;21;3;0;2;0;5;0;0;0;188;1;0;0;0;0;1;;;;;;;;;
II. IZBORNA JEDINICA;BJELOVAR;10;BJELOVAR;"MO ""DR. A. STARÈEVIÆA"" I.";A. STEPINCA 20;570;368;368;363;5;2;0;2;0;3;0;0;11;0;0;1;3;43;2;0;0;13;19;9;10;32;1;0;0;2;3;1;0;1;204;1;0;0;0;0;0;;;;;;;;;
II. IZBORNA JEDINICA;BJELOVAR;11;BJELOVAR;"MO ""DR. A. STARÈEVIÆA"" II.";A. STEPINCA 20;854;617;574;563;11;0;0;3;8;13;2;0;18;0;2;0;2;104;3;0;0;13;29;25;8;36;6;0;4;1;13;0;0;0;270;1;1;0;1;0;0;;;;;;;;;
II. IZBORNA JEDINICA;BJELOVAR;12;BJELOVAR;DJEÈJI VRTIÆ;NASELJE KRALJA ZVONIMIRA BB;693;512;512;505;7;0;2;1;3;0;3;0;12;0;0;1;1;119;1;0;0;12;36;12;8;28;0;0;3;0;5;1;0;0;251;2;0;0;2;0;2;;;;;;;;;
II. IZBORNA JEDINICA;BJELOVAR;13;BJELOVAR;IV. OSNOVNA ŠKOLA I.;POLJANA DR. FRANJE TUÐMANA 1;664;444;444;442;2;0;5;1;2;2;1;0;21;0;1;0;1;74;0;0;0;15;23;19;10;34;5;0;9;0;5;2;1;1;209;0;0;0;0;0;1;;;;;;;;;
