Izborna jedinica;Grad / opæina;Broj biraèkih mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA  , Nositelj liste:  BRANKO OZIMEC;AGENDA MLADIH DEMOKRATA - AMD , HRVATSKA STRANKA MLADIH - HSM  , Nositelj liste:  MIROSLAV RAJH  ;AKCIJA MLADIH - AM  , Nositelj liste:  VOJMIR SABOLIÆ ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH , SPLITSKA STRANKA UMIROVLJENIKA - SSU  , Nositelj liste:  ZLATKO KLARIÆ, prof. ;AKCIJA ZA BOLJU HRVATSKU - ABH , JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA  , Nositelj liste:  mr.sc. ŽELJKO SAÈIÆ;AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS , SAVEZ ZA PROMJENE - SP  , Nositelj liste:  IVAN PERNAR;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  RUDOLF FORKO   ;BLOK UMIROVLJENICI ZAJEDNO - BUZ , PRIMORSKO GORANSKI SAVEZ - PGS , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ;DEMOKRATSKA STRANKA ŽENA - DSŽ  , Nositelj liste:  MARIJA JELINÈIÆ;HRVATSKA DEMOKRATSKA SELJAÈKA STRANKA - HDSS  , Nositelj liste:  IVAN MARTAN ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ  , Nositelj liste:  JADRANKA KOSOR ;HRVATSKA EUROPSKA STRANKA - HES  , Nositelj liste:  NAJA ŠEBALJ;HRVATSKA KRŠÆANSKA DEMOKRATSKA UNIJA - HKDU  , Nositelj liste:  BOŽO RENDIÆ   ;HRVATSKA SELJAÈKA STRANKA - HSS  , Nositelj liste:  dr.sc. ZVONIMIR SABATI ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS , ZAGORSKA DEMOKRATSKA STRANKA - ZDS  , Nositelj liste:  DARINKO KOSOR ;HRVATSKA STRANKA PRAVA - HSP  , Nositelj liste:  DANIEL SRB ;HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  RUŽA TOMAŠIÆ   ;HRVATSKA STRANKA ZELENIH - EKO SAVEZ - ZELENI  , Nositelj liste:  ROBERT ŠPOLJAR, dipl.ing.sig.;HRVATSKI LABURISTI-STRANKA RADA  , Nositelj liste:  DRAGUTIN LESAR;HRVATSKI RAST - HRAST  , Nositelj liste:  LADISLAV ILÈIÆ  ;MEÐIMURSKI DEMOKRATSKI SAVEZ - MDS  , Nositelj liste:  ŽELJKO PAVLIC  ;NACIONALNI DEMOKRATI - ND  , Nositelj liste:  DEAN GOLUBIÆ, dipl.krim. ;NEOVISNA LISTA  , Nositelj liste:  IVAN FIOLIÆ FIO;NEOVISNA LISTA  , Nositelj liste:  dr.sc. IVAN GRUBIŠIÆ   ;, NOVA HRVATSKA - NH  , Nositelj liste:  BORKO ŠAMIJA  ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU  , Nositelj liste:  RADIMIR ÈAÈIÆ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP  , Nositelj liste:  FRANJO GOLENKO ;STRANKA HRVATSKOG ZAJEDNIŠTVA - SHZ  , Nositelj liste:  ŽELJKO VINSKI, ing.grad. ;ZAGORSKA STRANKA - ZS  , Nositelj liste:  MILJENKO JERNEIÆ  ;ZELENA LISTA  , Nositelj liste:  STANKO BEZEK  ;ZELENA STRANKA - ZS  , Nositelj liste:  TIHOMIR CAMPANELLO  
;;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
III. IZBORNA JEDINICA;ÈAKOVEC;30;23.025;16.186;16.183;15.999;184;20;19;34;75;28;69;15;331;49;73;1.466;9;35;188;326;180;107;45;3.089;368;202;5;20;182;16;8.959;23;7;6;31;22
III. IZBORNA JEDINICA;DONJA STUBICA;11;4.667;2.995;2.984;2.932;52;1;5;13;25;35;28;4;118;16;15;534;3;21;169;141;63;14;9;188;67;6;4;59;25;4;1.298;2;1;50;10;4
III. IZBORNA JEDINICA;IVANEC;34;11.791;7.801;7.798;7.641;157;4;13;26;60;44;32;10;120;32;61;961;6;19;368;163;100;39;23;523;183;17;4;30;41;13;4.665;16;4;18;27;19
III. IZBORNA JEDINICA;KLANJEC;9;2.569;1.575;1.575;1.525;50;5;6;9;17;10;14;2;35;8;15;265;4;4;30;145;18;17;12;70;19;6;3;10;13;1;747;5;3;25;5;2
III. IZBORNA JEDINICA;KRAPINA;15;10.684;6.981;6.979;6.779;200;5;15;23;65;34;49;26;182;39;23;1.431;6;11;106;268;132;32;26;463;63;12;4;75;62;5;3.470;16;7;85;21;23
III. IZBORNA JEDINICA;LEPOGLAVA;18;6.721;3.913;3.912;3.848;64;2;10;12;15;18;15;6;55;22;11;809;4;13;109;63;61;26;17;198;34;15;8;16;17;6;2.248;5;2;8;15;8
III. IZBORNA JEDINICA;LUDBREG;13;7.337;4.840;4.838;4.761;77;2;5;11;19;38;15;11;79;10;21;584;1;25;227;175;100;39;24;393;128;17;4;7;31;9;2.750;6;0;3;16;11
III. IZBORNA JEDINICA;MURSKO SREDIŠÆE;7;5.672;3.424;3.420;3.378;42;4;5;17;10;5;13;3;58;13;14;392;1;8;33;99;39;17;11;811;51;45;1;7;31;2;1.671;7;2;1;3;4
III. IZBORNA JEDINICA;NOVI MAROF;30;11.528;7.727;7.727;7.563;164;5;19;20;36;60;58;8;143;33;37;1.688;6;21;325;177;117;34;20;695;197;27;4;42;54;9;3.650;10;5;25;15;23
III. IZBORNA JEDINICA;OROSLAVJE;7;5.437;3.432;3.430;3.355;75;6;9;18;40;34;31;9;118;19;7;517;2;8;98;188;126;30;16;222;48;4;3;55;36;1;1.612;2;1;76;6;13
III. IZBORNA JEDINICA;PREGRADA;13;5.673;3.127;3.127;3.040;87;5;12;10;25;14;61;8;74;15;30;593;6;10;295;102;46;20;12;148;45;12;7;37;20;3;1.362;11;4;35;6;12
III. IZBORNA JEDINICA;PRELOG;12;6.694;4.374;4.374;4.306;68;3;4;12;17;17;31;6;71;21;19;566;7;14;109;82;56;33;14;718;147;84;4;6;37;2;2.201;9;0;1;7;8
III. IZBORNA JEDINICA;VARAŽDIN;48;40.948;28.467;28.459;28.098;361;9;33;77;143;306;116;28;649;84;49;3.020;21;31;456;922;342;175;100;2.648;1.166;58;8;49;323;11;17.002;65;3;66;79;59
III. IZBORNA JEDINICA;VARAŽDINSKE TOPLICE;21;5.696;3.925;3.925;3.850;75;5;5;12;25;68;15;6;52;17;17;555;1;8;114;412;49;11;16;411;87;14;4;10;28;4;1.871;5;2;7;9;10
III. IZBORNA JEDINICA;ZABOK;15;7.753;5.315;5.313;5.197;116;7;15;15;54;41;38;9;151;23;29;721;4;7;95;238;106;32;40;332;44;12;2;64;40;7;2.882;15;8;136;19;11
III. IZBORNA JEDINICA;ZLATAR;17;5.331;2.722;2.719;2.648;71;3;6;5;25;10;28;17;45;9;16;555;3;3;140;120;58;20;9;173;86;12;0;53;20;0;1.178;4;1;42;6;1
III. IZBORNA JEDINICA;BEDEKOVÈINA;13;6.842;4.054;4.050;3.965;85;9;7;24;56;22;38;16;91;19;8;575;4;12;126;172;81;24;8;237;46;9;1;94;25;5;2.136;15;3;83;11;8
III. IZBORNA JEDINICA;BEDNJA;13;4.182;2.006;2.006;1.969;37;1;1;3;9;12;5;1;25;4;10;487;4;4;46;52;22;9;3;70;11;8;1;7;5;1;1.147;7;1;6;0;7
