Izborna jedinica;Grad / opæina;BM Rbr;BM Naziv;BM Lokacija;BM Adresa;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA  , Nositelj liste:  BRANKO OZIMEC;AGENDA MLADIH DEMOKRATA - AMD , HRVATSKA STRANKA MLADIH - HSM  , Nositelj liste:  MIROSLAV RAJH  ;AKCIJA MLADIH - AM  , Nositelj liste:  VOJMIR SABOLIÆ ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH , SPLITSKA STRANKA UMIROVLJENIKA - SSU  , Nositelj liste:  ZLATKO KLARIÆ, prof. ;AKCIJA ZA BOLJU HRVATSKU - ABH , JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA  , Nositelj liste:  mr.sc. ŽELJKO SAÈIÆ;AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS , SAVEZ ZA PROMJENE - SP  , Nositelj liste:  IVAN PERNAR;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  RUDOLF FORKO   ;BLOK UMIROVLJENICI ZAJEDNO - BUZ , PRIMORSKO GORANSKI SAVEZ - PGS , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ;DEMOKRATSKA STRANKA ŽENA - DSŽ  , Nositelj liste:  MARIJA JELINÈIÆ;HRVATSKA DEMOKRATSKA SELJAÈKA STRANKA - HDSS  , Nositelj liste:  IVAN MARTAN ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ  , Nositelj liste:  JADRANKA KOSOR ;HRVATSKA EUROPSKA STRANKA - HES  , Nositelj liste:  NAJA ŠEBALJ;HRVATSKA KRŠÆANSKA DEMOKRATSKA UNIJA - HKDU  , Nositelj liste:  BOŽO RENDIÆ   ;HRVATSKA SELJAÈKA STRANKA - HSS  , Nositelj liste:  dr.sc. ZVONIMIR SABATI ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS , ZAGORSKA DEMOKRATSKA STRANKA - ZDS  , Nositelj liste:  DARINKO KOSOR ;HRVATSKA STRANKA PRAVA - HSP  , Nositelj liste:  DANIEL SRB ;HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  RUŽA TOMAŠIÆ   ;HRVATSKA STRANKA ZELENIH - EKO SAVEZ - ZELENI  , Nositelj liste:  ROBERT ŠPOLJAR, dipl.ing.sig.;HRVATSKI LABURISTI-STRANKA RADA  , Nositelj liste:  DRAGUTIN LESAR;HRVATSKI RAST - HRAST  , Nositelj liste:  LADISLAV ILÈIÆ  ;MEÐIMURSKI DEMOKRATSKI SAVEZ - MDS  , Nositelj liste:  ŽELJKO PAVLIC  ;NACIONALNI DEMOKRATI - ND  , Nositelj liste:  DEAN GOLUBIÆ, dipl.krim. ;NEOVISNA LISTA  , Nositelj liste:  IVAN FIOLIÆ FIO;NEOVISNA LISTA  , Nositelj liste:  dr.sc. IVAN GRUBIŠIÆ   ;, NOVA HRVATSKA - NH  , Nositelj liste:  BORKO ŠAMIJA  ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU  , Nositelj liste:  RADIMIR ÈAÈIÆ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP  , Nositelj liste:  FRANJO GOLENKO ;STRANKA HRVATSKOG ZAJEDNIŠTVA - SHZ  , Nositelj liste:  ŽELJKO VINSKI, ing.grad. ;ZAGORSKA STRANKA - ZS  , Nositelj liste:  MILJENKO JERNEIÆ  ;ZELENA LISTA  , Nositelj liste:  STANKO BEZEK  ;ZELENA STRANKA - ZS  , Nositelj liste:  TIHOMIR CAMPANELLO  ;;;;;;;;;;;;;;;;;
;;;;;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;ÈAKOVEC;1;ÈAKOVEC;"DJEÈJI VRTIÆ ""BAMBI""";BANA J. JELAÈIÆA 25;1.270;852;850;840;10;0;1;3;4;2;4;1;22;4;4;75;0;1;3;19;14;5;2;167;28;8;0;2;10;0;459;0;0;1;1;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;ÈAKOVEC;2;ÈAKOVEC;I. OSNOVNA ŠKOLA;KRALJA TOMISLAVA 43;528;372;372;369;3;0;1;0;2;0;0;0;11;0;0;60;1;0;5;9;8;3;1;44;15;7;0;0;6;0;196;0;0;0;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;ÈAKOVEC;3;ÈAKOVEC;GRADSKA UPRAVA;KRALJA TOMISLAVA 15;860;566;566;558;8;2;0;3;3;1;0;0;9;4;0;62;0;0;2;10;8;6;6;87;24;7;0;1;13;0;306;1;1;0;1;1;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;ÈAKOVEC;4;ÈAKOVEC;MEÐIMURSKA ŽUPANIJA - RESTORAN;RUÐERA BOŠKOVIÆA 2;541;375;375;369;6;0;0;2;1;0;1;0;5;2;2;35;1;0;2;5;2;1;1;44;9;5;0;0;8;0;242;0;0;0;1;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;ÈAKOVEC;5;ÈAKOVEC;DOM AMATERA;STJEPANA RADIÆA 1;847;606;606;604;2;0;1;0;3;2;1;0;17;2;1;68;1;1;3;11;6;4;2;112;6;7;0;2;13;0;336;2;2;0;1;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;ÈAKOVEC;6;ÈAKOVEC;UDRUŽENJE OBRTNIKA MEÐIMURSKE ŽUPANIJE;PARK R. KROPEKA 1;499;363;363;361;2;0;0;0;1;0;0;1;5;0;1;43;0;1;1;2;2;4;2;40;19;5;0;1;8;1;224;0;0;0;0;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;ÈAKOVEC;7;ÈAKOVEC;"GIMNASTIÈKO DRUŠTVO  ""MARIJAN ZADRAVEC-MACAN""";TOME MASARYKA 24;1.246;899;899;887;12;0;1;2;6;1;1;2;29;5;1;88;0;2;8;23;11;5;5;132;13;9;3;0;10;0;524;1;0;0;3;2;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;ÈAKOVEC;8;ÈAKOVEC;GIMNAZIJA -UÈIONICA A;VLADIMIRA NAZORA 34;266;180;180;178;2;0;0;2;1;0;0;0;3;1;0;18;0;0;0;2;1;2;1;21;5;2;0;0;3;0;115;0;0;0;1;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;ÈAKOVEC;9;ÈAKOVEC;III. OSNOVNA ŠKOLA;IVANA PL. ZAJCA 24;745;540;540;532;8;1;1;0;5;1;0;0;11;1;1;48;0;1;0;17;11;3;1;93;11;5;0;1;8;0;310;0;0;0;1;1;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;ÈAKOVEC;10;ÈAKOVEC;GIMNAZIJA - UÈIONICA B;VLADIMIRA NAZORA 34;696;509;509;504;5;0;0;0;3;0;1;0;9;1;1;29;1;1;0;14;9;1;0;111;9;2;0;0;5;0;305;0;1;0;1;0;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;ÈAKOVEC;11;ÈAKOVEC;GRADITELJSKA ŠKOLA;ŠPORTSKA 1;875;658;658;653;5;1;1;3;1;1;3;0;12;1;2;63;2;3;2;17;8;9;0;100;18;3;0;0;14;1;384;1;0;0;1;2;;;;;;;;;;;;;;;;;
III. IZBORNA JEDINICA;ÈAKOVEC;12;ÈAKOVEC;ŽELJEZNIÈKI KOLODVOR;KOLODVORSKA 2;928;663;663;657;6;1;0;0;2;3;3;0;16;1;1;55;0;0;12;15;8;6;4;140;12;5;0;0;7;0;365;0;0;0;0;1;;;;;;;;;;;;;;;;;
