Izborna jedinica;Grad / opæina;Broj biraèkih mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA  , Nositelj liste:  STJEPAN RUŠEC;AGENDA MLADIH DEMOKRATA - AMD , HRVATSKA STRANKA MLADIH - HSM  , Nositelj liste:  DARKO KRNIÆ;AKCIJA MLADIH - AM  , Nositelj liste:  ANDREJ BRIŠÈIK ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH , SPLITSKA STRANKA UMIROVLJENIKA - SSU  , Nositelj liste:  ZLATKO KLARIÆ, prof. ;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  EMIL ÈIÆ  ;BLOK UMIROVLJENICI ZAJEDNO - BUZ , PRIMORSKO GORANSKI SAVEZ - PGS , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ ;DEMOKRATSKA STRANKA SLAVONSKE RAVNICE - SLAVONSKA RAVNICA  , Nositelj liste:  SLAVKO VUKŠIÆ;DEMOKRATSKA STRANKA ŽENA - DSŽ  , Nositelj liste:  MARIJA JELINÈIÆ;HRVATSKA DEMOKRATSKA SELJAÈKA STRANKA - HDSS  , Nositelj liste:  STEVO GRAHOVAC;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ  , Nositelj liste:  JADRANKA KOSOR;HRVATSKA SELJAÈKA STRANKA - HSS  , Nositelj liste:  MATO BARUKÈIÆ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS  , Nositelj liste:  DARINKO KOSOR;"HRVATSKA STRANKA PRAVA - HSP , ""HRVATSKA STRAŽA"" NACIONALNA STRANKA - HS NS  , Nositelj liste:  DANIEL SRB   ";HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  RUŽA TOMAŠIÆ;HRVATSKI DEMOKRATSKI SAVEZ SLAVONIJE I BARANJE - HDSSB  , Nositelj liste:  prof.dr.sc. VLADIMIR ŠIŠLJAGIÆ  ;HRVATSKI LABURISTI-STRANKA RADA  , Nositelj liste:  DRAGUTIN LESAR;HRVATSKI RAST - HRAST  , Nositelj liste:  TOMISLAV ŠPERANDA ;JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA  , Nositelj liste:  MARIJAN ŠKARIÆ;NACIONALNI DEMOKRATI - ND  , Nositelj liste:  GORDAN MASNJAK;NEOVISNA LISTA  , Nositelj liste:  dr.sc. IVAN GRUBIŠIÆ ;NEOVISNA LISTA  , Nositelj liste:  IVAN LONÈAR;SAVEZ ZA PROMJENE - SP , AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS  , Nositelj liste:  DALI MOR ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU  , Nositelj liste:  ZORAN MILANOVIÆ ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP  , Nositelj liste:  NIKOLA OPAÈIÆ ;VOLIM HRVATSKU - VH  , Nositelj liste:  ROKO ŠIKIÆ ;ZELENA LISTA  , Nositelj liste:  DANICA JOVIÆ  ;ZELENA STRANKA - ZS  , Nositelj liste:  mr.sc. ALJOŠA BABIÆ  ;ZELENI HRVATSKE - ZELENI HR  , Nositelj liste:  ZDRAVKO PEKO
;;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28
IV. IZBORNA JEDINICA;BELI MANASTIR;12;7.168;4.466;4.466;4.393;73;16;8;15;29;18;91;22;10;13;1.147;13;54;162;42;747;175;3;1;5;21;19;53;1.688;19;6;6;2;8
IV. IZBORNA JEDINICA;BELIŠÆE;15;9.397;5.944;5.944;5.871;73;6;10;14;39;15;214;55;16;18;971;14;80;179;37;1.855;226;10;1;1;88;33;9;1.950;5;2;11;2;10
IV. IZBORNA JEDINICA;DONJI MIHOLJAC;10;8.315;5.242;5.206;5.153;53;4;10;17;30;17;80;74;7;26;913;126;58;309;57;1.422;159;23;3;4;43;82;15;1.644;4;3;11;3;9
IV. IZBORNA JEDINICA;ÐAKOVO;37;25.057;14.839;14.816;14.626;190;9;20;25;64;28;306;80;65;52;3.483;179;306;420;212;4.086;452;98;3;4;173;82;35;4.337;21;10;25;15;36
IV. IZBORNA JEDINICA;NAŠICE;27;13.397;9.107;9.107;8.995;112;9;10;18;43;18;105;710;22;39;2.042;48;140;208;81;2.388;230;68;0;2;70;64;23;2.613;11;10;10;4;9
IV. IZBORNA JEDINICA;ORAHOVICA;11;4.750;3.187;3.187;3.138;49;4;4;8;15;9;128;34;13;9;815;117;55;92;29;307;76;6;1;3;40;23;8;1.289;8;0;35;4;6
IV. IZBORNA JEDINICA;OSIJEK;110;94.013;60.398;60.232;59.399;833;40;95;148;277;156;1.487;260;242;84;10.084;246;1.018;4.575;1.157;13.080;3.038;664;31;27;818;176;157;21.005;113;88;80;70;183
IV. IZBORNA JEDINICA;SLATINA;23;12.764;7.805;7.734;7.613;121;21;13;30;51;22;194;40;28;81;2.159;141;238;135;88;1.250;163;17;3;0;28;34;12;2.808;14;9;12;5;17
IV. IZBORNA JEDINICA;VALPOVO;17;10.017;6.750;6.750;6.664;86;3;9;16;30;11;154;76;23;24;1.701;61;93;114;91;1.724;249;30;3;3;94;45;22;2.056;2;8;3;5;14
IV. IZBORNA JEDINICA;VIROVITICA;24;19.535;13.160;13.137;12.966;171;4;28;27;67;44;496;34;61;53;3.615;223;225;482;147;734;498;104;10;3;121;74;73;5.718;33;21;25;18;28
IV. IZBORNA JEDINICA;ANTUNOVAC;3;3.220;2.157;2.157;2.118;39;0;2;3;19;19;34;10;8;3;655;48;16;294;34;302;78;21;0;0;17;15;4;521;4;2;5;3;1
IV. IZBORNA JEDINICA;BILJE;6;3.675;2.277;2.277;2.239;38;8;12;8;7;5;76;7;8;11;432;6;34;128;20;575;99;12;1;2;9;24;4;729;2;7;3;2;8
IV. IZBORNA JEDINICA;BIZOVAC;7;4.033;2.671;2.671;2.637;34;3;3;6;22;4;50;44;11;12;648;50;23;100;82;850;53;6;4;0;20;23;7;601;4;3;2;2;4
IV. IZBORNA JEDINICA;CRNAC;3;1.376;855;855;847;8;0;1;0;8;0;29;39;2;0;285;38;76;12;11;133;6;5;3;0;4;17;3;173;2;0;0;0;0
IV. IZBORNA JEDINICA;ÈAÈINCI;8;2.651;1.719;1.718;1.689;29;2;3;7;9;11;74;14;7;9;567;73;9;30;10;203;38;6;4;0;10;21;27;533;6;2;6;4;4
IV. IZBORNA JEDINICA;ÈAÐAVICA;8;1.869;1.170;1.161;1.145;16;1;1;4;9;3;35;6;5;6;431;38;30;7;5;254;12;1;2;0;3;5;1;280;3;3;0;0;0
IV. IZBORNA JEDINICA;ÈEMINAC;4;2.713;1.706;1.664;1.630;34;4;2;5;12;4;27;8;5;8;466;18;13;68;12;568;37;1;1;1;5;17;6;328;6;2;0;3;3
IV. IZBORNA JEDINICA;ÈEPIN;14;10.525;6.037;6.032;5.933;99;6;8;22;39;19;147;74;37;43;1.063;156;65;433;84;1.290;274;75;1;2;70;52;21;1.871;15;17;4;10;35
IV. IZBORNA JEDINICA;DARDA;6;4.673;2.767;2.765;2.728;37;4;4;13;11;6;53;2;12;4;680;2;26;78;15;547;111;6;2;1;20;15;3;1.082;12;2;5;6;6
IV. IZBORNA JEDINICA;DONJA MOTIÈINA;4;1.451;963;963;951;12;1;0;2;6;2;6;38;0;1;173;14;1;18;8;490;6;7;1;0;1;9;3;160;0;0;1;3;0
IV. IZBORNA JEDINICA;DRAŽ;6;2.381;1.311;1.297;1.280;17;7;1;3;10;2;17;6;5;7;314;46;10;45;4;372;21;5;4;2;3;12;4;359;7;1;4;4;5
IV. IZBORNA JEDINICA;DRENJE;11;2.336;1.350;1.350;1.333;17;2;5;3;8;3;11;13;4;15;229;17;7;25;8;667;13;5;0;1;7;8;2;271;2;1;2;2;2
IV. IZBORNA JEDINICA;ÐURÐENOVAC;15;6.106;3.804;3.788;3.733;55;3;7;6;23;17;38;218;10;11;919;30;49;75;19;1.030;68;5;2;1;30;43;4;1.104;8;3;6;1;3
IV. IZBORNA JEDINICA;ERDUT;10;4.129;2.000;2.000;1.916;84;7;3;9;9;4;22;11;11;2;426;7;13;92;32;474;65;10;2;3;10;9;2;674;7;1;3;3;5
IV. IZBORNA JEDINICA;ERNESTINOVO;2;1.765;1.070;1.070;1.055;15;1;1;1;3;4;22;4;2;4;277;4;15;100;11;238;47;7;0;0;12;5;1;290;0;1;1;0;4
IV. IZBORNA JEDINICA;FERIÈANCI;5;1.979;1.211;1.211;1.187;24;1;2;3;3;1;18;52;3;4;270;12;11;39;8;306;31;6;0;0;11;12;0;385;2;0;1;2;4
IV. IZBORNA JEDINICA;GORJANI;2;1.405;842;842;829;13;5;1;1;8;5;10;14;5;6;123;6;10;21;1;361;5;2;0;1;0;8;7;227;0;1;0;0;1
IV. IZBORNA JEDINICA;GRADINA;12;3.516;2.183;2.183;2.153;30;5;3;2;14;5;61;6;10;17;845;110;15;62;10;307;19;1;2;1;3;10;13;618;3;1;9;0;1
IV. IZBORNA JEDINICA;JAGODNJAK;3;793;364;364;349;15;1;1;0;2;0;1;1;3;4;36;0;1;8;1;59;3;1;2;0;3;2;4;215;0;0;0;1;0
IV. IZBORNA JEDINICA;KNEŽEVI VINOGRADI;8;2.319;1.086;1.050;1.028;22;6;3;3;5;1;10;16;8;6;253;7;28;19;15;186;32;0;0;0;5;7;6;398;5;1;1;2;5
IV. IZBORNA JEDINICA;KOŠKA;10;3.547;2.129;2.129;2.094;35;5;2;8;13;7;29;36;8;9;621;11;56;76;18;675;31;6;1;0;21;10;3;439;4;1;2;0;2
IV. IZBORNA JEDINICA;LEVANJSKA VAROŠ;9;892;542;542;523;19;1;0;1;0;2;5;5;6;7;141;9;7;6;4;168;11;14;0;0;3;0;3;123;1;2;3;0;1
