Izborna jedinica;Grad / opæina;BM Rbr;BM Naziv;BM Lokacija;BM Adresa;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA  , Nositelj liste:  STJEPAN RUŠEC;AGENDA MLADIH DEMOKRATA - AMD , HRVATSKA STRANKA MLADIH - HSM  , Nositelj liste:  DARKO KRNIÆ;AKCIJA MLADIH - AM  , Nositelj liste:  ANDREJ BRIŠÈIK ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH , SPLITSKA STRANKA UMIROVLJENIKA - SSU  , Nositelj liste:  ZLATKO KLARIÆ, prof. ;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  EMIL ÈIÆ  ;BLOK UMIROVLJENICI ZAJEDNO - BUZ , PRIMORSKO GORANSKI SAVEZ - PGS , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ ;DEMOKRATSKA STRANKA SLAVONSKE RAVNICE - SLAVONSKA RAVNICA  , Nositelj liste:  SLAVKO VUKŠIÆ;DEMOKRATSKA STRANKA ŽENA - DSŽ  , Nositelj liste:  MARIJA JELINÈIÆ;HRVATSKA DEMOKRATSKA SELJAÈKA STRANKA - HDSS  , Nositelj liste:  STEVO GRAHOVAC;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ  , Nositelj liste:  JADRANKA KOSOR;HRVATSKA SELJAÈKA STRANKA - HSS  , Nositelj liste:  MATO BARUKÈIÆ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS  , Nositelj liste:  DARINKO KOSOR;"HRVATSKA STRANKA PRAVA - HSP , ""HRVATSKA STRAŽA"" NACIONALNA STRANKA - HS NS  , Nositelj liste:  DANIEL SRB   ";HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  RUŽA TOMAŠIÆ;HRVATSKI DEMOKRATSKI SAVEZ SLAVONIJE I BARANJE - HDSSB  , Nositelj liste:  prof.dr.sc. VLADIMIR ŠIŠLJAGIÆ  ;HRVATSKI LABURISTI-STRANKA RADA  , Nositelj liste:  DRAGUTIN LESAR;HRVATSKI RAST - HRAST  , Nositelj liste:  TOMISLAV ŠPERANDA ;JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA  , Nositelj liste:  MARIJAN ŠKARIÆ;NACIONALNI DEMOKRATI - ND  , Nositelj liste:  GORDAN MASNJAK;NEOVISNA LISTA  , Nositelj liste:  dr.sc. IVAN GRUBIŠIÆ ;NEOVISNA LISTA  , Nositelj liste:  IVAN LONÈAR;SAVEZ ZA PROMJENE - SP , AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS  , Nositelj liste:  DALI MOR ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU  , Nositelj liste:  ZORAN MILANOVIÆ ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP  , Nositelj liste:  NIKOLA OPAÈIÆ ;VOLIM HRVATSKU - VH  , Nositelj liste:  ROKO ŠIKIÆ ;ZELENA LISTA  , Nositelj liste:  DANICA JOVIÆ  ;ZELENA STRANKA - ZS  , Nositelj liste:  mr.sc. ALJOŠA BABIÆ  ;ZELENI HRVATSKE - ZELENI HR  , Nositelj liste:  ZDRAVKO PEKO;;;;;;;;;;;;;;;;;
;;;;;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;BELI MANASTIR;1;BELI MANASTIR;"DRUŠTVO OSOBA SA INVALIDITETOM ""BARANJSKO SRCE""";OSJEÈKA 49A;678;407;407;398;9;3;0;3;4;1;10;2;0;1;107;0;2;12;3;66;14;0;0;1;6;4;2;151;3;1;1;0;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;BELI MANASTIR;2;BELI MANASTIR;VETERINARSKA STANICA;OSJEÈKA 128;699;432;432;419;13;1;1;2;2;3;9;4;2;1;112;1;7;12;3;79;15;0;0;1;1;1;6;154;0;0;1;0;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;BELI MANASTIR;3;BELI MANASTIR;"ZGRADA ""P+8"" (LJEPOTICA)";IMRE NAGYA 2D;621;410;410;403;7;0;1;0;3;3;8;0;1;0;101;3;9;11;0;55;18;2;0;0;0;0;10;175;2;0;1;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;BELI MANASTIR;4;BELI MANASTIR;CENTAR ZA KULTURU GRADA BELOG MANASTIRA;KRALJA TOMISLAVA 2;486;291;291;286;5;0;0;0;3;0;5;1;1;1;98;3;2;11;1;37;5;0;0;1;1;0;2;109;1;1;1;2;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;BELI MANASTIR;5;BELI MANASTIR;ZGRADA HKUD-A;KRALJA TOMISLAVA 11;529;316;316;312;4;0;1;2;3;0;6;0;0;0;76;1;3;10;6;47;12;0;0;0;0;1;2;138;2;0;2;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;BELI MANASTIR;6;BELI MANASTIR;ZGRADA HRVATSKE ELEKTROPRIVREDE;KRALJA ZVONIMIRA 69;542;350;350;346;4;0;0;0;3;1;8;1;0;1;73;1;2;7;2;50;14;0;0;0;1;1;3;175;1;1;0;0;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;BELI MANASTIR;7;BELI MANASTIR;"OSNOVNA ŠKOLA ""DR. FRANJO TUÐMAN""";SVETOG MARTINA 16;551;325;325;321;4;1;2;0;2;1;11;0;1;0;77;0;2;17;0;45;13;0;0;0;2;3;11;128;3;1;0;0;1;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;BELI MANASTIR;8;BELI MANASTIR;DOM ZA STARE I NEMOÆNE OSOBE;BANA JELAÈIÆA 108;727;490;490;479;11;2;0;0;0;1;7;3;0;1;129;0;13;13;4;72;23;1;1;0;2;2;7;194;3;1;0;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;BELI MANASTIR;9;BELI MANASTIR;DOM ZDRAVLJA BELI MANASTIR;ŠKOLSKA 5;612;375;375;374;1;2;1;1;1;0;9;4;0;0;83;0;1;17;4;46;17;0;0;0;4;4;5;175;0;0;0;0;0;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;BELI MANASTIR;10;BRANJIN VRH;OSNOVNA ŠKOLA;SVETOG KRIŽA BB;909;544;544;538;6;4;2;5;3;6;7;7;1;6;141;3;3;27;6;147;18;0;0;0;4;2;1;138;4;1;0;0;2;;;;;;;;;;;;;;;;;
IV. IZBORNA JEDINICA;BELI MANASTIR;11;ŠEÆERANA;OSNOVNA ŠKOLA;ŽRTAVA DOMOVINSKOG RATA 27;397;261;261;259;2;3;0;0;0;0;5;0;2;2;60;0;10;20;3;55;16;0;0;0;0;1;1;80;0;0;0;0;1;;;;;;;;;;;;;;;;;
