Izborna jedinica;Grad / opæina;BM Rbr;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA  , Nositelj liste:  IVAN CVETKOVIÆ, dr.vet.med.;AKCIJA MLADIH - AM  , Nositelj liste:  MARIO ALEMPIJEVIÆ  ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH , SPLITSKA STRANKA UMIROVLJENIKA - SSU  , Nositelj liste:  EMIL-FRANJO MARKANOVIÆ, dr.med.;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  MARIJAN VIDOVIÆ;BLOK UMIROVLJENICI ZAJEDNO - BUZ , PRIMORSKO GORANSKI SAVEZ - PGS , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ;DEMOKRATSKA STRANKA SLAVONSKE RAVNICE - SLAVONSKA RAVNICA  , Nositelj liste:  SLAVKO VUKŠIÆ;DEMOKRATSKA STRANKA ŽENA - DSŽ  , Nositelj liste:  MARIJA JELINÈIÆ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ  , Nositelj liste:  JADRANKA KOSOR ;HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS , JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA  , Nositelj liste:  prof.dr.sc. JOSIP JURÈEVIÆ ;HRVATSKA SELJAÈKA STRANKA - HSS  , Nositelj liste:  DAVOR VLAOVIÆ, dipl.ing. ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS  , Nositelj liste:  DARINKO KOSOR  ;HRVATSKA STRANKA PRAVA - HSP  , Nositelj liste:  MIRKO DUSPARA ;HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  RUŽA TOMAŠIÆ ;HRVATSKI DEMOKRATSKI SAVEZ SLAVONIJE I BARANJE - HDSSB  , Nositelj liste:  prof.dr.sc. VLADIMIR ŠIŠLJAGIÆ;HRVATSKI LABURISTI-STRANKA RADA  , Nositelj liste:  DRAGUTIN LESAR;HRVATSKI RAST - HRAST  , Nositelj liste:  KREŠIMIR LANDEKA ;NACIONALNI DEMOKRATI - ND  , Nositelj liste:  JOSIP GRUBIŠIÆ ;SAVEZ ZA PROMJENE - SP , AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS  , Nositelj liste:  TOMISLAV POKROVAC;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU  , Nositelj liste:  ZORAN MILANOVIÆ ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP  , Nositelj liste:  VLADO BUŠIÆ ;STRANKA HRVATSKOG ZAJEDNIŠTVA - SHZ  , Nositelj liste:  ŽELJKO VINSKI, ing.grad. ;ZELENA LISTA  , Nositelj liste:  DARKO STOŠIÆ ;ZELENA STRANKA - ZS  ,   Nositelj liste:  mr.sc. ALJOŠA BABIÆ ;
;;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;
V. IZBORNA JEDINICA;BAKAR;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;BELI MANASTIR;1;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;BJELOVAR;1;0;7;7;7;0;0;0;0;0;0;0;0;2;0;0;1;1;0;0;0;0;0;0;3;0;0;0;0;
V. IZBORNA JEDINICA;BJELOVAR;2;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;
V. IZBORNA JEDINICA;BUJE - BUIE;1;0;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;BUZET;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;CRES;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;CRIKVENICA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;ÈAKOVEC;1;0;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;ÈAZMA;1;0;3;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;DARUVAR;1;0;2;2;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;DELNICE;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;DONJI MIHOLJAC;1;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;DUBROVNIK;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;DUBROVNIK;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;DUBROVNIK;3;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;DUBROVNIK;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;DUBROVNIK;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;DUBROVNIK;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;DUBROVNIK;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;DUBROVNIK;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;DUBROVNIK;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;DUBROVNIK;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;DUBROVNIK;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;DUBROVNIK;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;DUBROVNIK;13;0;3;3;3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;
V. IZBORNA JEDINICA;DUGO SELO;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;ÐAKOVO;1;0;8;8;8;0;0;0;0;0;1;0;0;5;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;
V. IZBORNA JEDINICA;ÐURÐEVAC;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;GAREŠNICA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;GLINA;1;0;33;33;32;1;0;0;0;0;0;0;0;6;0;0;0;3;0;3;0;0;0;0;20;0;0;0;0;
V. IZBORNA JEDINICA;GOSPIÆ;1;0;10;10;10;0;0;0;0;0;0;0;0;3;1;0;0;2;0;2;0;0;0;0;2;0;0;0;0;
V. IZBORNA JEDINICA;GOSPIÆ;2;0;4;4;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;
V. IZBORNA JEDINICA;GRAD ZAGREB;1;0;6;6;6;0;0;1;0;0;0;1;0;2;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;GRAD ZAGREB;1;0;26;26;25;1;0;0;0;1;1;0;0;7;0;0;0;1;1;1;0;0;0;0;11;0;0;1;1;
V. IZBORNA JEDINICA;GRAD ZAGREB;2;0;24;24;24;0;0;1;0;0;1;0;0;6;0;1;0;1;1;3;0;1;0;0;9;0;0;0;0;
V. IZBORNA JEDINICA;GRAD ZAGREB;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
V. IZBORNA JEDINICA;GRAD ZAGREB;3;0;179;179;178;1;0;0;0;0;4;0;0;39;2;1;4;5;7;17;7;6;1;1;82;0;0;1;1;
