Izborna jedinica;Grad / opæina;BM Rbr;BM Naziv;BM Lokacija;BM Adresa;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA  , Nositelj liste:  IVAN CVETKOVIÆ, dr.vet.med.;AKCIJA MLADIH - AM  , Nositelj liste:  MARIO ALEMPIJEVIÆ  ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH , SPLITSKA STRANKA UMIROVLJENIKA - SSU  , Nositelj liste:  EMIL-FRANJO MARKANOVIÆ, dr.med.;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  MARIJAN VIDOVIÆ;BLOK UMIROVLJENICI ZAJEDNO - BUZ , PRIMORSKO GORANSKI SAVEZ - PGS , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ;DEMOKRATSKA STRANKA SLAVONSKE RAVNICE - SLAVONSKA RAVNICA  , Nositelj liste:  SLAVKO VUKŠIÆ;DEMOKRATSKA STRANKA ŽENA - DSŽ  , Nositelj liste:  MARIJA JELINÈIÆ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ  , Nositelj liste:  JADRANKA KOSOR ;HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS , JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA  , Nositelj liste:  prof.dr.sc. JOSIP JURÈEVIÆ ;HRVATSKA SELJAÈKA STRANKA - HSS  , Nositelj liste:  DAVOR VLAOVIÆ, dipl.ing. ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS  , Nositelj liste:  DARINKO KOSOR  ;HRVATSKA STRANKA PRAVA - HSP  , Nositelj liste:  MIRKO DUSPARA ;HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  RUŽA TOMAŠIÆ ;HRVATSKI DEMOKRATSKI SAVEZ SLAVONIJE I BARANJE - HDSSB  , Nositelj liste:  prof.dr.sc. VLADIMIR ŠIŠLJAGIÆ;HRVATSKI LABURISTI-STRANKA RADA  , Nositelj liste:  DRAGUTIN LESAR;HRVATSKI RAST - HRAST  , Nositelj liste:  KREŠIMIR LANDEKA ;NACIONALNI DEMOKRATI - ND  , Nositelj liste:  JOSIP GRUBIŠIÆ ;SAVEZ ZA PROMJENE - SP , AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS  , Nositelj liste:  TOMISLAV POKROVAC;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU  , Nositelj liste:  ZORAN MILANOVIÆ ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP  , Nositelj liste:  VLADO BUŠIÆ ;STRANKA HRVATSKOG ZAJEDNIŠTVA - SHZ  , Nositelj liste:  ŽELJKO VINSKI, ing.grad. ;ZELENA LISTA  , Nositelj liste:  DARKO STOŠIÆ ;ZELENA STRANKA - ZS  ,   Nositelj liste:  mr.sc. ALJOŠA BABIÆ ;;;;;;;;;;;;;;;;;
;;;;;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;ILOK;1;ILOK;GRADSKO POGLAVARSTVO ILOK;TRG N.ILOÈKOG 13;1.262;822;822;808;14;1;5;3;1;23;3;4;281;5;10;35;24;59;45;16;7;0;4;273;2;2;3;2;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;ILOK;2;ILOK;DOM UMIROVLJENIKA ILOK;KOŠEVI BR. 7;1.078;767;765;754;11;1;2;3;4;15;1;6;387;6;15;13;15;71;30;13;5;7;2;157;0;1;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;ILOK;3;ILOK;"UPRAVNA ZGRADA ""AGRO ILOKA""";TRG ŽRTAVA DOMOVINSKOG RATA 1/1;1.086;729;729;716;13;2;5;6;5;24;2;6;302;8;17;8;13;43;35;10;1;2;4;216;1;2;0;4;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;ILOK;4;ILOK;SLOVAÈKI DOM ILOK;I.G.KOVAÈIÆA BB;443;289;289;281;8;1;0;1;2;11;2;4;94;3;3;8;5;18;10;6;0;1;1;101;1;2;0;7;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;ILOK;5;BAPSKA;OSNOVNA ŠKOLA BAPSKA;RADIÆEVA BB;960;607;607;602;5;1;1;6;5;5;3;0;259;6;7;35;8;137;55;4;3;1;1;60;1;0;4;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;ILOK;6;ŠARENGRAD;STARA ŠKOLA ŠARENGRAD;VUKOVARSKA BB;538;352;352;346;6;1;1;0;0;2;3;2;165;1;3;1;3;104;11;2;1;1;2;41;2;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;ILOK;7;MOHOVO;OSNOVNA ŠKOLA MOHOVO;NIKOLE TAVELIÆA BB;191;134;134;131;3;0;1;0;0;1;0;1;70;0;0;0;3;18;3;2;0;0;0;32;0;0;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;KUTJEVO;1;VATROGASNI DOM;KUTJEVO;REPUBLIKE HRVATSKE 86;643;407;407;402;5;0;1;2;2;15;5;2;81;1;9;3;19;28;73;10;0;1;5;142;1;1;0;1;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;KUTJEVO;2;GRADSKA VIJEÆNICA;KUTJEVO;TRG GRAŠEVINE 1;475;313;313;309;4;0;0;0;2;4;1;1;60;2;4;6;10;19;65;8;4;0;1;116;0;3;2;1;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;KUTJEVO;3;"ŠRC ""KUTJEVO"" - ŠAHOVSKA DVORANA";KUTJEVO;BANA JOSIPA JELAÈIÆA 2A;542;278;278;272;6;0;1;0;1;7;0;0;107;1;3;1;14;20;63;5;1;0;0;46;0;2;0;0;;;;;;;;;;;;;;;;;
V. IZBORNA JEDINICA;KUTJEVO;4;OSNOVNA ŠKOLA ZDENKA TURKOVIÆA;KUTJEVO;REPUBLIKE HRVATSKE 26;621;351;351;346;5;0;0;1;1;6;4;0;95;3;11;9;17;20;75;10;0;1;1;92;0;0;0;0;;;;;;;;;;;;;;;;;
