Izborna jedinica;Grad / opæina;Broj biraèkih mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA  , Nositelj liste:  MILAN ŽUPANÈIÆ, prof. ;AGENDA MLADIH DEMOKRATA - AMD , HRVATSKA STRANKA MLADIH - HSM  , Nositelj liste:  LUKA ŽUŽENIÆ ;AKCIJA MLADIH - AM  , Nositelj liste:  ROBERT KURELIÆ  ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH , SPLITSKA STRANKA UMIROVLJENIKA - SSU  , Nositelj liste:  ZLATKO KLARIÆ, prof. ;AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS , SAVEZ ZA PROMJENE - SP  , Nositelj liste:  BRANKO BORKOVIÆ;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  DRAŽEN KELEMINEC   ;BLOK UMIROVLJENICI ZAJEDNO - BUZ , PRIMORSKO GORANSKI SAVEZ - PGS , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ ;DEMOKRATSKA STRANKA ŽENA - DSŽ  , Nositelj liste:  MARIJA JELINÈIÆ ;GLAS RAZUMA  , Nositelj liste:  MILAN PERKOVAC, mg.elektronike ;HRVATSKA DEMOKRATSKA SELJAÈKA STRANKA - HDSS  , Nositelj liste:  TOMISLAV POKUPÈIÆ ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ , DEMOKRATSKI CENTAR - DC  , Nositelj liste:  JADRANKA KOSOR ;HRVATSKA 21. STOLJEÆA - HRVATSKA 21.  , Nositelj liste:  NADA LANDEKA  ;HRVATSKA EUROPSKA STRANKA - HES  , Nositelj liste:  NAJA ŠEBALJ ;HRVATSKA SELJAÈKA STRANKA - HSS  , Nositelj liste:  MARIJANA PETIR ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS  , Nositelj liste:  DARINKO KOSOR;HRVATSKA STRANKA PRAVA - HSP  , Nositelj liste:  ANTO ÐAPIÆ  ;HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  RUŽA TOMAŠIÆ  ;HRVATSKI LABURISTI-STRANKA RADA  , Nositelj liste:  DRAGUTIN LESAR;HRVATSKI RAST - HRAST  , Nositelj liste:  PERO PAŽIN;NACIONALNI DEMOKRATI - ND  , Nositelj liste:  MARINKO BOBINAC;NEOVISNA LISTA  , Nositelj liste:  MILAN BANDIÆ ;NEOVISNA LISTA  , Nositelj liste:  dr.sc. IVAN GRUBIŠIÆ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU  , Nositelj liste:  ZORAN MILANOVIÆ ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP  , Nositelj liste:  DRAGICA LOVREKOVIÆ;VOLIM HRVATSKU - VH  , Nositelj liste:  ROKO ŠIKIÆ;ZAGREBAÈKA NEZAVISNA LISTA - ZNL  , Nositelj liste:  mr.sc. TATJANA HOLJEVAC, dipl.ing. ;ZELENA LISTA  , Nositelj liste:  MILAN LONÈAR;ZELENA STRANKA - ZS  , Nositelj liste:  mr.sc. ALJOŠA BABIÆ ;ZELENI ZAJEDNO  , Nositelj liste:  TONI VIDAN
;;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
VI. IZBORNA JEDINICA;GLINA;20;6.830;3.456;3.455;3.375;80;7;6;10;11;44;10;55;6;5;14;1.348;5;3;371;162;119;46;65;19;0;64;10;980;5;0;1;6;1;2
VI. IZBORNA JEDINICA;HRVATSKA KOSTAJNICA;8;2.264;1.370;1.370;1.335;35;4;4;1;7;3;0;43;1;0;4;515;5;1;70;22;38;15;52;11;2;25;13;482;1;5;3;3;0;5
VI. IZBORNA JEDINICA;IVANIÆ-GRAD;21;12.715;8.286;8.278;8.134;144;18;12;43;38;244;25;229;45;8;35;1.350;14;5;304;345;180;272;528;85;9;203;98;3.897;25;19;11;37;15;40
VI. IZBORNA JEDINICA;KUTINA;39;20.006;12.767;12.755;12.529;226;17;23;28;59;137;31;297;35;5;29;2.340;9;8;831;2.060;393;261;570;91;6;140;123;4.917;26;13;8;31;14;27
VI. IZBORNA JEDINICA;NOVSKA;20;12.115;7.216;7.209;7.112;97;12;18;19;39;86;47;181;15;7;46;2.322;13;5;349;747;588;152;226;14;3;133;64;1.961;11;8;3;13;12;18
VI. IZBORNA JEDINICA;PETRINJA;35;23.936;12.019;12.008;11.773;235;23;28;57;69;165;37;491;29;16;39;3.512;23;10;887;316;618;215;463;63;6;301;106;4.165;30;17;2;44;15;26
VI. IZBORNA JEDINICA;SISAK;70;42.773;27.030;27.024;26.492;532;33;54;106;164;411;122;1.085;92;26;55;5.361;50;17;967;805;3.176;488;1.493;113;13;300;267;10.967;97;33;10;93;35;59
VI. IZBORNA JEDINICA;VELIKA GORICA;68;56.797;36.344;36.290;35.690;600;39;77;147;208;534;95;1.348;174;36;106;7.533;67;17;1.240;1.368;918;1.108;2.576;790;23;832;616;15.259;65;74;66;152;94;128
VI. IZBORNA JEDINICA;ZAGREB-JUGOISTOK;96;105.328;69.583;68.933;67.804;1.129;53;116;241;533;428;133;2.619;257;80;118;11.607;79;40;852;2.471;1.405;2.000;5.014;1.103;61;3.332;1.738;32.098;189;125;410;258;147;297
VI. IZBORNA JEDINICA;DONJI KUKURUZARI;5;1.258;785;785;759;26;1;3;1;5;4;3;3;2;0;2;326;1;1;69;18;15;3;5;8;2;21;4;255;3;0;0;0;3;1
VI. IZBORNA JEDINICA;DVOR;12;4.642;1.399;1.399;1.365;34;10;3;4;12;11;11;23;4;2;2;372;4;1;104;9;32;15;17;1;0;19;7;687;5;5;0;3;0;2
VI. IZBORNA JEDINICA;GVOZD;7;1.798;1.178;1.178;1.152;26;1;1;1;4;5;3;13;5;3;7;311;2;1;8;3;24;3;16;1;1;35;5;685;6;1;2;2;1;2
VI. IZBORNA JEDINICA;HRVATSKA DUBICA;6;2.003;1.045;1.041;1.015;26;2;2;3;7;9;4;20;6;1;12;409;2;3;96;12;51;13;25;4;0;19;3;299;3;2;0;4;0;4
VI. IZBORNA JEDINICA;JASENOVAC;10;2.019;1.269;1.268;1.234;34;9;5;2;13;8;6;23;6;4;5;536;1;2;66;67;87;28;19;3;0;22;10;306;1;0;0;2;0;3
VI. IZBORNA JEDINICA;KLOŠTAR IVANIÆ;13;5.351;3.090;3.090;3.025;65;3;7;13;24;82;11;74;13;2;20;591;7;2;205;99;84;90;185;34;2;115;38;1.266;23;6;6;10;3;10
VI. IZBORNA JEDINICA;KRAVARSKO;10;1.674;1.052;1.042;1.019;23;2;1;7;13;21;6;20;3;2;6;362;2;0;47;28;26;11;70;17;1;20;10;328;3;3;2;5;2;1
