Izborna jedinica;Grad / opæina;BM Rbr;BM Naziv;BM Lokacija;BM Adresa;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA  , Nositelj liste:  MILAN ŽUPANÈIÆ, prof. ;AGENDA MLADIH DEMOKRATA - AMD , HRVATSKA STRANKA MLADIH - HSM  , Nositelj liste:  LUKA ŽUŽENIÆ ;AKCIJA MLADIH - AM  , Nositelj liste:  ROBERT KURELIÆ  ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH , SPLITSKA STRANKA UMIROVLJENIKA - SSU  , Nositelj liste:  ZLATKO KLARIÆ, prof. ;AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS , SAVEZ ZA PROMJENE - SP  , Nositelj liste:  BRANKO BORKOVIÆ;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  DRAŽEN KELEMINEC   ;BLOK UMIROVLJENICI ZAJEDNO - BUZ , PRIMORSKO GORANSKI SAVEZ - PGS , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ ;DEMOKRATSKA STRANKA ŽENA - DSŽ  , Nositelj liste:  MARIJA JELINÈIÆ ;GLAS RAZUMA  , Nositelj liste:  MILAN PERKOVAC, mg.elektronike ;HRVATSKA DEMOKRATSKA SELJAÈKA STRANKA - HDSS  , Nositelj liste:  TOMISLAV POKUPÈIÆ ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ , DEMOKRATSKI CENTAR - DC  , Nositelj liste:  JADRANKA KOSOR ;HRVATSKA 21. STOLJEÆA - HRVATSKA 21.  , Nositelj liste:  NADA LANDEKA  ;HRVATSKA EUROPSKA STRANKA - HES  , Nositelj liste:  NAJA ŠEBALJ ;HRVATSKA SELJAÈKA STRANKA - HSS  , Nositelj liste:  MARIJANA PETIR ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS  , Nositelj liste:  DARINKO KOSOR;HRVATSKA STRANKA PRAVA - HSP  , Nositelj liste:  ANTO ÐAPIÆ  ;HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  RUŽA TOMAŠIÆ  ;HRVATSKI LABURISTI-STRANKA RADA  , Nositelj liste:  DRAGUTIN LESAR;HRVATSKI RAST - HRAST  , Nositelj liste:  PERO PAŽIN;NACIONALNI DEMOKRATI - ND  , Nositelj liste:  MARINKO BOBINAC;NEOVISNA LISTA  , Nositelj liste:  MILAN BANDIÆ ;NEOVISNA LISTA  , Nositelj liste:  dr.sc. IVAN GRUBIŠIÆ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU  , Nositelj liste:  ZORAN MILANOVIÆ ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP  , Nositelj liste:  DRAGICA LOVREKOVIÆ;VOLIM HRVATSKU - VH  , Nositelj liste:  ROKO ŠIKIÆ;ZAGREBAÈKA NEZAVISNA LISTA - ZNL  , Nositelj liste:  mr.sc. TATJANA HOLJEVAC, dipl.ing. ;ZELENA LISTA  , Nositelj liste:  MILAN LONÈAR;ZELENA STRANKA - ZS  , Nositelj liste:  mr.sc. ALJOŠA BABIÆ ;ZELENI ZAJEDNO  , Nositelj liste:  TONI VIDAN;;;;;;;;;;;;;;;;;
;;;;;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;GLINA;1;GLINA;HRVATSKI DOM;UL. STJEPANA I ANTUNA RADIÆA 8;513;313;312;302;10;0;0;1;1;4;0;8;1;0;0;92;0;0;16;28;8;3;13;2;0;6;0;114;0;0;0;3;0;2;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;GLINA;2;GLINA;VATROGASNI DOM;FRANKOPANSKA 22;366;147;147;144;3;0;0;0;0;2;1;4;0;0;0;72;0;0;6;6;6;3;3;2;0;1;0;37;0;0;0;1;0;0;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;GLINA;3;GLINA;"PROSTORIJE ŠUMARIJE ""GLINA""";HRVATSKA ULICA 32;739;410;410;401;9;0;2;2;0;7;3;7;0;1;3;163;0;0;35;28;17;12;7;4;0;6;0;104;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;GLINA;4;GLINA;SREDNJA ŠKOLA GLINA;FRANKOPANSKA 30;445;255;255;251;4;0;0;0;4;0;1;1;0;0;2;89;0;0;9;11;11;2;4;0;0;8;1;106;1;0;0;1;0;0;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;GLINA;5;GLINA;OSNOVNA ŠKOLA GLINA;ANTE STARÈEVIÆA 1;299;163;163;158;5;0;0;1;0;3;0;7;0;0;0;36;0;0;4;8;6;2;2;0;0;1;2;85;0;0;0;1;0;0;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;GLINA;6;GLINA;DOM ZDRAVLJA GLINA PROSTOR I;VUKOVARSKA 41;134;43;43;43;0;0;0;0;1;2;1;0;0;0;0;13;0;0;3;0;1;0;0;0;0;1;1;20;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;GLINA;7;GLINA;DOM ZDRAVLJA GLINA PROSTOR II;VUKOVARSKA 41;452;236;236;228;8;0;1;0;0;3;1;3;1;0;0;80;1;0;16;10;15;1;4;3;0;8;1;80;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;GLINA;8;GLINA;PROSTORIJE CRVENOG KRIŽA GLINA;FRANKOPANSKA 1;604;359;359;350;9;0;1;1;0;2;0;5;0;1;0;135;1;1;20;32;16;3;10;4;0;10;1;106;0;0;1;0;0;0;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;GLINA;9;MARIN BROD;"PROSTORIJE ""STARE ŠKOLE"" MARIN BROD";MARIN BROD;361;205;205;200;5;0;0;0;1;5;0;3;1;0;3;111;0;0;37;5;8;1;4;0;0;2;1;17;1;0;0;0;0;0;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;GLINA;10;NOVO SELO GLINSKO;VATROGASNI DOM;NOVO SELO GLINSKO;127;84;84;81;3;0;0;0;0;3;0;0;0;0;0;56;0;0;7;1;8;0;0;0;0;3;0;3;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;GLINA;11;DVORIŠÆE;PROSTORIJE LOKALA IVANA MILEKOVIÆA;DVORIŠÆE KBR. 32;313;179;179;174;5;1;0;0;1;1;0;2;0;0;0;114;0;0;27;3;3;3;6;1;0;0;1;11;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
VI. IZBORNA JEDINICA;GLINA;12;GORNJI VIDUŠEVAC;PROSTORIJE OSNOVNE ŠKOLE;GORNJI VIDUŠEVAC;727;313;313;308;5;2;1;3;2;1;1;2;0;1;2;157;2;1;64;8;7;4;7;2;0;3;0;37;0;0;0;0;1;0;;;;;;;;;;;;;;;;;
