Izborna jedinica;Grad / Opæine;Broj biraèkih mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA  , Nositelj liste:  STJEPAN VUJANIÆ;AGENDA MLADIH DEMOKRATA - AMD , HRVATSKA STRANKA MLADIH - HSM  , Nositelj liste:  MARIJAN FERIÆ ;AKCIJA MLADIH - AM  , Nositelj liste:  BOJAN KURELIÆ ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH , SPLITSKA STRANKA UMIROVLJENIKA - SSU , LISTA ZA RIJEKU - LISTA-RI  , Nositelj liste:  ZLATKO KLARIÆ, prof.;AKCIJA ZA BOLJU HRVATSKU - ABH , JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA  , Nositelj liste:  mr.sc. ŽELJKO SAÈIÆ;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  NATKO KOVAÈEVIÆ, dr.med.vet.;BLOK UMIROVLJENICI ZAJEDNO - BUZ , PRIMORSKO GORANSKI SAVEZ - PGS , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ ;DEMOKRATSKA STRANKA ŽENA - DSŽ  , Nositelj liste:  MARIJA JELINÈIÆ ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ  , Nositelj liste:  JADRANKA KOSOR ;HRVATSKA 21. STOLJEÆA - HRVATSKA 21.  , Nositelj liste:  NATAŠA SRDOÈ;HRVATSKA EUROPSKA STRANKA - HES  , Nositelj liste:  NAJA ŠEBALJ ;HRVATSKA SELJAÈKA STRANKA - HSS , ZELENA STRANKA - ZS , STRANKA PENZIONERA - SP  , Nositelj liste:  mr.sc. BOŽIDAR PANKRETIÆ  ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS  , Nositelj liste:  DARINKO KOSOR ;HRVATSKA STRANKA PRAVA - HSP  , Nositelj liste:  DANIEL SRB;HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  RUŽA TOMAŠIÆ ;HRVATSKI LABURISTI-STRANKA RADA  , Nositelj liste:  DRAGUTIN LESAR;HRVATSKI RAST - HRAST  , Nositelj liste:  JELENA ÆORIÆ MUDROVÈIÆ  ;NACIONALNI DEMOKRATI - ND  , Nositelj liste:  IGOR GALOVIÆ;NEOVISNA LISTA  , Nositelj liste:  MILAN BANDIÆ;NEOVISNA LISTA  , Nositelj liste:  dr.sc. IVAN GRUBIŠIÆ ;SAVEZ ZA PROMJENE - SP , AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS , DEMOKRATSKA PRIGORSKO-ZAGREBAÈKA STRANKA - DPS  , Nositelj liste:  IVAN PERNAR;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU  , Nositelj liste:  ZORAN MILANOVIÆ ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP  , Nositelj liste:  MILORAD MRVOŠ, prof.   ;STRANKA HRVATSKOG ZAJEDNIŠTVA - SHZ  , Nositelj liste:  ŽELJKO VINSKI, ing.grad. ;ZAGREBAÈKA NEZAVISNA LISTA - ZNL  , Nositelj liste:  mr.sc. TATJANA HOLJEVAC, dipl.ing.  ;ZELENA LISTA  , Nositelj liste:  DARKO MRZLEÈKI ;ZELENI ZAJEDNO  , Nositelj liste:  MARIJA PERUŠIÆ, struè.spec.oec.  
;;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27
VII. IZBORNA JEDINICA;BAKAR;8;7.196;4.619;4.619;4.524;95;5;18;102;45;33;26;244;28;974;13;4;85;69;139;89;271;17;5;24;119;54;2.083;17;1;1;37;21
VII. IZBORNA JEDINICA;ÈABAR;5;4.059;2.280;2.279;2.230;49;8;8;23;24;6;11;109;23;452;4;4;85;33;43;25;169;11;0;4;22;27;1.102;7;0;0;18;12
VII. IZBORNA JEDINICA;DELNICE;7;5.282;3.422;3.421;3.338;83;4;5;40;17;25;10;262;11;552;10;2;112;59;89;125;226;6;3;23;51;47;1.605;10;10;2;21;11
VII. IZBORNA JEDINICA;DUGA RESA;25;10.210;6.983;6.962;6.804;158;7;14;26;52;93;21;221;33;1.779;13;5;529;225;240;275;371;37;5;64;104;57;2.493;11;11;3;47;68
VII. IZBORNA JEDINICA;JASTREBARSKO;49;14.504;9.594;9.590;9.381;209;14;29;28;51;84;29;275;47;1.977;20;5;893;266;436;353;479;81;9;131;140;106;3.813;11;7;8;52;37
VII. IZBORNA JEDINICA;KARLOVAC;92;50.477;33.533;33.477;32.853;624;65;170;127;166;372;73;919;162;8.936;50;30;1.262;884;1.057;1.030;1.743;205;9;252;520;273;14.138;74;41;15;157;123
VII. IZBORNA JEDINICA;KASTAV;7;8.735;5.679;5.678;5.599;79;8;33;114;43;32;6;336;33;810;31;4;59;141;128;118;398;35;1;21;156;64;2.942;21;2;2;27;34
VII. IZBORNA JEDINICA;NOVI VINODOLSKI;12;5.408;3.127;3.127;3.059;68;6;11;20;18;17;9;148;17;781;0;1;82;69;60;51;152;10;3;28;56;33;1.466;7;1;0;10;3
VII. IZBORNA JEDINICA;OGULIN;22;10.790;7.515;7.503;7.325;178;11;16;42;45;133;23;192;46;2.495;11;7;239;157;258;249;249;45;7;57;71;60;2.830;16;3;7;31;25
VII. IZBORNA JEDINICA;OZALJ;27;6.914;3.733;3.732;3.650;82;11;15;24;31;17;18;87;29;818;8;5;276;83;156;63;138;12;2;37;49;50;1.657;11;10;1;26;16
VII. IZBORNA JEDINICA;SAMOBOR;80;33.376;22.334;22.261;21.831;430;16;54;112;128;198;33;751;126;3.165;21;13;3.189;979;455;498;1.366;237;12;360;373;169;9.257;50;15;65;118;71
VII. IZBORNA JEDINICA;SLUNJ;12;4.930;2.738;2.738;2.685;53;5;7;14;15;213;4;51;14;1.070;6;9;165;82;80;63;134;9;0;21;22;22;648;4;5;2;11;9
VII. IZBORNA JEDINICA;SVETA NEDELJA;17;15.639;10.206;10.200;10.015;185;8;27;59;50;59;34;497;59;1.777;14;3;684;425;305;414;781;113;7;196;168;84;4.134;14;6;24;48;25
VII. IZBORNA JEDINICA;VRBOVSKO;12;4.279;2.819;2.819;2.770;49;6;7;18;32;12;28;152;14;583;4;2;65;33;80;51;99;10;3;29;27;27;1.448;12;6;3;13;6
VII. IZBORNA JEDINICA;ZAGREB-JUŽNI DIO;116;148.596;97.239;96.606;95.078;1.528;69;199;365;450;627;149;4.249;378;17.652;118;56;1.528;4.179;2.798;3.207;7.168;1.935;60;3.803;2.287;621;41.391;175;45;576;591;402
VII. IZBORNA JEDINICA;BARILOVIÆ;12;2.605;1.709;1.704;1.680;24;3;6;7;8;8;5;24;9;709;2;0;163;54;82;28;53;5;2;19;11;6;461;4;2;1;2;6
VII. IZBORNA JEDINICA;BOSILJEVO;4;1.362;754;754;734;20;1;2;4;5;2;4;16;8;318;2;1;72;11;54;11;17;4;0;8;6;4;174;0;0;1;3;6
VII. IZBORNA JEDINICA;BROD MORAVICE;1;814;538;524;516;8;1;1;4;7;0;1;34;1;154;1;2;14;4;28;12;33;2;0;4;7;5;200;1;0;0;0;0
VII. IZBORNA JEDINICA;CETINGRAD;3;2.494;903;903;888;15;1;0;2;7;24;2;7;3;397;0;2;57;11;51;10;34;18;0;7;5;12;234;0;0;0;3;1
VII. IZBORNA JEDINICA;ÈAVLE;7;6.068;3.971;3.971;3.878;93;8;21;67;25;54;13;218;20;533;9;1;102;72;121;117;270;20;4;20;106;55;1.945;10;1;2;33;31
VII. IZBORNA JEDINICA;DRAGANIÆ;4;2.633;1.541;1.540;1.499;41;3;4;8;11;22;4;32;8;413;4;3;161;30;47;67;60;8;0;12;21;15;536;5;14;1;10;0
VII. IZBORNA JEDINICA;FUŽINE;3;1.507;954;953;930;23;3;3;14;5;8;2;55;3;131;4;1;25;7;11;36;56;4;1;7;13;11;519;2;0;1;3;5
VII. IZBORNA JEDINICA;GENERALSKI STOL;8;2.603;1.470;1.469;1.431;38;3;5;5;12;24;7;41;4;582;1;0;116;29;107;89;29;2;0;12;8;16;318;4;3;0;7;7
VII. IZBORNA JEDINICA;JELENJE;9;4.514;2.923;2.923;2.862;61;2;12;89;29;47;16;239;26;347;7;3;75;53;96;71;218;17;2;28;84;51;1.290;10;3;0;26;21
VII. IZBORNA JEDINICA;JOSIPDOL;11;3.205;2.070;2.070;2.035;35;7;1;10;16;48;7;62;14;806;3;2;59;28;121;73;51;47;2;22;16;16;612;2;0;2;6;2
VII. IZBORNA JEDINICA;KAMANJE;3;906;555;555;548;7;1;2;1;1;2;2;9;2;98;1;1;20;7;10;3;10;3;3;5;1;12;347;2;0;0;3;2
VII. IZBORNA JEDINICA;KLANA;6;1.721;1.185;1.185;1.156;29;1;9;19;13;8;5;57;12;175;4;2;37;13;36;31;79;3;1;7;15;14;600;1;1;1;5;7
VII. IZBORNA JEDINICA;KLINÈA SELA;16;4.394;2.913;2.911;2.855;56;9;9;21;13;54;11;114;13;576;2;0;243;100;90;139;137;35;1;75;28;30;1.110;8;1;13;14;9
