Izborna jedinica;Grad / Opæine;BM Rbr;BM Naziv;BM Lokacija;BM Adresa;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA  , Nositelj liste:  STJEPAN VUJANIÆ;AGENDA MLADIH DEMOKRATA - AMD , HRVATSKA STRANKA MLADIH - HSM  , Nositelj liste:  MARIJAN FERIÆ ;AKCIJA MLADIH - AM  , Nositelj liste:  BOJAN KURELIÆ ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH , SPLITSKA STRANKA UMIROVLJENIKA - SSU , LISTA ZA RIJEKU - LISTA-RI  , Nositelj liste:  ZLATKO KLARIÆ, prof.;AKCIJA ZA BOLJU HRVATSKU - ABH , JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA  , Nositelj liste:  mr.sc. ŽELJKO SAÈIÆ;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  NATKO KOVAÈEVIÆ, dr.med.vet.;BLOK UMIROVLJENICI ZAJEDNO - BUZ , PRIMORSKO GORANSKI SAVEZ - PGS , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ ;DEMOKRATSKA STRANKA ŽENA - DSŽ  , Nositelj liste:  MARIJA JELINÈIÆ ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ  , Nositelj liste:  JADRANKA KOSOR ;HRVATSKA 21. STOLJEÆA - HRVATSKA 21.  , Nositelj liste:  NATAŠA SRDOÈ;HRVATSKA EUROPSKA STRANKA - HES  , Nositelj liste:  NAJA ŠEBALJ ;HRVATSKA SELJAÈKA STRANKA - HSS , ZELENA STRANKA - ZS , STRANKA PENZIONERA - SP  , Nositelj liste:  mr.sc. BOŽIDAR PANKRETIÆ  ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS  , Nositelj liste:  DARINKO KOSOR ;HRVATSKA STRANKA PRAVA - HSP  , Nositelj liste:  DANIEL SRB;HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  RUŽA TOMAŠIÆ ;HRVATSKI LABURISTI-STRANKA RADA  , Nositelj liste:  DRAGUTIN LESAR;HRVATSKI RAST - HRAST  , Nositelj liste:  JELENA ÆORIÆ MUDROVÈIÆ  ;NACIONALNI DEMOKRATI - ND  , Nositelj liste:  IGOR GALOVIÆ;NEOVISNA LISTA  , Nositelj liste:  MILAN BANDIÆ;NEOVISNA LISTA  , Nositelj liste:  dr.sc. IVAN GRUBIŠIÆ ;SAVEZ ZA PROMJENE - SP , AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS , DEMOKRATSKA PRIGORSKO-ZAGREBAÈKA STRANKA - DPS  , Nositelj liste:  IVAN PERNAR;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU  , Nositelj liste:  ZORAN MILANOVIÆ ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP  , Nositelj liste:  MILORAD MRVOŠ, prof.   ;STRANKA HRVATSKOG ZAJEDNIŠTVA - SHZ  , Nositelj liste:  ŽELJKO VINSKI, ing.grad. ;ZAGREBAÈKA NEZAVISNA LISTA - ZNL  , Nositelj liste:  mr.sc. TATJANA HOLJEVAC, dipl.ing.  ;ZELENA LISTA  , Nositelj liste:  DARKO MRZLEÈKI ;ZELENI ZAJEDNO  , Nositelj liste:  MARIJA PERUŠIÆ, struè.spec.oec.  ;;;;;;;;;;;;;;;;;
;;;;;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;BAKAR;1;BIRAÈKO MJESTO BR. 1;PROSTORIJE VIJEÆNICE GRADA BAKAR;PRIMORJE 39/II;1.356;759;759;745;14;0;5;23;5;4;4;44;5;156;2;2;17;12;21;11;60;4;3;5;24;5;316;7;0;1;4;5;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;BAKAR;2;BIRAÈKO MJESTO BR. 2;PROSTORIJE MJESNOG ODBORA KRASICA;KRASICA 230A;1.205;790;790;770;20;1;5;22;11;8;2;49;3;173;2;1;12;12;19;9;31;6;0;4;10;7;367;2;0;0;11;3;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;BAKAR;3;BIRAÈKO MJESTO BR. 3;PROSTORIJE PODRUÈNE ŠKOLE ŠKRLJEVO;ŠKRLJEVO 201;1.103;732;732;715;17;1;1;17;10;5;3;38;8;139;2;0;13;10;32;20;46;2;0;4;24;10;318;4;0;0;5;3;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;BAKAR;4;BIRAÈKO MJESTO BR. 4;PROST.  DOMA KULTURE KUKULJANOVO;KUKULJANOVO 205B;867;608;608;597;11;1;4;13;3;2;1;21;0;118;0;0;10;8;13;16;51;2;0;4;14;9;300;0;0;0;6;1;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;BAKAR;5;BIRAÈKO MJESTO BR. 5;PROSTORIJE DOMA KULTURE HRELJIN;HRELJIN 119;1.265;829;829;808;21;2;2;12;9;6;3;49;4;177;2;0;14;12;34;14;36;2;0;3;21;10;385;2;1;0;6;2;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;BAKAR;6;BIRAÈKO MJESTO BR. 6;"PROSTORIJE NK ""NAPRIJED"", HRELJIN";MEJA GAJ BB;611;352;352;349;3;0;0;7;0;4;1;16;3;69;1;1;7;11;8;4;21;0;0;1;10;6;174;1;0;0;1;3;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;BAKAR;7;BIRAÈKO MJESTO BR. 7;PROSTORIJE DOMA KULTURE ZLOBIN;ZLOBIN 157/I;271;191;191;188;3;0;0;0;2;3;9;7;0;50;1;0;3;1;3;7;9;0;0;1;6;1;82;0;0;0;3;0;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;BAKAR;8;BIRAÈKO MJESTO BR. 8;PROST. PODRUÈNE ŠKOLE PRAPUTNJAK;PRAPUTNJAK 101;518;358;358;352;6;0;1;8;5;1;3;20;5;92;3;0;9;3;9;8;17;1;2;2;10;6;141;1;0;0;1;4;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;ÈABAR;1;BIRAÈKO MJESTO BR. 1;VIJEÆNICA GRADA ÈABRA;ÈABAR, NARODNOG OSLOBOÐENJA 2;793;444;444;433;11;0;3;5;3;1;4;21;6;94;1;0;20;9;9;4;36;1;0;1;6;9;196;0;0;0;2;2;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;ÈABAR;2;BIRAÈKO MJESTO BR. 2;PREZID - ZGRADA OSNOVNE ŠKOLE;PREZID, GORANSKA 103;839;482;481;472;9;1;2;6;10;2;2;31;4;85;2;1;12;6;8;7;43;2;0;1;6;5;227;2;0;0;4;3;;;;;;;;;;;;;;;;;
VII. IZBORNA JEDINICA;ÈABAR;3;BIRAÈKO MJESTO BR. 3;TRŠÆE - ZGRADA DRUŠTVENOG DOMA;TRŠÆE, ŠKOLSKA 1;918;499;499;485;14;6;1;6;3;0;3;19;6;84;1;1;32;10;12;5;48;7;0;1;5;7;218;1;0;0;6;3;;;;;;;;;;;;;;;;;
