Izborna jedinica;Grad / opæina;Broj biraèkih mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA  , Nositelj liste:  MIRKO MAKAUS ;AGENDA MLADIH DEMOKRATA - AMD , HRVATSKA STRANKA MLADIH - HSM  , Nositelj liste:  GORAN OŽANIÆ;AKCIJA MLADIH - AM , LISTA ZA RIJEKU - LISTA-RI , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH  , Nositelj liste:  DANKO ŠVORINIÆ ;AKCIJA ZA BOLJU HRVATSKU - ABH , JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA  , Nositelj liste:  mr.sc. ŽELJKO SAÈIÆ;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  ANDRIJA ŠKRIBULJA  ;DEMOKRATSKA STRANKA ŽENA - DSŽ  , Nositelj liste:  MARIJA JELINÈIÆ  ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ  , Nositelj liste:  JADRANKA KOSOR;HRVATSKA 21. STOLJEÆA - HRVATSKA 21.  ,  Nositelj liste:  NATAŠA SRDOÈ  ;HRVATSKA SELJAÈKA STRANKA - HSS , ZELENA STRANKA - ZS , STRANKA PENZIONERA - SP  , Nositelj liste:  IVO ZRILIÆ ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS  , Nositelj liste:  DARINKO KOSOR ;HRVATSKA STRANKA PRAVA - HSP  , Nositelj liste:  DANIEL SRB ;HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  dr.sc. IVAN KIRIN;HRVATSKI LABURISTI-STRANKA RADA  , Nositelj liste:  DRAGUTIN LESAR;HRVATSKI RAST - HRAST  , Nositelj liste:  DAVOR JURICA ;ISTARSKA SOCIJALDEMOKRATSKA NEZAVISNA STRANKA - ISDNS  , Nositelj liste:  IVAN JANKO  ;LADONJA  , Nositelj liste:  PLINIO CUCCURIN  ;NACIONALNI DEMOKRATI - ND  , Nositelj liste:  ZDRAVKO BERIÆ;NEOVISNA LISTA  , Nositelj liste:  dr.sc. IVAN GRUBIŠIÆ ;PRIMORSKO GORANSKI SAVEZ - PGS , BLOK UMIROVLJENICI ZAJEDNO - BUZ , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ;SAVEZ ZA PROMJENE - SP , AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS  , Nositelj liste:  IVAN PERNAR   ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU  , Nositelj liste:  ZORAN MILANOVIÆ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP  , Nositelj liste:  IVAN PLJEŠA;STRANKA HRVATSKOG ZAJEDNIŠTVA - SHZ  , Nositelj liste:  ŽELJKO VINSKI, ing.grad.;VOLIM HRVATSKU - VH  , Nositelj liste:  prof.dr.sc. ZVONKO ÈAPKO ;ZELENA LISTA  , Nositelj liste:  DARKO ANTOŠ  ;ZELENA STRANKA-ZELENA ALTERNATIVA - ZELENI  , Nositelj liste:  mr.sc. JOSIP-ANTON RUPNIK
;;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26
VIII. IZBORNA JEDINICA;BUJE - BUIE;8;4.131;2.432;2.430;2.365;65;10;13;21;8;6;12;271;7;21;46;16;23;115;9;40;175;6;32;24;33;1.402;16;5;5;17;32
VIII. IZBORNA JEDINICA;BUZET;16;5.226;3.678;3.678;3.598;80;7;15;28;19;5;19;130;8;23;43;20;20;143;27;75;272;1;57;57;20;2.550;13;5;3;18;20
VIII. IZBORNA JEDINICA;CRES;8;2.805;1.662;1.662;1.629;33;5;11;58;9;8;12;250;2;64;22;11;25;87;72;6;25;4;45;108;5;781;5;1;4;4;5
VIII. IZBORNA JEDINICA;CRIKVENICA;9;12.212;6.077;6.076;5.991;85;11;40;79;24;21;32;1.148;17;58;117;103;152;366;22;8;38;3;150;320;36;3.161;22;0;9;21;33
VIII. IZBORNA JEDINICA;KRALJEVICA;5;4.129;2.597;2.597;2.559;38;2;16;49;16;10;10;426;8;22;41;96;84;156;10;3;27;2;76;188;8;1.265;5;0;11;14;14
VIII. IZBORNA JEDINICA;KRK;9;6.131;3.526;3.522;3.459;63;3;7;41;16;9;17;462;13;32;63;64;43;146;54;2;33;2;101;896;19;1.400;8;1;10;9;8
VIII. IZBORNA JEDINICA;LABIN;16;11.030;6.823;6.817;6.710;107;10;16;47;17;11;29;332;26;37;65;40;26;418;13;82;353;4;98;119;14;4.833;33;5;6;20;56
VIII. IZBORNA JEDINICA;MALI LOŠINJ;13;7.956;4.532;4.529;4.456;73;8;19;81;58;17;22;746;14;55;140;66;73;259;116;22;49;4;124;237;22;2.241;10;2;11;22;38
VIII. IZBORNA JEDINICA;NOVIGRAD - CITTANOVA;3;3.778;2.090;2.090;2.052;38;2;3;17;4;3;10;268;10;16;17;15;8;101;9;44;143;0;33;33;14;1.261;7;1;7;12;14
VIII. IZBORNA JEDINICA;OPATIJA;14;11.370;7.075;6.970;6.891;79;7;27;229;20;12;23;797;40;52;114;73;96;396;22;27;217;3;158;289;32;4.153;28;1;15;21;39
VIII. IZBORNA JEDINICA;PAZIN;15;7.535;5.034;5.033;4.904;129;7;15;66;23;10;17;459;19;44;79;29;73;245;87;55;403;1;147;78;24;2.918;16;3;11;32;43
VIII. IZBORNA JEDINICA;POREÈ - PARENZO;16;15.589;8.975;8.807;8.693;114;7;25;55;24;13;33;928;32;42;105;87;56;591;51;122;402;4;154;155;38;5.574;37;56;16;30;56
VIII. IZBORNA JEDINICA;PULA - POLA;43;49.811;31.821;31.792;31.302;490;28;166;198;62;41;113;2.756;102;156;346;199;148;1.936;189;244;3.068;25;760;510;141;19.420;202;6;60;167;259
VIII. IZBORNA JEDINICA;RAB;8;7.452;4.774;4.774;4.682;92;5;16;76;22;8;18;1.172;18;78;102;93;137;166;41;1;22;7;154;207;15;2.209;43;2;12;22;36
VIII. IZBORNA JEDINICA;RIJEKA;101;115.716;71.503;71.360;70.341;1.019;53;394;2.146;427;182;257;10.520;345;492;1.258;1.215;1.927;4.807;422;104;1.415;45;2.288;3.954;225;36.764;257;30;193;253;368
VIII. IZBORNA JEDINICA;ROVINJ - ROVIGNO;12;12.573;7.591;7.591;7.487;104;18;21;58;8;8;20;584;30;30;88;58;23;282;88;91;835;6;97;102;49;4.860;33;4;10;27;57
VIII. IZBORNA JEDINICA;UMAG - UMAGO;12;11.774;6.614;6.612;6.506;106;7;24;53;18;8;28;588;18;54;77;55;48;391;20;85;373;5;103;119;32;4.250;41;18;14;31;46
