Izborna jedinica;Grad / opæina;BM Rbr;BM Naziv;BM Lokacija;BM Adresa;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA  , Nositelj liste:  MIRKO MAKAUS ;AGENDA MLADIH DEMOKRATA - AMD , HRVATSKA STRANKA MLADIH - HSM  , Nositelj liste:  GORAN OŽANIÆ;AKCIJA MLADIH - AM , LISTA ZA RIJEKU - LISTA-RI , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH  , Nositelj liste:  DANKO ŠVORINIÆ ;AKCIJA ZA BOLJU HRVATSKU - ABH , JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA  , Nositelj liste:  mr.sc. ŽELJKO SAÈIÆ;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  ANDRIJA ŠKRIBULJA  ;DEMOKRATSKA STRANKA ŽENA - DSŽ  , Nositelj liste:  MARIJA JELINÈIÆ  ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ  , Nositelj liste:  JADRANKA KOSOR;HRVATSKA 21. STOLJEÆA - HRVATSKA 21.  ,  Nositelj liste:  NATAŠA SRDOÈ  ;HRVATSKA SELJAÈKA STRANKA - HSS , ZELENA STRANKA - ZS , STRANKA PENZIONERA - SP  , Nositelj liste:  IVO ZRILIÆ ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS  , Nositelj liste:  DARINKO KOSOR ;HRVATSKA STRANKA PRAVA - HSP  , Nositelj liste:  DANIEL SRB ;HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  dr.sc. IVAN KIRIN;HRVATSKI LABURISTI-STRANKA RADA  , Nositelj liste:  DRAGUTIN LESAR;HRVATSKI RAST - HRAST  , Nositelj liste:  DAVOR JURICA ;ISTARSKA SOCIJALDEMOKRATSKA NEZAVISNA STRANKA - ISDNS  , Nositelj liste:  IVAN JANKO  ;LADONJA  , Nositelj liste:  PLINIO CUCCURIN  ;NACIONALNI DEMOKRATI - ND  , Nositelj liste:  ZDRAVKO BERIÆ;NEOVISNA LISTA  , Nositelj liste:  dr.sc. IVAN GRUBIŠIÆ ;PRIMORSKO GORANSKI SAVEZ - PGS , BLOK UMIROVLJENICI ZAJEDNO - BUZ , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ;SAVEZ ZA PROMJENE - SP , AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS  , Nositelj liste:  IVAN PERNAR   ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU  , Nositelj liste:  ZORAN MILANOVIÆ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP  , Nositelj liste:  IVAN PLJEŠA;STRANKA HRVATSKOG ZAJEDNIŠTVA - SHZ  , Nositelj liste:  ŽELJKO VINSKI, ing.grad.;VOLIM HRVATSKU - VH  , Nositelj liste:  prof.dr.sc. ZVONKO ÈAPKO ;ZELENA LISTA  , Nositelj liste:  DARKO ANTOŠ  ;ZELENA STRANKA-ZELENA ALTERNATIVA - ZELENI  , Nositelj liste:  mr.sc. JOSIP-ANTON RUPNIK;;;;;;;;;;;;;;;;;
;;;;;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;BUJE - BUIE;1;BUJE;"OSNOVNA ŠKOLA ""MATE BALOTE"" BUJE";ŠKOLSKI BRIJEG BB, BUJE;885;563;563;549;14;2;4;6;2;0;6;53;2;1;11;2;4;32;1;4;30;2;8;5;8;352;3;2;1;2;6;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;BUJE - BUIE;2;BUJE;"OSNOVNA ŠKOLA ""MATE BALOTA"" BUJE";BUJE, ŠKOLSKI BRIJEG BB;1.320;801;799;770;29;0;3;5;1;0;2;110;0;4;17;6;11;46;2;5;53;1;12;11;6;450;2;0;2;5;16;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;BUJE - BUIE;3;KAŠTEL;OSNOVNA ŠKOLA KAŠTEL;KAŠTEL BB;874;426;426;419;7;1;2;3;3;1;2;48;3;8;4;3;5;19;1;15;33;1;5;5;8;242;2;2;0;2;1;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;BUJE - BUIE;4;KRASICA;DRUŠTVENI DOM;KRASICA BB;189;123;123;116;7;1;0;1;2;1;0;3;2;2;1;0;0;5;0;7;8;0;0;0;0;76;4;0;0;1;2;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;BUJE - BUIE;5;KRŠETE;OSNOVNA ŠKOLA KRŠETE;KRŠETE BB;249;139;139;136;3;2;1;1;0;0;2;21;0;3;2;0;0;6;2;4;15;0;2;0;7;63;0;0;0;4;1;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;BUJE - BUIE;6;MARUŠIÆI;DRUŠTVENI DOM MARUŠIÆI;MARUŠIÆI BB;130;96;96;96;0;0;0;1;0;1;0;3;0;0;1;0;0;0;2;1;4;1;0;2;0;76;1;1;1;0;1;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;BUJE - BUIE;7;MOMJAN;OSNOVNA ŠKOLA MOMJAN;MOMJAN BB;314;172;172;169;3;3;1;3;0;1;0;26;0;2;6;3;3;6;1;2;22;1;3;0;4;78;1;0;0;1;2;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;BUJE - BUIE;8;TRIBAN;DRUŠTVENI DOM;TRIBAN BB;170;112;112;110;2;1;2;1;0;2;0;7;0;1;4;2;0;1;0;2;10;0;2;1;0;65;3;0;1;2;3;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;BUZET;1;FONTANA - SJEVER;NARODNI DOM;II ISTARSKE BRIGADE 1, BUZET;1.028;767;767;760;7;0;5;7;2;0;3;35;1;4;14;5;4;41;11;9;52;0;17;20;6;512;2;1;0;5;4;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;BUZET;2;FONTANA - JUG;PROSTOR MJESNOG ODBORA BUZET;NASELJE GORIÈICA 10;550;414;414;405;9;0;1;1;2;0;3;18;3;1;3;0;1;19;0;5;27;1;2;9;2;298;0;0;3;4;2;;;;;;;;;;;;;;;;;
VIII. IZBORNA JEDINICA;BUZET;3;STARI GRAD;PROSTOR MJESNOG ODBORA BUZET;EDE NEMARNIKA 2, BUZET;366;237;237;235;2;2;0;5;1;0;0;4;0;0;3;2;2;5;1;8;13;0;6;2;4;176;0;0;0;0;1;;;;;;;;;;;;;;;;;
