Izborna jedinica;Grad / opæina;Broj biraèkih mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA  , Nositelj liste:  JURE GRUBIŠIÆ ;AKCIJA MLADIH - AM  , Nositelj liste:  ANTE RUBEŠA ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH , SPLITSKA STRANKA UMIROVLJENIKA - SSU , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH  , Nositelj liste:  IVAN ŠPIKA;AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS , SAVEZ ZA PROMJENE - SP  , Nositelj liste:  IVAN PERNAR ;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  BORE KAREGA  ;BLOK UMIROVLJENICI ZAJEDNO - BUZ , PRIMORSKO GORANSKI SAVEZ - PGS , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ   ;DEMOKRATSKA STRANKA ŽENA - DSŽ  , Nositelj liste:  MARIJA JELINÈIÆ ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ , HRVATSKA GRAÐANSKA STRANKA - HGS  , Nositelj liste:  JADRANKA KOSOR ;HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS , JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA  , Nositelj liste:  prof.dr.sc. JOSIP JURÈEVIÆ;HRVATSKA SELJAÈKA STRANKA - HSS  , Nositelj liste:  ZORAN SMOLIÆ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS  , Nositelj liste:  DRAŽEN BUDIŠA  ;HRVATSKA STRANKA PRAVA - HSP  , Nositelj liste:  MIRKO ÈONDIÆ ;HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  RUŽA TOMAŠIÆ  ;HRVATSKA STRANKA ZELENIH - EKO SAVEZ - ZELENI  , Nositelj liste:  ZDRAVKO BELUŠIÆ, ing. aeronautike ;HRVATSKI LABURISTI-STRANKA RADA  , Nositelj liste:  DRAGUTIN LESAR;HRVATSKI RAST - HRAST  , Nositelj liste:  ZDRAVKO ROŠKO;NEOVISNA LISTA  , Nositelj liste:  dr.sc. IVAN GRUBIŠIÆ ;NEOVISNA LISTA  , Nositelj liste:  dr.sc. STIPISLAV JADRIJEVIÆ, dr.med. ;NEOVISNA LISTA  , Nositelj liste:  STIPE PETRINA;OBITELJSKA STRANKA - OS  , Nositelj liste:  DUŠAN BEŠLIÆ ;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS  , Nositelj liste:  prof.dr.sc. SLOBODAN UZELAC ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU  , Nositelj liste:  ZORAN MILANOVIÆ ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP  , Nositelj liste:  BERISLAV RUBELJ ;STRANKA HRVATSKOG ZAJEDNIŠTVA - SHZ  , Nositelj liste:  ŽELJKO VINSKI, ing.grad. ;ZELENA LISTA  , Nositelj liste:  ATANA GRBIÆ-MARTINOVIÆ;ZELENA STRANKA - ZS  , Nositelj liste:  mr.sc. MILE SOKOLIÆ   
;;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26
IX. IZBORNA JEDINICA;BENKOVAC;31;12.636;5.670;5.649;5.503;146;13;13;12;34;4;81;30;2.687;78;74;174;103;200;26;92;46;73;18;64;5;666;962;6;20;16;6
IX. IZBORNA JEDINICA;BIOGRAD NA MORU;4;5.408;3.173;3.161;3.086;75;4;14;8;13;9;85;18;1.003;28;37;119;71;110;18;119;31;134;34;103;4;22;1.076;7;2;9;8
IX. IZBORNA JEDINICA;DRNIŠ;25;7.922;4.350;4.348;4.249;99;7;8;17;8;3;44;9;2.217;24;114;417;80;156;14;30;24;115;20;140;1;223;560;3;5;6;4
IX. IZBORNA JEDINICA;GOSPIÆ;29;11.882;7.585;7.550;7.400;150;15;25;26;28;27;129;52;4.343;59;97;294;227;227;28;113;35;58;3;32;4;116;1.418;11;4;15;14
IX. IZBORNA JEDINICA;KAŠTELA;18;34.783;19.331;19.321;18.949;372;60;71;96;61;28;382;68;6.635;152;106;746;552;988;43;565;227;2.320;298;330;89;34;4.989;33;3;46;27
IX. IZBORNA JEDINICA;KNIN;15;15.564;7.591;7.586;7.460;126;10;17;19;11;19;80;19;3.378;37;108;270;175;211;13;102;24;145;19;152;3;1.101;1.520;6;3;10;8
IX. IZBORNA JEDINICA;NIN;7;3.035;1.517;1.517;1.485;32;2;9;9;8;2;39;10;541;10;16;57;26;100;5;57;13;53;11;26;7;24;448;3;2;4;3
IX. IZBORNA JEDINICA;NOVALJA;8;3.562;2.085;2.085;2.054;31;4;11;3;11;2;39;7;865;17;91;92;27;45;7;58;21;45;2;13;5;1;681;2;1;2;2
IX. IZBORNA JEDINICA;OBROVAC;8;4.548;2.445;2.440;2.391;49;3;11;6;8;3;23;6;790;23;5;115;72;53;3;48;20;31;2;15;3;662;476;5;2;4;2
IX. IZBORNA JEDINICA;OTOÈAC;20;9.117;5.377;5.376;5.267;109;11;30;25;43;13;131;27;2.532;56;116;219;159;117;6;111;31;64;6;46;12;37;1.454;5;2;8;6
IX. IZBORNA JEDINICA;PAG;7;3.278;1.890;1.889;1.859;30;10;13;9;5;4;50;9;511;11;21;78;76;57;6;74;30;74;4;50;2;6;726;3;0;26;4
IX. IZBORNA JEDINICA;SENJ;9;7.188;4.197;4.197;4.135;62;13;25;26;22;12;125;24;1.356;44;46;128;253;184;22;105;12;67;3;49;6;15;1.557;11;1;9;20
IX. IZBORNA JEDINICA;SINJ;23;21.279;12.588;12.561;12.356;205;37;31;37;29;24;180;39;4.002;88;118;791;314;395;24;146;143;896;1.563;123;25;30;3.251;19;10;23;18
IX. IZBORNA JEDINICA;SKRADIN;11;4.400;2.126;2.125;2.072;53;3;5;7;8;5;29;6;951;17;63;43;43;68;6;20;13;59;2;167;7;153;388;2;3;2;2
IX. IZBORNA JEDINICA;ŠIBENIK;79;43.113;26.714;26.513;26.054;459;44;110;98;68;46;475;82;7.906;165;325;901;672;785;64;504;303;965;69;3.125;48;122;9.031;53;16;46;31
IX. IZBORNA JEDINICA;TRILJ;22;8.901;4.912;4.909;4.812;97;22;15;23;11;18;60;17;2.253;67;63;305;271;204;11;51;123;277;127;37;13;6;812;4;8;6;8
IX. IZBORNA JEDINICA;TROGIR;18;13.014;7.378;7.378;7.215;163;27;33;43;15;13;130;32;1.994;72;37;208;167;221;18;282;56;698;48;255;14;16;2.789;13;1;21;12
IX. IZBORNA JEDINICA;VODICE;11;9.853;4.998;4.982;4.908;74;7;15;20;12;9;92;19;1.570;41;104;153;110;125;11;102;193;237;2;385;5;25;1.637;7;3;18;6
IX. IZBORNA JEDINICA;VRLIKA;8;2.509;1.193;1.193;1.178;15;3;5;7;7;4;14;2;626;2;15;61;67;49;3;16;0;53;13;12;1;32;181;2;0;2;1
IX. IZBORNA JEDINICA;ZADAR;68;67.127;39.618;39.508;38.854;654;84;556;144;118;80;941;197;10.558;287;187;1.544;613;1.700;229;1.728;729;1.785;266;715;59;241;15.679;67;62;220;65
IX. IZBORNA JEDINICA;BIBINJE;2;3.523;1.972;1.971;1.919;52;5;12;6;4;5;28;9;970;29;12;50;208;92;9;49;17;54;17;36;3;0;291;0;0;9;4
IX. IZBORNA JEDINICA;BILICE;2;2.148;1.198;1.198;1.187;11;4;7;1;7;9;24;4;447;7;20;44;49;30;7;19;8;35;3;158;1;3;293;2;1;4;0
IX. IZBORNA JEDINICA;BISKUPIJA;6;2.034;887;887;862;25;7;1;2;1;1;8;1;57;1;13;5;0;8;1;5;0;3;0;6;2;574;162;0;0;4;0
IX. IZBORNA JEDINICA;BRINJE;10;3.248;1.753;1.753;1.713;40;5;8;10;26;8;40;14;919;19;79;35;56;54;5;23;3;3;0;12;0;15;369;3;0;7;0
IX. IZBORNA JEDINICA;CIVLJANE;3;520;76;76;71;5;0;1;1;1;1;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;25;24;0;0;0;0
IX. IZBORNA JEDINICA;DICMO;6;2.159;1.392;1.386;1.354;32;9;0;1;2;0;16;6;560;4;14;38;53;204;2;8;2;229;38;5;2;2;156;2;0;1;0
IX. IZBORNA JEDINICA;DONJI LAPAC;4;1.817;1.105;1.105;1.080;25;4;3;3;0;0;3;0;137;0;3;1;1;5;0;9;1;2;1;2;1;453;449;2;0;0;0
IX. IZBORNA JEDINICA;DUGOPOLJE;7;2.884;2.076;2.075;2.016;59;12;9;16;10;5;27;18;1.061;13;35;78;27;62;8;23;19;163;13;12;9;3;376;7;2;5;3
IX. IZBORNA JEDINICA;ERVENIK;5;1.290;546;546;535;11;5;1;1;1;0;2;1;3;2;7;1;0;0;0;1;0;0;1;0;2;420;83;2;0;0;2
IX. IZBORNA JEDINICA;GALOVAC;1;1.123;646;646;633;13;2;4;2;5;1;7;4;241;6;11;16;9;22;3;10;10;16;2;6;1;7;243;2;1;2;0
IX. IZBORNA JEDINICA;GRAÈAC;5;5.049;2.130;2.130;2.088;42;8;7;1;7;7;13;6;772;8;8;38;41;23;2;24;6;10;3;11;5;602;473;4;6;0;3
IX. IZBORNA JEDINICA;HRVACE;8;3.691;1.945;1.944;1.905;39;6;2;6;9;3;20;5;1.017;11;27;73;77;106;2;19;37;124;45;25;20;5;254;6;0;4;2
IX. IZBORNA JEDINICA;JASENICE;3;1.472;797;797;776;21;2;6;2;1;2;11;0;431;5;2;64;11;24;4;10;7;23;4;7;2;8;145;0;1;3;1
IX. IZBORNA JEDINICA;KALI;1;1.792;1.107;1.105;1.090;15;2;24;20;6;2;46;9;221;13;14;58;17;31;7;53;38;35;4;24;7;1;446;4;0;4;4
IX. IZBORNA JEDINICA;KARLOBAG;4;1.030;549;549;538;11;1;3;3;5;4;8;2;294;7;18;7;10;18;1;4;2;14;0;4;2;2;127;0;0;1;1
IX. IZBORNA JEDINICA;KIJEVO;2;550;227;227;220;7;0;0;1;2;2;2;1;129;0;42;9;10;3;1;2;2;4;2;1;0;0;7;0;0;0;0
IX. IZBORNA JEDINICA;KISTANJE;6;3.261;1.505;1.505;1.469;36;2;4;2;0;2;2;3;346;7;5;11;10;2;2;1;13;11;1;23;5;590;421;4;1;1;0
IX. IZBORNA JEDINICA;KLIS;14;3.581;2.395;2.395;2.323;72;6;15;9;8;4;40;7;873;27;22;111;69;122;3;62;36;256;17;36;7;7;570;5;3;6;2
IX. IZBORNA JEDINICA;KOLAN;1;748;452;452;443;9;0;1;0;1;2;12;0;140;1;77;15;12;24;2;8;2;4;0;2;0;0;139;1;0;0;0
