Izborna jedinica;Grad / opæina;BM Rbr;BM Naziv;BM Lokacija;BM Adresa;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA  , Nositelj liste:  JURE GRUBIŠIÆ ;AKCIJA MLADIH - AM  , Nositelj liste:  ANTE RUBEŠA ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH , SPLITSKA STRANKA UMIROVLJENIKA - SSU , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH  , Nositelj liste:  IVAN ŠPIKA;AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS , SAVEZ ZA PROMJENE - SP  , Nositelj liste:  IVAN PERNAR ;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  BORE KAREGA  ;BLOK UMIROVLJENICI ZAJEDNO - BUZ , PRIMORSKO GORANSKI SAVEZ - PGS , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ   ;DEMOKRATSKA STRANKA ŽENA - DSŽ  , Nositelj liste:  MARIJA JELINÈIÆ ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ , HRVATSKA GRAÐANSKA STRANKA - HGS  , Nositelj liste:  JADRANKA KOSOR ;HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS , JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA  , Nositelj liste:  prof.dr.sc. JOSIP JURÈEVIÆ;HRVATSKA SELJAÈKA STRANKA - HSS  , Nositelj liste:  ZORAN SMOLIÆ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS  , Nositelj liste:  DRAŽEN BUDIŠA  ;HRVATSKA STRANKA PRAVA - HSP  , Nositelj liste:  MIRKO ÈONDIÆ ;HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  RUŽA TOMAŠIÆ  ;HRVATSKA STRANKA ZELENIH - EKO SAVEZ - ZELENI  , Nositelj liste:  ZDRAVKO BELUŠIÆ, ing. aeronautike ;HRVATSKI LABURISTI-STRANKA RADA  , Nositelj liste:  DRAGUTIN LESAR;HRVATSKI RAST - HRAST  , Nositelj liste:  ZDRAVKO ROŠKO;NEOVISNA LISTA  , Nositelj liste:  dr.sc. IVAN GRUBIŠIÆ ;NEOVISNA LISTA  , Nositelj liste:  dr.sc. STIPISLAV JADRIJEVIÆ, dr.med. ;NEOVISNA LISTA  , Nositelj liste:  STIPE PETRINA;OBITELJSKA STRANKA - OS  , Nositelj liste:  DUŠAN BEŠLIÆ ;SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS  , Nositelj liste:  prof.dr.sc. SLOBODAN UZELAC ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU  , Nositelj liste:  ZORAN MILANOVIÆ ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP  , Nositelj liste:  BERISLAV RUBELJ ;STRANKA HRVATSKOG ZAJEDNIŠTVA - SHZ  , Nositelj liste:  ŽELJKO VINSKI, ing.grad. ;ZELENA LISTA  , Nositelj liste:  ATANA GRBIÆ-MARTINOVIÆ;ZELENA STRANKA - ZS  , Nositelj liste:  mr.sc. MILE SOKOLIÆ   ;;;;;;;;;;;;;;;;;
;;;;;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;BENKOVAC;1;BIRAÈKO MJESTO 1;DOM KULTURE (BIVŠI DOM HV-A);BENKOVAC;1.307;647;643;629;14;0;2;2;2;0;10;4;273;5;11;23;9;16;0;20;4;16;3;6;0;35;183;1;0;3;1;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;BENKOVAC;2;BIRAÈKO MJESTO 2;DOM KULTURE (BIVŠI DOM HV-A);BENKOVAC;1.252;609;608;595;13;0;0;1;0;0;9;3;232;16;8;20;9;24;1;14;17;10;2;9;0;35;184;0;0;0;1;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;BENKOVAC;3;BIRAÈKO MJESTO 3;RESTORAN IVICE ŽEPINE (ZGRADA U PROSTORU SAJMIŠTA);BENKOVAÈKO SELO;824;349;349;343;6;1;2;0;1;1;12;2;167;1;2;9;14;17;1;9;0;8;0;1;2;29;63;0;0;1;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;BENKOVAC;4;BIRAÈKO MJESTO 4;DISKONT VL. ŠIME ŽUPANA;ŠOPOT;333;169;169;160;9;0;0;0;1;0;6;0;93;4;0;8;5;4;1;5;0;6;0;3;0;12;9;1;0;1;1;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;BENKOVAC;5;BIRAÈKO MJESTO 5;PODRUÈNA ŠKOLA;PODLUG;188;87;87;81;6;1;0;0;0;0;0;1;46;0;0;7;2;4;2;0;1;0;0;0;0;0;17;0;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;BENKOVAC;6;BIRAÈKO MJESTO 6;PODRUÈNA ŠKOLA;PERUŠIÆ BENKOVAÈKI;327;156;156;148;8;0;0;1;0;0;5;1;82;1;4;5;1;11;0;4;0;1;0;0;0;0;32;0;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;BENKOVAC;7;BIRAÈKO MJESTO 7;PODRUÈNA ŠKOLA;PRISTEG;515;206;206;200;6;0;0;0;2;0;2;2;89;0;0;7;2;4;4;2;0;1;1;3;1;28;52;0;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;BENKOVAC;8;BIRAÈKO MJESTO 8;PODRUÈNA ŠKOLA;DOBRA VODA;112;63;63;59;4;1;0;0;1;0;0;1;31;0;2;1;3;3;0;0;0;0;0;2;0;0;13;0;0;1;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;BENKOVAC;9;BIRAÈKO MJESTO 9;PODRUÈNA ŠKOLA;RADAŠINOVCI;234;112;112;105;7;0;0;0;0;0;3;1;68;3;0;4;1;4;1;0;0;1;0;1;0;1;17;0;0;0;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;BENKOVAC;10;BIRAÈKO MJESTO 10;PODRUÈNA ŠKOLA;VUKŠIÆ;602;275;262;253;9;3;1;2;1;0;1;2;151;8;10;7;6;9;0;5;1;2;0;6;1;14;16;1;5;1;0;;;;;;;;;;;;;;;;;
IX. IZBORNA JEDINICA;BENKOVAC;11;BIRAÈKO MJESTO 11;PODRUÈNA ŠKOLA;BULIÆ;148;76;76;75;1;0;1;0;1;0;3;1;49;1;2;0;1;3;1;0;0;1;0;1;0;0;8;0;2;0;0;;;;;;;;;;;;;;;;;
