Izborna jedinica;Grad / opæine;Broj biraèkih mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA  ,  Nositelj liste:  VLADIMIR PAVLETIÆ, dipl.ing.graditeljstva;AGENDA MLADIH DEMOKRATA - AMD , HRVATSKA STRANKA MLADIH - HSM  , Nositelj liste:  ANTONIO BARNJAK;AKCIJA MLADIH - AM  , Nositelj liste:  IRENA PERIÆ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH , SPLITSKA STRANKA UMIROVLJENIKA - SSU , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH  , Nositelj liste:  MATE BULJUBAŠIÆ ;AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS , SAVEZ ZA PROMJENE - SP  , Nositelj liste:  IVAN PERNAR;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  MIŠO VERAJA ;BLOK UMIROVLJENICI ZAJEDNO - BUZ , PRIMORSKO GORANSKI SAVEZ - PGS , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ ;DALMATINSKA LIBERALNA STRANKA - DLS  , Nositelj liste:  ANTE TEŠIJA;DEMOKRATSKA STRANKA ŽENA - DSŽ  , Nositelj liste:  MARIJA JELINÈIÆ ;GLAS RAZUMA  , Nositelj liste:  STJEPAN RADILOVIÆ, dipl. organizator poslovanja ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ , HRVATSKA GRAÐANSKA STRANKA - HGS  , Nositelj liste:  JADRANKA KOSOR;HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS , JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA  , Nositelj liste:  prof.dr.sc. JOSIP JURÈEVIÆ ;HRVATSKA SELJAÈKA STRANKA - HSS , ZELENA STRANKA - ZS , STRANKA PENZIONERA - SP  , Nositelj liste:  mr.sc. STIPO GABRIÆ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS  , Nositelj liste:  DARINKO KOSOR ;HRVATSKA STRANKA PRAVA - HSP  , Nositelj liste:  DANIEL SRB ;HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  RUŽA TOMAŠIÆ;HRVATSKI LABURISTI-STRANKA RADA  , Nositelj liste:  DRAGUTIN LESAR;HRVATSKI RAST - HRAST  , Nositelj liste:  VEDRAN UJEVIÆ;NACIONALNI DEMOKRATI - ND  , Nositelj liste:  MARTINA SUÈIÆ;NEOVISNA LISTA  , Nositelj liste:  dr.sc. IVAN GRUBIŠIÆ;NEOVISNA LISTA  , Nositelj liste:  dr.sc. STIPISLAV JADRIJEVIÆ, dr.med.;NEOVISNA LISTA  , Nositelj liste:  STEVKO MARINKOVIÆ;NEOVISNA LISTA  , Nositelj liste:  JURICA TUCAK;NEOVISNA LISTA  , Nositelj liste:  NIKO VISKOVIÆ, dr.med. ;NEOVISNA LISTA  , Nositelj liste:  SINIŠA VUCO;NOVA HRVATSKA - NH  , Nositelj liste:  BORKO ŠAMIJA;OBITELJSKA STRANKA - OS  , Nositelj liste:  IVICA ŠKILJO  ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU  , Nositelj liste:  ZORAN MILANOVIÆ;SOCIJALISTIÈKA PARTIJA HRVATSKE - SPH  , Nositelj liste:  dr.sc. SLOBODAN MARKO BEROŠ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP  , Nositelj liste:  RANKO ADORIÆ;STRANKA HRVATSKOG ZAJEDNIŠTVA - SHZ  , Nositelj liste:  ŽELJKO VINSKI, ing.grad. ;VOLIM HRVATSKU - VH  , Nositelj liste:  ROKO ŠIKIÆ;ZELENA LISTA  , Nositelj liste:  IVICA SUMIÆ 
;;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33
X. IZBORNA JEDINICA;DUBROVNIK;59;38.882;21.648;21.439;21.005;434;18;38;80;76;62;36;474;22;75;27;5.517;139;595;322;409;1.861;820;135;4;1.375;175;7;8;90;136;7;25;8.316;22;19;1;33;81
X. IZBORNA JEDINICA;HVAR;9;4.218;2.336;2.336;2.302;34;0;5;13;11;12;2;43;3;12;4;571;17;41;63;45;103;69;19;3;249;31;1;1;3;8;1;3;938;2;2;0;1;26
X. IZBORNA JEDINICA;IMOTSKI;16;9.785;5.104;5.081;4.995;86;3;13;6;6;10;14;88;2;8;5;2.662;58;97;74;215;228;35;326;2;278;13;1;23;2;33;2;5;771;4;3;1;2;5
X. IZBORNA JEDINICA;KOMIŽA;3;1.722;881;880;852;28;1;2;7;7;6;2;13;2;1;2;180;4;49;8;6;30;25;4;1;59;11;32;1;0;3;0;2;379;0;5;1;0;9
X. IZBORNA JEDINICA;KORÈULA;10;5.416;3.311;3.310;3.242;68;5;2;4;12;6;6;45;7;7;2;988;11;46;95;132;202;68;20;3;182;8;0;0;3;15;2;4;1.329;4;8;0;2;24
X. IZBORNA JEDINICA;MAKARSKA;7;15.750;7.875;7.849;7.737;112;8;80;21;27;23;17;143;8;21;13;2.254;47;98;86;122;309;179;49;3;555;63;2;7;3;55;4;7;3.453;6;19;2;8;45
X. IZBORNA JEDINICA;METKOVIÆ;13;14.491;9.011;9.008;8.796;212;2;11;14;16;31;53;96;4;18;5;2.681;64;2.201;128;292;379;186;251;3;447;24;1;2;15;51;3;11;1.770;8;2;0;6;21
X. IZBORNA JEDINICA;OMIŠ;40;14.580;8.704;8.704;8.535;169;6;19;46;49;37;22;132;13;32;26;2.937;150;159;172;422;486;225;106;3;978;54;3;5;3;96;3;10;2.259;15;6;10;11;40
X. IZBORNA JEDINICA;OPUZEN;5;2.815;1.911;1.911;1.859;52;3;2;5;7;38;2;18;0;7;3;823;12;185;24;68;59;31;31;1;101;3;0;0;2;13;2;3;407;1;3;0;2;3
X. IZBORNA JEDINICA;PLOÈE;15;9.534;6.041;6.038;5.927;111;3;9;11;12;22;8;68;5;16;2;2.164;23;499;162;85;258;86;29;1;222;17;3;1;5;20;0;3;2.164;5;4;0;1;19
X. IZBORNA JEDINICA;SOLIN;25;19.761;12.266;12.260;12.026;234;12;23;67;55;31;32;236;30;30;15;4.120;109;106;231;274;880;443;167;10;1.760;90;8;5;7;139;2;39;3.028;4;9;4;17;43
X. IZBORNA JEDINICA;SPLIT;162;159.466;101.079;100.475;98.895;1.580;62;153;321;693;188;143;1.908;162;218;89;23.446;826;649;1.938;1.959;5.563;2.738;1.218;51;17.531;818;46;45;36;835;33;193;36.151;114;184;34;159;391
X. IZBORNA JEDINICA;STARI GRAD;5;2.886;1.713;1.713;1.661;52;1;3;11;14;25;2;42;7;10;3;368;10;67;25;25;70;51;9;0;202;7;1;3;4;9;0;5;659;1;4;1;6;16
X. IZBORNA JEDINICA;SUPETAR;6;4.359;2.429;2.425;2.363;62;4;6;9;22;5;3;40;1;10;3;524;16;42;37;64;54;72;6;0;212;20;1;0;0;30;2;3;1.154;1;5;0;5;12
X. IZBORNA JEDINICA;VIS;5;1.906;1.087;1.086;1.057;29;0;2;5;9;5;3;15;1;1;2;160;6;26;20;10;65;45;7;0;141;2;4;1;4;8;2;0;505;1;4;0;0;3
X. IZBORNA JEDINICA;VRGORAC;27;7.057;4.104;4.102;4.005;97;7;10;13;18;8;7;58;3;10;7;1.848;16;79;22;47;114;38;25;3;203;7;1;5;2;20;0;6;1.402;2;7;7;4;6
X. IZBORNA JEDINICA;BAŠKA VODA;5;3.422;1.569;1.568;1.535;33;3;3;10;6;11;4;22;3;6;2;522;13;35;14;28;66;37;6;2;144;23;0;1;0;20;0;1;542;0;2;0;0;9
X. IZBORNA JEDINICA;BLATO;4;3.599;2.216;2.216;2.165;51;5;5;9;10;6;2;26;5;10;7;1.044;13;16;17;11;93;40;16;0;78;16;3;0;1;5;1;2;707;3;3;0;3;8
