Izborna jedinica;Grad / opæine;BM Rbr;BM Naziv;BM Lokacija;BM Adresa;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA  ,  Nositelj liste:  VLADIMIR PAVLETIÆ, dipl.ing.graditeljstva;AGENDA MLADIH DEMOKRATA - AMD , HRVATSKA STRANKA MLADIH - HSM  , Nositelj liste:  ANTONIO BARNJAK;AKCIJA MLADIH - AM  , Nositelj liste:  IRENA PERIÆ;AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH , SPLITSKA STRANKA UMIROVLJENIKA - SSU , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH  , Nositelj liste:  MATE BULJUBAŠIÆ ;AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS , SAVEZ ZA PROMJENE - SP  , Nositelj liste:  IVAN PERNAR;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  MIŠO VERAJA ;BLOK UMIROVLJENICI ZAJEDNO - BUZ , PRIMORSKO GORANSKI SAVEZ - PGS , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ ;DALMATINSKA LIBERALNA STRANKA - DLS  , Nositelj liste:  ANTE TEŠIJA;DEMOKRATSKA STRANKA ŽENA - DSŽ  , Nositelj liste:  MARIJA JELINÈIÆ ;GLAS RAZUMA  , Nositelj liste:  STJEPAN RADILOVIÆ, dipl. organizator poslovanja ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ , HRVATSKA GRAÐANSKA STRANKA - HGS  , Nositelj liste:  JADRANKA KOSOR;HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS , JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA  , Nositelj liste:  prof.dr.sc. JOSIP JURÈEVIÆ ;HRVATSKA SELJAÈKA STRANKA - HSS , ZELENA STRANKA - ZS , STRANKA PENZIONERA - SP  , Nositelj liste:  mr.sc. STIPO GABRIÆ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS  , Nositelj liste:  DARINKO KOSOR ;HRVATSKA STRANKA PRAVA - HSP  , Nositelj liste:  DANIEL SRB ;HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  RUŽA TOMAŠIÆ;HRVATSKI LABURISTI-STRANKA RADA  , Nositelj liste:  DRAGUTIN LESAR;HRVATSKI RAST - HRAST  , Nositelj liste:  VEDRAN UJEVIÆ;NACIONALNI DEMOKRATI - ND  , Nositelj liste:  MARTINA SUÈIÆ;NEOVISNA LISTA  , Nositelj liste:  dr.sc. IVAN GRUBIŠIÆ;NEOVISNA LISTA  , Nositelj liste:  dr.sc. STIPISLAV JADRIJEVIÆ, dr.med.;NEOVISNA LISTA  , Nositelj liste:  STEVKO MARINKOVIÆ;NEOVISNA LISTA  , Nositelj liste:  JURICA TUCAK;NEOVISNA LISTA  , Nositelj liste:  NIKO VISKOVIÆ, dr.med. ;NEOVISNA LISTA  , Nositelj liste:  SINIŠA VUCO;NOVA HRVATSKA - NH  , Nositelj liste:  BORKO ŠAMIJA;OBITELJSKA STRANKA - OS  , Nositelj liste:  IVICA ŠKILJO  ;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU  , Nositelj liste:  ZORAN MILANOVIÆ;SOCIJALISTIÈKA PARTIJA HRVATSKE - SPH  , Nositelj liste:  dr.sc. SLOBODAN MARKO BEROŠ;SOCIJALISTIÈKA RADNIÈKA PARTIJA HRVATSKE - SRP  , Nositelj liste:  RANKO ADORIÆ;STRANKA HRVATSKOG ZAJEDNIŠTVA - SHZ  , Nositelj liste:  ŽELJKO VINSKI, ing.grad. ;VOLIM HRVATSKU - VH  , Nositelj liste:  ROKO ŠIKIÆ;ZELENA LISTA  , Nositelj liste:  IVICA SUMIÆ ;;;;;;;;;;;;;;;
;;;;;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;DUBROVNIK;1;BRSEÆINE;MJESNI ODBOR BRSEÈINE;BRSEÆINE BB;105;66;66;66;0;0;0;0;0;0;1;1;0;0;0;27;0;2;1;1;5;6;0;0;6;0;0;0;6;1;0;0;9;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;DUBROVNIK;2;DUBRAVICA;KUÆA MIHA STJEPOVIÆA POK. NIKA;DUBRAVICA BB;36;31;31;31;0;0;0;0;0;0;0;1;0;0;0;19;0;6;0;0;1;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;DUBROVNIK;3;DUBROVNIK;GIMNAZIJA II.;FRANA SUPILA 3;557;307;307;303;4;0;0;0;0;0;1;10;0;3;0;52;1;4;8;7;23;13;0;0;26;4;1;0;3;1;0;2;142;0;1;0;1;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;DUBROVNIK;4;DUBROVNIK;GIMNAZIJA III;FRANA SUPILA 3;349;188;188;184;4;0;0;1;0;0;0;8;0;1;0;48;2;1;5;7;18;17;1;0;14;6;0;1;0;1;0;0;53;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;DUBROVNIK;5;DUBROVNIK;GIMNAZIJA IV;FRANA SUPILA 3;422;225;225;219;6;1;0;0;1;0;0;8;0;0;0;40;2;4;5;5;15;10;3;0;24;1;0;0;0;0;0;1;98;1;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;DUBROVNIK;6;DUBROVNIK;UGOSTITELJSKA ŠKOLA I.;ŽUPSKA BROJ 2;353;210;210;207;3;1;1;0;0;0;0;4;0;0;0;42;4;3;5;5;9;3;2;0;21;3;0;0;0;0;0;0;103;0;0;0;0;1;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;DUBROVNIK;7;DUBROVNIK;UGOSTITELJSKA ŠKOLA II.;ŽUPSKA BROJ 2;260;140;140;139;1;0;0;0;0;0;0;2;0;1;0;36;1;1;1;1;11;5;2;0;18;0;0;0;0;1;0;0;57;0;0;0;0;2;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;DUBROVNIK;8;DUBROVNIK;GIMNAZIJA I.;FRANA SUPILA 3;311;162;162;159;3;0;1;0;0;0;0;0;0;0;0;27;1;5;4;1;14;8;0;0;18;1;0;0;0;2;0;0;77;0;0;0;0;0;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;DUBROVNIK;9;DUBROVNIK;GRADSKI KOTAR GRAD I.;ŠIROKA BROJ 4/I;414;243;243;237;6;1;1;1;0;0;0;6;0;0;0;60;1;3;7;6;15;25;0;0;24;1;0;0;1;1;1;0;81;0;0;0;0;2;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;DUBROVNIK;10;DUBROVNIK;GRADSKI KOTAR GRAD II;ŠIROKA 4/I;570;314;314;303;11;1;1;0;1;2;0;4;0;2;0;93;0;9;5;8;27;16;4;0;17;8;0;0;3;2;0;0;95;0;1;0;0;4;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;DUBROVNIK;11;DUBROVNIK;"UMJETNIÈKA ŠKOLA ""LUKE SORKOÈEVIÆA""";STROSSMAYEROVA 3;577;294;294;291;3;0;1;2;1;2;0;8;0;2;0;72;0;6;2;2;19;15;6;0;24;3;0;0;0;0;0;0;125;0;0;0;0;1;;;;;;;;;;;;;;;
X. IZBORNA JEDINICA;DUBROVNIK;12;DUBROVNIK;"OSNOVNA ŠKOLA ""MARINA GETALDIÆA""";N. GUÈETIÆA 1;715;384;384;376;8;2;0;1;1;3;0;3;0;2;1;80;4;12;6;13;29;12;4;0;32;16;0;1;3;5;0;0;140;0;3;0;1;2;;;;;;;;;;;;;;;
