Izborna jedinica;Država;Broj biraèkih mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;ABECEDA DEMOKRACIJE - ABECEDA  , Nositelj liste:  VLADIMIR PAVLETIÆ, dipl.ing.graditeljstva;AGENDA MLADIH DEMOKRATA - AMD , HRVATSKA STRANKA MLADIH - HSM  , Nositelj liste:  BORIS KINDIJ;AUTOHTONA-HRVATSKA STRANKA PRAVA - A-HSP  , Nositelj liste:  MILE CIGIÆ;BLOK UMIROVLJENICI ZAJEDNO - BUZ , PRIMORSKO GORANSKI SAVEZ - PGS , HRVATSKA RADNIÈKA STRANKA - HRS  , Nositelj liste:  prof.dr.sc. LJUBO JURÈIÆ;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ  , Nositelj liste:  JADRANKA KOSOR;HRVATSKA 21. STOLJEÆA - HRVATSKA 21.  , Nositelj liste:  NATAŠA SRDOÈ ;HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS  , Nositelj liste:  dr.sc. MLADEN ZELJKO;HRVATSKA STRANKA PRAVA - HSP  , Nositelj liste:  DANIEL SRB ;HRVATSKA STRANKA PRAVA DR.ANTE STARÈEVIÆ - HSP DR.ANTE STARÈEVIÆ , HRVATSKA ÈISTA STRANKA PRAVA - HÈSP  , Nositelj liste:  RUŽA TOMAŠIÆ;HRVATSKI RAST - HRAST  , Nositelj liste:  PETAR GALIÆ;JEDINO HRVATSKA - POKRET ZA HRVATSKU - JEDINO HRVATSKA , HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS  , Nositelj liste:  MARJAN BOŠNJAK;LISTA ZA RIJEKU - LISTA-RI , AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH , STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH  , Nositelj liste:  DENIS PEŠUT  ;NACIONALNI DEMOKRATI - ND  , Nositelj liste:  LEO PLOÈKINIÆ;SAVEZ ZA PROMJENE - SP , AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS  , Nositelj liste:  IVAN PERNAR;STRANKA HRVATSKOG ZAJEDNIŠTVA - SHZ  , Nositelj liste:  ŽELJKO VINSKI, ing. grad.  
;;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
XI. IZBORNA JEDINICA;AFGANISTAN;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XI. IZBORNA JEDINICA;ALBANIJA;1;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XI. IZBORNA JEDINICA;ALŽIR;1;20;5;5;5;0;1;0;0;0;1;1;2;0;0;0;0;0;0;0;0
XI. IZBORNA JEDINICA;ARGENTINA;1;3.515;92;92;92;0;0;0;5;0;47;0;4;4;3;21;6;0;0;1;1
XI. IZBORNA JEDINICA;AUSTRALIJA;6;7.158;556;556;551;5;4;0;7;6;393;2;5;47;29;23;29;0;0;6;0
XI. IZBORNA JEDINICA;AUSTRIJA;2;10.974;218;218;218;0;0;0;0;6;163;1;3;14;19;3;3;3;0;2;1
XI. IZBORNA JEDINICA;BELGIJA;1;775;18;18;18;0;0;0;0;0;12;0;0;1;3;0;0;0;0;0;2
XI. IZBORNA JEDINICA;BOSNA I HERCEGOVINA;30;263.435;16.912;16.902;16.714;188;68;121;68;570;12.197;93;330;1.929;374;129;97;129;23;100;486
XI. IZBORNA JEDINICA;BUGARSKA;1;36;9;9;9;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0
XI. IZBORNA JEDINICA;CRNA GORA;2;3.031;230;230;228;2;3;9;3;19;119;9;31;10;12;1;2;6;0;4;0
XI. IZBORNA JEDINICA;ÈEŠKA REPUBLIKA;1;375;7;7;7;0;0;2;0;1;3;0;1;0;0;0;0;0;0;0;0
XI. IZBORNA JEDINICA;ÈILE;1;4.308;14;14;14;0;0;0;0;2;6;0;0;1;0;1;2;2;0;0;0
XI. IZBORNA JEDINICA;DANSKA;1;493;4;4;4;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0
XI. IZBORNA JEDINICA;EGIPAT;1;103;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
XI. IZBORNA JEDINICA;FINSKA;1;29;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
XI. IZBORNA JEDINICA;FRANCUSKA;1;1.973;15;15;15;0;0;0;0;0;7;1;0;0;2;0;4;1;0;0;0
