Izborna jedinica;Izborna jedinica grada / opæine;Grad / opæina;Broj biraèkih mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;Kandidat: JOVAN AJDUKOVIÆ, dipl. pravnik, Zamjenik: DRAGAN TODIÆ, dipl. pravnik, Predlagatelj: , SRPSKA NARODNA STRANKA - SNS, DEMOKRATSKA PARTIJA SRBA - DPS , NAŠA STRANKA - NS  ;Kandidat: DUŠAN CVETANOVIÆ, Zamjenik: NEVEN ÆUK, Predlagatelj: SAVEZ ZA PROMJENE - SP ;Kandidat: VELJKO DŽAKULA, dipl.ing., Zamjenik: OLIVERA MIOÈINOVIÆ, dr.med. , Predlagatelj: , SRPSKA NARODNA STRANKA - SNS , DEMOKRATSKA PARTIJA SRBA - DPS , NAŠA STRANKA - NS  ;Kandidat: NEMANJA MARIÆ, Zamjenik: DAVID CVETANOVIÆ, Predlagatelj: SAVEZ ZA PROMJENE - SP;Kandidat: LJUBOMIR MIKIÆ, dipl.iur. , Zamjenik: DRAGO PEPIÆ, dipl.iur. , Predlagatelj: NEOVISNI KANDIDAT;Kandidat: SLOBODAN MILOŠEVIÆ, Zamjenik: SOFIJA ÐURKOVIÆ, Predlagatelj: UDRUGA SRBA OSJEÈKO-BARANJSKE ŽUPANIJE - U.S.O.B.Ž. ;Kandidat: prof.dr.sc. MILORAD PUPOVAC , Zamjenik: ALEKSANDAR MILOŠEVIÆ, dipl.pol. , Predlagatelj: SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS ;Kandidat: DRAGANA RESAN, Zamjenik: MIODRAG VESIÆ, Predlagatelj: SAVEZ ZA PROMJENE - SP ;Kandidat: MILAN RODIÆ, mag. iur., Zamjenik: RADMILA MEDAKOVIÆ, ing.el.str., Predlagatelj: , SRPSKA NARODNA STRANKA - SNS , DEMOKRATSKA PARTIJA SRBA - DPS , NAŠA STRANKA - NS ;Kandidat: DUŠKO SIMIÆ, dipl.iur., Zamjenik: ALEKSANDAR KOJIÆ, Predlagatelj: NEOVISNI KANDIDAT;Kandidat: VOJISLAV STANIMIROVIÆ, dr.med., Zamjenik: DRAGAN CRNOGORAC, prof., Predlagatelj: SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS ;Kandidat: BRANISLAV TEKIÆ, dipl.iur., Zamjenik: SAŠA BJELANOVIÆ, Predlagatelj: NEOVISNI KANDIDAT;Kandidat: JOVO VUKOVIÆ, ing.grad., Zamjenik: MILE HORVAT, dipl.iur. , Predlagatelj: SAMOSTALNA DEMOKRATSKA SRPSKA STRANKA - SDSS
;;;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;265;5.723;558;549;537;12;129;22;125;21;15;20;399;12;62;17;305;6;197
XII. IZBORNA JEDINICA;1;ZAPREŠIÆ;20;220;6;6;6;0;2;0;2;0;0;0;4;0;0;0;4;0;2
XII. IZBORNA JEDINICA;1;BISTRA;6;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;1;BRDOVEC;11;62;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
XII. IZBORNA JEDINICA;1;DUBRAVICA;6;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;1;JAKOVLJE;6;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;1;LUKA;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;1;MARIJA GORICA;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;1;PUŠÆA;7;10;1;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0
XII. IZBORNA JEDINICA;2;BJELOVAR;63;812;70;70;70;0;18;5;13;8;2;4;49;1;8;5;33;0;23
XII. IZBORNA JEDINICA;2;ÈAZMA;34;36;5;5;5;0;0;0;1;0;0;2;3;0;0;0;1;0;2
XII. IZBORNA JEDINICA;2;DARUVAR;15;1.200;106;106;102;4;28;9;26;8;0;3;61;0;12;8;34;0;27
XII. IZBORNA JEDINICA;2;DUGO SELO;18;100;5;5;4;1;1;1;1;0;0;0;2;0;0;0;0;0;1
XII. IZBORNA JEDINICA;2;ÐURÐEVAC;16;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;GAREŠNICA;26;497;75;75;72;3;5;1;7;6;0;1;45;1;10;2;40;2;35
XII. IZBORNA JEDINICA;2;GRUBIŠNO POLJE;16;762;62;62;62;0;12;2;11;0;0;7;43;0;6;1;35;0;27
XII. IZBORNA JEDINICA;2;KOPRIVNICA;38;214;13;13;13;0;4;1;5;0;2;0;7;0;2;0;5;0;2
XII. IZBORNA JEDINICA;2;KRIŽEVCI;51;222;21;21;21;0;7;0;4;2;0;0;14;0;4;1;7;0;3
XII. IZBORNA JEDINICA;2;SVETI IVAN ZELINA;50;48;3;3;3;0;0;0;0;0;0;0;2;0;1;0;1;0;1
XII. IZBORNA JEDINICA;2;VRBOVEC;40;49;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;ZAGREB-ISTOÈNI DIO;127;1.728;126;124;122;2;38;16;33;9;7;9;85;4;14;6;44;6;24
XII. IZBORNA JEDINICA;2;BEDENICA;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;BEREK;13;30;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;BRCKOVLJANI;10;29;1;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;1
XII. IZBORNA JEDINICA;2;DEŽANOVAC;11;197;18;18;17;1;1;0;6;2;0;2;9;1;2;1;3;0;3
XII. IZBORNA JEDINICA;2;DRNJE;3;7;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0
XII. IZBORNA JEDINICA;2;DUBRAVA;27;41;5;5;5;0;1;1;0;0;0;0;3;0;0;0;1;1;0
XII. IZBORNA JEDINICA;2;ÐELEKOVEC;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;ÐULOVAC;9;784;92;92;92;0;14;1;17;6;1;7;69;0;5;1;66;0;60
