Izborna jedinica;Izborna jedinica grada / opæine;Grad / opæina;Broj biraèkih mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;Kandidat: ROBERT JANKOVICS, Zamjenik: TIBOR SANTO, dr.med., Predlagatelj: DEMOKRATSKA ZAJEDNICA MAÐARA HRVATSKE - DZMH  ;Kandidat: mr.sc. DENEŠ ŠOJA, Zamjenik: ŠANDOR JUHAS , Predlagatelj: SAVEZ MAÐARSKIH UDRUGA - SMU  
;;;;;;;;;1;2
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;265;234;58;58;58;0;38;20
XII. IZBORNA JEDINICA;1;ZAPREŠIÆ;20;20;3;3;3;0;3;0
XII. IZBORNA JEDINICA;1;BISTRA;6;2;0;0;0;0;0;0
XII. IZBORNA JEDINICA;1;BRDOVEC;11;3;0;0;0;0;0;0
XII. IZBORNA JEDINICA;1;DUBRAVICA;6;1;1;1;1;0;0;1
XII. IZBORNA JEDINICA;1;JAKOVLJE;6;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;1;LUKA;2;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;1;MARIJA GORICA;5;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;1;PUŠÆA;7;1;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;BJELOVAR;63;36;10;10;10;0;0;10
XII. IZBORNA JEDINICA;2;ÈAZMA;34;3;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;DARUVAR;15;54;21;21;19;2;9;10
XII. IZBORNA JEDINICA;2;DUGO SELO;18;6;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;ÐURÐEVAC;16;4;1;1;1;0;1;0
XII. IZBORNA JEDINICA;2;GAREŠNICA;26;29;5;5;5;0;3;2
XII. IZBORNA JEDINICA;2;GRUBIŠNO POLJE;16;106;60;60;59;1;11;48
XII. IZBORNA JEDINICA;2;KOPRIVNICA;38;26;6;6;6;0;1;5
XII. IZBORNA JEDINICA;2;KRIŽEVCI;51;6;3;3;3;0;1;2
XII. IZBORNA JEDINICA;2;SVETI IVAN ZELINA;50;3;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;VRBOVEC;40;2;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;ZAGREB-ISTOÈNI DIO;127;44;11;11;10;1;4;6
XII. IZBORNA JEDINICA;2;BEDENICA;5;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;BEREK;13;1;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;BRCKOVLJANI;10;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;DEŽANOVAC;11;59;32;32;32;0;6;26
XII. IZBORNA JEDINICA;2;DRNJE;3;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;DUBRAVA;27;4;1;1;1;0;1;0
XII. IZBORNA JEDINICA;2;ÐELEKOVEC;3;0;0;0;0;0;0;0
