Izborna jedinica;Izborna jedinica grada / opæine;Grad / opæina;BM Rbr;BM Naziv;BM Lokacija;BM Adresa;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;Kandidat: ROBERT JANKOVICS, Zamjenik: TIBOR SANTO, dr.med., Predlagatelj: DEMOKRATSKA ZAJEDNICA MAÐARA HRVATSKE - DZMH  ;Kandidat: mr.sc. DENEŠ ŠOJA, Zamjenik: ŠANDOR JUHAS , Predlagatelj: SAVEZ MAÐARSKIH UDRUGA - SMU  ;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;1;ANDRIJA MEDULIÆ;PRVA EKONOMSKA ŠKOLA;MEDULIÆEVA 33;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;2;ANDRIJA MEDULIÆ;PRVA EKONOMSKA ŠKOLA;MEDULIÆEVA 33;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;3;ANDRIJA MEDULIÆ;PROSTORIJE MJESNOG ODBORA;MEDULIÆEVA 30;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;4;AUGUST ŠENOA;PROSTORIJE MJESNOG ODBORA;PAVLA HATZA 8;2;1;1;1;0;1;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;5;AUGUST ŠENOA;PROSTORIJE MJESNOG ODBORA;PAVLA HATZA 8;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;6;CVJETNI TRG;PROSTORIJE MJESNOG ODBORA;PROLAZ SESTARA BAKOVIÆ 3/1;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;7;CVJETNI TRG;PROSTORIJE MJESNOG ODBORA;PROLAZ SESTARA BAKOVIÆ 3/1;1;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;8;CVJETNI TRG;PODRUÈNI URED CENTAR;ILICA 25;1;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;9;HRVATSKI NARODNI VLADARI;OŠ DR IVANA MERZA;RAÈKOGA 4;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;
