Izborna jedinica;Izborna jedinica grada / opæine;Grad / opæina;Broj biraèkih mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;Kandidat: FURIO RADIN, Zamjenik: ROBERTO PALISCA, Predlagatelj: NEOVISNI KANDIDAT  
;;;;;;;;;1
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;265;56;7;7;7;0;7
XII. IZBORNA JEDINICA;1;ZAPREŠIÆ;20;1;0;0;0;0;0
XII. IZBORNA JEDINICA;1;BISTRA;6;1;0;0;0;0;0
XII. IZBORNA JEDINICA;1;BRDOVEC;11;0;0;0;0;0;0
XII. IZBORNA JEDINICA;1;DUBRAVICA;6;0;0;0;0;0;0
XII. IZBORNA JEDINICA;1;JAKOVLJE;6;0;0;0;0;0;0
XII. IZBORNA JEDINICA;1;LUKA;2;0;0;0;0;0;0
XII. IZBORNA JEDINICA;1;MARIJA GORICA;5;1;0;0;0;0;0
XII. IZBORNA JEDINICA;1;PUŠÆA;7;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;BJELOVAR;63;1;0;0;0;0;0
XII. IZBORNA JEDINICA;2;ÈAZMA;34;1;0;0;0;0;0
XII. IZBORNA JEDINICA;2;DARUVAR;15;10;0;0;0;0;0
XII. IZBORNA JEDINICA;2;DUGO SELO;18;1;1;1;1;0;1
XII. IZBORNA JEDINICA;2;ÐURÐEVAC;16;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;GAREŠNICA;26;1;0;0;0;0;0
XII. IZBORNA JEDINICA;2;GRUBIŠNO POLJE;16;1;0;0;0;0;0
XII. IZBORNA JEDINICA;2;KOPRIVNICA;38;2;0;0;0;0;0
XII. IZBORNA JEDINICA;2;KRIŽEVCI;51;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;SVETI IVAN ZELINA;50;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;VRBOVEC;40;1;0;0;0;0;0
XII. IZBORNA JEDINICA;2;ZAGREB-ISTOÈNI DIO;127;16;6;6;6;0;6
XII. IZBORNA JEDINICA;2;BEDENICA;5;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;BEREK;13;1;0;0;0;0;0
XII. IZBORNA JEDINICA;2;BRCKOVLJANI;10;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;DEŽANOVAC;11;2;0;0;0;0;0
XII. IZBORNA JEDINICA;2;DRNJE;3;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;DUBRAVA;27;1;0;0;0;0;0
XII. IZBORNA JEDINICA;2;ÐELEKOVEC;3;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;ÐULOVAC;9;3;0;0;0;0;0
XII. IZBORNA JEDINICA;2;FARKAŠEVAC;12;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;FERDINANDOVAC;6;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;GOLA;5;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;GORNJA RIJEKA;6;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;GRADEC;20;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;HERCEGOVAC;6;1;0;0;0;0;0
XII. IZBORNA JEDINICA;2;HLEBINE;3;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;IVANSKA;13;1;0;0;0;0;0
XII. IZBORNA JEDINICA;2;KALINOVAC;3;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;KALNIK;7;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;KAPELA;25;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;KLOŠTAR PODRAVSKI;5;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;KONÈANICA;7;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;KOPRIVNIÈKI BREGI;4;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;KOPRIVNIÈKI IVANEC;6;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;LEGRAD;6;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;MOLVE;5;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;NOVA RAÈA;13;0;0;0;0;0;0
