Izborna jedinica;Izborna jedinica grada / opæine;Grad / opæina;Broj biraèkih mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;Kandidat: VLADIMIR BILEK, Predlagatelj: , SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP , HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS , ISTARSKI DEMOKRATSKI SABOR - IDS , HRVATSKA STRANKA UMIROVLJENIKA - HSU ;Kandidat: mr.sc. ZDENKA ÈUHNIL, Predlagatelj: , ÈEŠKA BESEDA KONÈANICA , MATICA SLOVAÈKA JOSIPOVAC , ÈEŠKA BESEDA SISAK  ;Kandidat: dr.sc. IVAN DANJEK, dipl.ing. agr., Predlagatelj: NEOVISNI KANDIDAT  ;Kandidat: IVAN KOMAK, Predlagatelj: SAVEZ SLOVAKA - ZVAZ SLOVAKOV - SSL-ZSL;Kandidat: JAROSLAV VOJTA, mag.prava, Predlagatelj: NEOVISNI KANDIDAT 
;;;;;;;;;1;2;3;4;5
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;265;159;52;51;51;0;18;15;8;1;9
XII. IZBORNA JEDINICA;1;ZAPREŠIÆ;20;13;5;5;5;0;2;2;0;1;0
XII. IZBORNA JEDINICA;1;BISTRA;6;4;2;2;2;0;1;0;1;0;0
XII. IZBORNA JEDINICA;1;BRDOVEC;11;3;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;1;DUBRAVICA;6;1;1;1;1;0;0;1;0;0;0
XII. IZBORNA JEDINICA;1;JAKOVLJE;6;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;1;LUKA;2;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;1;MARIJA GORICA;5;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;1;PUŠÆA;7;1;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;BJELOVAR;63;67;34;34;34;0;15;7;11;0;1
XII. IZBORNA JEDINICA;2;ÈAZMA;34;4;4;4;4;0;0;0;0;0;4
XII. IZBORNA JEDINICA;2;DARUVAR;15;1.297;787;787;777;10;567;153;17;5;35
XII. IZBORNA JEDINICA;2;DUGO SELO;18;5;2;2;2;0;1;0;0;1;0
XII. IZBORNA JEDINICA;2;ÐURÐEVAC;16;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;GAREŠNICA;26;57;18;18;17;1;10;6;0;0;1
XII. IZBORNA JEDINICA;2;GRUBIŠNO POLJE;16;508;252;252;252;0;188;43;10;0;11
XII. IZBORNA JEDINICA;2;KOPRIVNICA;38;7;1;1;1;0;0;1;0;0;0
XII. IZBORNA JEDINICA;2;KRIŽEVCI;51;4;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;SVETI IVAN ZELINA;50;2;2;2;2;0;1;1;0;0;0
XII. IZBORNA JEDINICA;2;VRBOVEC;40;5;2;2;2;0;1;0;0;0;1
XII. IZBORNA JEDINICA;2;ZAGREB-ISTOÈNI DIO;127;97;36;36;35;1;23;8;4;0;0
XII. IZBORNA JEDINICA;2;BEDENICA;5;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;BEREK;13;1;1;1;1;0;0;1;0;0;0
XII. IZBORNA JEDINICA;2;BRCKOVLJANI;10;1;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;DEŽANOVAC;11;350;181;181;179;2;130;36;4;1;8
XII. IZBORNA JEDINICA;2;DRNJE;3;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;DUBRAVA;27;18;8;8;8;0;7;1;0;0;0
XII. IZBORNA JEDINICA;2;ÐELEKOVEC;3;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;ÐULOVAC;9;15;5;5;4;1;2;2;0;0;0
XII. IZBORNA JEDINICA;2;FARKAŠEVAC;12;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;FERDINANDOVAC;6;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;GOLA;5;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;GORNJA RIJEKA;6;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;GRADEC;20;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;HERCEGOVAC;6;119;55;55;54;1;21;2;2;0;29
XII. IZBORNA JEDINICA;2;HLEBINE;3;0;0;0;0;0;0;0;0;0;0
