Izborna jedinica;Grad / opæina;BM Rbr;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi;Kandidat: BAJRO BAJRIÆ, Predlagatelj: HRVATSKA SOCIJALNO-LIBERALNA STRANKA - HSLS ;"Kandidat: BOJAN BALOG , Predlagatelj: UDRUGA ""ZA BOLJITAK"" ROMA MEÐIMURJA ";Kandidat: ŽELJKO BALOG, Predlagatelj: KROVNA ZAJEDNICA BAJAŠA HRVATSKE ;Kandidat: ŽELJKO BOGDAN, Predlagatelj: UDRUGA ROMA OSJEÈKO-BARANJSKE ŽUPANIJE ;Kandidat: SLAVKO BURDA, Predlagatelj: , AKCIJA SOCIJALDEMOKRATA HRVATSKE - ASH, STRANKA UMIROVLJENIKA HRVATSKE-BLOK UMIROVLJENICI ZAJEDNO - SUH , SPLITSKA STRANKA UMIROVLJENIKA - SSU   ;Kandidat: TOTI DEDIÆ  , Predlagatelj: SAVEZ ZA PROMJENE - SP ;Kandidat: VIKTOR FILIMA, Predlagatelj: UKRAJINSKA ZAJEDNICA REPUBLIKE HRVATSKE;Kandidat: IBRAHIM GUŠANI  , Predlagatelj: MREŽA ROMSKIH UDRUGA HRVATSKE SLAVONSKI BROD - MRUHSB  ;Kandidat: SEAD BRACO HASANOVIÆ  , Predlagatelj: KOALICIJA ROMA HRVATSKE - KRUH  ;Kandidat: MILAN IGNAC, Predlagatelj: NEOVISNI KANDIDAT;Kandidat: ŽELJKO IVANIŠEVIÆ, Predlagatelj: UNIJA ROMA HRVATSKE - URH  ;Kandidat: IVAN JELENIÆ, Predlagatelj: HRVATSKA ROMSKA DEMOKRATSKA STRANKA - HRDS ;Kandidat: VELJKO KAJTAZI, Predlagatelj: CENTAR ZA PROVEDBU INTEGRACIJA U EUROPSKU UNIJU - CPI EU ;"Kandidat: ZVONKO KOSTELNIK, prof., Predlagatelj: KULTURNO UMJETNIÈKO DRUŠTVO ""JOAKIM HARDI"" PETROVCI ";Kandidat: NAZIF MEMEDI, Predlagatelj: NJEMAÈKO-AUSTRIJSKA UNIJA ;Kandidat: ALIJA MEŠIÆ , Predlagatelj: UDRUGA ROMA ZAGREB I ZAGREBAÈKE ŽUPANIJE;"Kandidat: ALADAR METZINGER, Predlagatelj: ŽIDOVSKA KULTURNA SCENA ""BEJAHAD"" ";Kandidat: RANKO NIKOLIÆ, Predlagatelj: , UDRUGA ZA RAZVOJ I BOLJI ŽIVOT ROMA - UZRIBŽR, ROMSKA UDRUGA UMIROVLJENIKA - RUU ;Kandidat: JASMINKA PETTER, mag.art, Predlagatelj: NARODNI SAVEZ NIJEMACA HRVATSKE ;Kandidat: MIJO ŠAJTOŠ, univ.bacc.ing.agr.  , Predlagatelj: HRVATSKA SELJAÈKA STRANKA - HSS ;"Kandidat: LILIANNA HANNA TOLJ, Predlagatelj: POLJSKA KULTURNA UDRUGA ""FRYDERYK CHOPIN"" RIJEKA - POLSKIE TOWARZYSTWO KULTURALNE ""FRYDERYK CHOPIN"" RIJEKA - PKU ""FRYDERYK CHOPIN"" RIJEKA ";Kandidat: mr.sc. RENATA TRISCHLER, Predlagatelj: NJEMAÈKA ZAJEDNICA - ZEMALJSKA UDRUGA PODUNAVSKIH ŠVABA U HRVATSKOJ;"Kandidat: JOSIP ZAVACKI, Predlagatelj: POLJSKA KULTURNA UDRUGA ""MIKOLAJ KOPERNIK"" ";
;;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;
XII. IZBORNA JEDINICA;BAKAR;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;BELI MANASTIR;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;BJELOVAR;1;0;2;2;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
XII. IZBORNA JEDINICA;BJELOVAR;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;BUJE - BUIE;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;BUZET;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;CRES;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;CRIKVENICA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;ÈAKOVEC;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;ÈAZMA;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;DARUVAR;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;DELNICE;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;DONJI MIHOLJAC;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;DUBROVNIK;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;DUBROVNIK;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;DUBROVNIK;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;DUBROVNIK;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;DUBROVNIK;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;DUBROVNIK;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
XII. IZBORNA JEDINICA;DUBROVNIK;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
