Izborna jedinica;Izborna jedinica grada / opæine;Grad / opæina;Broj biraèkih mjesta;Ukupno biraèa;Glasovalo ukupno;Glasovalo (prema listiæimma);Listiæi važeæi;Listiæi nevažeæi; Kandidat: IDRIZ BEŠIÆ,  Predlagatelj: NEOVISNI KANDIDAT  ;Kandidat: ÐEMAL BRATIÆ , Predlagatelj: DEMOKRATSKI SAVEZ BOŠNJAKA SLAVONIJE I BARANJE - DSBSB ;Kandidat: NEDŽAD HODŽIÆ, dipl.ing. , Predlagatelj: BOŠNJAÈKA DEMOKRATSKA STRANKA HRVATSKE - BDSH  ;Kandidat: PAŠK KAÈINARI, Predlagatelj: , SAVEZ ZA PROMJENE - SP , AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A-HSS ;Kandidat: ERMINA LEKAJ PRLJASKAJ, Predlagatelj: UNIJA ZAJEDNICA ALBANACA U REPUBLICI HRVATSKOJ ;Kandidat: DŽELJALJ MALIÆI  , Predlagatelj: NACIONALNI DEMOKRATI - ND;Kandidat: ANGEL MITREVSKI, dipl.ing., Predlagatelj: ZAJEDNICA MAKEDONACA U REPUBLICI HRVATSKOJ;Kandidat: NIKOLLE PREKPALAJ, Predlagatelj: UDRUGA ALBANACA ZADARSKE ŽUPANIJE - UAZŽ  ;Kandidat: IBRAHIM RUŽNIÆ, prof., Predlagatelj: BOŠNJAÈKA NACIONALNA ZAJEDNICA HRVATSKE ;Kandidat: IDRIS SULEJMANI, Predlagatelj: UDRUGA GRAÐANA ALBANSKE NACIONALNE MANJINE GRADA POREÈA I POREŠTINE - UDRUGA ALBANSKE NACIONALNE MANJINE POREŠTINE;Kandidat: SULEJMAN TABAKOVIÆ, Predlagatelj: NEOVISNI KANDIDAT ;Kandidat: prof.dr.sc. ŠEMSO TANKOVIÆ, Predlagatelj: STRANKA DEMOKRATSKE AKCIJE HRVATSKE - SDA HRVATSKE
;;;;;;;;;1;2;3;4;5;6;7;8;9;10;11;12
XII. IZBORNA JEDINICA;1;ZAGREB-CENTAR,ZAPAD;265;3.104;530;530;518;12;79;4;102;44;101;3;17;16;21;2;9;120
XII. IZBORNA JEDINICA;1;ZAPREŠIÆ;20;130;7;7;7;0;0;0;3;0;0;0;1;0;0;0;0;3
XII. IZBORNA JEDINICA;1;BISTRA;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;1;BRDOVEC;11;60;8;8;8;0;0;0;6;0;1;0;1;0;0;0;0;0
XII. IZBORNA JEDINICA;1;DUBRAVICA;6;5;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;1;JAKOVLJE;6;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;1;LUKA;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;1;MARIJA GORICA;5;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;1;PUŠÆA;7;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
XII. IZBORNA JEDINICA;2;BJELOVAR;63;142;21;21;19;2;0;0;0;0;16;1;0;1;0;0;0;1
XII. IZBORNA JEDINICA;2;ÈAZMA;34;19;2;2;2;0;0;0;0;0;1;0;0;1;0;0;0;0
XII. IZBORNA JEDINICA;2;DARUVAR;15;68;8;8;8;0;0;0;0;0;6;0;0;0;0;1;0;1
XII. IZBORNA JEDINICA;2;DUGO SELO;18;86;21;20;20;0;0;0;3;1;9;0;2;5;0;0;0;0
XII. IZBORNA JEDINICA;2;ÐURÐEVAC;16;28;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0
