Rbr IJ;Naziv izborne jedinice;Rbr.županije;Županija;Oznaka Gr/Op/Dr;Grad/opæina/država;Rbr BM;Naziv BM;Lokacija BM;Adresa BM;Ukupno biraèa;Glasovalo biraèa;Glasovalo biraèa (po listiæima);Važeæi listiæi;Nevažeæi listiæi;AUTOHTONA - HRVATSKA STRANKA PRAVA - A - HSP;ZORAN MAREKOVIÆ;TOMISLAV FILIPOVIÆ;MIRKO TADIÆ;BRANKA ŠARIÆ;DAVOR MEŠTROVIÆ;KREŠIMIR ÆORKOVIÆ;DANIJEL STRIÈEVIÆ;JOSIP ÈIŠ;IVICA SOPÈEK;STJEPAN KRSTANAC;KRUNOSLAV PAŠA;FRANJO MARIJANOVIÆ;LUCIJA LOVOŠEVIÆ;KATA KARDUM;"""BANDIÆ MILAN 365 - STRANKA RADA I SOLIDARNOSTI"", DEMOKRATSKA PRIGORSKO - ZAGREBAÈKA STRANKA - DPS, DEMOKRATSKA STRANKA ŽENA - DSŽ, HRVATSKA EUROPSKA STRANKA - HES, HRVATSKA RADNIÈKA STRANKA - HRS, HRVATSKA STRANKA ZELENIH - EKO SAVEZ - ZELENI, ISTARSKI DEMOKRATI - DEMOCRATICI ISTRIANI - ID - DI, MEÐIMURSKA STRANKA - MS, NEZAVISNI SELJACI HRVATSKE - NSH, NOVI VAL - STRANKA RAZVOJA - NOVI VAL, STRANKA UMIROVLJENIKA - SU, UMIROVLJENIÈKA DEMOKRATSKA UNIJA - UDU, ZELENI SAVEZ - ZELENI, ZELENA STRANKA - ZS";STJEPAN SUÈIÆ, mag. ing.;PETAR BAŠIÆ, prof.;dr. sc. MILAN BITUNJAC, dr. med.;JOZO GAVRAN, dipl. ing.;MIRJANA SEMENIÆ RUTKO, dr. med.;IVO SERDAR;ŽELJKA LENIÆ;ŽELJKO SLADETIÆ;RUŽICA JANKOVIÆ;KATARINA ZELIÆ, mag. oec.;VINKO KUZMIÆ;SUADA LUKAŠ;IVAN ANTUNOVIÆ;TEA GRGIÆ, mag. iur.;HRVATSKA DEMOKRATSKA ZAJEDNICA - HDZ, HRVATSKA SELJAÈKA STRANKA - HSS, HRVATSKA STRANKA PRAVA DR. ANTE STARÈEVIÆ - HSP AS, BLOK UMIROVLJENICI ZAJEDNO - BUZ, HRVATSKA SOCIJALNO - LIBERALNA STRANKA - HSLS, HRAST - POKRET ZA USPJEŠNU HRVATSKU, HRVATSKA DEMOKRŠÆANSKA STRANKA - HDS, ZAGORSKA DEMOKRATSKA STRANKA - ZDS;BOŽO GALIÆ;PERO ÆOSIÆ;FRANJO LUCIÆ;TOMISLAV ÈULJAK;DANIJEL MARUŠIÆ;MARIJA BUDIMIR;PERO ÆORIÆ;STEVO CULEJ;ALOJZ TOMAŠEVIÆ;DAVOR VLAOVIÆ;DAVOR MILIÈEVIÆ;LJUBICA MAKSIMÈUK;STIPO LEMEŠIÆ;ANTONIJA JOZIÆ;HRVATSKA KONZERVATIVNA STRANKA - HKS, HRVATSKA STRANKA PRAVA - HSP, OBITELJSKA STRANKA - OS;MARIJAN PAVLIÈEK;MARINA LOGARUŠIÆ;JOSIP PAVIÆ;ŽELJKO JAMBREK;MIRELA MEZAK;VINKO JOZIÆ;MARTIN KORDIÆ;IVAN RAJIÈ;IVANA ŠVAGANOVIÆ MILOŠEVIÆ;KRISTINA BARTOLIÆ SMODEJ;BOJAN KNEŽEVIÆ;ANTONELA KOVAÈEVIÆ;KATARINA ŠOLTES;ANTO ŽAGRIÆ;MOST NEZAVISNIH LISTA - MOST;TOMISLAV PANENIÆ, univ. spec. oec.;IVICA MIŠIÆ;IVICA TEÈER, dipl. oec.;DARKO POSARIÆ, dipl. ing.;ANTE ORLOVIÆ, bacc.;ANTO GUTIÆ, bacc.;SILVIJA RAGUŽ, dipl. ing.;TATJANA BOŠNJAK, dipl. iur.;IVAN ŠAPINA;IVAN PEIÈEVIÆ, dipl. iur.;SNJEŽANA KLARIÆ, prof.;GABRIJELA BABIÆ;MARIJANA BRTAN;RUŽICA VUKOVAC, dipl. iur.;NARODNA STRANKA - REFORMISTI - REFORMISTI, NAPRIJED HRVATSKA! - PROGRESIVNI SAVEZ IVE JOSIPOVIÆA, STRANKA HRVATSKIH UMIROVLJENIKA - UMIROVLJENICI, ZELENI FORUM, DUBROVAÈKI DEMOKRATSKI SABOR - DDS;JADRANKA KOSOR;DAMIR GAŠPAROVIÆ;MELITA MILENKOVIÆ;MARKO ŠARIÆ;DUBRAVKO PAVLOVIÆ;IVO KRIŠTIÆ;dr. sc. KRISTINA ÈELIÆ;MIRELA MILETIÆ;SMILJKA ŠAKIÆ;MARIJA BORIÆ HRVOJ;TOMISLAV KOMLJENOVIÆ;MIRNA HEÆIMOVIÆ;MIRJANA MIHELJA;NIKOLA LJUBAN;ODRŽIVI RAZVOJ HRVATSKE - ORaH;TATJANA FABRIÈNI GALIÆ;MLADEN SUDAR;JADRANKA ÆORLUKA;DINKO SMOJVIR;ANITA ODOBAŠIÆ;ANDREJ GEORGIEVSKI;KARMELA ROMIÆ;ADAM BAŠIÆ;KATARINA MARIJIÆ;DEJAN IVANKOVIÆ;JAVORKA JOKIÆ;ZLATKO MARKOVINOVIÆ;BLANKA PERKOVIÆ;DANIEL PULIÆ;U IME OBITELJI - PROJEKT DOMOVINA;IVAN ÆALETA, dipl. ing.;KATARINA PERIÆ, mag. iur.;SILVIO GOLUBOVIÆ, dipl. theol.;IVANA JURIÆ;IVAN MAMIÆ, bacc. admin. publ.;VESNA FILIPOVIÆ;ZORAN FRANJIÆ;MARIJANA VOJNIÆ;IVAN SUDAR;SNJEŽANA GALOVIÆ;IVAN ZOVAK;GORAN MOLNAR;VESNA SLOBOÐAN;KREŠO ŽARKOVIÆ;AKCIJA MLADIH - AM;DARJAN BUKOVIÆ, bacc. oec.;MARINA LEŠIÆ;VANJA LOPAR;TONI KNEZ;SLAVEN DŽAKULA;DALIBOR FUÆAK;ANA TOMIÆ;ALEKSANDRA ÈANIK;DORA VUKIÈEVIÆ;DALIBOR BIJELIÆ;VANJA ALEMPIJEVIÆ;DAVOR LUŠTICA;VLATKA MARIÈIÆ;DANIJELA SAKIÆ;HRVATSKA KRŠÆANSKA DEMOKRATSKA UNIJA - HKDU, HRVATSKA DEMOKRATSKA STRANKA, NACIONALNI DEMOKRATI - ND;NINA BOBINAC;KATARINA SATLER;DAJANA PELAN;VERICA KRAMPAÈ;IVANA ZMIŠA HABAZIN;DENIS DLESK;MILENKO DIMAÈ;DEMIR LONIÆ;REFIK JAHIÆ;ANTE KUTIJA;LIDIJA STANKO;STJEPAN ZMIŠA;DRAŽEN RADOVIÆ;GORAN BOBOVEC;HRVATSKI DEMOKRATSKI SAVEZ SLAVONIJE I BARANJE - HDSSB;DRAGAN VULIN, mag. ing. el.;JOSIPA MILIÈEVIÆ;DUBRAVKO KOLUNDŽIÆ, dipl. ing.;DAVOR PAVELIÆ, dipl. oec.;BOŽIDAR BOSANÈIÆ, mag. prim. educ.;mr. sc. SLAVICA JELINIÆ;VLADIMIR MILKOVIÆ, dipl. politolog, prof.;JOSIP MIKŠIÆ;DARKO LORGER, dipl. ing. el.;DAMIR BESEDNIK;DUBRAVKO GUBIÆ, ing.;LJILJANA BANOŽIÆ;MARIN MEDVED;ZORAN VINKOVIÆ, ing.;SOCIJALDEMOKRATSKA PARTIJA HRVATSKE - SDP, HRVATSKA NARODNA STRANKA - LIBERALNI DEMOKRATI - HNS, HRVATSKA STRANKA UMIROVLJENIKA - HSU, HRVATSKI LABURISTI - STRANKA RADA, AUTOHTONA - HRVATSKA SELJAÈKA STRANKA - A - HSS, ZAGORSKA STRANKA - ZS;ZDRAVKO RONKO;TIHOMIR JAKOVINA;MARIJA ILIÆ;PREDRAG MATIÆ;DAMIR RIMAC;IVICA MANDIÆ;BILJANA GAÆA;MLADEN HUBER;ROBERTO LUJIÆ;EMINA BERBIÆ KOLAR;MARINKO LUKENDA;ANICA BIRAÈ;VERA BOŠNJAK;MARTINA VLAŠIÆ;ŽIVI ZID;DAMIR TRNAÈIÆ;KRISTINA HELD;IVAN ÈAVLOVIÆ;IVAN BANDIÆ;NIKOLINA DUBIEL;PAVAO JOSIÆ;ANA HRUŠKA;DOMAGOJ CVITKOVIÆ;MARIJANA TORDINAC;DAMIR JANEŠ;HELENA ŠIMETIÆ;DALIBOR KUJUNDŽIÆ;VANDA JOSIÆ;ALEN KOSOVAC
005;V. IZBORNA JEDINICA;;inozemstvo;država;AFGANISTAN;001;biraèko mjesto broj 1 - CAMP MARMAL;CAMP MARMAL, MAZAR-E-SHARIF, AFGANISTAN;CAMP MARMAL, MAZAR-E-SHARIF, AFGANISTAN;7;7;7;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
005;V. IZBORNA JEDINICA;;inozemstvo;država;AFGANISTAN;002;biraèko mjesto broj 2 - CAMP HKIA;CAMP HKIA, KABUL, AFGANISTAN;CAMP HKIA, KABUL, AFGANISTAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
005;V. IZBORNA JEDINICA;;inozemstvo;država;ALBANIJA;001;biraèko mjesto broj 1 - TIRANA;VELEPOSLANSTVO REPUBLIKE HRVATSKE U REPUBLICI ALBANIJI;RR. XIBRAKEVE, KOMPLEKSI XIBRAKU, TIRANA, ALBANIJA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
005;V. IZBORNA JEDINICA;;inozemstvo;država;ALŽIR;001;biraèko mjesto broj 1 - ALŽIR;VELEPOSLANSTVO REPUBLIKE HRVATSKE U ALŽIRSKOJ NARODNOJ DEMOKRATSKOJ REPUBLICI;26. BIS, RUE HADJ AHMED MOHAMED - HYDRA, 16405 ALGERIE, ALŽIR;4;4;4;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
005;V. IZBORNA JEDINICA;;inozemstvo;država;ARGENTINA;001;biraèko mjesto broj 1 - BUENOS AIRES;VELEPOSLANSTVO REPUBLIKE HRVATSKE U ARGENTINSKOJ REPUBLICI;GOROSTIAGA 2104, 1426 BUENOS AIRES, ARGENTINA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
005;V. IZBORNA JEDINICA;;inozemstvo;država;AUSTRALIJA;001;biraèko mjesto broj 1 - CANBERRA;VELEPOSLANSTVO REPUBLIKE HRVATSKE U AUSTRALIJI;14 JINDALEE CRESCENT, O'MALLEY, ACT 2606 CANBERRA, AUSTRALIJA;6;6;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;1;0;0;0;0;0;0;0;0
005;V. IZBORNA JEDINICA;;inozemstvo;država;AUSTRALIJA;002;biraèko mjesto broj 2 - MELBOURNE;GENERALNI KONZULAT REPUBLIKE HRVATSKE U AUSTRALIJI, MELBOURNE;9/24 ALBERT ROAD, SOUTH MELBOURNE 3205, VICTORIA, AUSTRALIJA;20;20;20;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;2;1;2;0;1;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
005;V. IZBORNA JEDINICA;;inozemstvo;država;AUSTRALIJA;003;biraèko mjesto broj 3 - SYDNEY;GENERALNI KONZULAT REPUBLIKE HRVATSKE U AUSTRALIJI, SYDNEY;4/379 KENT STREET, P.O. BOX Q104, SYDNEY, NSW 1230, AUSTRALIJA;11;11;11;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;3;1;0;0;0;1;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
005;V. IZBORNA JEDINICA;;inozemstvo;država;AUSTRALIJA;004;biraèko mjesto broj 4 - PERTH;KONZULAT REPUBLIKE HRVATSKE U AUSTRALIJI, PERTH;9/68 ST. GEORGES TCE, PERTH WA 6831, AUSTRALIJA;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
005;V. IZBORNA JEDINICA;;inozemstvo;država;AUSTRIJA;001;biraèko mjesto broj 1 - BEÈ;VELEPOSLANSTVO REPUBLIKE HRVATSKE U REPUBLICI AUSTRIJI;OPERNGASSE 20 B, 1040 WIEN, AUSTRIJA;58;58;58;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;9;0;1;2;0;0;1;6;0;0;3;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
